Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,41,41.75,41.75,41.75,4400,0
2015-12-30,41.75,44,40.75,41,83600,0
2015-12-29,41,42,40.75,41.75,2500,0
2015-12-28,40.25,41,41,41,7400,0
2015-12-24,39.5,41,40,40.25,15100,0
2015-12-23,40,39.75,39.5,39.5,1000,0
2015-12-22,39.75,41,40,40,8800,0
2015-12-21,39.75,41.5,39,39.75,61700,0
2015-12-18,40,42,37,39.75,7900,0
2015-12-17,39.75,40.25,40,40,19600,0
2015-12-16,39.75,40,39,39.75,126100,0
2015-12-15,39,40,39.75,39.75,74400,0
2015-12-14,40,39,39,39,2100,0
2015-12-11,40.75,40.5,40,40,125100,0
2015-12-10,42.25,42,40,40.75,5500,0
2015-12-09,42.75,43.5,41,42.25,3600,0
2015-12-08,45,45,42,42.75,11600,0
2015-12-07,45.25,45.5,44.25,45,300,0
2015-12-04,46,45.5,45,45.25,164300,0
2015-12-03,45.25,46,46,46,200,0
2015-12-02,45.75,46,44.75,45.25,22400,0
2015-12-01,46.75,47,44,45.75,26700,0
2015-11-30,47,47,46.5,46.75,40100,0
2015-11-27,46.25,48,46.5,47,95700,0
2015-11-25,44.25,48,45,46.25,18900,0
2015-11-24,43.5,47,44,44.25,61300,0
2015-11-23,41,45,41,43.5,21400,0
2015-11-20,41,43,41,41,68600,0
2015-11-19,41.5,44.5,41,41,459700,0
2015-11-18,40.75,42.75,41.5,41.5,13100,0
2015-11-17,39,42.75,40,40.75,7400,0
2015-11-16,35.75,39,39,39,1400,0
2015-11-13,34,36,35,35.75,58400,0
2015-11-12,34,35.75,34,34,6100,0
2015-11-11,34.5,35,34,34,204200,0
2015-11-10,34.5,34.5,34.5,34.5,0,0
2015-11-09,34,36,34,34.5,1100,0
2015-11-06,34.25,36,34,34,1590000,0
2015-11-05,35,35.5,31.5,34.25,34800,0
2015-11-04,35.5,36,35,35,1020000,0
2015-11-03,36.75,37,35,35.5,12100,0
2015-11-02,36,37,36.5,36.75,2700,0
2015-10-30,36.25,36.25,36,36,500,0
2015-10-29,37,37,36.25,36.25,25000,0
2015-10-28,36.75,37.5,36.75,37,1270000,0
2015-10-27,36.75,37,36.75,36.75,6100,0
2015-10-26,37,37.5,36.25,36.75,6700,0
2015-10-23,37.25,37.5,36.75,37,24300,0
