Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,175,175,175,175,0,0
2015-12-30,176,176,170,175,3900,0
2015-12-29,176,176,176,176,22600,0
2015-12-28,176,176,176,176,3000,0
2015-12-24,175,176,176,176,100,0
2015-12-23,175,176,175,175,4800,0
2015-12-22,175,176,175,175,52200,0
2015-12-21,176,176,175,175,12400,0
2015-12-18,176,176,176,176,67400,0
2015-12-17,176,176,176,176,5000,0
2015-12-16,175,176,176,176,8000,0
2015-12-15,172,176,174,175,63500,0
2015-12-14,172,172,172,172,300,0
2015-12-11,170,175,170,172,106300,0
2015-12-10,172,172,170,170,3300,0
2015-12-09,174,173,172,172,5200,0
2015-12-08,174,175,172,174,12700,0
2015-12-07,171,175,170,174,18600,0
2015-12-04,170,173,170,171,84300,0
2015-12-03,170,173,170,170,5400,0
2015-12-02,171,172,170,170,13600,0
2015-12-01,171,171,171,171,0,0
2015-11-30,171,171,171,171,3000,0
2015-11-27,175,175,171,171,10200,0
2015-11-25,175,176,171,175,1800,0
2015-11-24,175,176,175,175,294600,0
2015-11-23,174,176,175,175,7800,0
2015-11-20,175,175,174,174,2900,0
2015-11-19,172,178,174,175,69200,0
2015-11-18,173,173,170,172,6500,0
2015-11-17,168,174,173,173,2800,0
2015-11-16,165,170,167,168,126500,0
2015-11-13,170,170,165,165,1200,0
2015-11-12,173,170,170,170,300,0
2015-11-11,171,174,170,173,1800,0
2015-11-10,174,174,170,171,600,0
2015-11-09,165,175,165,174,1800,0
2015-11-06,173,168,165,165,5500,0
2015-11-05,168,180,166,173,5100,0
2015-11-04,168,170,168,168,68300,0
2015-11-03,160,170,168,168,11300,0
2015-11-02,160,170,160,160,15200,0
2015-10-30,160,168,160,160,2100,0
2015-10-29,160,162,160,160,1100,0
2015-10-28,160,161,160,160,4000,0
2015-10-27,157,160,160,160,5600,0
2015-10-26,160,157,157,157,300,0
2015-10-23,160,160,160,160,0,0
2015-10-22,155,160,160,160,100,0
2015-10-21,154,160,154,155,400,0
2015-10-19,154,160,154,154,8100,0
2015-10-16,152,160,154,154,72400,0
2015-10-15,152,153,152,152,48300,0
2015-10-14,155,152,152,152,1200,0
2015-10-13,152,155,155,155,500,0
2015-10-12,157,157,152,152,8400,0
2015-10-09,157,157,157,157,100,0
2015-10-08,166,158,155,157,71700,0
2015-10-07,167,166,166,166,0,0
2015-10-05,167,167,167,167,0,0
2015-10-02,167,168,167,167,2000,0
2015-10-01,168,168,167,167,5300,0
2015-09-30,169,168,168,168,300,0
2015-09-29,169,169,169,169,600,0
2015-09-28,169,169,169,169,0,0
2015-09-25,175,173,165,169,3100,0
2015-09-24,175,175,175,175,34200,0
2015-09-23,179,178,175,175,11000,0
2015-09-22,180,180,171,179,1410000,0
2015-09-21,178,181,180,180,1100,0
2015-09-18,173,180,175,178,300,0
2015-09-17,171,174,173,173,2700,0
2015-09-16,171,174,171,171,1200,0
2015-09-15,171,172,171,171,10400,0
2015-09-14,171,172,171,171,10700,0
2015-09-11,170,172,171,171,5400,0
2015-09-10,170,172,170,170,30600,0
2015-09-09,170,172,170,170,44400,0
2015-09-08,170,174,170,170,165700,0
2015-09-07,167,174,167,170,21900,0
2015-09-04,165,170,167,167,103300,0
2015-09-03,161,170,163,165,16700,0
2015-09-02,160,163,160,161,55300,0
2015-09-01,154,160,160,160,200,0
2015-08-31,154,160,146,154,55000,0
2015-08-28,155,160,153,154,1730000,0
2015-08-27,152,155,155,155,200,0
2015-08-26,154,155,150,152,1000000,0
2015-08-25,154,154,154,154,0,0
2015-08-24,153,155,154,154,1400,0
2015-08-21,155,155,152,153,2400,0
2015-08-20,155,156,154,155,9200,0
2015-08-19,153,157,155,155,4300,0
2015-08-18,154,155,153,153,155200,0
2015-08-17,155,155,154,154,2600,0
2015-08-14,154,155,155,155,5300,0
2015-08-13,154,155,153,154,7500,0
2015-08-12,154,154,154,154,0,0
2015-08-11,154,155,153,154,15400,0
2015-08-10,154,154,154,154,4300,0
2015-08-07,155,154,154,154,1000,0
2015-08-06,154,156,155,155,64900,0
2015-08-05,152,154,154,154,10800,0
2015-08-04,154,152,152,152,2000,0
2015-08-03,154,155,154,154,11300,0
2015-07-31,152,155,154,154,500,0
2015-07-30,152,152,152,152,0,0
2015-07-29,153,153,152,152,500,0
2015-07-28,153,154,152,153,2900,0
2015-07-27,154,153,153,153,1100,0
2015-07-24,154,154,154,154,200,0
2015-07-23,154,155,153,154,600,0
2015-07-22,155,155,153,154,9500,0
2015-07-21,155,155,155,155,5500,0
2015-07-20,155,160,154,155,1700,0
2015-07-17,154,155,155,155,5800,0
2015-07-16,153,155,154,154,3700,0
2015-07-15,151,155,153,153,300,0
2015-07-14,151,151,151,151,0,0
2015-07-13,155,151,151,151,0,0
2015-07-09,155,155,155,155,500,0
2015-07-08,156,155,155,155,100,0
2015-07-07,156,158,156,156,5900,0
2015-07-06,156,156,156,156,500,0
2015-07-03,155,158,156,156,7800,0
2015-07-02,155,158,155,155,38500,0
2015-07-01,154,156,155,155,97000,0
2015-06-30,153,155,151,154,10800,0
2015-06-29,153,153,153,153,0,0
2015-06-26,151,155,153,153,56500,0
2015-06-25,153,153,151,151,1200,0
2015-06-24,153,155,153,153,1400,0
2015-06-23,154,155,153,153,5800,0
2015-06-22,151,154,154,154,300,0
2015-06-19,150,152,151,151,1000,0
2015-06-18,150,150,150,150,900,0
2015-06-17,150,154,150,150,7000,0
2015-06-16,150,151,150,150,300,0
2015-06-15,150,150,150,150,7400,0
2015-06-12,150,150,150,150,200,0
2015-06-11,149,150,150,150,159200,0
2015-06-10,147,150,147,149,4300,0
2015-06-09,146,147,147,147,17300,0
2015-06-08,147,147,146,146,1300,0
2015-06-05,147,147,147,147,100,0
2015-06-04,147,147,147,147,600,0
2015-06-03,147,149,147,147,211900,0
2015-06-02,147,147,147,147,0,0
2015-05-29,145,148,142,147,32100,0
2015-05-28,149,148,145,145,164400,0
2015-05-27,147,149,149,149,100,0
2015-05-26,147,147,147,147,163200,0
2015-05-25,147,150,147,147,127300,0
2015-05-22,147,148,146,147,500,0
2015-05-21,145,148,147,147,517700,0
2015-05-20,149,150,135,145,247300,0
2015-05-19,146,152,146,149,38100,0
2015-05-18,150,150,145,146,3000,0
2015-05-15,148,150,150,150,1800,0
2015-05-14,152,151,145,148,133300,0
2015-05-13,151,154,151,152,500,0
2015-05-12,146,152,150,151,900,0
2015-05-11,150,147,145,146,204000,0
2015-05-08,147,150,150,150,124200,0
2015-05-07,145,153,145,147,700,0
2015-05-06,147,150,145,145,115200,0
2015-05-05,147,150,147,147,17100,0
2015-05-04,150,147,147,147,1700,0
2015-04-30,150,151,150,150,10100,0
2015-04-29,149,150,150,150,20800,0
2015-04-28,150,150,145,149,500,0
2015-04-27,150,150,150,150,205100,0
2015-04-24,150,152,150,150,78200,0
2015-04-23,150,150,150,150,14700,0
2015-04-22,150,150,150,150,46100,0
2015-04-21,150,150,150,150,40800,0
2015-04-20,150,151,150,150,3400,0
2015-04-17,152,150,150,150,800,0
2015-04-16,151,154,150,152,19900,0
2015-04-15,154,155,150,151,500,0
2015-04-14,155,155,150,154,188000,0
2015-04-13,155,155,155,155,0,0
2015-04-10,155,156,155,155,300,0
2015-04-09,149,156,155,155,236900,0
2015-04-08,159,159,140,149,10600,0
2015-04-07,159,160,159,159,2300,0
2015-04-02,160,165,156,159,103600,0
2015-04-01,159,160,160,160,23200,0
2015-03-31,160,162,150,159,236700,0
2015-03-30,160,170,160,160,86200,0
2015-03-27,160,167,160,160,6100,0
2015-03-26,159,160,160,160,15400,0
2015-03-25,160,160,159,159,31400,0
2015-03-24,162,162,160,160,6000,0
2015-03-23,164,163,162,162,3400,0
2015-03-20,163,165,163,164,9200,0
2015-03-19,163,163,163,163,100000,0
2015-03-18,163,173,163,163,153100,0
