Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,785,785,785,785,0,0
2015-12-30,785,785,785,785,0,0
2015-12-29,725,785,785,785,600,0
2015-12-28,725,725,725,725,0,0
2015-12-24,725,725,725,725,0,0
2015-12-23,730,730,720,725,200,0
2015-12-22,735,730,730,730,100,0
2015-12-21,788,735,735,735,100,0
2015-12-18,737,788,788,788,44200,0
2015-12-17,755,755,736,737,1400,0
2015-12-16,785,755,755,755,100,0
2015-12-15,784,785,785,785,100700,0
2015-12-14,785,785,760,784,200200,0
2015-12-11,779,785,785,785,800,0
2015-12-10,777,780,750,779,20000,0
2015-12-09,779,780,775,777,200,0
2015-12-08,780,780,750,779,12200,0
2015-12-07,780,780,780,780,0,0
2015-12-04,780,780,780,780,0,0
2015-12-03,780,785,780,780,25000,0
2015-12-02,784,780,780,780,100,0
2015-12-01,785,785,746,784,90100,0
2015-11-30,785,785,785,785,0,0
2015-11-27,784,797,784,785,48900,0
2015-11-25,785,784,784,784,100,0
2015-11-24,799,796,784,785,100400,0
2015-11-23,799,799,799,799,0,0
2015-11-20,794,800,790,799,26500,0
2015-11-19,784,795,780,794,2200,0
2015-11-18,773,785,735,784,82500,0
2015-11-17,773,773,773,773,0,0
2015-11-16,780,790,750,773,300,0
2015-11-13,780,780,780,780,0,0
2015-11-12,790,780,780,780,100,0
2015-11-11,761,790,790,790,1500,0
2015-11-10,790,796,755,761,600,0
2015-11-09,784,790,790,790,1500,0
2015-11-06,780,785,745,784,87400,0
2015-11-05,779,788,780,780,47400,0
2015-11-04,770,780,770,779,18300,0
2015-11-03,770,770,770,770,500,0
2015-11-02,768,770,770,770,5100,0
2015-10-30,769,769,765,768,1000,0
2015-10-29,784,769,769,769,7200,0
2015-10-28,768,785,770,784,179900,0
2015-10-27,768,790,765,768,18600,0
2015-10-26,765,769,768,768,1200,0
2015-10-23,765,765,765,765,1200,0
2015-10-22,765,765,765,765,57000,0
2015-10-21,786,765,765,765,300,0
2015-10-19,796,787,780,786,68900,0
2015-10-16,769,797,760,796,358800,0
2015-10-15,779,799,765,769,5100,0
2015-10-14,771,780,777,779,45800,0
