Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,13.45,13.6,13.6,13.6,3000,0
2015-12-30,13.55,13.6,13.25,13.45,116900,0
2015-12-29,13.55,14,13.4,13.55,23300,0
2015-12-28,13.3,14.2,13.25,13.55,43700,0
2015-12-24,13.3,13.55,13.25,13.3,40100,0
2015-12-23,13.35,13.5,13.25,13.3,97200,0
2015-12-22,13.4,13.6,13.15,13.35,99800,0
2015-12-21,13.3,14,13.2,13.4,160700,0
2015-12-18,13.25,13.5,13.15,13.3,40600,0
2015-12-17,13.2,13.5,13.15,13.25,89500,0
2015-12-16,13.1,13.35,13.1,13.2,81400,0
2015-12-15,13.2,13.2,13.05,13.1,101300,0
2015-12-14,13.1,13.35,13.1,13.2,62000,0
2015-12-11,13.05,13.25,13.05,13.1,55900,0
2015-12-10,13,13.15,12.75,13.05,1090000,0
2015-12-09,13.1,13.1,13,13,205400,0
2015-12-08,13.15,13.15,13.05,13.1,575200,0
2015-12-07,13.1,13.5,13.1,13.15,73400,0
2015-12-04,13.1,13.2,13.05,13.1,1170000,0
2015-12-03,13.05,13.2,13,13.1,102800,0
2015-12-02,13.15,13.25,13,13.05,795800,0
2015-12-01,13.2,13.3,13.05,13.15,79900,0
2015-11-30,13.35,13.5,13.05,13.2,206200,0
2015-11-27,13.45,13.45,13.2,13.35,200300,0
2015-11-25,13.45,13.55,13.4,13.45,93900,0
2015-11-24,13.55,14.25,13.15,13.45,196200,0
2015-11-23,13.65,13.95,13.5,13.55,250000,0
2015-11-20,13.9,14,13.55,13.65,323600,0
2015-11-19,13.75,14,13.9,13.9,84800,0
2015-11-18,13.9,14,13.6,13.75,182800,0
2015-11-17,13.75,14.35,13.9,13.9,435500,0
2015-11-16,13.65,14,13.1,13.75,170600,0
2015-11-13,13.45,13.8,13,13.65,85300,0
2015-11-12,12.9,13.8,13,13.45,45100,0
2015-11-11,12.65,13,12.8,12.9,59100,0
2015-11-10,12.65,13,12.5,12.65,907700,0
2015-11-09,12.65,12.8,12.6,12.65,991400,0
2015-11-06,12.65,12.8,12.5,12.65,6180000,0
2015-11-05,12.5,12.8,12.65,12.65,3840000,0
2015-11-04,12.65,12.75,12.3,12.5,71200,0
2015-11-03,12.7,13,12.4,12.65,3120000,0
2015-11-02,12.65,12.8,12.7,12.7,60000,0
2015-10-30,12.65,12.75,12.55,12.65,285700,0
2015-10-29,12.65,13,12.6,12.65,4250000,0
2015-10-28,12.7,12.8,12.6,12.65,1040000,0
2015-10-27,12.55,12.9,12.6,12.7,87500,0
2015-10-26,12.6,12.9,12.25,12.55,77700,0
2015-10-23,12.6,12.9,12.5,12.6,78300,0
2015-10-22,12.15,12.9,12.35,12.6,136600,0
2015-10-21,12.1,13.3,12,12.15,8400000,0
2015-10-19,11.9,12.9,11.9,12.1,155500,0
2015-10-16,11.8,12,11.65,11.9,1410000,0
2015-10-15,11.85,11.9,11.5,11.8,3470000,0
2015-10-14,12.3,12.05,11.6,11.85,2260000,0
2015-10-13,12.35,12.5,12.05,12.3,2160000,0
2015-10-12,12.65,12.7,12.25,12.35,151100,0
2015-10-09,12.75,12.9,12.5,12.65,102500,0
2015-10-08,12.9,13,12.5,12.75,88200,0
2015-10-07,12.95,13.2,12.5,12.9,267700,0
2015-10-05,13.05,13.2,12.9,12.95,262600,0
2015-10-02,13.05,13.15,13.05,13.05,230900,0
2015-10-01,13.15,13.2,13.05,13.05,73300,0
2015-09-30,13.05,13.25,13,13.15,110900,0
