Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,61,61,61,61,0,0
2015-12-30,65,61,61,61,200,0
2015-12-29,65,65,65,65,0,0
2015-12-28,65,65,65,65,0,0
2015-12-24,65,65,65,65,0,0
2015-12-23,61,65,65,65,300,0
2015-12-22,58.5,61,61,61,200,0
2015-12-21,59,58.5,58.5,58.5,300,0
2015-12-18,59,59,59,59,0,0
2015-12-17,61,59,59,59,2300,0
2015-12-16,61,61,61,61,0,0
2015-12-15,61,61,61,61,0,0
2015-12-14,61,61,61,61,0,0
2015-12-11,62,62,60,61,1700,0
2015-12-10,62,62,62,62,1200,0
2015-12-09,65,62,62,62,4400,0
2015-12-08,62,65,65,65,100,0
2015-12-07,62.5,62.5,61.5,62,4200,0
2015-12-04,62.5,63,62.5,62.5,58900,0
2015-12-03,64,64,62.5,62.5,400,0
2015-12-02,60.5,65,62.5,64,3200,0
2015-12-01,58.5,61,60,60.5,9300,0
2015-11-30,58.5,58.5,58.5,58.5,300,0
2015-11-27,58.5,58.5,58.5,58.5,200,0
2015-11-25,58.5,58.5,58.5,58.5,0,0
2015-11-24,58.5,58.5,58.5,58.5,20000,0
2015-11-23,59.5,58.5,58.5,58.5,3000,0
2015-11-20,59.5,59.5,59.5,59.5,0,0
2015-11-19,58,59.5,59.5,59.5,4000,0
2015-11-18,57,58,58,58,500,0
2015-11-17,59.5,58,57,57,1400,0
2015-11-16,59,60,58,59.5,4600,0
2015-11-13,59,59,59,59,0,0
2015-11-12,62,61,57,59,600,0
2015-11-11,62,62,62,62,1000,0
2015-11-10,62.5,62,62,62,400,0
2015-11-09,63,63,62,62.5,2600,0
2015-11-06,63,63,63,63,100,0
2015-11-05,65,63,63,63,200,0
2015-11-04,65,65,65,65,0,0
2015-11-03,64,65,65,65,26000,0
2015-11-02,62.5,65,62,64,12800,0
2015-10-30,62.5,62.5,62.5,62.5,0,0
2015-10-29,61.5,63,61.5,62.5,2000,0
2015-10-28,61.5,61.5,61.5,61.5,1200,0
2015-10-27,61.5,61.5,61.5,61.5,1200,0
2015-10-26,61,61.5,61.5,61.5,500,0
2015-10-23,61.5,61,61,61,9400,0
2015-10-22,61,63,61,61.5,1400,0
2015-10-21,61,61,61,61,200,0
2015-10-19,60,61,61,61,9700,0
2015-10-16,63.5,60.5,60,60,800,0
2015-10-15,60,64,60.5,63.5,56200,0
2015-10-14,60,60,60,60,8300,0
2015-10-13,60,63,60,60,9200,0
2015-10-12,60,60,60,60,0,0
2015-10-09,63.5,61,60,60,1500,0
2015-10-08,62.5,64,60,63.5,5100,0
2015-10-07,63.5,64,60,62.5,7200,0
2015-10-05,61.5,65,61.5,63.5,501000,0
2015-10-02,64.5,61.5,61.5,61.5,500,0
2015-10-01,64,65,61.5,64.5,10200,0
2015-09-30,61,66,64,64,36100,0
2015-09-29,61.5,63,60,61,1900,0
2015-09-28,61.5,61.5,61.5,61.5,100,0
2015-09-25,58,63,58.5,61.5,300,0
2015-09-24,59.5,59.5,57,58,500,0
2015-09-23,60.5,63,57,59.5,3300,0
2015-09-22,57.5,63,56,60.5,11700,0
2015-09-21,57,57.5,57.5,57.5,200,0
2015-09-18,55.5,58,56.5,57,1300,0
2015-09-17,55.5,55.5,55.5,55.5,0,0
2015-09-16,58,58,55,55.5,260700,0
2015-09-15,55.5,61,57,58,1200,0
2015-09-14,56.5,57,55,55.5,1200,0
2015-09-11,61.5,56.5,56.5,56.5,300,0
2015-09-10,63.5,63.5,60.5,61.5,3800,0
2015-09-09,68.5,63.5,63.5,63.5,500,0
2015-09-08,70,68.5,68.5,68.5,100,0
2015-09-07,70,70,70,70,100,0
2015-09-04,68.5,70,70,70,300,0
2015-09-03,70,70,65,68.5,500,0
2015-09-02,70,70.5,70,70,7600,0
2015-09-01,69.5,71,70,70,2800,0
2015-08-31,70,71,67.5,69.5,900,0
2015-08-28,67.5,72,70,70,6800,0
2015-08-27,69.5,70,66,67.5,15300,0
2015-08-26,70,70,68,69.5,18200,0
2015-08-25,69.5,70,70,70,11000,0
2015-08-24,67,70,69,69.5,5000,0
2015-08-21,69.5,70,66.5,67,400,0
2015-08-20,70,70,68.5,69.5,4000,0
2015-08-19,70,70,70,70,2000,0
2015-08-18,69,72,69,70,3400,0
