Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,13.15,13.15,13.00,13.00,154700.00,0.00
2015-12-30,13.00,13.45,13.00,13.15,27800.00,0.00
2015-12-29,12.90,13.50,12.90,13.00,138000.00,0.00
2015-12-28,13.30,13.60,12.30,12.90,335200.00,0.00
2015-12-24,13.60,13.80,13.00,13.30,79800.00,0.00
2015-12-24,13.60,13.80,13.00,13.30,79800.00,0.00
2015-12-23,13.65,13.80,13.50,13.60,2070000.00,0.00
2015-12-22,13.80,14.00,13.50,13.65,87600.00,0.00
2015-12-21,13.75,14.00,13.75,13.80,44400.00,0.00
2015-12-18,14.00,14.00,12.80,13.75,42000.00,0.00
2015-12-18,14.00,14.00,12.80,13.75,42000.00,0.00
2015-12-17,13.95,14.40,13.50,14.00,93100.00,0.00
2015-12-17,13.95,14.40,13.50,14.00,93100.00,0.00
2015-12-16,14.20,14.20,13.00,13.95,4400000.00,0.00
2015-12-16,14.20,14.20,13.00,13.95,4400000.00,0.00
2015-12-15,14.20,14.35,14.15,14.20,591900.00,0.00
2015-12-15,14.20,14.35,14.15,14.20,591900.00,0.00
2015-12-14,14.15,14.40,14.05,14.20,49800.00,0.00
2015-12-14,14.15,14.40,14.05,14.20,49800.00,0.00
2015-12-11,14.25,14.40,14.10,14.15,75600.00,0.00
2015-12-11,14.25,14.40,14.10,14.15,75600.00,0.00
2015-12-10,14.25,14.75,14.10,14.25,49400.00,0.00
2015-12-10,14.25,14.75,14.10,14.25,49400.00,0.00
2015-12-09,14.10,14.50,14.10,14.25,54300.00,0.00
2015-12-09,14.10,14.50,14.10,14.25,54300.00,0.00
2015-12-08,14.20,14.30,14.00,14.10,103200.00,0.00
2015-12-08,14.20,14.30,14.00,14.10,103200.00,0.00
2015-12-07,14.60,14.60,14.05,14.20,67500.00,0.00
2015-12-07,14.60,14.60,14.05,14.20,67500.00,0.00
2015-12-04,14.70,14.75,14.50,14.60,45300.00,0.00
2015-12-04,14.70,14.75,14.50,14.60,45300.00,0.00
2015-12-03,14.85,14.80,14.00,14.70,1120000.00,0.00
2015-12-03,14.85,14.80,14.00,14.70,1120000.00,0.00
2015-12-02,14.85,15.00,14.75,14.85,32600.00,0.00
2015-12-02,14.85,15.00,14.75,14.85,32600.00,0.00
2015-12-01,14.80,15.00,14.00,14.85,60500.00,0.00
2015-12-01,14.80,15.00,14.00,14.85,60500.00,0.00
2015-11-30,14.80,15.45,14.50,14.80,54400.00,0.00
2015-11-30,14.80,15.45,14.50,14.80,54400.00,0.00
