Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,39.50,39.50,39.50,39.50,0.00,0.00
2015-12-30,39.50,39.50,39.50,39.50,0.00,0.00
2015-12-29,39.50,39.50,39.50,39.50,0.00,0.00
2015-12-28,39.50,39.50,39.50,39.50,0.00,0.00
2015-12-24,39.50,39.50,39.50,39.50,0.00,0.00
2015-12-23,39.50,39.50,39.50,39.50,0.00,0.00
2015-12-22,39.50,39.50,39.50,39.50,0.00,0.00
2015-12-21,39.50,39.50,39.50,39.50,0.00,0.00
2015-12-18,39.50,39.50,39.50,39.50,200.00,0.00
2015-12-17,39.50,39.50,39.50,39.50,0.00,0.00
2015-12-16,39.50,39.50,39.50,39.50,0.00,0.00
2015-12-15,39.50,39.50,39.50,39.50,0.00,0.00
2015-12-14,39.50,39.50,39.50,39.50,0.00,0.00
2015-12-11,39.50,39.50,39.50,39.50,0.00,0.00
2015-12-10,39.50,39.50,39.50,39.50,0.00,0.00
2015-12-09,39.50,39.50,39.50,39.50,2900.00,0.00
2015-12-08,39.50,39.50,39.50,39.50,0.00,0.00
2015-12-07,39.50,39.50,39.50,39.50,0.00,0.00
2015-12-04,39.50,39.50,39.50,39.50,0.00,0.00
2015-12-03,39.50,39.50,39.50,39.50,0.00,0.00
2015-12-02,39.50,39.50,39.50,39.50,0.00,0.00
2015-12-01,39.50,39.50,39.50,39.50,0.00,0.00
2015-11-30,39.50,39.50,39.50,39.50,0.00,0.00
2015-11-27,39.50,39.50,39.50,39.50,0.00,0.00
2015-11-25,39.50,39.50,39.50,39.50,0.00,0.00
2015-11-24,39.50,39.50,39.50,39.50,0.00,0.00
2015-11-23,39.75,39.50,39.50,39.50,500.00,0.00
2015-11-20,39.75,39.75,39.75,39.75,0.00,0.00
2015-11-19,39.75,39.75,39.75,39.75,0.00,0.00
2015-11-18,39.75,39.75,39.75,39.75,0.00,0.00
2015-11-17,39.75,39.75,39.75,39.75,0.00,0.00
2015-11-16,39.75,39.75,39.75,39.75,0.00,0.00
2015-11-13,39.75,39.75,39.75,39.75,0.00,0.00
2015-11-12,39.75,39.75,39.75,39.75,0.00,0.00
2015-11-11,39.75,39.75,39.75,39.75,0.00,0.00
2015-11-10,39.75,39.75,39.75,39.75,0.00,0.00
2015-11-09,39.75,39.75,39.75,39.75,0.00,0.00
2015-11-06,39.75,39.75,39.75,39.75,0.00,0.00
2015-11-05,39.75,39.75,39.75,39.75,0.00,0.00
2015-11-04,39.75,39.75,39.75,39.75,0.00,0.00
2015-11-03,39.75,39.75,39.75,39.75,0.00,0.00
2015-11-02,39.50,39.75,39.75,39.75,200.00,0.00
2015-10-30,39.50,39.50,39.50,39.50,0.00,0.00
2015-10-29,39.50,39.50,39.50,39.50,0.00,0.00
2015-10-28,39.50,39.50,39.50,39.50,0.00,0.00
2015-10-27,39.50,39.50,39.50,39.50,0.00,0.00
2015-10-26,39.50,39.50,39.50,39.50,0.00,0.00
2015-10-23,39.50,39.50,39.50,39.50,0.00,0.00
2015-10-22,43.75,39.50,39.50,39.50,300.00,0.00
2015-10-21,43.75,43.75,43.75,43.75,0.00,0.00
2015-10-19,40.00,43.75,43.75,43.75,100.00,0.00
2015-10-16,39.75,40.00,40.00,40.00,0.00,0.00
2015-10-15,40.00,40.00,39.75,39.75,12400.00,0.00
2015-10-14,40.00,40.00,40.00,40.00,0.00,0.00
2015-10-13,40.00,40.00,40.00,40.00,0.00,0.00
2015-10-12,40.00,40.00,40.00,40.00,0.00,0.00
2015-10-09,40.00,40.00,40.00,40.00,0.00,0.00
2015-10-08,40.00,40.00,40.00,40.00,0.00,0.00
2015-10-07,40.00,40.00,40.00,40.00,0.00,0.00
2015-10-05,40.00,40.00,40.00,40.00,0.00,0.00
2015-10-02,40.00,40.00,40.00,40.00,0.00,0.00
