Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,10.6,10.6,10.6,10.6,0,0
2015-12-30,10,10.9,10,10.6,2100,0
2015-12-29,10.45,10.45,10,10,5800,0
2015-12-28,10.65,10.95,10,10.45,2300,0
2015-12-24,10,10.8,9.6,10.65,6700,0
2015-12-23,10,10.1,10,10,3200,0
2015-12-22,10.3,10.35,10,10,10700,0
2015-12-21,10.1,10.5,10,10.3,4900,0
2015-12-18,10.05,10.5,10,10.1,34400,0
2015-12-17,10.45,10.45,10,10.05,6400,0
2015-12-16,10,10.5,10.1,10.45,31700,0
2015-12-15,10.1,10.1,10,10,9400,0
2015-12-14,10.5,10.2,10.1,10.1,800,0
2015-12-11,10,10.5,10.5,10.5,300,0
2015-12-10,10.5,10.5,10,10,52400,0
2015-12-09,10.5,10.5,10.5,10.5,17900,0
2015-12-08,10.3,10.55,10.5,10.5,2400,0
2015-12-07,10.1,10.8,10.05,10.3,13000,0
2015-12-04,10.95,11,10.1,10.1,26300,0
2015-12-03,10.85,11,10.8,10.95,30100,0
2015-12-02,10.1,11,10.25,10.85,43600,0
2015-12-01,10.55,10.65,10,10.1,19100,0
2015-11-30,10.45,10.9,10.45,10.55,1500,0
2015-11-27,10.75,10.75,10.4,10.45,18900,0
2015-11-25,10.95,10.9,10.75,10.75,3000,0
2015-11-24,10.85,11,10.9,10.95,4600,0
2015-11-23,10.85,10.95,10.6,10.85,1020000,0
2015-11-20,10.6,10.95,10.6,10.85,1300,0
2015-11-19,10.45,11,10.6,10.6,32700,0
2015-11-18,10.4,10.45,10.45,10.45,500,0
2015-11-17,10.4,10.5,10.4,10.4,21700,0
2015-11-16,10.55,10.6,10.4,10.4,4400,0
2015-11-13,10.5,10.6,10.5,10.55,2200,0
2015-11-12,10.45,10.6,10.5,10.5,1800,0
2015-11-11,10.45,10.5,10.45,10.45,63900,0
2015-11-10,10.4,10.6,10.35,10.45,1400,0
2015-11-09,10.35,10.5,10.35,10.4,52200,0
2015-11-06,10.35,10.6,10.3,10.35,42500,0
2015-11-05,10.45,10.6,10.3,10.35,17800,0
2015-11-04,10.5,10.5,10.35,10.45,41200,0
2015-11-03,10.35,10.5,10.5,10.5,5100,0
2015-11-02,10.35,10.5,10.35,10.35,28100,0
2015-10-30,10.35,10.4,10.3,10.35,11300,0
2015-10-29,10.35,10.45,10.3,10.35,14100,0
2015-10-28,10.45,10.45,10.3,10.35,6100,0
2015-10-27,10.3,10.5,10.3,10.45,8700,0
2015-10-26,10.35,10.3,10.3,10.3,200,0
2015-10-23,10.2,10.45,10,10.35,1400,0
2015-10-22,10.65,10.6,10,10.2,16800,0
2015-10-21,10.6,11,10.6,10.65,12200,0
2015-10-19,10.6,10.65,10.6,10.6,25600,0
2015-10-16,10.45,11,10.5,10.6,27300,0
2015-10-15,10.65,11,10.05,10.45,11600,0
2015-10-14,10.9,10.9,10.5,10.65,20000,0
2015-10-13,10.55,10.9,10.9,10.9,1000,0
2015-10-12,10.8,10.8,10,10.55,7700,0
2015-10-09,10.95,10.8,10.8,10.8,3800,0
2015-10-08,10.85,11,10.8,10.95,16100,0
2015-10-07,10.45,11,10.45,10.85,9300,0
2015-10-05,11.1,10.8,10.25,10.45,5900,0
2015-10-02,11.25,11.45,10.25,11.1,27900,0
2015-10-01,11.3,11.35,11.25,11.25,7800,0
2015-09-30,11.45,11.5,11.3,11.3,23500,0
2015-09-29,11.5,11.5,11.25,11.45,13300,0
2015-09-28,11.55,11.6,11.3,11.5,26800,0
2015-09-25,11.15,11.7,11.3,11.55,3300,0
2015-09-24,11.35,11.6,11,11.15,3100,0
