Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,16.3,16.3,16.3,16.3,0,0
2015-12-30,16.05,16.4,15.5,16.3,4600,0
2015-12-29,16.45,16.4,15.65,16.05,7000,0
2015-12-28,15,16.5,16.45,16.45,1200,0
2015-12-24,15,15,15,15,0,0
2015-12-23,15.15,16,15,15,57600,0
2015-12-22,15.6,16.9,15,15.15,2200,0
2015-12-21,15.4,15.8,15,15.6,2100,0
2015-12-18,15.75,15.75,14.95,15.4,500,0
2015-12-17,15.5,15.8,15.75,15.75,4000,0
2015-12-16,14.9,15.8,14.8,15.5,7900,0
2015-12-15,14.9,14.95,14.9,14.9,400,0
2015-12-14,14.8,14.95,14.8,14.9,1600,0
2015-12-11,14.7,14.8,14.8,14.8,200,0
2015-12-10,14.75,14.8,14,14.7,13300,0
2015-12-09,14.85,14.9,14.7,14.75,18800,0
2015-12-08,14.9,14.9,14.7,14.85,5000,0
2015-12-07,14.9,14.95,14.8,14.9,15200,0
2015-12-04,14.9,15,14.7,14.9,13300,0
2015-12-03,15,15,14.75,14.9,9700,0
2015-12-02,15.3,15.3,14.7,15,44200,0
2015-12-01,15.4,15.35,15,15.3,173100,0
2015-11-30,15.4,15.8,15.4,15.4,30400,0
2015-11-27,15.55,15.5,15.4,15.4,9300,0
2015-11-25,15.3,15.75,15.4,15.55,33500,0
2015-11-24,15.4,15.75,15.05,15.3,2900,0
2015-11-23,15.45,15.7,15.4,15.4,20000,0
2015-11-20,15.3,15.8,15.3,15.45,12700,0
2015-11-19,15.35,15.75,15.3,15.3,41400,0
2015-11-18,15.55,15.75,15,15.35,61800,0
2015-11-17,15.6,15.8,15.5,15.55,17200,0
2015-11-16,15.3,15.8,15.5,15.6,76100,0
2015-11-13,15,15.8,15,15.3,19000,0
2015-11-12,15.2,15.05,15,15,18900,0
2015-11-11,15.75,17,15,15.2,8400,0
2015-11-10,15.25,15.8,15.7,15.75,28000,0
2015-11-09,14.95,16.4,15.05,15.25,1300,0
2015-11-06,14.55,15,14.6,14.95,12600,0
2015-11-05,14.9,14.6,14.5,14.55,12200,0
2015-11-04,14.25,15,14.6,14.9,8900,0
2015-11-03,14.25,14.5,14.25,14.25,5300,0
2015-11-02,14.1,15,14.05,14.25,35900,0
2015-10-30,14.25,15,14,14.1,23000,0
2015-10-29,14.1,14.4,14,14.25,30200,0
2015-10-28,14.5,14.5,14,14.1,22800,0
2015-10-27,14.7,14.75,14.5,14.5,11700,0
2015-10-26,14.2,15,14,14.7,65300,0
2015-10-23,14.05,14.4,14.2,14.2,14900,0
2015-10-22,14.4,14.4,14,14.05,13500,0
2015-10-21,14.35,14.6,14.1,14.4,27400,0
2015-10-19,14.4,14.6,14.1,14.35,19900,0
2015-10-16,14.5,14.65,14.4,14.4,20700,0
2015-10-15,14.65,14.5,14.5,14.5,2400,0
2015-10-14,14.65,14.9,14.5,14.65,13400,0
2015-10-13,14.7,14.8,14.35,14.65,28800,0
2015-10-12,14.35,14.85,14.35,14.7,5800,0
2015-10-09,14.9,14.9,14.1,14.35,3300,0
2015-10-08,15,15,14.9,14.9,900,0
2015-10-07,15.25,15,15,15,4800,0
2015-10-05,15,15.25,15.25,15.25,1000,0
2015-10-02,14.95,15,15,15,100,0
2015-10-01,14.95,14.95,14.95,14.95,0,0
2015-09-30,15,15,14.95,14.95,7900,0
2015-09-29,15.1,15,15,15,1800,0
2015-09-28,15.3,15.5,15,15.1,3800,0
2015-09-25,14.25,15.5,15,15.3,6400,0
2015-09-24,14.25,14.25,14.25,14.25,0,0
2015-09-23,15.55,15,14.05,14.25,900,0
2015-09-22,16.25,16.45,15.5,15.55,55100,0
2015-09-21,16.25,16.3,16.25,16.25,4900,0
2015-09-18,16.15,16.3,16.25,16.25,6500,0
2015-09-17,16.1,16.3,16,16.15,27600,0
2015-09-16,16.25,16.25,16,16.1,1200,0
2015-09-15,15.85,16.25,16.25,16.25,34000,0
2015-09-14,15.9,15.9,15.8,15.85,2200,0
2015-09-11,15.9,15.9,15.9,15.9,0,0
2015-09-10,15.85,16.25,15.85,15.9,2600,0
2015-09-09,15.8,15.85,15.85,15.85,5900,0
2015-09-08,15.8,15.85,15.8,15.8,18300,0
2015-09-07,15.85,15.85,15.8,15.8,1900,0
2015-09-04,15.9,15.9,15.8,15.85,33000,0
2015-09-03,16.45,15.9,15.9,15.9,2600,0
