Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,6.35,6.2,6.2,6.2,6400,0
2015-12-30,6.2,6.45,6.2,6.35,17300,0
2015-12-29,6.45,6.4,6.2,6.2,147400,0
2015-12-28,6.35,6.5,6.35,6.45,86500,0
2015-12-24,6.3,6.5,6.2,6.35,29900,0
2015-12-23,6.25,6.5,6.2,6.3,269100,0
2015-12-22,6.15,6.3,6.2,6.25,91100,0
2015-12-21,6.35,6.35,6,6.15,197200,0
2015-12-18,6.25,6.5,6.25,6.35,493000,0
2015-12-17,6.2,6.5,6.2,6.25,104100,0
2015-12-16,6.2,6.45,6.2,6.2,118400,0
2015-12-15,6.15,6.45,6.15,6.2,79700,0
2015-12-14,6.15,6.45,6.15,6.15,84700,0
2015-12-11,6.35,6.4,6,6.15,194200,0
2015-12-10,6.4,6.5,6.3,6.35,26000,0
2015-12-09,6.35,6.5,6.25,6.4,272200,0
2015-12-08,6.5,6.5,6.25,6.35,47900,0
2015-12-07,6.55,6.6,6.5,6.5,165500,0
2015-12-04,6.55,6.7,6.55,6.55,23100,0
2015-12-03,6.55,6.7,6.5,6.55,36600,0
2015-12-02,6.45,6.8,6.5,6.55,77700,0
2015-12-01,6.5,6.8,6.35,6.45,117500,0
2015-11-30,6.5,6.8,6.25,6.5,199900,0
2015-11-27,6.5,6.55,6.5,6.5,148700,0
2015-11-25,6.55,6.8,6.5,6.5,229900,0
2015-11-24,6.6,6.8,6.55,6.55,138800,0
2015-11-23,6.55,6.8,6.55,6.6,17200,0
2015-11-20,6.65,7,6.5,6.55,80900,0
2015-11-19,6.4,6.8,6.35,6.65,123100,0
2015-11-18,6.4,6.8,6.4,6.4,254100,0
2015-11-17,6.3,6.5,6.3,6.4,1760000,0
2015-11-16,6.3,6.4,6.25,6.3,139300,0
2015-11-13,6.35,6.45,6.3,6.3,67600,0
2015-11-12,6.45,6.5,6.3,6.35,405900,0
2015-11-11,6.5,6.5,6.4,6.45,299400,0
2015-11-10,6.45,6.9,6.45,6.5,467600,0
2015-11-09,6.5,6.7,6.4,6.45,107000,0
2015-11-06,6.5,6.85,6.45,6.5,1220000,0
2015-11-05,6.55,6.55,6.45,6.5,67400,0
2015-11-04,6.5,6.75,6.5,6.55,130800,0
2015-11-03,6.4,6.7,6.3,6.5,74500,0
2015-11-02,6.3,6.5,6.3,6.4,109700,0
2015-10-30,6.4,6.4,6.3,6.3,111300,0
2015-10-29,6.4,6.55,6.4,6.4,53200,0
2015-10-28,6.3,6.5,6.35,6.4,105500,0
2015-10-27,6.45,6.45,6.25,6.3,146500,0
2015-10-26,6.4,6.9,6.25,6.45,63200,0
2015-10-23,6.4,7,6.25,6.4,104500,0
2015-10-22,6.15,6.5,6.2,6.4,208300,0
2015-10-21,6.5,6.5,6.15,6.15,271800,0
2015-10-19,6.45,6.7,6.45,6.5,189400,0
2015-10-16,6.45,6.5,6.25,6.45,220200,0
2015-10-15,6.5,6.7,6.45,6.45,137900,0
2015-10-14,6.7,6.7,6.1,6.5,125700,0
2015-10-13,6.8,6.9,6.5,6.7,91700,0
2015-10-12,6.9,6.9,6.7,6.8,88700,0
2015-10-09,6.8,7.05,6.85,6.9,246600,0
2015-10-08,6.9,6.9,6.75,6.8,71100,0
2015-10-07,6.95,7.1,6.85,6.9,86800,0
2015-10-05,7.05,7.15,6.9,6.95,123400,0
2015-10-02,7.1,7.2,7,7.05,211800,0
2015-10-01,7.05,7.2,7,7.1,105600,0
2015-09-30,7,7.2,6.9,7.05,163000,0
2015-09-29,7.1,7.2,7,7,191300,0
2015-09-28,6.95,7.2,7,7.1,106300,0
2015-09-25,7,7,6.95,6.95,117100,0
2015-09-24,7,7.1,6.95,7,130700,0
2015-09-23,7,7.1,7,7,187500,0
2015-09-22,7.05,7.1,6.9,7,204100,0
2015-09-21,7.05,7.15,7,7.05,162900,0
2015-09-18,7.1,7.1,7,7.05,243500,0
2015-09-17,7.1,7.4,7,7.1,127000,0
2015-09-16,7.1,7.25,7.1,7.1,175900,0
2015-09-15,7.15,7.2,7.05,7.1,306200,0
2015-09-14,7.15,7.8,7.1,7.15,158800,0
2015-09-11,7.15,7.85,7,7.15,229100,0
2015-09-10,6.9,7.5,7,7.15,71200,0
2015-09-09,6.65,7,6.65,6.9,357100,0
2015-09-08,6.7,7,6.6,6.65,680000,0
2015-09-07,6.75,7,6.65,6.7,231100,0
2015-09-04,6.75,6.8,6.7,6.75,141200,0
2015-09-03,6.8,7,6.65,6.75,80900,0
2015-09-02,6.75,7,6.8,6.8,136400,0
2015-09-01,6.75,6.9,6.7,6.75,158200,0
2015-08-31,6.7,6.8,6.5,6.75,82900,0
2015-08-28,6.6,6.8,6.6,6.7,93400,0
2015-08-27,6.8,6.8,6.5,6.6,141200,0
2015-08-26,6.8,7,6.65,6.8,169900,0
2015-08-25,7.1,7.2,6.65,6.8,313100,0
2015-08-24,7.35,7.5,7.05,7.1,102700,0
2015-08-21,7.55,7.7,7.2,7.35,26700,0
2015-08-20,7.5,7.7,7.45,7.55,132500,0
2015-08-19,7.65,7.75,7.5,7.5,276800,0
2015-08-18,7.75,7.95,7.5,7.65,119700,0
2015-08-17,7.75,7.95,7.7,7.75,110300,0
2015-08-14,7.7,7.85,7.65,7.75,171600,0
2015-08-13,7.75,7.95,7.6,7.7,406000,0
2015-08-12,7.85,7.95,7.75,7.75,143700,0
2015-08-11,7.7,7.95,7.7,7.85,307600,0
2015-08-10,7.65,7.85,7.65,7.7,131700,0
2015-08-07,7.6,7.85,7.5,7.65,401300,0
2015-08-06,7.55,7.9,7.45,7.6,252200,0
2015-08-05,7.6,8.05,7.45,7.55,495000,0
2015-08-04,7.45,8.05,7.5,7.6,246600,0
2015-08-03,7,7.5,7.1,7.45,197600,0
2015-07-31,6.8,7.5,6.9,7,329700,0
2015-07-30,7,7.1,6.8,6.8,1250000,0
2015-07-29,6.6,7.15,6.8,7,353500,0
2015-07-28,6.5,7,6.45,6.6,849800,0
2015-07-27,6.35,6.6,6.4,6.5,873200,0
2015-07-24,6.1,6.4,6.3,6.35,4100,0
2015-07-23,6.3,6.5,6,6.1,347600,0
2015-07-22,6.65,6.75,6,6.3,601400,0
2015-07-21,6.9,7,6.5,6.65,447900,0
2015-07-20,7.05,7.1,6.55,6.9,342800,0
2015-07-17,7.45,7.4,7,7.05,310300,0
2015-07-16,7.35,7.65,7.3,7.45,282600,0
2015-07-15,7.55,7.7,7.3,7.35,265500,0
2015-07-14,7.7,7.8,7.5,7.55,221400,0
2015-07-13,7.9,7.85,7.7,7.7,93800,0
2015-07-09,7.95,8,7.85,7.9,79300,0
2015-07-08,7.95,8.15,7.85,7.95,304100,0
2015-07-07,7.6,8,7.95,7.95,113700,0
2015-07-06,7.6,8,7.5,7.6,187100,0
2015-07-03,7.55,7.9,7.55,7.6,205000,0
2015-07-02,7.85,7.85,7.5,7.55,288400,0
2015-07-01,7.95,8,7.75,7.85,160200,0
2015-06-30,7.9,8,7.85,7.95,224800,0
2015-06-29,7.95,7.95,7.85,7.9,100800,0
2015-06-26,7.95,8,7.9,7.95,246200,0
2015-06-25,7.95,8,7.8,7.95,122500,0
2015-06-24,8,8,7.8,7.95,341900,0
2015-06-23,7.95,8.5,7.95,8,319700,0
2015-06-22,7.95,8.1,7.95,7.95,330000,0
2015-06-19,8,8.1,7.95,7.95,192400,0
2015-06-18,7.95,8.15,7.95,8,667000,0
2015-06-17,8,8.05,7.95,7.95,267300,0
2015-06-16,8,8.15,7.95,8,947200,0
2015-06-15,7.65,8.4,7.7,8,228900,0
2015-06-12,7.5,7.8,7.2,7.65,106600,0
2015-06-11,7.7,7.7,7.5,7.5,902300,0
2015-06-10,7.8,7.85,7.5,7.7,363500,0
2015-06-09,7.85,8,7.7,7.8,121800,0
2015-06-08,8.05,8.2,7.7,7.85,45000,0
2015-06-05,8.1,8.3,7.65,8.05,235800,0
2015-06-04,8.05,8.2,8,8.1,215800,0
2015-06-03,8.1,8.15,7.8,8.05,333700,0
2015-06-02,8.3,8.2,8,8.1,268700,0
2015-05-29,8.35,8.5,8.1,8.3,264000,0
2015-05-28,8.5,8.5,8,8.35,213600,0
2015-05-27,8.55,8.6,8.5,8.5,212600,0
2015-05-26,8.6,8.8,8.5,8.55,443700,0
2015-05-25,8.65,8.75,8.55,8.6,378000,0
2015-05-22,8.55,8.9,8.6,8.65,228600,0
2015-05-21,8.85,8.8,8.25,8.55,207800,0
2015-05-20,8.95,9,8.6,8.85,244900,0
2015-05-19,9,9.3,8.9,8.95,237900,0
2015-05-18,9,9.2,8.6,9,177900,0
2015-05-15,9,9.1,8.9,9,1210000,0
2015-05-14,9.1,9.25,9,9,344600,0
2015-05-13,9.2,9.25,9,9.1,294600,0
2015-05-12,9.25,9.4,9.1,9.2,194700,0
2015-05-11,9.25,9.4,9.25,9.25,375600,0
2015-05-08,9.25,9.9,9.25,9.25,316000,0
2015-05-07,9.25,9.35,9.2,9.25,131500,0
2015-05-06,9.2,9.5,9.2,9.25,248200,0
2015-05-05,9.2,9.5,9.2,9.2,203600,0
2015-05-04,9.2,9.4,9.1,9.2,310200,0
2015-04-30,9.25,9.3,9.1,9.2,236900,0
2015-04-29,9.25,9.4,9.2,9.25,148400,0
2015-04-28,9.25,9.4,9.25,9.25,222700,0
2015-04-27,9.25,9.5,9.25,9.25,251500,0
2015-04-24,9.2,9.7,9.2,9.25,195400,0
2015-04-23,9.2,9.35,9.15,9.2,449800,0
2015-04-22,9.2,10.1,9.2,9.2,255500,0
2015-04-21,9.25,9.3,9.15,9.2,325000,0
2015-04-20,9.15,9.45,9.15,9.25,189300,0
2015-04-17,9,9.4,9,9.15,829900,0
2015-04-16,9.1,9.1,9,9,267900,0
2015-04-15,9.2,9.2,9,9.1,664300,0
2015-04-14,9.35,9.4,9,9.2,203700,0
2015-04-13,9.4,9.45,9.3,9.35,150200,0
2015-04-10,9.4,9.6,9.2,9.4,130400,0
2015-04-09,9.5,9.55,9.1,9.4,122500,0
2015-04-08,9.45,9.7,8.65,9.5,350800,0
2015-04-07,9.75,9.85,9.3,9.45,213600,0
2015-04-02,9.85,9.95,9.7,9.75,258200,0
2015-04-01,9.85,9.95,9.75,9.85,258200,0
2015-03-31,9.85,10,9.65,9.85,298100,0
2015-03-30,9.95,10,9.8,9.85,432700,0
2015-03-27,9.9,10.1,9.9,9.95,234700,0
2015-03-26,9.65,10,9.75,9.9,1250000,0
2015-03-25,9.55,9.8,9.55,9.65,387100,0
2015-03-24,9.25,9.7,9.35,9.55,3240000,0
2015-03-23,8.85,9.7,8.9,9.25,529400,0
2015-03-20,8.9,9,8.55,8.85,436400,0
2015-03-19,9.1,9.25,8.75,8.9,528900,0
2015-03-18,9.35,9.4,8.9,9.1,2930000,0
2015-03-17,9.4,9.4,9.25,9.35,804200,0
2015-03-16,9.4,9.7,9.2,9.4,918400,0
2015-03-13,10.3,10,9,9.4,1850000,0
2015-03-12,10.9,10.95,10,10.3,471100,0
2015-03-11,11.15,11.3,10.05,10.9,576100,0
2015-03-10,11.3,11.3,11,11.15,624500,0
2015-03-09,11.3,11.45,11.05,11.3,1480000,0
2015-03-06,11.35,11.45,11.2,11.3,1140000,0
2015-03-05,11.2,11.5,11.3,11.35,162600,0
2015-03-04,11.2,11.4,11.05,11.2,354900,0
2015-03-03,11.25,11.4,11,11.2,442700,0
2015-03-02,11.2,11.5,11.15,11.25,575100,0
2015-02-27,11.3,11.4,11,11.2,1590000,0
2015-02-26,11.35,11.6,11,11.3,1230000,0
2015-02-25,11.3,11.5,11.3,11.35,850200,0
2015-02-24,11.2,11.4,11.3,11.3,448300,0
2015-02-23,11.1,11.4,11.1,11.2,400800,0
2015-02-20,11.35,11.5,11.05,11.1,569200,0
2015-02-19,11.55,11.75,11.1,11.35,754100,0
2015-02-18,11.25,11.9,11.3,11.55,689400,0
2015-02-17,11.2,11.5,11.2,11.25,331700,0
2015-02-16,11.05,11.3,11.1,11.2,593000,0
2015-02-13,11,11.95,11,11.05,442400,0
2015-02-12,11,11.15,11,11,412200,0
2015-02-11,10.95,11.2,10.95,11,2160000,0
2015-02-10,10.95,11.05,10.95,10.95,997700,0
2015-02-09,10.95,11.2,10.95,10.95,2160000,0
2015-02-06,10.9,11.05,10.9,10.95,1330000,0
2015-02-05,10.9,11.2,10.7,10.9,2680000,0
2015-02-04,10.45,11.1,10.5,10.9,1880000,0
2015-02-03,10,10.6,10,10.45,630500,0
2015-02-02,9.95,10.25,9.95,10,458900,0
2015-01-30,9.95,10.1,9.85,9.95,352700,0
2015-01-29,9.95,10.35,9.9,9.95,384100,0
2015-01-28,9.9,10.1,9.9,9.95,719300,0
2015-01-27,9.95,10,9.75,9.9,245600,0
2015-01-26,9.9,10,9.8,9.95,716600,0
2015-01-23,9.95,9.95,9.8,9.9,211800,0
2015-01-22,9.9,10,9.9,9.95,472100,0
2015-01-21,9.9,10,9.55,9.9,788900,0
2015-01-20,9.9,10,9.9,9.9,499500,0
2015-01-19,9.9,10,9.9,9.9,429500,0
2015-01-16,9.65,10,9.8,9.9,510300,0
2015-01-15,9.45,10,9.45,9.65,418000,0
2015-01-14,9.45,9.9,9.3,9.45,765000,0
2015-01-13,9.5,9.5,9.35,9.45,722000,0
2015-01-12,9.65,9.65,9.35,9.5,450800,0
2015-01-09,9.75,9.85,9.5,9.65,870200,0
2015-01-08,9.85,9.85,9.65,9.75,357500,0
2015-01-07,9.85,10,9.7,9.85,540200,0
2015-01-06,10.05,10.15,9.6,9.85,282600,0
2015-01-05,10,10.2,9.8,10.05,684600,0
2015-01-02,9.6,10.4,9.7,10,389900,0
2014-12-31,9.45,9.8,9.4,9.6,669800,0
2014-12-30,9.3,9.7,9.2,9.45,519100,0
2014-12-29,9.05,9.8,9.1,9.3,410800,0
2014-12-24,9,9.75,9,9.05,1000000,0
2014-12-23,9.1,9.2,8.85,9,782000,0
2014-12-22,9.15,9.3,9,9.1,1910000,0
2014-12-19,9.45,9.4,9.1,9.15,504900,0
2014-12-18,9.45,9.9,9.25,9.45,352400,0
2014-12-17,9.25,9.75,9,9.45,830200,0
2014-12-16,9,9.6,9,9.25,1060000,0
2014-12-15,9.15,9.3,9,9,407200,0
2014-12-11,9.25,9.35,9,9.15,559700,0
2014-12-10,9.35,9.4,9.2,9.25,184400,0
2014-12-09,9.4,9.45,9.2,9.35,542500,0
2014-12-08,9.6,9.6,9.25,9.4,834500,0
2014-12-05,9.65,9.8,9.45,9.6,150800,0
2014-12-04,9.7,9.8,9.5,9.65,599100,0
2014-12-03,9.75,9.8,9.65,9.7,812100,0
2014-12-02,9.8,10,9.7,9.75,444200,0
2014-12-01,9.7,9.95,9.7,9.8,1040000,0
2014-11-28,9.8,9.9,9.6,9.7,411800,0
2014-11-27,9.85,10,9.7,9.8,315200,0
2014-11-26,9.9,10,9.8,9.85,382000,0
