Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,17.7,18.05,18,18,32200,0
2015-12-30,17.2,18.05,17,17.7,129700,0
2015-12-29,17.85,17.9,16.5,17.2,42000,0
2015-12-28,17.55,18,17.7,17.85,93700,0
2015-12-24,17.65,17.8,17,17.55,79100,0
2015-12-23,17.7,18,17.5,17.65,850300,0
2015-12-22,17.9,18,17.1,17.7,195800,0
2015-12-21,17.95,18.05,17.8,17.9,147700,0
2015-12-18,18.05,18.05,17.9,17.95,56500,0
2015-12-17,18,18.2,18,18.05,1560000,0
2015-12-16,18,18.15,18,18,723600,0
2015-12-15,18,18.1,18,18,487200,0
2015-12-14,18.15,18.15,18,18,105100,0
2015-12-11,18.1,18.25,18.1,18.15,3100000,0
2015-12-10,18.05,18.5,17.8,18.1,206900,0
2015-12-09,18.05,18.5,18,18.05,130900,0
2015-12-08,18.05,18.5,18,18.05,93800,0
2015-12-07,18.15,18.3,18,18.05,63500,0
2015-12-04,18.3,18.25,18.1,18.15,751000,0
2015-12-03,18.05,18.5,18.15,18.3,843500,0
2015-12-02,17.95,18.5,18,18.05,404700,0
2015-12-01,18,18.15,17.8,17.95,145500,0
2015-11-30,18.15,18.5,18,18,2160000,0
2015-11-27,18.05,18.35,18,18.15,201500,0
2015-11-25,18.1,18.2,18,18.05,336000,0
2015-11-24,18.25,18.3,17.8,18.1,633700,0
2015-11-23,18.2,19,18,18.25,338300,0
2015-11-20,18.1,18.3,18.1,18.2,118700,0
2015-11-19,18.05,18.2,18.1,18.1,915600,0
2015-11-18,18,18.2,18,18.05,3890000,0
2015-11-17,17.95,18.2,18,18,197700,0
2015-11-16,18,18.2,17.85,17.95,1940000,0
2015-11-13,17.55,18.3,18,18,65400,0
2015-11-12,17.4,18,17.45,17.55,493200,0
2015-11-11,17.3,17.65,17.3,17.4,1780000,0
2015-11-10,17.2,17.7,17.25,17.3,2510000,0
2015-11-09,17.1,18,17.15,17.2,1630000,0
2015-11-06,17,18,17,17.1,2100000,0
2015-11-05,16.95,17.1,17,17,570100,0
2015-11-04,16.9,17.05,16.8,16.95,544200,0
2015-11-03,16.9,17.1,16.8,16.9,272400,0
2015-11-02,16.9,17.05,16.75,16.9,173100,0
2015-10-30,16.95,17,16.75,16.9,729400,0
2015-10-29,16.95,17.05,16.85,16.95,2130000,0
2015-10-28,16.8,17.1,16.75,16.95,3060000,0
2015-10-27,16.85,17,16.75,16.8,265300,0
2015-10-26,17,17,16.7,16.85,59900,0
2015-10-23,17.15,17.6,17,17,694700,0
2015-10-22,17.15,17.4,17,17.15,1270000,0
2015-10-21,17,17.4,17,17.15,1170000,0
2015-10-19,16.6,17.4,16.6,17,1810000,0
2015-10-16,16.45,17,16.3,16.6,1880000,0
2015-10-15,16,17,16.05,16.45,379000,0
2015-10-14,16.65,16.45,15.85,16,540100,0
2015-10-13,17.1,17,16,16.65,2460000,0
2015-10-12,17.4,17.4,17,17.1,447100,0
2015-10-09,17.55,17.55,17,17.4,570900,0
2015-10-08,18.05,17.9,17.3,17.55,332600,0
2015-10-07,17.95,18.3,17.6,18.05,362300,0
2015-10-05,18.05,18,17.5,17.95,1340000,0
2015-10-02,18.15,18.2,17.9,18.05,842500,0
2015-10-01,18.2,18.3,18,18.15,1070000,0
2015-09-30,18.3,18.3,18.1,18.2,82800,0
2015-09-29,18.45,18.45,18,18.3,700200,0
2015-09-28,18.4,19.3,18.4,18.45,576400,0
2015-09-25,18.35,18.5,18.3,18.4,256700,0
2015-09-24,18.3,18.5,18.3,18.35,319500,0
2015-09-23,18.5,18.4,18.3,18.3,68200,0
2015-09-22,18.55,18.75,18.35,18.5,196000,0
2015-09-21,18.6,18.75,18.5,18.55,691200,0
2015-09-18,18.5,18.9,18.55,18.6,133200,0
2015-09-17,18.4,18.9,18.4,18.5,242500,0
2015-09-16,18.25,19.5,18.25,18.4,209000,0
2015-09-15,18.2,18.5,18.2,18.25,262900,0
2015-09-14,18.15,18.5,18.1,18.2,548500,0
2015-09-11,18.1,18.5,18.15,18.15,1080000,0
2015-09-10,18.05,18.3,18.05,18.1,345200,0
2015-09-09,18.15,18.6,18.05,18.05,687500,0
2015-09-08,18,18.5,18,18.15,856900,0
2015-09-07,18,18.4,17.95,18,256100,0
2015-09-04,18,18.5,17.95,18,483800,0
2015-09-03,17.95,18.5,17.95,18,239900,0
2015-09-02,18,18,17.7,17.95,3100000,0
2015-09-01,18.25,18.3,17.3,18,195200,0
2015-08-31,17.7,18.35,17.85,18.25,349900,0
2015-08-28,17.75,18,17.5,17.7,1860000,0
2015-08-27,18.1,18.2,17.05,17.75,129000,0
2015-08-26,18.2,18.4,17.6,18.1,1640000,0
2015-08-25,19.05,19.55,18,18.2,216800,0
2015-08-24,19.55,19.5,19,19.05,56100,0
2015-08-21,19.6,19.7,19,19.55,2300000,0
2015-08-20,19.55,19.7,19.5,19.6,291100,0
2015-08-19,19.55,19.8,19.55,19.55,100300,0
2015-08-18,19.55,19.6,19.5,19.55,839900,0
2015-08-17,19.5,19.8,19.5,19.55,568700,0
2015-08-14,19.7,19.8,19.4,19.5,3330000,0
2015-08-13,19.6,20,19.5,19.7,614300,0
2015-08-12,19.5,20,19.05,19.6,170700,0
2015-08-11,19.9,20,18.5,19.5,532600,0
2015-08-10,19.8,20.5,19.5,19.9,579700,0
2015-08-07,19.6,20.25,19,19.8,1400000,0
2015-08-06,19.65,20.25,19,19.6,405400,0
2015-08-05,20.25,20.25,19.5,19.65,1070000,0
2015-08-04,20,20.5,19,20.25,458800,0
2015-08-03,19.75,20.5,19.55,20,151500,0
2015-07-31,20.25,20.25,19.2,19.75,64800,0
2015-07-30,20.5,20.5,20,20.25,63100,0
2015-07-29,20.5,20.75,20.5,20.5,1960000,0
2015-07-28,20.5,20.75,20.5,20.5,293600,0
2015-07-27,20.5,20.75,20.5,20.5,3110000,0
2015-07-24,20.75,21,20.5,20.5,163900,0
2015-07-23,20.75,21,20.5,20.75,4280000,0
2015-07-22,20.75,21.25,20.75,20.75,1120000,0
2015-07-21,21,21.25,20.75,20.75,2350000,0
2015-07-20,21,21.25,21,21,206800,0
2015-07-17,21,21.5,21,21,876700,0
2015-07-16,21,21.25,20.75,21,2700000,0
2015-07-15,21,21.25,21,21,275700,0
2015-07-14,21,21.5,21,21,600600,0
2015-07-13,21.25,21.25,21,21,231200,0
2015-07-09,21.25,21.75,21,21.25,105300,0
2015-07-08,21,21.5,21,21.25,365100,0
2015-07-07,21,21.5,21,21,2320000,0
2015-07-06,20.75,21.5,21,21,151900,0
2015-07-03,21.25,21.5,19.15,20.75,346900,0
2015-07-02,21.5,21.75,21.25,21.25,220600,0
2015-07-01,21.75,21.75,21.25,21.5,445500,0
2015-06-30,21.75,22,21.25,21.75,4210000,0
2015-06-29,21.5,22.25,21.75,21.75,290100,0
2015-06-26,21.75,22,21.5,21.5,323700,0
2015-06-25,21.75,22,21.5,21.75,1130000,0
2015-06-24,21.75,22,21.5,21.75,1860000,0
2015-06-23,21.75,22.25,21.5,21.75,3750000,0
2015-06-22,21.5,22.25,21.5,21.75,532600,0
2015-06-19,21.75,22.25,21.5,21.5,97800,0
2015-06-18,21.75,22.25,21.75,21.75,3300000,0
2015-06-17,21.5,22.25,21.5,21.75,769900,0
2015-06-16,21.5,22,21.5,21.5,318000,0
2015-06-15,21.75,22,21.5,21.5,154900,0
2015-06-12,21.75,22,21.75,21.75,244600,0
2015-06-11,21.75,22.25,21.5,21.75,1260000,0
2015-06-10,21.5,22.25,21.75,21.75,1660000,0
2015-06-09,21.5,22,21.5,21.5,591000,0
2015-06-08,21.75,22,21.5,21.5,224500,0
2015-06-05,21.5,22,21.5,21.75,1180000,0
2015-06-04,21.5,22,21.5,21.5,399500,0
2015-06-03,21.75,22,21.5,21.5,789800,0
2015-06-02,22,22.5,21.75,21.75,1210000,0
2015-05-29,22,22.25,22,22,2550000,0
2015-05-28,22,22.5,22,22,731400,0
2015-05-27,22,22.5,22,22,2420000,0
2015-05-26,22,22.25,22,22,916100,0
2015-05-25,22,22.25,22,22,1020000,0
2015-05-22,22,22.25,22,22,719600,0
2015-05-21,22,22.25,22,22,1210000,0
2015-05-20,22,22.5,22,22,780700,0
2015-05-19,22,22.5,22,22,521600,0
2015-05-18,22,22.75,22,22,899400,0
2015-05-15,22.75,22.5,22,22,840900,0
2015-05-14,22,23,22,22.75,14540000,0
2015-05-13,22,22.5,21.75,22,393000,0
2015-05-12,21.75,22.5,22,22,295800,0
2015-05-11,21.5,22.25,21.25,21.75,2440000,0
