Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,26.75,26.75,26.75,26.75,0,0
2015-12-30,26.75,26.75,26.75,26.75,0,0
2015-12-29,26,26.75,26.75,26.75,1900,0
2015-12-28,24.5,26.75,24.5,26,400,0
2015-12-24,24.5,24.5,24.5,24.5,0,0
2015-12-23,24.5,24.5,24.5,24.5,1000,0
2015-12-22,22.5,24.75,24.5,24.5,1600,0
2015-12-21,21.25,22.5,22.5,22.5,2000,0
2015-12-18,21,21.25,21.25,21.25,1000,0
2015-12-17,22.5,21,21,21,400,0
2015-12-16,20.5,22.5,22.5,22.5,14700,0
2015-12-15,20,21,20,20.5,18700,0
2015-12-14,20,20,20,20,0,0
2015-12-11,18.5,20.25,20,20,75200,0
2015-12-10,18.15,18.5,18.5,18.5,1600,0
2015-12-09,18.15,18.15,18.15,18.15,0,0
2015-12-08,20,21,18.1,18.15,310600,0
2015-12-07,22,21,20,20,60600,0
2015-12-04,22,22,22,22,0,0
2015-12-03,22.5,23,20.5,22,96500,0
2015-12-02,25,22.5,22.5,22.5,200,0
2015-12-01,25,25,25,25,1000,0
2015-11-30,25,25,25,25,1300,0
2015-11-27,25,25,25,25,1400,0
2015-11-25,25,25,25,25,500,0
2015-11-24,25,25,25,25,1000,0
2015-11-23,25,25,25,25,2300,0
2015-11-20,23.5,25,25,25,1100,0
2015-11-19,25,23.5,23.5,23.5,6600,0
2015-11-18,25,25,25,25,1600,0
2015-11-17,25,25.5,25,25,1100,0
2015-11-16,25,27.5,25,25,21900,0
2015-11-13,25,25,25,25,4900,0
2015-11-12,25,25,25,25,0,0
2015-11-11,27,25.75,25,25,60100,0
2015-11-10,27,27,27,27,0,0
2015-11-09,25.75,27,27,27,200,0
2015-11-06,25.75,25.75,25.75,25.75,0,0
2015-11-05,25.5,26,25.5,25.75,10300,0
2015-11-04,25.5,25.5,25.5,25.5,0,0
2015-11-03,25.5,25.5,25.5,25.5,0,0
2015-11-02,25.5,25.75,25,25.5,300,0
2015-10-30,25.75,26,25,25.5,200,0
2015-10-29,26,25.75,25.75,25.75,100,0
2015-10-28,26,26,26,26,0,0
2015-10-27,25.75,26,26,26,32000,0
2015-10-26,25.5,25.75,25.75,25.75,400,0
2015-10-23,25.5,25.5,25.5,25.5,0,0
2015-10-22,25.5,25.5,25.5,25.5,0,0
2015-10-21,25.5,25.5,25.5,25.5,0,0
2015-10-19,26,26,25,25.5,200,0
2015-10-16,26,26,26,26,0,0
2015-10-15,26,26,26,26,3300,0
2015-10-14,27.5,27,26,26,900,0
2015-10-13,27.75,28,27,27.5,700,0
2015-10-12,27.75,27.75,27.75,27.75,0,0
2015-10-09,28,28,26,27.75,1000,0
2015-10-08,28,28,28,28,1700,0
2015-10-07,28,28,28,28,0,0
2015-10-05,28,28,28,28,1000,0
2015-10-02,30,28,28,28,4900,0
2015-10-01,29.5,30,30,30,30000,0
2015-09-30,30,30,29.5,29.5,1200,0
2015-09-29,30,30,30,30,13600,0
2015-09-28,30,30,30,30,1000,0
2015-09-25,30,30,30,30,1000,0
2015-09-24,30,30,30,30,3000,0
2015-09-23,29.75,30,30,30,500,0
2015-09-22,30,30,28,29.75,2400,0
2015-09-21,30,30,30,30,300,0
2015-09-18,30,30,30,30,2700,0
2015-09-17,30,30,30,30,2000,0
2015-09-16,30,30,30,30,400,0
2015-09-15,30,30,30,30,400,0
2015-09-14,29.75,30,30,30,1400,0
2015-09-11,30,30,27,29.75,6600,0
2015-09-10,30,30,30,30,0,0
2015-09-09,30,31,30,30,2300,0
2015-09-08,30,30,30,30,100,0
2015-09-07,30,30,30,30,0,0
2015-09-04,30,30,30,30,1000,0
2015-09-03,31.5,30,30,30,2000,0
2015-09-02,31.5,31.5,31.5,31.5,0,0
2015-09-01,30,31.5,31.5,31.5,1000,0
2015-08-31,30,30,30,30,0,0
2015-08-28,31.5,31,30,30,6200,0
2015-08-27,31.5,31.75,31.5,31.5,1100,0
2015-08-26,31.75,31.5,31.5,31.5,2200,0
2015-08-25,32.75,33,31.75,31.75,9400,0
2015-08-24,32.5,32.75,32.75,32.75,1800,0
2015-08-21,33,32.75,32,32.5,600,0
2015-08-20,33,33,33,33,600,0
2015-08-19,31.75,33,33,33,1000,0
2015-08-18,33,33,31.5,31.75,10600,0
2015-08-17,33,33,33,33,0,0
2015-08-14,32.5,33,33,33,3600,0
2015-08-13,29.75,32.5,32.5,32.5,9900,0
2015-08-12,29.75,29.75,29.75,29.75,0,0
2015-08-11,32.75,32.75,29.5,29.75,5200,0
2015-08-10,32.75,32.75,32.75,32.75,100,0
2015-08-07,32.75,32.75,32.75,32.75,0,0
2015-08-06,32.75,32.75,32.75,32.75,0,0
2015-08-05,32.5,33,32,32.75,3900,0
2015-08-04,33,32.5,32.5,32.5,1600,0
2015-08-03,34.5,33,33,33,200,0
2015-07-31,35,35,33,34.5,6700,0
2015-07-30,35,35,35,35,1200,0
2015-07-29,35,35,35,35,5500,0
2015-07-28,35,35,35,35,0,0
2015-07-27,35,35,35,35,5100,0
2015-07-24,37,35,35,35,1000,0
2015-07-23,37,37.5,37,37,13200,0
2015-07-22,37.25,38,36,37,28500,0
2015-07-21,35,38.5,35.5,37.25,13100,0
2015-07-20,35.5,35,35,35,1100,0
2015-07-17,36,35.5,35.5,35.5,1000,0
2015-07-16,35.5,36.5,35,36,2200,0
2015-07-15,35.5,35.5,35.5,35.5,2500,0
2015-07-14,36,36,35,35.5,1700,0
2015-07-13,35.25,36,36,36,100,0
2015-07-09,37.5,37,35,35.25,1100,0
2015-07-08,37.5,38,37.5,37.5,3400,0
2015-07-07,38,38,36,37.5,3600,0
2015-07-06,37,38,38,38,400,0
2015-07-03,37.25,37,37,37,400,0
2015-07-02,37,38,37,37.25,300,0
2015-07-01,38.25,37,37,37,2000,0
2015-06-30,38.5,38.5,38,38.25,1500,0
2015-06-29,35,38.5,38.5,38.5,2200,0
2015-06-26,33.5,35,35,35,1900,0
2015-06-25,33.5,36,33.5,33.5,8100,0
2015-06-24,33,36,33,33.5,12300,0
2015-06-23,33,33,33,33,4200,0
2015-06-22,33,33,33,33,0,0
2015-06-19,33,36,33,33,8800,0
2015-06-18,33,36,33,33,2200,0
2015-06-17,33,33,33,33,28100,0
2015-06-16,33,33,33,33,0,0
2015-06-15,33,33,33,33,0,0
2015-06-12,33,34,33,33,1800,0
2015-06-11,33,33,33,33,0,0
2015-06-10,30,33,33,33,600,0
2015-06-09,30,30,30,30,0,0
2015-06-08,30,30.25,30,30,1300,0
2015-06-05,30.25,30,30,30,1000,0
2015-06-04,30,33,30,30.25,1100,0
2015-06-03,32,32,30,30,2100,0
2015-06-02,32,32,32,32,100,0
2015-05-29,32,32,32,32,6600,0
2015-05-28,32,32,32,32,0,0
2015-05-27,32,32,32,32,500,0
2015-05-26,32.5,32.5,32,32,500,0
2015-05-25,32.5,32.5,32.5,32.5,0,0
2015-05-22,33,32.5,32.5,32.5,2000,0
2015-05-21,33,33,33,33,0,0
2015-05-20,33,33,33,33,0,0
2015-05-19,33,33,33,33,0,0
2015-05-18,32.75,33,33,33,3400,0
2015-05-15,33,33,32.5,32.75,1000,0
2015-05-14,33,33,33,33,800,0
2015-05-13,33,33,33,33,2000,0
2015-05-12,33,33,33,33,1100,0
2015-05-11,36,33,33,33,1800,0
2015-05-08,36,36,36,36,300,0
2015-05-07,36,36,36,36,0,0
2015-05-06,34,36,36,36,200,0
2015-05-05,33.5,34,34,34,2000,0
2015-05-04,33,33.5,33.5,33.5,5800,0
2015-04-30,35,36,33,33,2700,0
2015-04-29,33.25,35.75,33,35,800,0
2015-04-28,33.25,33.25,33.25,33.25,0,0
2015-04-27,35,33.25,33.25,33.25,2000,0
2015-04-24,35,35,35,35,0,0
2015-04-23,35,35,35,35,100,0
2015-04-22,35,35,35,35,0,0
2015-04-21,36,36,34.5,35,3400,0
2015-04-20,37.5,36,36,36,2800,0
2015-04-17,35.75,37.75,36.5,37.5,8600,0
2015-04-16,35.75,35.75,35.75,35.75,0,0
2015-04-15,34.75,36,35,35.75,6900,0
2015-04-14,34.75,34.75,34.75,34.75,0,0
2015-04-13,34.75,34.75,34.75,34.75,0,0
2015-04-10,34.75,34.75,34.75,34.75,0,0
2015-04-09,34.5,36,33.5,34.75,3500,0
2015-04-08,33.75,36,34,34.5,3000,0
2015-04-07,33.75,33.75,33.75,33.75,0,0
2015-04-02,32.25,35.25,33.5,33.75,2500,0
2015-04-01,32.25,32.25,32.25,32.25,0,0
2015-03-31,32.75,33,32.25,32.25,54600,0
2015-03-30,35.75,39.25,32.25,32.75,68800,0
2015-03-27,37,39.75,35,35.75,15400,0
2015-03-26,37,37,37,37,1500,0
2015-03-25,38,39.75,36,37,28400,0
2015-03-24,37,40,37,38,27500,0
2015-03-23,35,37,37,37,1000,0
2015-03-20,37.5,37,35,35,138500,0
2015-03-19,37,38,37,37.5,36000,0
2015-03-18,37,37,37,37,0,0
2015-03-17,37.25,37.25,37,37,8000,0
2015-03-16,37.25,38,37.25,37.25,3000,0
2015-03-13,37.75,37.25,37.25,37.25,400,0
2015-03-12,38,38,37.25,37.75,1400,0
2015-03-11,37.75,38,38,38,3800,0
2015-03-10,37.25,38,37.25,37.75,2900,0
2015-03-09,37.5,38,37.25,37.25,6400,0
2015-03-06,38.5,38,37.5,37.5,12000,0
2015-03-05,38,38.5,38.5,38.5,1000,0
2015-03-04,39,38,38,38,1000,0
2015-03-03,39.25,39,39,39,2400,0
2015-03-02,41.25,41.25,39,39.25,1900,0
2015-02-27,39.5,41.75,39,41.25,27600,0
2015-02-26,39.25,41,39,39.5,600,0
2015-02-25,40,39.5,39,39.25,4700,0
2015-02-24,41.25,40,40,40,5400,0
2015-02-23,38.25,41.75,41.25,41.25,5500,0
2015-02-20,39.5,39.5,37.25,38.25,45100,0
2015-02-19,39.5,42.75,39.5,39.5,7900,0
2015-02-18,41.75,40,39.5,39.5,11500,0
2015-02-17,39.5,41.75,41.75,41.75,200,0
2015-02-16,40,39.5,39.5,39.5,22300,0
2015-02-13,40,40,40,40,100,0
2015-02-12,39,40,40,40,800,0
2015-02-11,40,40,39,39,6000,0
2015-02-10,39.75,40,40,40,5200,0
2015-02-09,39.75,40,39.75,39.75,14600,0
2015-02-06,43.25,42,39,39.75,134700,0
2015-02-05,44,43.75,42,43.25,2000,0
2015-02-04,42,44,44,44,2000,0
2015-02-03,40.5,43,40,42,56600,0
2015-02-02,41.25,40.5,40.5,40.5,2400,0
2015-01-30,41.75,42,41,41.25,300,0
2015-01-29,40.5,41.75,41.75,41.75,10000,0
2015-01-28,37,40.5,40.5,40.5,100,0
2015-01-27,39.5,42,37,37,231100,0
2015-01-26,38,40,39,39.5,200,0
2015-01-23,42,38,38,38,100,0
2015-01-22,40,42,42,42,7500,0
2015-01-21,39,40,40,40,100,0
2015-01-20,39,39,39,39,0,0
2015-01-19,42,42,38,39,2000,0
2015-01-16,41.25,42,42,42,500,0
2015-01-15,39,41.5,41,41.25,19600,0
2015-01-14,38,41.5,38,39,3300,0
2015-01-13,39.75,39,38,38,3300,0
2015-01-12,37.75,40,38,39.75,5900,0
2015-01-09,37.75,37.75,37.75,37.75,0,0
2015-01-08,41.75,39,37.75,37.75,22000,0
2015-01-07,39.75,42,41,41.75,12000,0
2015-01-06,38.75,41,39,39.75,500,0
2015-01-05,42,41,38,38.75,1700,0
2015-01-02,42,42,42,42,0,0
2014-12-31,42,42,42,42,100,0
2014-12-30,42,42,42,42,100,0
2014-12-29,44,42,42,42,100,0
2014-12-24,42.75,44,44,44,100,0
2014-12-23,41.75,44,41.5,42.75,1000,0
2014-12-22,42,42,41.75,41.75,17800,0
2014-12-19,43.75,42,42,42,1000,0
2014-12-18,43,43.75,43.75,43.75,17300,0
2014-12-17,44,44,43,43,25300,0
2014-12-16,40,44,44,44,100,0
2014-12-15,37,40,40,40,100,0
