Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,2.7,2.7,2.7,2.7,0,0
2015-12-30,2.85,2.8,2.65,2.7,14400,0
2015-12-29,2.95,2.95,2.75,2.85,1100,0
2015-12-28,2.85,3,2.65,2.95,15100,0
2015-12-24,2.8,3,2.65,2.85,3000,0
2015-12-23,2.6,2.8,2.8,2.8,5300,0
2015-12-22,2.6,2.8,2.6,2.6,3200,0
2015-12-21,2.6,2.7,2.35,2.6,17100,0
2015-12-18,2.6,2.65,2.6,2.6,5200,0
2015-12-17,2.6,2.65,2.6,2.6,1200,0
2015-12-16,2.55,2.6,2.6,2.6,2900,0
2015-12-15,2.6,2.7,2.55,2.55,6800,0
2015-12-14,2.7,2.75,2.6,2.6,8800,0
2015-12-11,2.65,2.8,2.7,2.7,1700,0
2015-12-10,2.7,2.65,2.65,2.65,4300,0
2015-12-09,2.65,2.8,2.65,2.7,1500,0
2015-12-08,2.65,2.65,2.65,2.65,600,0
2015-12-07,2.75,2.8,2.65,2.65,18400,0
2015-12-04,2.8,2.8,2.7,2.75,1200,0
2015-12-03,2.95,2.95,2.7,2.8,11400,0
2015-12-02,2.95,3,2.9,2.95,1100,0
2015-12-01,2.9,3,2.9,2.95,3300,0
2015-11-30,2.75,3,2.9,2.9,2900,0
2015-11-27,2.85,2.9,2.7,2.75,5700,0
2015-11-25,2.8,2.9,2.8,2.85,2700,0
2015-11-24,2.8,2.9,2.8,2.8,31700,0
2015-11-23,2.85,2.85,2.8,2.8,19000,0
2015-11-20,2.85,2.9,2.85,2.85,5000,0
2015-11-19,3,2.9,2.85,2.85,1400,0
2015-11-18,2.95,3,3,3,1100,0
2015-11-17,3,3,2.9,2.95,15000,0
2015-11-16,3,3.1,2.95,3,8400,0
2015-11-13,3,3.1,2.9,3,9100,0
2015-11-12,3,3.15,3,3,22300,0
2015-11-11,2.95,3,3,3,2000,0
2015-11-10,2.9,3,2.9,2.95,42700,0
2015-11-09,2.95,3,2.9,2.9,6100,0
2015-11-06,2.95,3.05,2.95,2.95,6800,0
2015-11-05,2.95,3,2.95,2.95,2700,0
2015-11-04,2.75,3,2.8,2.95,23600,0
2015-11-03,2.55,2.8,2.6,2.75,16300,0
2015-11-02,2.65,2.8,2.55,2.55,11000,0
2015-10-30,2.5,2.75,2.5,2.65,10100,0
2015-10-29,2.7,2.6,2.5,2.5,19300,0
2015-10-28,2.9,2.8,2.65,2.7,3500,0
2015-10-27,2.75,2.95,2.5,2.9,7800,0
2015-10-26,2.85,2.95,2.6,2.75,8700,0
2015-10-23,2.8,2.9,2.7,2.85,28400,0
2015-10-22,3.05,3,2.75,2.8,24000,0
2015-10-21,2.9,3.2,3,3.05,3200,0
2015-10-19,2.95,3,2.85,2.9,20600,0
2015-10-16,2.95,3,2.95,2.95,17200,0
2015-10-15,2.95,3,2.9,2.95,60200,0
2015-10-14,3,3,2.95,2.95,114000,0
2015-10-13,2.95,3.05,3,3,5800,0
2015-10-12,3,3.05,2.95,2.95,23500,0
2015-10-09,3,3.05,3,3,700,0
2015-10-08,3,3.05,3,3,1200,0
2015-10-07,2.95,3.3,2.9,3,11900,0
2015-10-05,2.95,3.1,2.9,2.95,2000,0
2015-10-02,3,3,2.9,2.95,4300,0
2015-10-01,3.05,3.1,3,3,5300,0
2015-09-30,3.05,3.05,3.05,3.05,5100,0
2015-09-29,3.1,3.1,3,3.05,5700,0
2015-09-28,2.95,3.2,2.9,3.1,13300,0
2015-09-25,3,3,2.9,2.95,22600,0
2015-09-24,3,3,3,3,3700,0
2015-09-23,3.05,3.2,3,3,7100,0
2015-09-22,3,3.05,3.05,3.05,1200,0
2015-09-21,3.1,3.25,3,3,3000,0
2015-09-18,3.05,3.2,3,3.1,49200,0
2015-09-17,3,3.1,3,3.05,5600,0
2015-09-16,3,3,3,3,6500,0
2015-09-15,3,3.05,2.95,3,14800,0
2015-09-14,3,3.05,3,3,11300,0
2015-09-11,3.05,3.05,3,3,28900,0
2015-09-10,3.05,3.15,3,3.05,10100,0
2015-09-09,2.95,3.1,3,3.05,2800,0
2015-09-08,2.8,3,2.85,2.95,9100,0
2015-09-07,3.05,3.2,2.75,2.8,126300,0
2015-09-04,2.85,3.1,3,3.05,5800,0
2015-09-03,2.95,3,2.8,2.85,2200,0
2015-09-02,3.2,3.1,2.9,2.95,6000,0
2015-09-01,3.3,3.2,3.2,3.2,7000,0
2015-08-31,3.3,3.4,3.2,3.3,1200,0
2015-08-28,3.4,3.35,3.25,3.3,1300,0
2015-08-27,3.4,3.45,3.4,3.4,4400,0
2015-08-26,3.4,3.45,3.4,3.4,32500,0
2015-08-25,3.4,3.5,3.4,3.4,7200,0
2015-08-24,3.45,3.55,3.4,3.4,6800,0
2015-08-21,3.55,3.55,3.4,3.45,16400,0
2015-08-20,3.65,3.7,3.55,3.55,2900,0
2015-08-19,3.65,3.75,3.55,3.65,8000,0
2015-08-18,3.65,3.75,3.55,3.65,25100,0
2015-08-17,3.55,3.75,3.6,3.65,7400,0
2015-08-14,3.35,3.65,3.35,3.55,33100,0
2015-08-13,3.6,3.8,3.3,3.35,69600,0
2015-08-12,3.8,3.85,3.55,3.6,104900,0
2015-08-11,4.05,3.9,3.65,3.8,8500,0
2015-08-10,3.9,4.15,3.7,4.05,19000,0
2015-08-07,3.6,3.95,3.55,3.9,13300,0
2015-08-06,3.7,3.9,3.5,3.6,69400,0
2015-08-05,3.75,3.8,3.7,3.7,5800,0
2015-08-04,3.8,3.95,3.75,3.75,2800,0
2015-08-03,3.9,3.9,3.75,3.8,5300,0
2015-07-31,3.85,4,3.8,3.9,7400,0
2015-07-30,3.8,4,3.75,3.85,4100,0
2015-07-29,3.7,4,3.75,3.8,1700,0
2015-07-28,4.05,4,3.65,3.7,16900,0
2015-07-27,3.9,4.25,3.6,4.05,22100,0
2015-07-24,4,4,3.8,3.9,1200,0
2015-07-23,3.95,4.3,3.75,4,56900,0
2015-07-22,4,4,3.9,3.95,3800,0
2015-07-21,4.35,4.1,4,4,19400,0
2015-07-20,4.1,4.4,4,4.35,77500,0
2015-07-17,4.1,4.4,4,4.1,42000,0
2015-07-16,4,4.25,4,4.1,7200,0
2015-07-15,4,4.2,3.8,4,30600,0
2015-07-14,4,4.1,4,4,114900,0
2015-07-13,4.05,4.1,4,4,40700,0
2015-07-09,4.1,4.35,4,4.05,3400,0
2015-07-08,4.05,4.2,3.9,4.1,12200,0
2015-07-07,4.15,4.15,4,4.05,2400,0
2015-07-06,4.15,4.2,3.9,4.15,3500,0
2015-07-03,4.35,4.2,4.15,4.15,3100,0
2015-07-02,4.15,4.55,4,4.35,143600,0
2015-07-01,4.05,4.2,4.1,4.15,142300,0
2015-06-30,4.1,4.1,4.05,4.05,158400,0
2015-06-29,4.1,4.25,4.05,4.1,5000,0
