Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,22.25,22.25,22.00,22.00,2500.00,0.00
2015-12-30,21.00,22.50,21.75,22.25,30300.00,0.00
2015-12-29,21.75,22.50,21.00,21.00,11600.00,0.00
2015-12-28,21.00,22.25,21.00,21.75,59500.00,0.00
2015-12-24,20.75,22.00,20.25,21.00,63500.00,0.00
2015-12-23,20.75,21.00,20.50,20.75,53400.00,0.00
2015-12-22,20.75,21.00,20.00,20.75,35200.00,0.00
2015-12-21,20.75,21.00,20.50,20.75,11700.00,0.00
2015-12-18,20.50,21.00,20.50,20.75,21100.00,0.00
2015-12-17,20.25,21.00,20.00,20.50,24200.00,0.00
2015-12-16,20.25,21.00,20.00,20.25,216200.00,0.00
2015-12-15,20.25,21.00,20.00,20.25,31000.00,0.00
2015-12-14,20.50,21.00,20.00,20.25,40400.00,0.00
2015-12-11,20.75,20.75,20.50,20.50,47500.00,0.00
2015-12-10,20.75,21.00,20.75,20.75,4000.00,0.00
2015-12-09,20.75,21.50,20.50,20.75,102700.00,0.00
2015-12-08,21.00,21.25,20.50,20.75,28800.00,0.00
2015-12-07,21.25,22.00,19.50,21.00,77600.00,0.00
2015-12-04,20.50,22.00,20.00,21.25,120600.00,0.00
2015-12-03,20.75,22.00,19.50,20.50,243000.00,0.00
2015-12-02,21.50,21.50,20.50,20.75,17000.00,0.00
2015-12-01,21.50,22.00,19.35,21.50,64000.00,0.00
2015-11-30,23.75,21.50,21.50,21.50,100.00,0.00
2015-11-27,277.00,23.75,23.75,23.75,200.00,0.00
