Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,3.75,3.75,3.75,3.75,0.00,0.00
2015-12-30,4.00,3.80,3.70,3.75,7600.00,0.00
2015-12-29,4.00,4.20,3.70,4.00,11500.00,0.00
2015-12-28,3.70,4.05,4.00,4.00,3700.00,0.00
2015-12-24,3.80,3.70,3.70,3.70,500.00,0.00
2015-12-23,3.95,3.95,3.70,3.80,4100.00,0.00
2015-12-22,3.70,3.95,3.95,3.95,900.00,0.00
2015-12-21,4.00,3.95,3.70,3.70,19600.00,0.00
2015-12-18,4.00,4.00,4.00,4.00,600.00,0.00
2015-12-17,3.85,4.00,4.00,4.00,200.00,0.00
2015-12-16,3.75,3.90,3.70,3.85,1600.00,0.00
2015-12-15,3.60,3.90,3.70,3.75,2000.00,0.00
2015-12-14,3.55,3.90,3.55,3.60,2600.00,0.00
2015-12-11,3.90,3.70,3.55,3.55,1800.00,0.00
2015-12-10,3.90,3.95,3.90,3.90,1700.00,0.00
2015-12-09,3.90,3.90,3.90,3.90,2700.00,0.00
2015-12-08,3.70,4.00,3.70,3.90,5800.00,0.00
2015-12-07,3.55,3.70,3.70,3.70,3400.00,0.00
2015-12-04,3.60,3.70,3.55,3.55,81700.00,0.00
2015-12-03,3.70,3.65,3.60,3.60,12600.00,0.00
2015-12-02,3.65,3.90,3.60,3.70,2600.00,0.00
2015-12-01,3.50,3.65,3.65,3.65,200.00,0.00
2015-11-30,3.50,3.60,3.50,3.50,1100.00,0.00
2015-11-27,3.55,3.75,3.50,3.50,1000.00,0.00
2015-11-25,3.55,3.55,3.55,3.55,2400.00,0.00
2015-11-24,3.75,3.55,3.55,3.55,3100.00,0.00
2015-11-23,3.55,3.90,3.55,3.75,217100.00,0.00
2015-11-20,3.50,3.60,3.50,3.55,124300.00,0.00
2015-11-19,3.50,3.55,3.40,3.50,19000.00,0.00
2015-11-18,3.50,3.55,3.50,3.50,6600.00,0.00
2015-11-17,3.50,3.55,3.50,3.50,2800.00,0.00
2015-11-16,3.40,3.55,3.40,3.50,3500.00,0.00
2015-11-13,3.55,3.50,3.40,3.40,42100.00,0.00
2015-11-12,3.40,3.55,3.55,3.55,2000.00,0.00
2015-11-11,3.35,3.45,3.40,3.40,662600.00,0.00
2015-11-10,3.35,3.40,3.35,3.35,5800.00,0.00
2015-11-09,3.35,3.50,3.35,3.35,5700.00,0.00
2015-11-06,3.70,3.80,3.35,3.35,1220000.00,0.00
2015-11-05,3.75,3.80,3.60,3.70,3100.00,0.00
2015-11-04,3.65,3.80,3.60,3.75,500.00,0.00
2015-11-03,3.50,3.70,3.50,3.65,1800.00,0.00
2015-11-02,3.55,3.50,3.50,3.50,3200.00,0.00
2015-10-30,3.45,3.60,3.45,3.55,4800.00,0.00
2015-10-29,3.45,3.60,3.40,3.45,3200.00,0.00
2015-10-28,3.45,3.55,3.40,3.45,2600.00,0.00
2015-10-27,3.55,3.55,3.40,3.45,4500.00,0.00
2015-10-26,3.55,3.55,3.55,3.55,5000.00,0.00
2015-10-23,3.55,3.60,3.55,3.55,9500.00,0.00
2015-10-22,3.50,3.60,3.55,3.55,400.00,0.00
2015-10-21,3.50,3.55,3.50,3.50,2100.00,0.00
2015-10-19,3.50,3.50,3.50,3.50,11900.00,0.00
2015-10-16,3.60,3.60,3.40,3.50,24500.00,0.00
2015-10-15,3.65,3.80,3.60,3.60,64100.00,0.00
2015-10-14,3.80,3.70,3.60,3.65,4400.00,0.00
2015-10-13,3.90,3.90,3.80,3.80,17200.00,0.00
2015-10-12,3.85,3.95,3.90,3.90,2400.00,0.00
2015-10-09,3.90,3.95,3.65,3.85,16400.00,0.00
2015-10-08,3.90,3.90,3.90,3.90,1300.00,0.00
2015-10-07,4.00,4.05,3.85,3.90,23400.00,0.00
2015-10-05,4.05,4.10,4.00,4.00,4700.00,0.00
2015-10-02,4.00,4.20,4.00,4.05,4300.00,0.00
2015-10-01,4.10,4.05,4.00,4.00,7000.00,0.00
2015-09-30,4.05,4.10,4.10,4.10,2900.00,0.00
2015-09-29,4.05,4.10,4.05,4.05,22700.00,0.00
2015-09-28,4.10,4.30,4.00,4.05,35100.00,0.00
2015-09-25,4.00,4.25,4.00,4.10,41900.00,0.00
2015-09-24,4.00,4.30,4.00,4.00,37400.00,0.00
2015-09-23,4.15,4.25,4.00,4.00,70700.00,0.00
2015-09-22,4.10,4.30,4.05,4.15,17700.00,0.00
2015-09-21,4.25,4.20,4.10,4.10,7800.00,0.00
2015-09-18,4.10,4.25,4.25,4.25,2600.00,0.00
2015-09-17,4.25,4.25,4.05,4.10,4400.00,0.00
2015-09-16,4.30,4.30,4.25,4.25,18800.00,0.00
2015-09-15,4.30,4.30,4.30,4.30,13500.00,0.00
2015-09-14,4.20,4.30,4.30,4.30,6000.00,0.00
2015-09-11,4.30,4.25,4.20,4.20,4300.00,0.00
2015-09-10,4.30,4.50,4.25,4.30,8300.00,0.00
2015-09-09,4.15,4.30,4.30,4.30,3000.00,0.00
2015-09-08,4.10,4.20,4.10,4.15,2600.00,0.00
2015-09-07,4.25,4.50,4.10,4.10,6000.00,0.00
2015-09-04,4.05,4.30,4.05,4.25,19300.00,0.00
2015-09-03,4.05,4.10,4.05,4.05,23300.00,0.00
2015-09-02,4.35,4.05,4.05,4.05,2600.00,0.00
2015-09-01,4.05,4.40,4.30,4.35,32500.00,0.00
2015-08-31,4.05,4.05,4.05,4.05,2200.00,0.00
2015-08-28,4.40,4.05,4.05,4.05,100.00,0.00
2015-08-27,4.05,4.45,4.40,4.40,1800.00,0.00
2015-08-26,4.05,4.20,4.05,4.05,27900.00,0.00
2015-08-25,4.35,4.20,4.00,4.05,24300.00,0.00
2015-08-24,4.20,4.60,4.20,4.35,800.00,0.00
2015-08-21,4.55,4.20,4.20,4.20,100.00,0.00
2015-08-20,4.60,4.60,4.30,4.55,51100.00,0.00
2015-08-19,4.65,4.70,4.60,4.60,4800.00,0.00
2015-08-18,4.80,4.70,4.60,4.65,7100.00,0.00
2015-08-17,4.70,4.80,4.80,4.80,6000.00,0.00
2015-08-14,4.75,4.80,4.60,4.70,6800.00,0.00
2015-08-13,4.90,4.95,4.60,4.75,2600.00,0.00
2015-08-12,4.90,4.95,4.80,4.90,1800.00,0.00
2015-08-11,4.60,4.95,4.65,4.90,5200.00,0.00
2015-08-10,4.60,4.95,4.60,4.60,4600.00,0.00
2015-08-07,4.95,4.90,4.50,4.60,10500.00,0.00
2015-08-06,4.90,5.00,4.90,4.95,5100.00,0.00
2015-08-05,4.50,4.95,4.90,4.90,1200.00,0.00
2015-08-04,4.50,4.50,4.50,4.50,0.00,0.00
2015-08-03,4.90,5.00,4.50,4.50,41100.00,0.00
2015-07-31,4.90,5.00,4.85,4.90,2200.00,0.00
2015-07-30,4.85,5.00,4.85,4.90,1000.00,0.00
2015-07-29,5.05,4.90,4.85,4.85,5200.00,0.00
2015-07-28,4.85,5.10,4.90,5.05,1000.00,0.00
2015-07-27,5.05,5.05,4.85,4.85,4400.00,0.00
2015-07-24,5.00,5.20,5.05,5.05,10000.00,0.00
