Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,6.95,7.00,7.00,7.00,0.00,0.00
2015-12-30,6.95,7.00,6.95,6.95,79200.00,0.00
2015-12-29,7.00,7.00,6.95,6.95,29800.00,0.00
2015-12-28,6.45,7.00,7.00,7.00,600.00,0.00
2015-12-24,6.45,6.45,6.45,6.45,0.00,0.00
2015-12-24,6.45,6.45,6.45,6.45,0.00,0.00
2015-12-23,6.05,6.45,6.45,6.45,2100.00,0.00
2015-12-22,6.45,6.55,6.05,6.05,51400.00,0.00
2015-12-21,6.45,6.45,6.45,6.45,0.00,0.00
2015-12-18,6.50,6.90,6.20,6.45,62500.00,0.00
2015-12-18,6.50,6.90,6.20,6.45,62500.00,0.00
2015-12-17,6.60,6.70,6.50,6.50,6200.00,0.00
2015-12-17,6.60,6.70,6.50,6.50,6200.00,0.00
2015-12-16,6.60,6.60,6.60,6.60,0.00,0.00
2015-12-16,6.60,6.60,6.60,6.60,0.00,0.00
2015-12-15,6.60,6.60,6.60,6.60,0.00,0.00
2015-12-15,6.60,6.60,6.60,6.60,0.00,0.00
2015-12-14,6.90,6.70,6.25,6.60,35200.00,0.00
2015-12-14,6.90,6.70,6.25,6.60,35200.00,0.00
2015-12-11,6.90,6.90,6.90,6.90,0.00,0.00
2015-12-11,6.90,6.90,6.90,6.90,0.00,0.00
2015-12-10,6.85,6.90,6.90,6.90,600.00,0.00
2015-12-10,6.85,6.90,6.90,6.90,600.00,0.00
2015-12-09,6.25,6.85,6.85,6.85,600.00,0.00
2015-12-09,6.25,6.85,6.85,6.85,600.00,0.00
2015-12-08,6.10,6.70,6.10,6.25,1400.00,0.00
2015-12-08,6.10,6.70,6.10,6.25,1400.00,0.00
2015-12-07,6.40,6.10,6.10,6.10,200.00,0.00
2015-12-07,6.40,6.10,6.10,6.10,200.00,0.00
2015-12-04,6.10,6.40,6.40,6.40,100.00,0.00
2015-12-04,6.10,6.40,6.40,6.40,100.00,0.00
2015-12-03,6.15,6.10,6.10,6.10,10300.00,0.00
2015-12-03,6.15,6.10,6.10,6.10,10300.00,0.00
2015-12-02,6.10,6.40,6.10,6.15,1200.00,0.00
2015-12-02,6.10,6.40,6.10,6.15,1200.00,0.00
2015-12-01,6.40,6.40,6.10,6.10,11100.00,0.00
2015-12-01,6.40,6.40,6.10,6.10,11100.00,0.00
2015-11-30,6.50,6.40,6.40,6.40,1400.00,0.00
2015-11-30,6.50,6.40,6.40,6.40,1400.00,0.00
2015-11-27,6.60,6.60,6.50,6.50,77100.00,0.00
2015-11-27,6.60,6.60,6.50,6.50,77100.00,0.00
2015-11-25,6.60,6.65,6.60,6.60,47400.00,0.00
2015-11-25,6.60,6.65,6.60,6.60,47400.00,0.00
2015-11-25,6.60,6.65,6.60,6.60,47400.00,0.00
2015-11-25,6.60,6.65,6.60,6.60,47400.00,0.00
2015-11-24,6.60,6.60,6.60,6.60,8400.00,0.00
2015-11-24,6.60,6.60,6.60,6.60,8400.00,0.00
2015-11-23,6.05,6.65,6.60,6.60,30200.00,0.00
2015-11-23,6.05,6.65,6.60,6.60,30200.00,0.00
2015-11-20,6.05,6.05,6.05,6.05,0.00,0.00
2015-11-20,6.05,6.05,6.05,6.05,0.00,0.00
2015-11-19,6.05,6.05,6.05,6.05,0.00,0.00
2015-11-19,6.05,6.05,6.05,6.05,0.00,0.00
2015-11-18,6.20,6.50,6.00,6.05,101900.00,0.00
2015-11-18,6.20,6.50,6.00,6.05,101900.00,0.00
2015-11-17,6.15,6.30,6.15,6.20,16300.00,0.00
2015-11-17,6.15,6.30,6.15,6.20,16300.00,0.00
2015-11-16,6.10,6.50,6.10,6.15,7000.00,0.00
2015-11-16,6.10,6.50,6.10,6.15,7000.00,0.00
2015-11-13,6.20,6.20,6.00,6.10,48000.00,0.00
2015-11-13,6.20,6.20,6.00,6.10,48000.00,0.00
2015-11-12,6.20,6.30,6.20,6.20,22600.00,0.00
2015-11-12,6.20,6.30,6.20,6.20,22600.00,0.00
2015-11-11,6.40,6.30,6.20,6.20,29500.00,0.00
2015-11-11,6.40,6.30,6.20,6.20,29500.00,0.00
2015-11-10,6.30,6.50,6.30,6.40,4300.00,0.00
2015-11-10,6.30,6.50,6.30,6.40,4300.00,0.00
2015-11-09,6.30,6.40,6.30,6.30,9600.00,0.00
2015-11-09,6.30,6.40,6.30,6.30,9600.00,0.00
2015-11-06,6.10,6.50,6.15,6.30,7900.00,0.00
2015-11-06,6.10,6.50,6.15,6.30,7900.00,0.00
2015-11-05,6.00,6.30,6.00,6.10,2200.00,0.00
2015-11-05,6.00,6.30,6.00,6.10,2200.00,0.00
2015-11-04,6.30,6.30,6.00,6.00,6500.00,0.00
2015-11-04,6.30,6.30,6.00,6.00,6500.00,0.00
2015-11-03,6.30,6.30,6.30,6.30,0.00,0.00
2015-11-03,6.30,6.30,6.30,6.30,0.00,0.00
2015-11-02,5.75,6.30,6.30,6.30,400.00,0.00
2015-11-02,5.75,6.30,6.30,6.30,400.00,0.00
2015-10-30,5.75,6.00,5.70,5.75,22100.00,0.00
2015-10-30,5.75,6.00,5.70,5.75,22100.00,0.00
2015-10-29,6.10,6.30,5.70,5.75,9700.00,0.00
2015-10-29,6.10,6.30,5.70,5.75,9700.00,0.00
2015-10-28,5.95,6.30,5.75,6.10,3900.00,0.00
2015-10-28,5.95,6.30,5.75,6.10,3900.00,0.00
2015-10-27,6.05,6.30,5.75,5.95,50800.00,0.00
2015-10-27,6.05,6.30,5.75,5.95,50800.00,0.00
2015-10-26,6.10,6.30,6.00,6.05,14600.00,0.00
2015-10-26,6.10,6.30,6.00,6.05,14600.00,0.00
2015-10-23,6.50,6.80,6.00,6.10,10200.00,0.00
2015-10-23,6.50,6.80,6.00,6.10,10200.00,0.00
2015-10-22,6.50,6.80,6.50,6.50,15400.00,0.00
2015-10-22,6.50,6.80,6.50,6.50,15400.00,0.00
2015-10-21,6.60,6.80,6.50,6.50,2700.00,0.00
