Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,2.60,2.60,2.60,2.60,120000.00,0.00
2015-12-30,2.40,2.60,2.60,2.60,294900.00,0.00
2015-12-29,2.30,2.50,2.35,2.40,404500.00,0.00
2015-12-28,2.15,2.35,2.20,2.30,344100.00,0.00
2015-12-24,2.05,2.25,2.15,2.15,265400.00,0.00
2015-12-24,2.05,2.25,2.15,2.15,265400.00,0.00
2015-12-23,1.95,2.10,2.00,2.05,302800.00,0.00
2015-12-22,1.85,2.00,1.90,1.95,348300.00,0.00
2015-12-21,1.75,1.90,1.80,1.85,696200.00,0.00
2015-12-18,1.65,1.85,1.70,1.75,194800.00,0.00
2015-12-18,1.65,1.85,1.70,1.75,194800.00,0.00
2015-12-17,1.55,1.70,1.60,1.65,74100.00,0.00
2015-12-17,1.55,1.70,1.60,1.65,74100.00,0.00
2015-12-16,1.50,1.65,1.50,1.55,521200.00,0.00
2015-12-16,1.50,1.65,1.50,1.55,521200.00,0.00
2015-12-15,1.45,1.55,1.50,1.50,110700.00,0.00
2015-12-15,1.45,1.55,1.50,1.50,110700.00,0.00
2015-12-14,1.40,1.50,1.35,1.45,743100.00,0.00
2015-12-14,1.40,1.50,1.35,1.45,743100.00,0.00
2015-12-11,1.35,1.45,1.40,1.40,57800.00,0.00
2015-12-11,1.35,1.45,1.40,1.40,57800.00,0.00
2015-12-10,1.35,1.45,1.35,1.35,120700.00,0.00
2015-12-10,1.35,1.45,1.35,1.35,120700.00,0.00
2015-12-09,1.35,1.40,1.30,1.35,391700.00,0.00
2015-12-09,1.35,1.40,1.30,1.35,391700.00,0.00
2015-12-08,1.35,1.45,1.35,1.35,91600.00,0.00
2015-12-08,1.35,1.45,1.35,1.35,91600.00,0.00
2015-12-07,1.35,1.45,1.35,1.35,146400.00,0.00
2015-12-07,1.35,1.45,1.35,1.35,146400.00,0.00
2015-12-04,1.40,1.45,1.30,1.35,55400.00,0.00
2015-12-04,1.40,1.45,1.30,1.35,55400.00,0.00
2015-12-03,1.40,1.45,1.40,1.40,131200.00,0.00
2015-12-03,1.40,1.45,1.40,1.40,131200.00,0.00
2015-12-02,1.35,1.45,1.40,1.40,49600.00,0.00
2015-12-02,1.35,1.45,1.40,1.40,49600.00,0.00
2015-12-01,1.40,1.40,1.30,1.35,278000.00,0.00
2015-12-01,1.40,1.40,1.30,1.35,278000.00,0.00
2015-11-30,1.35,1.45,1.40,1.40,196600.00,0.00
2015-11-30,1.35,1.45,1.40,1.40,196600.00,0.00
2015-11-27,1.35,1.45,1.35,1.35,689400.00,0.00
2015-11-27,1.35,1.45,1.35,1.35,689400.00,0.00
2015-11-25,1.30,1.40,1.35,1.35,862200.00,0.00
2015-11-25,1.30,1.40,1.35,1.35,862200.00,0.00
2015-11-25,1.30,1.40,1.35,1.35,862200.00,0.00
2015-11-25,1.30,1.40,1.35,1.35,862200.00,0.00
2015-11-24,1.30,1.40,1.20,1.30,248100.00,0.00
2015-11-24,1.30,1.40,1.20,1.30,248100.00,0.00
2015-11-23,1.20,1.30,1.30,1.30,468700.00,0.00
2015-11-23,1.20,1.30,1.30,1.30,468700.00,0.00
2015-11-20,1.25,1.30,1.20,1.20,540700.00,0.00
2015-11-20,1.25,1.30,1.20,1.20,540700.00,0.00
2015-11-19,1.30,1.30,1.25,1.25,246100.00,0.00
2015-11-19,1.30,1.30,1.25,1.25,246100.00,0.00
2015-11-18,1.30,1.40,1.30,1.30,274400.00,0.00
2015-11-18,1.30,1.40,1.30,1.30,274400.00,0.00
2015-11-17,1.30,1.40,1.25,1.30,368800.00,0.00
2015-11-17,1.30,1.40,1.25,1.30,368800.00,0.00
2015-11-16,1.30,1.40,1.30,1.30,538500.00,0.00
2015-11-16,1.30,1.40,1.30,1.30,538500.00,0.00
2015-11-13,1.30,1.40,1.30,1.30,1080000.00,0.00
2015-11-13,1.30,1.40,1.30,1.30,1080000.00,0.00
2015-11-12,1.40,1.45,1.30,1.30,528600.00,0.00
2015-11-12,1.40,1.45,1.30,1.30,528600.00,0.00
2015-11-11,1.40,1.45,1.40,1.40,159700.00,0.00
2015-11-11,1.40,1.45,1.40,1.40,159700.00,0.00
2015-11-10,1.40,1.50,1.40,1.40,310800.00,0.00
2015-11-10,1.40,1.50,1.40,1.40,310800.00,0.00
2015-11-09,1.40,1.45,1.40,1.40,126400.00,0.00
2015-11-09,1.40,1.45,1.40,1.40,126400.00,0.00
2015-11-06,1.45,1.45,1.40,1.40,103200.00,0.00
2015-11-06,1.45,1.45,1.40,1.40,103200.00,0.00
2015-11-05,1.45,1.50,1.45,1.45,196200.00,0.00
2015-11-05,1.45,1.50,1.45,1.45,196200.00,0.00
2015-11-04,1.45,1.50,1.45,1.45,58700.00,0.00
2015-11-04,1.45,1.50,1.45,1.45,58700.00,0.00
2015-11-03,1.45,1.50,1.40,1.45,437500.00,0.00
2015-11-03,1.45,1.50,1.40,1.45,437500.00,0.00
2015-11-02,1.50,1.60,1.45,1.45,270500.00,0.00
2015-11-02,1.50,1.60,1.45,1.45,270500.00,0.00
2015-10-30,1.50,1.60,1.50,1.50,28600.00,0.00
2015-10-30,1.50,1.60,1.50,1.50,28600.00,0.00
2015-10-29,1.50,1.60,1.50,1.50,150500.00,0.00
2015-10-29,1.50,1.60,1.50,1.50,150500.00,0.00
2015-10-28,1.50,1.55,1.45,1.50,283900.00,0.00
2015-10-28,1.50,1.55,1.45,1.50,283900.00,0.00
2015-10-27,1.55,1.55,1.50,1.50,88900.00,0.00
2015-10-27,1.55,1.55,1.50,1.50,88900.00,0.00
2015-10-26,1.55,1.60,1.50,1.55,41300.00,0.00
2015-10-26,1.55,1.60,1.50,1.55,41300.00,0.00
