Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,46.50,46.50,46.50,46.50,200.00,0.00
2015-12-30,46.50,47.75,46.50,46.50,22200.00,0.00
2015-12-29,46.75,48.00,46.50,46.50,12600.00,0.00
2015-12-28,46.75,47.75,46.75,46.75,114700.00,0.00
2015-12-24,47.25,47.75,46.50,46.75,27000.00,0.00
2015-12-24,47.25,47.75,46.50,46.75,27000.00,0.00
2015-12-23,46.75,47.75,46.50,47.25,50700.00,0.00
2015-12-22,46.25,48.00,41.75,46.75,67800.00,0.00
2015-12-21,45.50,47.00,46.25,46.25,44400.00,0.00
2015-12-18,45.50,46.50,45.00,45.50,11300.00,0.00
2015-12-18,45.50,46.50,45.00,45.50,11300.00,0.00
2015-12-17,45.00,46.50,45.00,45.50,39800.00,0.00
2015-12-17,45.00,46.50,45.00,45.50,39800.00,0.00
2015-12-16,45.00,46.00,45.00,45.00,65900.00,0.00
2015-12-16,45.00,46.00,45.00,45.00,65900.00,0.00
2015-12-15,45.50,45.75,43.75,45.00,28200.00,0.00
2015-12-15,45.50,45.75,43.75,45.00,28200.00,0.00
2015-12-14,45.50,46.00,45.50,45.50,80700.00,0.00
2015-12-14,45.50,46.00,45.50,45.50,80700.00,0.00
2015-12-11,45.75,46.00,45.50,45.50,666800.00,0.00
2015-12-11,45.75,46.00,45.50,45.50,666800.00,0.00
2015-12-10,46.00,46.25,45.75,45.75,85200.00,0.00
2015-12-10,46.00,46.25,45.75,45.75,85200.00,0.00
2015-12-09,46.00,46.25,45.75,46.00,16000.00,0.00
2015-12-09,46.00,46.25,45.75,46.00,16000.00,0.00
2015-12-08,46.00,46.25,45.25,46.00,311400.00,0.00
2015-12-08,46.00,46.25,45.25,46.00,311400.00,0.00
2015-12-07,46.00,46.25,46.00,46.00,8600.00,0.00
2015-12-07,46.00,46.25,46.00,46.00,8600.00,0.00
2015-12-04,46.00,46.75,45.75,46.00,37200.00,0.00
2015-12-04,46.00,46.75,45.75,46.00,37200.00,0.00
2015-12-03,46.25,46.50,46.00,46.00,1570000.00,0.00
2015-12-03,46.25,46.50,46.00,46.00,1570000.00,0.00
2015-12-02,46.75,47.00,46.00,46.25,75400.00,0.00
2015-12-02,46.75,47.00,46.00,46.25,75400.00,0.00
2015-12-01,47.00,47.25,46.25,46.75,84700.00,0.00
2015-12-01,47.00,47.25,46.25,46.75,84700.00,0.00
2015-11-30,47.25,47.50,46.00,47.00,149400.00,0.00
2015-11-30,47.25,47.50,46.00,47.00,149400.00,0.00
2015-11-27,47.75,48.25,47.00,47.25,44900.00,0.00
2015-11-27,47.75,48.25,47.00,47.25,44900.00,0.00
2015-11-25,48.25,48.50,47.00,47.75,209400.00,0.00
2015-11-25,48.25,48.50,47.00,47.75,209400.00,0.00
2015-11-25,48.25,48.50,47.00,47.75,209400.00,0.00
2015-11-25,48.25,48.50,47.00,47.75,209400.00,0.00
2015-11-24,47.50,50.00,47.00,48.25,405400.00,0.00
2015-11-24,47.50,50.00,47.00,48.25,405400.00,0.00
2015-11-23,46.00,49.00,46.50,47.50,116000.00,0.00
2015-11-23,46.00,49.00,46.50,47.50,116000.00,0.00
2015-11-20,46.00,46.75,45.75,46.00,71900.00,0.00
2015-11-20,46.00,46.75,45.75,46.00,71900.00,0.00
2015-11-19,45.00,46.75,45.00,46.00,66100.00,0.00
2015-11-19,45.00,46.75,45.00,46.00,66100.00,0.00
2015-11-18,44.50,46.00,44.50,45.00,115400.00,0.00
2015-11-18,44.50,46.00,44.50,45.00,115400.00,0.00
2015-11-17,44.50,45.50,44.00,44.50,266100.00,0.00
2015-11-17,44.50,45.50,44.00,44.50,266100.00,0.00
2015-11-16,45.00,45.50,44.50,44.50,92600.00,0.00
2015-11-16,45.00,45.50,44.50,44.50,92600.00,0.00
2015-11-13,44.25,46.00,45.00,45.00,178700.00,0.00
2015-11-13,44.25,46.00,45.00,45.00,178700.00,0.00
2015-11-12,42.75,45.00,42.50,44.25,140500.00,0.00
2015-11-12,42.75,45.00,42.50,44.25,140500.00,0.00
2015-11-11,40.50,44.25,40.00,42.75,179200.00,0.00
2015-11-11,40.50,44.25,40.00,42.75,179200.00,0.00
2015-11-10,41.75,42.00,40.50,40.50,1620000.00,0.00
2015-11-10,41.75,42.00,40.50,40.50,1620000.00,0.00
2015-11-09,41.50,42.00,41.50,41.75,489500.00,0.00
2015-11-09,41.50,42.00,41.50,41.75,489500.00,0.00
2015-11-06,42.00,42.50,41.25,41.50,1650000.00,0.00
2015-11-06,42.00,42.50,41.25,41.50,1650000.00,0.00
2015-11-05,41.75,42.50,41.50,42.00,109800.00,0.00
2015-11-05,41.75,42.50,41.50,42.00,109800.00,0.00
2015-11-04,42.00,42.25,41.75,41.75,65400.00,0.00
2015-11-04,42.00,42.25,41.75,41.75,65400.00,0.00
2015-11-03,42.25,42.50,41.50,42.00,196400.00,0.00
2015-11-03,42.25,42.50,41.50,42.00,196400.00,0.00
2015-11-02,42.25,42.50,42.00,42.25,130900.00,0.00
2015-11-02,42.25,42.50,42.00,42.25,130900.00,0.00
2015-10-30,42.50,42.75,41.75,42.25,465100.00,0.00
2015-10-30,42.50,42.75,41.75,42.25,465100.00,0.00
2015-10-29,44.25,44.25,42.00,42.50,162300.00,0.00
2015-10-29,44.25,44.25,42.00,42.50,162300.00,0.00
2015-10-28,46.00,46.00,44.00,44.25,418300.00,0.00
2015-10-28,46.00,46.00,44.00,44.25,418300.00,0.00
2015-10-27,46.25,47.00,45.75,46.00,167400.00,0.00
2015-10-27,46.25,47.00,45.75,46.00,167400.00,0.00
2015-10-26,46.25,47.50,46.00,46.25,66200.00,0.00
2015-10-26,46.25,47.50,46.00,46.25,66200.00,0.00
2015-10-23,46.50,47.00,46.25,46.25,111200.00,0.00
2015-10-23,46.50,47.00,46.25,46.25,111200.00,0.00
2015-10-22,47.00,47.50,46.25,46.50,67100.00,0.00
2015-10-22,47.00,47.50,46.25,46.50,67100.00,0.00
2015-10-21,47.00,47.50,46.75,47.00,39400.00,0.00
2015-10-21,47.00,47.50,46.75,47.00,39400.00,0.00
2015-10-19,46.75,47.75,46.75,47.00,80900.00,0.00
2015-10-19,46.75,47.75,46.75,47.00,80900.00,0.00
2015-10-19,46.75,47.75,46.75,47.00,80900.00,0.00
2015-10-19,46.75,47.75,46.75,47.00,80900.00,0.00
2015-10-16,47.75,47.50,46.00,46.75,68900.00,0.00
2015-10-16,47.75,47.50,46.00,46.75,68900.00,0.00
2015-10-16,47.75,47.50,46.00,46.75,68900.00,0.00
2015-10-16,47.75,47.50,46.00,46.75,68900.00,0.00
2015-10-15,48.50,48.50,47.00,47.75,140300.00,0.00
2015-10-15,48.50,48.50,47.00,47.75,140300.00,0.00
2015-10-15,48.50,48.50,47.00,47.75,140300.00,0.00
2015-10-15,48.50,48.50,47.00,47.75,140300.00,0.00
2015-10-14,49.25,49.75,47.75,48.50,423400.00,0.00
2015-10-14,49.25,49.75,47.75,48.50,423400.00,0.00
2015-10-14,49.25,49.75,47.75,48.50,423400.00,0.00
2015-10-14,49.25,49.75,47.75,48.50,423400.00,0.00
2015-10-14,49.25,49.75,47.75,48.50,423400.00,0.00
2015-10-13,49.75,49.75,49.00,49.25,676500.00,0.00
2015-10-13,49.75,49.75,49.00,49.25,676500.00,0.00
2015-10-13,49.75,49.75,49.00,49.25,676500.00,0.00
2015-10-13,49.75,49.75,49.00,49.25,676500.00,0.00
2015-10-13,49.75,49.75,49.00,49.25,676500.00,0.00
2015-10-12,49.75,50.00,49.75,49.75,57600.00,0.00
2015-10-12,49.75,50.00,49.75,49.75,57600.00,0.00
2015-10-12,49.75,50.00,49.75,49.75,57600.00,0.00
2015-10-12,49.75,50.00,49.75,49.75,57600.00,0.00
2015-10-09,49.75,51.00,49.50,49.75,44000.00,0.00
2015-10-09,49.75,51.00,49.50,49.75,44000.00,0.00
2015-10-09,49.75,51.00,49.50,49.75,44000.00,0.00
2015-10-08,49.50,50.00,49.50,49.75,62200.00,0.00
2015-10-08,49.50,50.00,49.50,49.75,62200.00,0.00
2015-10-08,49.50,50.00,49.50,49.75,62200.00,0.00
2015-10-07,50.00,51.50,49.50,49.50,162400.00,0.00
2015-10-07,50.00,51.50,49.50,49.50,162400.00,0.00
2015-10-07,50.00,51.50,49.50,49.50,162400.00,0.00
2015-10-05,50.00,51.50,49.75,50.00,46800.00,0.00
2015-10-05,50.00,51.50,49.75,50.00,46800.00,0.00
2015-10-05,50.00,51.50,49.75,50.00,46800.00,0.00
2015-10-05,50.00,51.50,49.75,50.00,46800.00,0.00
2015-10-05,50.00,51.50,49.75,50.00,46800.00,0.00
2015-10-05,50.00,51.50,49.75,50.00,46800.00,0.00
2015-10-02,51.50,51.50,49.75,50.00,69700.00,0.00
2015-10-02,51.50,51.50,49.75,50.00,69700.00,0.00
2015-10-02,51.50,51.50,49.75,50.00,69700.00,0.00
2015-10-01,52.00,52.50,51.00,51.50,41100.00,0.00
2015-10-01,52.00,52.50,51.00,51.50,41100.00,0.00
2015-10-01,52.00,52.50,51.00,51.50,41100.00,0.00
2015-09-30,52.00,52.50,52.00,52.00,59000.00,0.00
2015-09-29,52.50,53.00,51.50,52.00,181700.00,0.00
2015-09-28,52.50,53.00,52.00,52.50,49900.00,0.00
2015-09-25,53.00,53.50,51.50,52.50,152800.00,0.00
2015-09-24,53.00,53.50,52.00,53.00,118300.00,0.00
2015-09-23,52.00,54.00,52.00,53.00,76500.00,0.00
2015-09-22,52.50,53.00,52.00,52.00,76700.00,0.00
2015-09-21,52.00,53.00,52.50,52.50,54100.00,0.00
2015-09-18,51.50,53.00,50.50,52.00,39100.00,0.00
2015-09-17,51.50,52.50,51.00,51.50,45200.00,0.00
2015-09-16,51.50,52.00,51.00,51.50,210600.00,0.00
2015-09-15,51.50,52.50,51.50,51.50,61900.00,0.00
2015-09-14,51.00,53.00,51.50,51.50,343500.00,0.00
