Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,484.00,484.00,484.00,484.00,0.00,0.00
2015-12-30,484.00,484.00,484.00,484.00,0.00,0.00
2015-12-29,484.00,484.00,484.00,484.00,0.00,0.00
2015-12-28,440.00,484.00,484.00,484.00,100.00,0.00
2015-12-24,441.00,441.00,440.00,440.00,500.00,0.00
2015-12-24,441.00,441.00,440.00,440.00,500.00,0.00
2015-12-23,460.00,450.00,441.00,441.00,3100.00,0.00
2015-12-22,459.00,460.00,460.00,460.00,100.00,0.00
2015-12-21,459.00,459.00,459.00,459.00,0.00,0.00
2015-12-18,500.00,459.00,459.00,459.00,500.00,0.00
2015-12-18,500.00,459.00,459.00,459.00,500.00,0.00
2015-12-17,500.00,500.00,500.00,500.00,0.00,0.00
2015-12-17,500.00,500.00,500.00,500.00,0.00,0.00
2015-12-16,490.00,500.00,500.00,500.00,1000.00,0.00
2015-12-16,490.00,500.00,500.00,500.00,1000.00,0.00
2015-12-15,490.00,490.00,490.00,490.00,0.00,0.00
2015-12-15,490.00,490.00,490.00,490.00,0.00,0.00
2015-12-14,500.00,490.00,490.00,490.00,400.00,0.00
2015-12-14,500.00,490.00,490.00,490.00,400.00,0.00
2015-12-11,480.00,500.00,500.00,500.00,3200.00,0.00
2015-12-11,480.00,500.00,500.00,500.00,3200.00,0.00
2015-12-10,485.00,480.00,480.00,480.00,500.00,0.00
2015-12-10,485.00,480.00,480.00,480.00,500.00,0.00
2015-12-09,456.00,499.00,477.00,485.00,1100.00,0.00
2015-12-09,456.00,499.00,477.00,485.00,1100.00,0.00
2015-12-08,505.00,456.00,456.00,456.00,400.00,0.00
2015-12-08,505.00,456.00,456.00,456.00,400.00,0.00
2015-12-07,505.00,505.00,505.00,505.00,9300.00,0.00
2015-12-07,505.00,505.00,505.00,505.00,9300.00,0.00
2015-12-04,505.00,505.00,505.00,505.00,1600.00,0.00
2015-12-04,505.00,505.00,505.00,505.00,1600.00,0.00
2015-12-03,505.00,505.00,505.00,505.00,2500.00,0.00
2015-12-03,505.00,505.00,505.00,505.00,2500.00,0.00
2015-12-02,505.00,506.00,505.00,505.00,1400.00,0.00
2015-12-02,505.00,506.00,505.00,505.00,1400.00,0.00
2015-12-01,515.00,505.00,505.00,505.00,400.00,0.00
2015-12-01,515.00,505.00,505.00,505.00,400.00,0.00
2015-11-30,515.00,515.00,515.00,515.00,0.00,0.00
2015-11-30,515.00,515.00,515.00,515.00,0.00,0.00
2015-11-27,515.00,515.00,515.00,515.00,300.00,0.00
2015-11-27,515.00,515.00,515.00,515.00,300.00,0.00
2015-11-25,512.00,515.00,515.00,515.00,300.00,0.00
2015-11-25,512.00,515.00,515.00,515.00,300.00,0.00
2015-11-25,512.00,515.00,515.00,515.00,300.00,0.00
2015-11-25,512.00,515.00,515.00,515.00,300.00,0.00
2015-11-24,494.00,515.00,500.00,512.00,3900.00,0.00
2015-11-24,494.00,515.00,500.00,512.00,3900.00,0.00
2015-11-23,495.00,500.00,480.00,494.00,6200.00,0.00
2015-11-23,495.00,500.00,480.00,494.00,6200.00,0.00
2015-11-20,470.00,495.00,495.00,495.00,2000.00,0.00
2015-11-20,470.00,495.00,495.00,495.00,2000.00,0.00
2015-11-19,450.00,470.00,470.00,470.00,700.00,0.00
2015-11-19,450.00,470.00,470.00,470.00,700.00,0.00
2015-11-18,450.00,450.00,450.00,450.00,0.00,0.00
2015-11-18,450.00,450.00,450.00,450.00,0.00,0.00
2015-11-17,445.00,450.00,450.00,450.00,100.00,0.00
2015-11-17,445.00,450.00,450.00,450.00,100.00,0.00
2015-11-16,445.00,445.00,445.00,445.00,0.00,0.00
2015-11-16,445.00,445.00,445.00,445.00,0.00,0.00
2015-11-13,440.00,450.00,440.00,445.00,1600.00,0.00
2015-11-13,440.00,450.00,440.00,445.00,1600.00,0.00
2015-11-12,440.00,440.00,440.00,440.00,1400.00,0.00
2015-11-12,440.00,440.00,440.00,440.00,1400.00,0.00
2015-11-11,435.00,440.00,440.00,440.00,800.00,0.00
2015-11-11,435.00,440.00,440.00,440.00,800.00,0.00
2015-11-10,430.00,435.00,435.00,435.00,2700.00,0.00
2015-11-10,430.00,435.00,435.00,435.00,2700.00,0.00
2015-11-09,430.00,430.00,430.00,430.00,0.00,0.00
2015-11-09,430.00,430.00,430.00,430.00,0.00,0.00
2015-11-06,430.00,444.00,426.00,430.00,16500.00,0.00
2015-11-06,430.00,444.00,426.00,430.00,16500.00,0.00
2015-11-05,424.00,430.00,430.00,430.00,200.00,0.00
2015-11-05,424.00,430.00,430.00,430.00,200.00,0.00
2015-11-04,424.00,424.00,424.00,424.00,0.00,0.00
2015-11-04,424.00,424.00,424.00,424.00,0.00,0.00
2015-11-03,420.00,425.00,421.00,424.00,15000.00,0.00
2015-11-03,420.00,425.00,421.00,424.00,15000.00,0.00
2015-11-02,420.00,420.00,420.00,420.00,1000.00,0.00
2015-11-02,420.00,420.00,420.00,420.00,1000.00,0.00
2015-10-30,414.00,444.00,416.00,420.00,2800.00,0.00
2015-10-30,414.00,444.00,416.00,420.00,2800.00,0.00
2015-10-29,448.00,415.00,412.00,414.00,1400.00,0.00
2015-10-29,448.00,415.00,412.00,414.00,1400.00,0.00
2015-10-28,410.00,448.00,448.00,448.00,100.00,0.00
2015-10-28,410.00,448.00,448.00,448.00,100.00,0.00
2015-10-27,410.00,410.00,410.00,410.00,2700.00,0.00
2015-10-27,410.00,410.00,410.00,410.00,2700.00,0.00
2015-10-26,410.00,410.00,410.00,410.00,0.00,0.00
2015-10-26,410.00,410.00,410.00,410.00,0.00,0.00
2015-10-23,402.00,410.00,410.00,410.00,3600.00,0.00
2015-10-23,402.00,410.00,410.00,410.00,3600.00,0.00
2015-10-22,401.00,402.00,402.00,402.00,1000.00,0.00
2015-10-22,401.00,402.00,402.00,402.00,1000.00,0.00
2015-10-21,401.00,401.00,401.00,401.00,0.00,0.00
2015-10-21,401.00,401.00,401.00,401.00,0.00,0.00
2015-10-19,418.00,401.00,401.00,401.00,700.00,0.00
2015-10-19,418.00,401.00,401.00,401.00,700.00,0.00
2015-10-19,418.00,401.00,401.00,401.00,700.00,0.00
2015-10-19,418.00,401.00,401.00,401.00,700.00,0.00
2015-10-16,387.00,425.00,400.00,418.00,3500.00,0.00
2015-10-16,387.00,425.00,400.00,418.00,3500.00,0.00
