Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,40.00,44.00,42.00,43.75,3960000.00,0.00
2015-12-30,39.75,43.00,39.75,40.00,13910000.00,0.00
2015-12-29,40.00,41.00,39.75,39.75,169600.00,0.00
2015-12-28,40.00,41.75,39.75,40.00,1070000.00,0.00
2015-12-24,40.00,41.75,39.75,40.00,158300.00,0.00
2015-12-23,39.75,40.25,39.75,40.00,921500.00,0.00
2015-12-22,39.75,40.00,39.75,39.75,1640000.00,0.00
2015-12-21,39.75,40.25,39.75,39.75,590800.00,0.00
2015-12-18,39.75,40.50,39.75,39.75,5230000.00,0.00
2015-12-17,39.50,40.00,39.75,39.75,503000.00,0.00
2015-12-16,40.00,40.00,39.50,39.50,1350000.00,0.00
2015-12-15,40.00,40.50,39.75,40.00,9820000.00,0.00
2015-12-14,40.25,40.50,39.75,40.00,1280000.00,0.00
2015-12-11,40.50,41.00,39.75,40.25,2660000.00,0.00
2015-12-10,40.75,41.00,40.50,40.50,899100.00,0.00
2015-12-09,40.75,41.50,40.50,40.75,2580000.00,0.00
2015-12-08,40.50,41.75,40.50,40.75,1240000.00,0.00
2015-12-07,40.25,41.50,40.25,40.50,5970000.00,0.00
2015-12-04,40.25,40.50,40.00,40.25,350200.00,0.00
2015-12-03,40.50,41.00,40.00,40.25,3410000.00,0.00
2015-12-02,40.50,41.25,40.00,40.50,681900.00,0.00
2015-12-01,39.75,41.25,40.00,40.50,118500.00,0.00
2015-11-30,41.25,41.50,39.50,39.75,2840000.00,0.00
2015-11-27,41.50,41.75,41.00,41.25,398500.00,0.00
2015-11-25,41.75,42.00,41.25,41.50,4960000.00,0.00
2015-11-24,41.75,42.00,41.50,41.75,1090000.00,0.00
2015-11-23,41.50,42.75,41.50,41.75,362700.00,0.00
2015-11-20,40.75,42.00,41.00,41.50,2270000.00,0.00
2015-11-19,40.75,41.00,40.50,40.75,3530000.00,0.00
2015-11-18,39.75,41.75,40.00,40.75,2770000.00,0.00
2015-11-17,40.25,41.00,39.75,39.75,3790000.00,0.00
2015-11-16,41.00,41.00,39.75,40.25,4610000.00,0.00
2015-11-13,41.50,42.00,40.00,41.00,1720000.00,0.00
2015-11-12,41.25,42.00,41.00,41.50,2150000.00,0.00
2015-11-11,41.50,42.00,40.50,41.25,1110000.00,0.00
2015-11-10,42.25,42.50,40.00,41.50,1010000.00,0.00
2015-11-09,42.50,43.00,42.00,42.25,898500.00,0.00
2015-11-06,40.50,43.00,41.00,42.50,267600.00,0.00
2015-11-05,39.75,42.50,40.00,40.50,3080000.00,0.00
2015-11-04,38.75,40.25,38.75,39.75,1450000.00,0.00
2015-11-03,39.75,40.00,38.25,38.75,5290000.00,0.00
2015-11-02,40.25,40.25,39.75,39.75,413800.00,0.00
2015-10-30,40.50,40.75,39.75,40.25,2010000.00,0.00
2015-10-29,40.50,41.00,40.25,40.50,1030000.00,0.00
2015-10-28,41.00,41.25,40.00,40.50,2080000.00,0.00
2015-10-27,41.75,41.50,41.00,41.00,375600.00,0.00
2015-10-26,41.75,42.00,41.50,41.75,1130000.00,0.00
2015-10-23,41.75,42.00,41.50,41.75,354600.00,0.00
2015-10-22,42.50,42.50,41.75,41.75,3230000.00,0.00
2015-10-21,42.50,43.50,42.00,42.50,4930000.00,0.00
2015-10-19,41.75,43.50,42.00,42.50,685300.00,0.00
2015-10-16,41.25,43.00,41.25,41.75,5540000.00,0.00
2015-10-15,40.25,42.50,39.75,41.25,10150000.00,0.00
2015-10-14,42.25,42.50,39.00,40.25,6000000.00,0.00
2015-10-13,43.25,43.50,40.50,42.25,937700.00,0.00
2015-10-12,44.00,45.00,43.00,43.25,2220000.00,0.00
2015-10-09,44.75,45.00,43.25,44.00,2290000.00,0.00
2015-10-08,45.00,45.00,44.50,44.75,845700.00,0.00
2015-10-07,44.25,45.75,44.50,45.00,11400000.00,0.00
2015-10-05,43.75,46.00,43.50,44.25,1150000.00,0.00
2015-10-02,45.50,46.00,43.50,43.75,2630000.00,0.00
2015-10-01,47.00,47.50,45.00,45.50,159600.00,0.00
2015-09-30,47.75,48.50,47.00,47.00,868900.00,0.00
2015-09-29,49.00,49.00,47.25,47.75,1650000.00,0.00
2015-09-28,48.75,49.50,48.50,49.00,490700.00,0.00
2015-09-25,48.00,50.00,48.00,48.75,258300.00,0.00
2015-09-24,47.25,50.00,47.25,48.00,1530000.00,0.00
2015-09-23,47.00,47.75,47.00,47.25,144300.00,0.00
2015-09-22,47.00,47.75,47.00,47.00,327200.00,0.00
2015-09-21,47.75,47.50,47.00,47.00,839600.00,0.00
2015-09-18,46.75,49.00,47.25,47.75,513200.00,0.00
2015-09-17,46.50,48.00,46.25,46.75,1590000.00,0.00
2015-09-16,46.25,47.00,46.50,46.50,2670000.00,0.00
2015-09-15,46.25,47.00,46.00,46.25,3320000.00,0.00
2015-09-14,46.00,47.00,45.00,46.25,2120000.00,0.00
2015-09-11,46.25,46.50,45.75,46.00,1350000.00,0.00
2015-09-10,46.00,47.00,46.25,46.25,1430000.00,0.00
2015-09-09,46.50,47.00,46.00,46.00,3860000.00,0.00
2015-09-08,46.25,47.00,46.00,46.50,2250000.00,0.00
2015-09-07,45.00,47.50,46.00,46.25,107600.00,0.00
2015-09-04,44.00,46.25,45.00,45.00,854400.00,0.00
2015-09-03,43.50,45.50,43.50,44.00,350900.00,0.00
2015-09-02,44.00,44.00,43.25,43.50,818100.00,0.00
2015-09-01,44.00,45.00,43.25,44.00,1630000.00,0.00
2015-08-31,43.75,44.75,44.00,44.00,4810000.00,0.00
2015-08-28,43.00,44.00,42.25,43.75,7860000.00,0.00
2015-08-27,43.50,44.25,42.75,43.00,7560000.00,0.00
2015-08-26,44.75,45.50,43.00,43.50,980900.00,0.00
2015-08-25,45.50,45.75,43.00,44.75,1160000.00,0.00
2015-08-24,46.00,46.25,45.00,45.50,491900.00,0.00
2015-08-21,46.50,47.00,45.50,46.00,3640000.00,0.00
2015-08-20,46.50,47.00,46.00,46.50,3960000.00,0.00
2015-08-19,47.00,47.25,46.50,46.50,3320000.00,0.00
2015-08-18,47.25,47.50,46.50,47.00,1180000.00,0.00
2015-08-17,47.50,48.00,47.00,47.25,695000.00,0.00
2015-08-14,48.25,48.50,47.25,47.50,592600.00,0.00
2015-08-13,48.75,49.50,47.50,48.25,2000000.00,0.00
2015-08-12,49.50,49.50,46.00,48.75,1170000.00,0.00
2015-08-11,49.50,50.00,47.00,49.50,1910000.00,0.00
2015-08-10,49.25,50.00,48.25,49.50,2830000.00,0.00
2015-08-07,46.00,49.75,46.00,49.25,3570000.00,0.00
2015-08-06,46.00,47.00,46.00,46.00,3900000.00,0.00
2015-08-05,47.00,47.00,45.75,46.00,9610000.00,0.00
2015-08-04,49.00,49.00,46.50,47.00,4700000.00,0.00
2015-08-03,50.00,50.00,46.00,49.00,5710000.00,0.00
2015-07-31,50.50,51.00,45.50,50.00,6400000.00,0.00
2015-07-30,51.50,51.00,50.00,50.50,5070000.00,0.00
2015-07-29,53.50,53.00,50.00,51.50,243400.00,0.00
2015-07-28,54.00,54.50,52.00,53.50,2410000.00,0.00
2015-07-27,54.50,55.00,51.00,54.00,1240000.00,0.00
2015-07-24,55.00,55.00,54.00,54.50,110300.00,0.00
2015-07-23,55.50,56.50,54.50,55.00,1590000.00,0.00
2015-07-22,55.50,57.00,55.50,55.50,815400.00,0.00
2015-07-21,55.50,56.50,55.00,55.50,1040000.00,0.00
2015-07-20,54.50,56.50,54.50,55.50,1580000.00,0.00
2015-07-17,54.00,56.00,54.00,54.50,1930000.00,0.00
2015-07-16,54.00,55.00,54.00,54.00,4320000.00,0.00
2015-07-15,54.50,54.50,54.00,54.00,2620000.00,0.00
2015-07-14,54.50,56.00,54.00,54.50,306600.00,0.00
2015-07-13,54.50,56.00,54.50,54.50,2430000.00,0.00
2015-07-09,55.00,56.00,54.50,54.50,3260000.00,0.00
2015-07-08,56.00,56.00,55.00,55.00,642100.00,0.00
2015-07-07,54.50,57.00,55.00,56.00,2220000.00,0.00
2015-07-06,55.00,56.00,54.50,54.50,3780000.00,0.00
2015-07-03,54.00,55.50,54.50,55.00,366200.00,0.00
2015-07-02,54.00,55.00,53.50,54.00,2230000.00,0.00
2015-07-01,55.00,55.00,54.00,54.00,3870000.00,0.00
2015-06-30,55.50,56.00,54.00,55.00,571600.00,0.00
2015-06-29,55.50,56.50,54.50,55.50,2600000.00,0.00
2015-06-26,55.50,56.00,55.50,55.50,228000.00,0.00
2015-06-25,56.00,56.00,55.50,55.50,3040000.00,0.00
2015-06-24,56.00,57.00,55.50,56.00,28170000.00,0.00
2015-06-23,56.00,56.50,55.50,56.00,165300.00,0.00
2015-06-22,56.50,57.00,55.50,56.00,1730000.00,0.00
2015-06-19,56.50,57.50,56.50,56.50,396300.00,0.00
2015-06-18,56.50,57.50,56.50,56.50,1310000.00,0.00
2015-06-17,57.00,58.00,56.00,56.50,304800.00,0.00
2015-06-16,57.50,58.00,57.00,57.00,1810000.00,0.00
2015-06-15,58.00,58.00,57.00,57.50,189300.00,0.00
2015-06-12,58.00,59.00,57.00,58.00,85600.00,0.00
2015-06-11,58.50,58.50,57.00,58.00,390900.00,0.00
2015-06-10,58.50,59.50,58.00,58.50,2690000.00,0.00
2015-06-09,58.50,59.50,58.00,58.50,119000.00,0.00
2015-06-08,59.00,59.50,58.00,58.50,691300.00,0.00
2015-06-05,59.50,59.50,58.50,59.00,119400.00,0.00
2015-06-04,58.50,60.00,58.50,59.50,1610000.00,0.00
2015-06-03,57.50,60.00,58.00,58.50,904100.00,0.00
2015-06-02,56.50,59.00,56.00,57.50,2480000.00,0.00
2015-05-29,57.00,57.50,55.50,56.50,9570000.00,0.00
2015-05-28,59.00,59.00,57.00,57.00,471000.00,0.00
2015-05-27,60.00,60.00,57.00,59.00,803200.00,0.00
2015-05-26,59.50,61.00,59.50,60.00,5350000.00,0.00
2015-05-25,59.50,60.50,59.50,59.50,2680000.00,0.00
2015-05-22,60.00,60.00,59.00,59.50,567300.00,0.00
2015-05-21,61.00,61.00,60.00,60.00,1570000.00,0.00
2015-05-20,59.00,61.50,60.00,61.00,4250000.00,0.00
2015-05-19,58.00,62.50,58.00,59.00,1610000.00,0.00
2015-05-18,58.00,59.00,57.50,58.00,479200.00,0.00
2015-05-15,58.00,59.00,58.00,58.00,4620000.00,0.00
2015-05-14,57.50,58.50,57.00,58.00,9640000.00,0.00
2015-05-13,58.00,59.00,57.00,57.50,960600.00,0.00
2015-05-12,60.00,60.00,57.50,58.00,12780000.00,0.00
