Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,6.80,7.15,6.75,7.10,117600.00,0.00
2015-12-30,7.25,7.20,6.70,6.80,285500.00,0.00
2015-12-29,6.95,7.50,7.00,7.25,55400.00,0.00
2015-12-28,6.50,7.15,6.50,6.95,139800.00,0.00
2015-12-24,6.40,7.00,6.30,6.50,160400.00,0.00
2015-12-23,6.50,6.50,6.05,6.40,1200000.00,0.00
2015-12-22,6.80,6.65,6.45,6.50,178500.00,0.00
2015-12-21,6.95,6.95,6.60,6.80,99100.00,0.00
2015-12-18,7.15,7.05,6.75,6.95,164000.00,0.00
2015-12-17,7.75,7.65,6.55,7.15,185800.00,0.00
2015-12-16,7.75,8.00,7.65,7.75,855200.00,0.00
2015-12-15,7.90,7.95,7.70,7.75,712700.00,0.00
2015-12-14,7.90,8.00,7.90,7.90,408500.00,0.00
2015-12-11,7.80,8.05,7.85,7.90,262700.00,0.00
2015-12-10,7.80,8.00,7.75,7.80,270600.00,0.00
2015-12-09,7.85,8.00,7.70,7.80,866300.00,0.00
2015-12-08,7.85,8.10,7.80,7.85,1200000.00,0.00
2015-12-07,7.70,7.90,7.80,7.85,226000.00,0.00
2015-12-04,7.65,8.00,7.65,7.70,651700.00,0.00
2015-12-03,7.70,7.80,7.60,7.65,577700.00,0.00
2015-12-02,7.70,7.90,7.65,7.70,629600.00,0.00
2015-12-01,7.75,7.85,7.65,7.70,1210000.00,0.00
2015-11-30,7.75,7.90,7.65,7.75,511900.00,0.00
2015-11-27,7.80,7.85,7.70,7.75,225900.00,0.00
2015-11-25,7.80,7.90,7.70,7.80,78500.00,0.00
2015-11-24,8.00,8.00,7.70,7.80,399500.00,0.00
2015-11-23,7.85,8.50,7.80,8.00,120800.00,0.00
2015-11-20,7.80,8.20,7.75,7.85,75800.00,0.00
2015-11-19,8.05,8.10,7.65,7.80,613300.00,0.00
2015-11-18,8.20,8.90,7.50,8.05,798900.00,0.00
2015-11-17,8.20,8.80,8.15,8.20,105200.00,0.00
2015-11-16,8.25,8.35,8.15,8.20,306600.00,0.00
2015-11-13,8.20,8.50,8.10,8.25,789800.00,0.00
2015-11-12,8.80,8.80,8.00,8.20,429600.00,0.00
2015-11-11,9.00,9.00,8.60,8.80,240300.00,0.00
2015-11-10,9.05,9.30,8.90,9.00,232200.00,0.00
2015-11-09,8.90,9.30,8.90,9.05,101700.00,0.00
2015-11-06,8.65,9.00,8.60,8.90,310700.00,0.00
2015-11-05,8.55,8.95,8.55,8.65,169500.00,0.00
2015-11-04,8.60,8.70,8.50,8.55,179800.00,0.00
2015-11-03,8.55,8.70,8.50,8.60,157700.00,0.00
2015-11-02,8.70,8.75,8.50,8.55,116500.00,0.00
2015-10-30,8.75,8.90,8.55,8.70,187000.00,0.00
2015-10-29,8.75,8.90,8.60,8.75,833500.00,0.00
2015-10-28,8.70,8.95,8.65,8.75,161300.00,0.00
2015-10-27,8.60,8.95,8.60,8.70,67600.00,0.00
2015-10-26,8.65,8.65,8.55,8.60,98600.00,0.00
2015-10-23,8.80,8.80,8.60,8.65,608400.00,0.00
2015-10-22,8.85,8.95,8.65,8.80,143300.00,0.00
2015-10-21,9.05,9.20,8.80,8.85,206900.00,0.00
2015-10-19,9.05,9.30,9.00,9.05,170100.00,0.00
2015-10-16,9.15,9.30,9.00,9.05,235200.00,0.00
2015-10-15,9.35,9.40,9.05,9.15,135400.00,0.00
2015-10-14,9.95,9.55,9.20,9.35,1780000.00,0.00
2015-10-13,8.30,11.00,8.50,9.95,3090000.00,0.00
2015-10-12,8.20,8.40,8.20,8.30,546200.00,0.00
2015-10-09,8.25,8.30,8.20,8.20,40500.00,0.00
2015-10-08,8.25,8.40,8.15,8.25,208700.00,0.00
2015-10-07,8.35,8.35,8.20,8.25,392100.00,0.00
2015-10-05,8.35,8.50,8.30,8.35,200600.00,0.00
2015-10-02,8.40,8.50,8.35,8.35,254000.00,0.00
2015-10-01,8.35,8.50,8.35,8.40,67000.00,0.00
2015-09-30,8.30,8.50,8.30,8.35,122900.00,0.00
2015-09-29,8.35,8.40,8.25,8.30,228100.00,0.00
2015-09-28,8.25,8.40,8.25,8.35,390400.00,0.00
2015-09-25,8.20,8.30,8.20,8.25,199500.00,0.00
2015-09-24,8.30,8.30,8.10,8.20,51700.00,0.00
2015-09-23,8.35,8.40,8.15,8.30,175300.00,0.00
2015-09-22,8.40,8.65,8.20,8.35,132900.00,0.00
2015-09-21,8.25,8.50,8.25,8.40,66800.00,0.00
2015-09-18,8.35,8.45,8.15,8.25,413600.00,0.00
2015-09-17,8.30,8.50,8.30,8.35,793800.00,0.00
2015-09-16,8.15,8.75,8.20,8.30,965300.00,0.00
2015-09-15,8.15,8.30,8.10,8.15,289000.00,0.00
2015-09-14,8.20,8.25,8.10,8.15,787800.00,0.00
2015-09-11,8.25,8.35,8.15,8.20,143200.00,0.00
2015-09-10,8.30,8.35,8.15,8.25,141500.00,0.00
2015-09-09,8.40,8.45,8.25,8.30,199500.00,0.00
2015-09-08,8.40,8.80,8.25,8.40,81600.00,0.00
2015-09-07,8.15,8.80,8.30,8.40,37700.00,0.00
2015-09-04,8.30,8.90,8.00,8.15,78500.00,0.00
2015-09-03,8.10,8.35,8.00,8.30,363000.00,0.00
2015-09-02,8.15,8.40,8.00,8.10,41400.00,0.00
2015-09-01,7.90,8.60,7.75,8.15,191900.00,0.00
2015-08-31,7.50,8.00,7.75,7.90,361400.00,0.00
2015-08-28,7.50,8.00,7.20,7.50,69100.00,0.00
2015-08-27,7.90,8.00,7.20,7.50,272800.00,0.00
2015-08-26,7.95,8.00,7.50,7.90,1160000.00,0.00
2015-08-25,8.00,8.15,7.80,7.95,1080000.00,0.00
2015-08-24,8.15,8.10,7.50,8.00,1300000.00,0.00
2015-08-21,8.20,8.25,8.00,8.15,180800.00,0.00
2015-08-20,8.20,8.40,8.15,8.20,40500.00,0.00
2015-08-19,8.20,8.30,8.10,8.20,91800.00,0.00
2015-08-18,8.20,8.30,8.10,8.20,85300.00,0.00
2015-08-17,8.25,8.50,8.10,8.20,102100.00,0.00
2015-08-14,8.30,8.40,8.15,8.25,291600.00,0.00
2015-08-13,8.30,8.35,8.20,8.30,112300.00,0.00
2015-08-12,8.25,8.40,8.25,8.30,101600.00,0.00
2015-08-11,8.30,8.30,8.00,8.25,216100.00,0.00
2015-08-10,8.25,8.50,8.20,8.30,498400.00,0.00
2015-08-07,8.35,8.50,8.15,8.25,37200.00,0.00
2015-08-06,8.40,8.45,8.25,8.35,212900.00,0.00
2015-08-05,8.30,8.45,8.30,8.40,95400.00,0.00
2015-08-04,8.40,8.45,8.20,8.30,81100.00,0.00
2015-08-03,8.45,8.55,8.30,8.40,228300.00,0.00
2015-07-31,8.50,8.55,8.30,8.45,115800.00,0.00
2015-07-30,8.55,8.75,8.30,8.50,134700.00,0.00
2015-07-29,8.55,8.80,8.35,8.55,92800.00,0.00
2015-07-28,8.25,8.90,8.25,8.55,1170000.00,0.00
2015-07-27,8.25,8.50,8.00,8.25,103100.00,0.00
2015-07-24,8.35,8.50,8.00,8.25,43200.00,0.00
2015-07-23,8.35,8.60,8.00,8.35,102600.00,0.00
2015-07-22,8.60,8.80,8.30,8.35,593900.00,0.00
2015-07-21,8.60,9.00,8.50,8.60,275600.00,0.00
2015-07-20,8.85,9.10,8.55,8.60,533100.00,0.00
2015-07-17,8.70,9.00,8.60,8.85,133100.00,0.00
2015-07-16,8.95,9.00,8.60,8.70,74600.00,0.00
2015-07-15,9.00,9.10,8.70,8.95,258400.00,0.00
2015-07-14,8.95,9.20,8.90,9.00,107200.00,0.00
2015-07-13,9.00,9.20,8.85,8.95,143400.00,0.00
2015-07-09,9.35,9.65,8.45,9.00,935200.00,0.00
2015-07-08,9.45,9.60,9.05,9.35,259600.00,0.00
2015-07-07,9.45,9.80,9.20,9.45,78900.00,0.00
2015-07-06,9.10,9.70,9.20,9.45,921400.00,0.00
2015-07-03,9.00,9.25,9.00,9.10,49900.00,0.00
2015-07-02,9.20,9.40,9.00,9.00,1180000.00,0.00
2015-07-01,9.25,9.30,9.10,9.20,360100.00,0.00
2015-06-30,9.05,9.75,9.00,9.25,77700.00,0.00
2015-06-29,9.00,9.20,9.00,9.05,30000.00,0.00
2015-06-26,9.05,9.10,9.00,9.00,302000.00,0.00
2015-06-25,9.00,9.15,9.00,9.05,287000.00,0.00
2015-06-24,9.20,9.20,9.00,9.00,254300.00,0.00
2015-06-23,9.20,9.35,9.00,9.20,131600.00,0.00
2015-06-22,9.15,9.30,9.20,9.20,129200.00,0.00
2015-06-19,9.05,9.20,9.05,9.15,105300.00,0.00
2015-06-18,9.10,9.30,9.00,9.05,417600.00,0.00
2015-06-17,9.00,9.30,9.00,9.10,60700.00,0.00
2015-06-16,9.15,9.20,9.00,9.00,445200.00,0.00
2015-06-15,9.05,9.30,9.00,9.15,124200.00,0.00
2015-06-12,9.00,9.20,9.00,9.05,591400.00,0.00
2015-06-11,9.00,9.20,8.95,9.00,520000.00,0.00
2015-06-10,9.00,9.20,8.95,9.00,445800.00,0.00
2015-06-09,9.00,9.40,9.00,9.00,270600.00,0.00
2015-06-08,9.05,9.20,9.00,9.00,207000.00,0.00
2015-06-05,9.10,9.10,9.00,9.05,253500.00,0.00
2015-06-04,9.00,9.40,8.95,9.10,264600.00,0.00
2015-06-03,9.15,9.20,8.95,9.00,463000.00,0.00
2015-06-02,9.15,9.20,9.05,9.15,309500.00,0.00
2015-05-29,9.10,9.20,9.00,9.15,867300.00,0.00
2015-05-28,9.15,9.30,9.00,9.10,195900.00,0.00
2015-05-27,9.30,9.40,9.00,9.15,309800.00,0.00
2015-05-26,9.40,9.50,9.20,9.30,407300.00,0.00
2015-05-25,9.50,9.50,9.35,9.40,87700.00,0.00
2015-05-22,9.55,9.60,9.40,9.50,209800.00,0.00
2015-05-21,9.45,9.65,9.50,9.55,73400.00,0.00
2015-05-20,9.55,9.60,9.40,9.45,644400.00,0.00
2015-05-19,9.60,9.60,9.50,9.55,110500.00,0.00
2015-05-18,9.50,9.75,9.50,9.60,151400.00,0.00
2015-05-15,9.45,9.75,9.45,9.50,148800.00,0.00
2015-05-14,9.40,9.70,9.40,9.45,125400.00,0.00
2015-05-13,9.55,9.75,9.25,9.40,1100000.00,0.00
2015-05-12,9.60,9.80,9.50,9.55,84700.00,0.00
2015-05-11,9.65,10.00,9.45,9.60,501300.00,0.00
2015-05-08,9.70,10.00,9.50,9.65,150200.00,0.00
2015-05-07,9.80,9.85,9.60,9.70,650500.00,0.00
2015-05-06,9.80,9.90,9.70,9.80,106300.00,0.00
2015-05-05,9.90,10.00,9.80,9.80,268400.00,0.00
2015-05-04,9.95,10.00,9.85,9.90,572500.00,0.00
2015-04-30,9.95,10.00,9.90,9.95,374000.00,0.00
2015-04-29,10.00,10.10,9.90,9.95,517100.00,0.00
2015-04-28,9.80,10.35,9.90,10.00,665800.00,0.00
2015-04-27,9.75,10.00,9.75,9.80,183000.00,0.00
2015-04-24,9.70,9.90,9.70,9.75,60400.00,0.00
