Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,8.90,9.60,9.60,9.60,418400.00,0.00
2015-12-30,8.70,9.00,8.70,8.90,94200.00,0.00
2015-12-29,9.50,9.00,8.55,8.70,168100.00,0.00
2015-12-28,8.70,9.55,8.70,9.50,2510000.00,0.00
2015-12-24,8.40,9.00,8.55,8.70,286000.00,0.00
2015-12-23,8.50,8.55,8.30,8.40,252300.00,0.00
2015-12-22,8.40,8.70,8.50,8.50,20600.00,0.00
2015-12-21,8.40,8.75,8.25,8.40,86400.00,0.00
2015-12-18,8.40,8.50,8.20,8.40,80100.00,0.00
2015-12-17,8.10,8.45,8.15,8.40,35700.00,0.00
2015-12-16,8.00,8.20,8.05,8.10,288100.00,0.00
2015-12-15,8.05,8.10,8.00,8.00,30300.00,0.00
2015-12-14,8.10,8.10,8.05,8.05,18100.00,0.00
2015-12-11,8.15,8.20,8.10,8.10,3240000.00,0.00
2015-12-10,8.20,8.20,8.15,8.15,35100.00,0.00
2015-12-09,8.15,8.30,8.10,8.20,69300.00,0.00
2015-12-08,8.10,8.30,8.10,8.15,2500.00,0.00
2015-12-07,8.10,8.20,8.10,8.10,40900.00,0.00
2015-12-04,8.05,8.50,8.10,8.10,19000.00,0.00
2015-12-03,8.00,8.10,7.90,8.05,85100.00,0.00
2015-12-02,7.95,8.10,7.90,8.00,166800.00,0.00
2015-12-01,7.95,8.00,7.90,7.95,84600.00,0.00
2015-11-30,7.95,8.05,7.95,7.95,105700.00,0.00
2015-11-27,7.95,8.00,7.95,7.95,313000.00,0.00
2015-11-25,7.95,8.00,7.90,7.95,2340000.00,0.00
2015-11-24,8.00,8.05,7.85,7.95,655200.00,0.00
2015-11-23,8.00,8.10,8.00,8.00,191300.00,0.00
2015-11-20,8.05,8.10,8.00,8.00,256700.00,0.00
2015-11-19,8.30,8.40,8.00,8.05,140200.00,0.00
2015-11-18,8.35,8.40,8.05,8.30,84100.00,0.00
2015-11-17,8.50,8.45,8.30,8.35,1360000.00,0.00
2015-11-16,8.50,8.60,8.50,8.50,214700.00,0.00
2015-11-13,8.45,8.60,8.50,8.50,51100.00,0.00
2015-11-12,8.50,8.50,8.45,8.45,161700.00,0.00
2015-11-11,8.50,8.60,8.40,8.50,31800.00,0.00
2015-11-10,8.45,8.80,8.50,8.50,324600.00,0.00
2015-11-09,8.45,8.80,8.45,8.45,102100.00,0.00
2015-11-06,8.45,8.80,8.20,8.45,67700.00,0.00
2015-11-05,8.45,8.90,8.20,8.45,15100.00,0.00
2015-11-04,8.10,8.50,8.20,8.45,2710000.00,0.00
2015-11-03,8.15,8.15,8.10,8.10,28200.00,0.00
2015-11-02,8.70,8.80,8.00,8.15,15400.00,0.00
2015-10-30,8.65,8.80,8.70,8.70,92600.00,0.00
2015-10-29,8.50,8.70,8.50,8.65,155100.00,0.00
2015-10-28,8.70,8.90,8.50,8.50,121300.00,0.00
2015-10-27,8.90,8.90,8.05,8.70,124600.00,0.00
2015-10-26,8.85,9.10,8.65,8.90,577100.00,0.00
2015-10-23,8.95,9.00,8.65,8.85,814400.00,0.00
2015-10-22,9.00,9.00,8.70,8.95,244500.00,0.00
2015-10-21,9.00,9.15,9.00,9.00,107000.00,0.00
2015-10-19,8.95,9.15,9.00,9.00,66300.00,0.00
2015-10-16,8.95,9.05,8.75,8.95,448300.00,0.00
2015-10-15,9.00,9.05,8.90,8.95,1400000.00,0.00
2015-10-14,8.95,9.00,9.00,9.00,63700.00,0.00
2015-10-13,9.00,9.00,8.90,8.95,414600.00,0.00
2015-10-12,9.00,9.05,9.00,9.00,212400.00,0.00
2015-10-09,9.00,9.10,9.00,9.00,274800.00,0.00
2015-10-08,9.00,9.05,9.00,9.00,182800.00,0.00
2015-10-07,8.95,9.10,8.95,9.00,287800.00,0.00
2015-10-05,8.90,9.10,8.95,8.95,551200.00,0.00
2015-10-02,8.95,9.00,8.80,8.90,370400.00,0.00
2015-10-01,8.85,9.00,8.85,8.95,2760000.00,0.00
2015-09-30,8.85,9.00,8.85,8.85,49300.00,0.00
2015-09-29,8.80,9.00,8.80,8.85,1150000.00,0.00
2015-09-28,8.75,9.00,8.80,8.80,250800.00,0.00
2015-09-25,8.70,8.85,8.75,8.75,449300.00,0.00
2015-09-24,8.70,8.75,8.70,8.70,78300.00,0.00
2015-09-23,8.70,8.80,8.70,8.70,45300.00,0.00
2015-09-22,8.70,8.90,8.70,8.70,171100.00,0.00
2015-09-21,8.70,8.80,8.70,8.70,112000.00,0.00
