Date,Open,High,Low,Close,Volume,Adj Close
2015-10-16,5.50,5.50,5.50,5.50,0.00,0.00
2015-10-15,5.50,5.50,5.50,5.50,0.00,0.00
2015-10-14,5.50,5.50,5.50,5.50,0.00,0.00
2015-10-13,5.50,5.50,5.50,5.50,0.00,0.00
2015-10-12,5.50,5.50,5.50,5.50,0.00,0.00
2015-10-09,5.50,5.50,5.50,5.50,0.00,0.00
2015-10-08,5.50,5.50,5.50,5.50,0.00,0.00
2015-10-07,5.50,5.50,5.50,5.50,0.00,0.00
2015-10-05,5.50,5.50,5.50,5.50,0.00,0.00
2015-10-02,5.50,5.50,5.50,5.50,0.00,0.00
2015-10-01,5.50,5.50,5.50,5.50,0.00,0.00
2015-09-30,5.50,5.50,5.50,5.50,0.00,0.00
2015-09-29,5.50,5.50,5.50,5.50,0.00,0.00
2015-09-28,5.50,5.50,5.50,5.50,0.00,0.00
2015-09-25,5.50,5.50,5.50,5.50,0.00,0.00
2015-09-24,5.50,5.50,5.50,5.50,0.00,0.00
2015-09-23,5.50,5.50,5.50,5.50,0.00,0.00
2015-09-22,5.50,5.50,5.50,5.50,0.00,0.00
2015-09-21,5.50,5.50,5.50,5.50,0.00,0.00
2015-09-18,5.50,5.50,5.50,5.50,0.00,0.00
2015-09-17,5.50,5.50,5.50,5.50,0.00,0.00
2015-09-16,5.50,5.50,5.50,5.50,0.00,0.00
2015-09-15,5.50,5.50,5.50,5.50,0.00,0.00
2015-09-14,5.50,5.50,5.50,5.50,0.00,0.00
2015-09-11,5.50,5.50,5.50,5.50,0.00,0.00
2015-09-10,5.50,5.50,5.50,5.50,0.00,0.00
2015-09-09,5.50,5.50,5.50,5.50,0.00,0.00
2015-09-08,5.50,5.50,5.50,5.50,0.00,0.00
2015-09-07,5.50,5.50,5.50,5.50,0.00,0.00
2015-09-04,5.50,5.50,5.50,5.50,0.00,0.00
2015-09-03,5.50,5.50,5.50,5.50,0.00,0.00
2015-09-02,5.50,5.50,5.50,5.50,0.00,0.00
2015-09-01,5.50,5.50,5.50,5.50,0.00,0.00
