Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,317.00,317.00,317.00,317.00,0.00,0.00
2015-12-30,349.00,317.00,317.00,317.00,500.00,0.00
2015-12-29,349.00,349.00,349.00,349.00,0.00,0.00
2015-12-28,349.00,349.00,349.00,349.00,0.00,0.00
2015-12-24,349.00,349.00,349.00,349.00,0.00,0.00
2015-12-23,350.00,350.00,330.00,349.00,2500.00,0.00
2015-12-22,350.00,350.00,350.00,350.00,200.00,0.00
2015-12-21,350.00,350.00,350.00,350.00,0.00,0.00
2015-12-18,350.00,350.00,350.00,350.00,0.00,0.00
2015-12-17,331.00,350.00,350.00,350.00,500.00,0.00
2015-12-16,331.00,331.00,331.00,331.00,4000.00,0.00
2015-12-15,331.00,331.00,331.00,331.00,65000.00,0.00
2015-12-14,331.00,331.00,331.00,331.00,0.00,0.00
2015-12-11,331.00,331.00,331.00,331.00,0.00,0.00
2015-12-10,331.00,331.00,331.00,331.00,0.00,0.00
2015-12-09,331.00,331.00,331.00,331.00,0.00,0.00
2015-12-08,331.00,331.00,331.00,331.00,0.00,0.00
2015-12-07,330.00,331.00,331.00,331.00,100.00,0.00
2015-12-04,330.00,330.00,330.00,330.00,0.00,0.00
2015-12-03,330.00,330.00,330.00,330.00,0.00,0.00
2015-12-02,330.00,330.00,330.00,330.00,0.00,0.00
2015-12-01,330.00,330.00,330.00,330.00,0.00,0.00
2015-11-30,330.00,330.00,330.00,330.00,100.00,0.00
2015-11-27,330.00,330.00,330.00,330.00,0.00,0.00
2015-11-25,330.00,330.00,330.00,330.00,100.00,0.00
2015-11-24,330.00,330.00,330.00,330.00,0.00,0.00
2015-11-23,329.00,330.00,330.00,330.00,500.00,0.00
2015-11-20,329.00,329.00,329.00,329.00,0.00,0.00
2015-11-19,329.00,329.00,329.00,329.00,0.00,0.00
2015-11-18,329.00,329.00,329.00,329.00,0.00,0.00
2015-11-17,329.00,329.00,329.00,329.00,0.00,0.00
2015-11-16,329.00,329.00,329.00,329.00,0.00,0.00
2015-11-13,329.00,329.00,329.00,329.00,0.00,0.00
2015-11-12,329.00,329.00,329.00,329.00,0.00,0.00
2015-11-11,329.00,329.00,329.00,329.00,0.00,0.00
2015-11-10,329.00,329.00,329.00,329.00,0.00,0.00
2015-11-09,329.00,329.00,329.00,329.00,0.00,0.00
2015-11-06,300.00,330.00,310.00,329.00,22300.00,0.00
2015-11-05,300.00,300.00,300.00,300.00,0.00,0.00
2015-11-04,300.00,300.00,300.00,300.00,100.00,0.00
2015-11-03,300.00,300.00,300.00,300.00,0.00,0.00
2015-11-02,300.00,300.00,300.00,300.00,0.00,0.00
2015-10-30,300.00,300.00,300.00,300.00,100.00,0.00
2015-10-29,330.00,300.00,300.00,300.00,1400.00,0.00
2015-10-28,330.00,330.00,330.00,330.00,0.00,0.00
2015-10-27,330.00,330.00,330.00,330.00,0.00,0.00
2015-10-26,330.00,330.00,330.00,330.00,0.00,0.00
2015-10-23,300.00,330.00,330.00,330.00,100.00,0.00
2015-10-22,300.00,300.00,300.00,300.00,0.00,0.00
2015-10-21,300.00,300.00,300.00,300.00,0.00,0.00
2015-10-19,309.00,300.00,300.00,300.00,500.00,0.00
2015-10-16,310.00,310.00,290.00,309.00,90300.00,0.00
2015-10-15,310.00,310.00,310.00,310.00,0.00,0.00
2015-10-14,312.00,310.00,310.00,310.00,500.00,0.00
2015-10-13,310.00,340.00,310.00,312.00,1100.00,0.00
2015-10-12,320.00,310.00,310.00,310.00,100.00,0.00
2015-10-09,320.00,320.00,320.00,320.00,0.00,0.00
2015-10-08,320.00,320.00,320.00,320.00,0.00,0.00
2015-10-07,315.00,320.00,320.00,320.00,100.00,0.00
2015-10-05,315.00,315.00,315.00,315.00,0.00,0.00
2015-10-02,315.00,315.00,315.00,315.00,12500.00,0.00
2015-10-01,315.00,315.00,315.00,315.00,600.00,0.00
2015-09-30,310.00,315.00,315.00,315.00,1600.00,0.00
2015-09-29,343.00,310.00,310.00,310.00,100.00,0.00
2015-09-28,343.00,343.00,343.00,343.00,0.00,0.00
2015-09-25,343.00,343.00,343.00,343.00,0.00,0.00
2015-09-24,343.00,343.00,343.00,343.00,0.00,0.00
2015-09-23,343.00,343.00,343.00,343.00,0.00,0.00
2015-09-22,343.00,343.00,343.00,343.00,0.00,0.00
2015-09-21,343.00,343.00,343.00,343.00,0.00,0.00
2015-09-18,343.00,343.00,343.00,343.00,0.00,0.00
2015-09-17,326.00,343.00,343.00,343.00,100.00,0.00
2015-09-16,297.00,326.00,326.00,326.00,100.00,0.00
2015-09-15,330.00,297.00,297.00,297.00,200.00,0.00
2015-09-14,310.00,330.00,330.00,330.00,300.00,0.00
2015-09-11,295.00,310.00,310.00,310.00,100.00,0.00
2015-09-10,282.00,305.00,281.00,295.00,600.00,0.00
2015-09-09,310.00,282.00,282.00,282.00,200.00,0.00
2015-09-08,310.00,310.00,310.00,310.00,0.00,0.00
2015-09-07,310.00,310.00,310.00,310.00,0.00,0.00
2015-09-04,310.00,310.00,310.00,310.00,0.00,0.00
2015-09-03,342.00,310.00,310.00,310.00,100.00,0.00
2015-09-02,342.00,342.00,342.00,342.00,3900.00,0.00
2015-09-01,342.00,342.00,342.00,342.00,2600.00,0.00
2015-08-31,342.00,342.00,342.00,342.00,1000.00,0.00
2015-08-28,342.00,342.00,342.00,342.00,0.00,0.00
2015-08-27,343.00,343.00,342.00,342.00,13000.00,0.00
2015-08-26,343.00,343.00,343.00,343.00,0.00,0.00
2015-08-25,345.00,343.00,343.00,343.00,300.00,0.00
2015-08-24,345.00,345.00,345.00,345.00,100.00,0.00
2015-08-21,343.00,345.00,345.00,345.00,13200.00,0.00
2015-08-20,343.00,343.00,343.00,343.00,0.00,0.00
2015-08-19,344.00,345.00,343.00,343.00,400.00,0.00
2015-08-18,344.00,344.00,344.00,344.00,0.00,0.00
2015-08-17,344.00,344.00,344.00,344.00,0.00,0.00
2015-08-14,379.00,352.00,342.00,344.00,500.00,0.00
2015-08-13,352.00,383.00,360.00,379.00,4800.00,0.00
2015-08-12,352.00,352.00,352.00,352.00,0.00,0.00
2015-08-11,353.00,352.00,352.00,352.00,200.00,0.00
2015-08-10,325.00,354.00,352.00,353.00,4600.00,0.00
2015-08-07,325.00,325.00,325.00,325.00,0.00,0.00
2015-08-06,325.00,325.00,325.00,325.00,0.00,0.00
2015-08-05,321.00,325.00,325.00,325.00,1700.00,0.00
2015-08-04,355.00,321.00,321.00,321.00,100.00,0.00
2015-08-03,355.00,355.00,355.00,355.00,0.00,0.00
2015-07-31,355.00,355.00,355.00,355.00,100.00,0.00
2015-07-30,325.00,355.00,355.00,355.00,100.00,0.00
2015-07-29,325.00,325.00,325.00,325.00,0.00,0.00
2015-07-28,360.00,325.00,325.00,325.00,100.00,0.00
2015-07-27,347.00,360.00,360.00,360.00,1400.00,0.00
2015-07-24,347.00,347.00,347.00,347.00,0.00,0.00
2015-07-23,360.00,358.00,325.00,347.00,300.00,0.00
2015-07-22,340.00,360.00,360.00,360.00,100.00,0.00
2015-07-21,356.00,359.00,321.00,340.00,200.00,0.00
2015-07-20,356.00,356.00,356.00,356.00,0.00,0.00
2015-07-17,356.00,356.00,356.00,356.00,0.00,0.00
2015-07-16,356.00,356.00,356.00,356.00,0.00,0.00
2015-07-15,356.00,356.00,356.00,356.00,0.00,0.00
2015-07-14,330.00,363.00,330.00,356.00,3000.00,0.00
2015-07-13,329.00,335.00,329.00,330.00,5800.00,0.00
2015-07-09,330.00,329.00,329.00,329.00,100.00,0.00
2015-07-08,330.00,330.00,330.00,330.00,200.00,0.00
2015-07-07,330.00,330.00,330.00,330.00,0.00,0.00
2015-07-06,307.00,330.00,330.00,330.00,700.00,0.00
2015-07-03,307.00,307.00,307.00,307.00,0.00,0.00
2015-07-02,301.00,310.00,303.00,307.00,800.00,0.00
2015-07-01,307.00,310.00,301.00,301.00,138900.00,0.00
2015-06-30,307.00,307.00,307.00,307.00,0.00,0.00
2015-06-29,307.00,307.00,307.00,307.00,0.00,0.00
2015-06-26,307.00,307.00,307.00,307.00,0.00,0.00
2015-06-25,307.00,307.00,307.00,307.00,0.00,0.00
2015-06-24,307.00,307.00,307.00,307.00,0.00,0.00
2015-06-23,307.00,307.00,307.00,307.00,0.00,0.00
2015-06-22,305.00,307.00,307.00,307.00,100.00,0.00
2015-06-19,300.00,305.00,305.00,305.00,1500.00,0.00
2015-06-18,300.00,300.00,300.00,300.00,0.00,0.00
2015-06-17,300.00,300.00,300.00,300.00,0.00,0.00
2015-06-16,300.00,300.00,300.00,300.00,0.00,0.00
2015-06-15,300.00,300.00,300.00,300.00,2100.00,0.00
2015-06-12,300.00,300.00,300.00,300.00,100.00,0.00
2015-06-11,300.00,300.00,300.00,300.00,3000.00,0.00
2015-06-10,300.00,300.00,300.00,300.00,0.00,0.00
2015-06-09,297.00,300.00,300.00,300.00,5900.00,0.00
2015-06-08,297.00,300.00,281.00,297.00,800.00,0.00
2015-06-05,280.00,300.00,276.00,297.00,1100.00,0.00
2015-06-04,300.00,280.00,280.00,280.00,100.00,0.00
2015-06-03,300.00,300.00,300.00,300.00,0.00,0.00
2015-06-02,273.00,300.00,300.00,300.00,1600.00,0.00
2015-05-29,295.00,273.00,273.00,273.00,200.00,0.00
2015-05-28,300.00,300.00,272.00,295.00,1200.00,0.00
2015-05-27,300.00,300.00,300.00,300.00,0.00,0.00
2015-05-26,299.00,300.00,300.00,300.00,4000.00,0.00
2015-05-25,299.00,299.00,299.00,299.00,0.00,0.00
2015-05-22,299.00,299.00,299.00,299.00,0.00,0.00
2015-05-21,299.00,299.00,299.00,299.00,0.00,0.00
