Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,4.50,4.50,4.50,4.50,0.00,0.00
2015-12-30,4.40,4.75,4.45,4.50,52100.00,0.00
2015-12-29,4.40,4.70,4.30,4.40,13300.00,0.00
2015-12-28,4.25,4.40,4.40,4.40,8000.00,0.00
2015-12-24,4.00,4.40,4.00,4.25,1900.00,0.00
2015-12-23,4.00,4.40,3.95,4.00,151900.00,0.00
2015-12-22,4.00,4.20,3.95,4.00,52600.00,0.00
2015-12-21,4.20,4.20,3.90,4.00,17400.00,0.00
2015-12-18,4.15,4.20,4.20,4.20,7900.00,0.00
2015-12-17,4.05,4.20,4.00,4.15,13300.00,0.00
2015-12-16,4.15,4.20,4.00,4.05,11000.00,0.00
2015-12-15,3.90,4.20,3.95,4.15,7100.00,0.00
2015-12-14,3.95,4.20,3.90,3.90,63800.00,0.00
2015-12-11,4.00,4.00,3.95,3.95,24400.00,0.00
2015-12-10,4.05,4.15,4.00,4.00,16400.00,0.00
2015-12-09,4.25,4.25,4.00,4.05,24900.00,0.00
2015-12-08,4.05,4.30,4.20,4.25,11200.00,0.00
2015-12-07,4.00,4.20,4.00,4.05,16800.00,0.00
2015-12-04,4.00,4.05,4.00,4.00,18400.00,0.00
2015-12-03,4.10,4.05,3.70,4.00,14800.00,0.00
2015-12-02,4.45,4.20,4.05,4.10,66500.00,0.00
2015-12-01,4.70,4.70,4.30,4.45,9000.00,0.00
2015-11-30,4.75,4.90,4.65,4.70,19900.00,0.00
2015-11-27,4.70,4.95,4.60,4.75,29100.00,0.00
2015-11-25,4.85,5.00,4.50,4.70,34500.00,0.00
2015-11-24,4.70,5.00,4.80,4.85,5100.00,0.00
2015-11-23,4.75,4.90,4.50,4.70,5200.00,0.00
2015-11-20,4.50,4.85,4.75,4.75,10200.00,0.00
2015-11-19,4.45,4.80,4.50,4.50,17800.00,0.00
2015-11-18,4.45,4.50,4.45,4.45,15800.00,0.00
2015-11-17,4.65,4.65,4.45,4.45,205000.00,0.00
2015-11-16,4.70,5.10,4.60,4.65,52700.00,0.00
2015-11-13,4.70,4.75,4.60,4.70,42700.00,0.00
2015-11-12,4.70,4.75,4.70,4.70,10000.00,0.00
2015-11-11,4.75,4.75,4.70,4.70,13700.00,0.00
2015-11-10,4.95,4.80,4.70,4.75,39400.00,0.00
2015-11-09,4.75,5.10,4.75,4.95,8100.00,0.00
2015-11-06,4.55,5.00,4.60,4.75,4200.00,0.00
2015-11-05,4.75,4.60,4.55,4.55,44200.00,0.00
2015-11-04,4.95,5.00,4.60,4.75,11500.00,0.00
2015-11-03,4.55,5.00,4.90,4.95,409600.00,0.00
2015-11-02,4.80,4.80,4.55,4.55,9700.00,0.00
2015-10-30,4.75,4.90,4.75,4.80,10800.00,0.00
2015-10-29,4.90,5.00,4.50,4.75,13900.00,0.00
2015-10-28,4.95,5.00,4.90,4.90,4400.00,0.00
2015-10-27,4.70,5.00,4.90,4.95,5900.00,0.00
2015-10-26,5.20,5.20,4.70,4.70,68300.00,0.00
2015-10-23,5.35,5.30,5.20,5.20,9600.00,0.00
2015-10-22,5.35,5.40,5.35,5.35,2300.00,0.00
2015-10-21,5.50,5.45,5.00,5.35,47100.00,0.00
2015-10-19,5.45,5.85,5.50,5.50,7800.00,0.00
2015-10-16,5.45,5.60,5.40,5.45,8800.00,0.00
2015-10-15,5.95,6.20,5.40,5.45,135800.00,0.00
2015-10-14,6.00,6.00,5.90,5.95,7100.00,0.00
2015-10-13,6.25,6.00,6.00,6.00,11800.00,0.00
2015-10-12,6.25,6.30,6.20,6.25,3600.00,0.00
2015-10-09,6.35,6.50,6.20,6.25,31400.00,0.00
2015-10-08,6.10,6.50,6.30,6.35,28500.00,0.00
2015-10-07,6.30,6.40,5.90,6.10,39600.00,0.00
2015-10-05,6.35,6.35,6.20,6.30,29500.00,0.00
2015-10-02,6.20,6.40,6.30,6.35,17600.00,0.00
2015-10-01,6.25,6.40,6.20,6.20,25100.00,0.00
2015-09-30,6.20,6.40,6.20,6.25,22500.00,0.00
2015-09-29,6.40,6.40,6.00,6.20,16200.00,0.00
2015-09-28,6.65,6.50,6.40,6.40,3800.00,0.00
2015-09-25,7.00,7.10,6.00,6.65,90900.00,0.00
2015-09-24,7.05,7.35,7.00,7.00,64100.00,0.00
2015-09-23,7.00,7.40,7.00,7.05,30000.00,0.00
2015-09-22,7.00,7.40,7.00,7.00,37600.00,0.00
2015-09-21,7.35,7.40,7.00,7.00,6600.00,0.00
2015-09-18,7.05,7.40,7.00,7.35,3900.00,0.00
