Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,1.65,1.65,1.60,1.60,76400.00,0.00
2015-12-30,1.60,1.70,1.60,1.65,678600.00,0.00
2015-12-29,1.55,1.65,1.60,1.60,137100.00,0.00
2015-12-28,1.55,1.60,1.55,1.55,262900.00,0.00
2015-12-24,1.55,1.60,1.55,1.55,154000.00,0.00
2015-12-23,1.55,1.65,1.55,1.55,158700.00,0.00
2015-12-22,1.55,1.65,1.50,1.55,249400.00,0.00
2015-12-21,1.55,1.60,1.50,1.55,189200.00,0.00
2015-12-18,1.55,1.60,1.55,1.55,296300.00,0.00
2015-12-17,1.55,1.60,1.55,1.55,215300.00,0.00
2015-12-16,1.55,1.65,1.55,1.55,445400.00,0.00
2015-12-15,1.55,1.65,1.55,1.55,426200.00,0.00
2015-12-14,1.55,1.60,1.50,1.55,274600.00,0.00
2015-12-11,1.55,1.65,1.55,1.55,330600.00,0.00
2015-12-10,1.60,1.65,1.55,1.55,748100.00,0.00
2015-12-09,1.60,1.65,1.60,1.60,367500.00,0.00
2015-12-08,1.50,1.65,1.50,1.60,778800.00,0.00
2015-12-07,1.55,1.65,1.50,1.50,1580000.00,0.00
2015-12-04,1.55,1.60,1.50,1.55,284200.00,0.00
2015-12-03,1.55,1.60,1.50,1.55,172600.00,0.00
2015-12-02,1.55,1.60,1.50,1.55,508700.00,0.00
2015-12-01,1.55,1.60,1.55,1.55,645500.00,0.00
2015-11-30,1.60,1.70,1.55,1.55,1110000.00,0.00
2015-11-27,1.60,1.70,1.60,1.60,396700.00,0.00
2015-11-25,1.70,1.75,1.55,1.60,2260000.00,0.00
2015-11-24,1.65,1.75,1.65,1.70,789600.00,0.00
2015-11-23,1.60,1.70,1.60,1.65,297300.00,0.00
2015-11-20,1.50,1.65,1.55,1.60,342600.00,0.00
2015-11-19,1.45,1.55,1.50,1.50,195000.00,0.00
2015-11-18,1.45,1.55,1.45,1.45,397900.00,0.00
2015-11-17,1.50,1.50,1.45,1.45,370000.00,0.00
2015-11-16,1.55,1.60,1.50,1.50,662900.00,0.00
2015-11-13,1.55,1.60,1.55,1.55,240700.00,0.00
2015-11-12,1.50,1.60,1.50,1.55,159100.00,0.00
2015-11-11,1.55,1.55,1.50,1.50,606000.00,0.00
2015-11-10,1.55,1.60,1.50,1.55,1380000.00,0.00
2015-11-09,1.55,1.60,1.55,1.55,2020000.00,0.00
2015-11-06,1.65,1.65,1.55,1.55,291300.00,0.00
2015-11-05,1.55,1.70,1.55,1.65,500300.00,0.00
2015-11-04,1.55,1.65,1.55,1.55,430100.00,0.00
2015-11-03,1.50,1.60,1.50,1.55,436600.00,0.00
2015-11-02,1.60,1.60,1.50,1.50,1340000.00,0.00
2015-10-30,1.60,1.70,1.55,1.60,210000.00,0.00
2015-10-29,1.65,1.70,1.60,1.60,343400.00,0.00
2015-10-28,1.60,1.70,1.60,1.65,74000.00,0.00
2015-10-27,1.60,1.70,1.60,1.60,137200.00,0.00
2015-10-26,1.65,1.75,1.60,1.60,1110000.00,0.00
2015-10-23,1.55,1.70,1.60,1.65,189700.00,0.00
2015-10-22,1.65,1.70,1.55,1.55,303300.00,0.00
2015-10-21,1.75,1.75,1.65,1.65,1350000.00,0.00
2015-10-19,1.70,1.80,1.70,1.75,199100.00,0.00
2015-10-16,1.70,1.80,1.70,1.70,533700.00,0.00
2015-10-15,1.75,1.80,1.70,1.70,136400.00,0.00
2015-10-14,1.80,1.85,1.70,1.75,721700.00,0.00
2015-10-13,1.85,1.85,1.75,1.80,466900.00,0.00
2015-10-12,1.85,1.95,1.80,1.85,526500.00,0.00
2015-10-09,1.85,1.90,1.85,1.85,266700.00,0.00
2015-10-08,1.90,1.90,1.85,1.85,903300.00,0.00
2015-10-07,1.85,2.00,1.85,1.90,666900.00,0.00
2015-10-05,1.80,1.95,1.80,1.85,1610000.00,0.00
2015-10-02,1.80,1.90,1.80,1.80,116300.00,0.00
2015-10-01,1.85,1.90,1.80,1.80,415800.00,0.00
2015-09-30,1.90,1.90,1.85,1.85,371900.00,0.00
2015-09-29,1.90,2.00,1.90,1.90,342500.00,0.00
2015-09-28,1.90,2.00,1.90,1.90,304400.00,0.00
2015-09-25,1.85,2.00,1.90,1.90,359400.00,0.00
2015-09-24,1.90,2.00,1.75,1.85,2110000.00,0.00
2015-09-23,1.90,2.00,1.85,1.90,802400.00,0.00
2015-09-22,1.90,2.00,1.85,1.90,532000.00,0.00
2015-09-21,1.90,1.95,1.90,1.90,211600.00,0.00
2015-09-18,1.95,1.95,1.90,1.90,250700.00,0.00
2015-09-17,1.90,2.00,1.90,1.95,277700.00,0.00
2015-09-16,1.90,2.00,1.90,1.90,499600.00,0.00
2015-09-15,2.00,2.05,1.90,1.90,2010000.00,0.00
2015-09-14,1.90,2.05,1.90,2.00,1490000.00,0.00
2015-09-11,1.95,2.05,1.90,1.90,1720000.00,0.00
2015-09-10,1.85,2.00,1.90,1.95,767300.00,0.00
2015-09-09,1.75,1.90,1.75,1.85,2310000.00,0.00
2015-09-08,1.75,1.85,1.70,1.75,779800.00,0.00
2015-09-07,1.75,1.90,1.65,1.75,667700.00,0.00
2015-09-04,1.75,1.90,1.70,1.75,511700.00,0.00
2015-09-03,1.80,1.85,1.75,1.75,182900.00,0.00
2015-09-02,1.80,1.85,1.75,1.80,462300.00,0.00
2015-09-01,1.80,1.90,1.80,1.80,281300.00,0.00
2015-08-31,1.80,1.90,1.75,1.80,420000.00,0.00
2015-08-28,1.85,1.90,1.80,1.80,144800.00,0.00
2015-08-27,1.80,1.90,1.80,1.85,1180000.00,0.00
2015-08-26,1.85,1.90,1.80,1.80,1150000.00,0.00
2015-08-25,1.85,1.95,1.85,1.85,972100.00,0.00
2015-08-24,1.90,1.90,1.85,1.85,544300.00,0.00
2015-08-21,1.85,2.00,1.90,1.90,935500.00,0.00
2015-08-20,1.90,1.95,1.80,1.85,777800.00,0.00
2015-08-19,1.90,1.95,1.80,1.90,1190000.00,0.00
2015-08-18,1.90,1.95,1.90,1.90,312300.00,0.00
2015-08-17,1.95,2.05,1.85,1.90,1190000.00,0.00
2015-08-14,1.85,2.00,1.90,1.95,1470000.00,0.00
2015-08-13,1.90,2.00,1.85,1.85,517600.00,0.00
2015-08-12,2.00,2.05,1.85,1.90,1270000.00,0.00
2015-08-11,2.00,2.10,1.95,2.00,977500.00,0.00
2015-08-10,2.00,2.05,1.95,2.00,644800.00,0.00
2015-08-07,2.00,2.10,2.00,2.00,1030000.00,0.00
2015-08-06,2.00,2.10,2.00,2.00,955900.00,0.00
2015-08-05,1.90,2.05,1.90,2.00,1130000.00,0.00
2015-08-04,1.90,1.95,1.90,1.90,357300.00,0.00
2015-08-03,1.90,2.00,1.90,1.90,782000.00,0.00
2015-07-31,1.85,1.95,1.85,1.90,1360000.00,0.00
2015-07-30,1.90,1.90,1.85,1.85,382300.00,0.00
2015-07-29,1.95,2.10,1.85,1.90,470400.00,0.00
2015-07-28,1.90,2.00,1.90,1.95,388400.00,0.00
2015-07-27,1.90,2.00,1.80,1.90,833600.00,0.00
2015-07-24,2.00,2.05,1.90,1.90,125700.00,0.00
2015-07-23,2.05,2.10,2.00,2.00,569700.00,0.00
2015-07-22,2.05,2.10,2.00,2.05,418400.00,0.00
2015-07-21,2.05,2.10,2.05,2.05,1570000.00,0.00
2015-07-20,2.10,2.15,2.05,2.05,351700.00,0.00
2015-07-17,2.10,2.15,2.10,2.10,717300.00,0.00
2015-07-16,2.10,2.15,2.10,2.10,1190000.00,0.00
2015-07-15,2.10,2.20,2.05,2.10,1380000.00,0.00
2015-07-14,2.15,2.20,2.00,2.10,913800.00,0.00
2015-07-13,2.00,2.30,2.10,2.15,662600.00,0.00
2015-07-09,2.05,2.15,2.00,2.00,392300.00,0.00
2015-07-08,2.15,2.10,2.05,2.05,766600.00,0.00
2015-07-07,2.10,2.20,2.00,2.15,652200.00,0.00
2015-07-06,2.25,2.35,2.05,2.10,2190000.00,0.00
2015-07-03,2.30,2.35,2.15,2.25,1550000.00,0.00
2015-07-02,2.30,2.35,2.20,2.30,1360000.00,0.00
2015-07-01,2.35,2.45,2.25,2.30,2030000.00,0.00
2015-06-30,2.35,2.45,2.35,2.35,2840000.00,0.00
2015-06-29,2.25,2.45,2.25,2.35,1740000.00,0.00
2015-06-26,2.45,2.50,2.25,2.25,2940000.00,0.00
2015-06-25,2.30,2.50,2.35,2.45,6150000.00,0.00
2015-06-24,2.10,2.30,2.30,2.30,1720000.00,0.00
2015-06-23,1.95,2.10,2.10,2.10,113700.00,0.00
2015-06-22,1.85,2.00,1.85,1.95,1780000.00,0.00
2015-06-19,1.90,1.95,1.85,1.85,309300.00,0.00
2015-06-18,1.90,1.95,1.85,1.90,588600.00,0.00
2015-06-17,1.85,1.95,1.90,1.90,409100.00,0.00
2015-06-16,1.90,1.95,1.85,1.85,390600.00,0.00
2015-06-15,1.90,2.00,1.90,1.90,644300.00,0.00
