Date,Open,High,Low,Close,Volume,Adj Close
2015-12-30,4004.91,3992.57,3992.57,3992.57,0,0
2015-12-29,3980.57,4004.91,4004.91,4004.91,0,0
2015-12-28,3955.73,3980.57,3980.57,3980.57,0,0
2015-12-24,3918.75,3955.73,3955.73,3955.73,0,0
2015-12-23,3954.54,3918.75,3918.75,3918.75,0,0
2015-12-22,4008.63,3954.54,3954.54,3954.54,0,0
2015-12-21,3989.95,4008.63,4008.63,4008.63,0,0
2015-12-18,4005.22,3989.95,3989.95,3989.95,0,0
2015-12-17,4011.66,4005.22,4005.22,4005.22,0,0
2015-12-16,3987.57,4011.66,4011.66,4011.66,0,0
2015-12-15,3968.2,3987.57,3987.57,3987.57,0,0
2015-12-14,3995.09,3968.2,3968.2,3968.2,0,0
2015-12-11,4002.63,3995.09,3995.09,3995.09,0,0
2015-12-10,4002.63,4002.63,4002.63,4002.63,0,0
2015-12-09,3994.88,4002.63,4002.63,4002.63,0,0
2015-12-08,3990.02,3994.88,3994.88,3994.88,0,0
2015-12-07,3990.64,3990.02,3990.02,3990.02,0,0
2015-12-04,3994.49,3990.64,3990.64,3990.64,0,0
2015-12-03,3989.87,3994.49,3994.49,3994.49,0,0
2015-12-02,3978.17,3989.87,3989.87,3989.87,0,0
2015-12-01,4016.18,3978.17,3978.17,3978.17,0,0
2015-11-30,3994.56,4016.18,4016.18,4016.18,0,0
2015-11-27,4044.72,3994.56,3994.56,3994.56,0,0
2015-11-25,4020.55,4044.72,4044.72,4044.72,0,0
2015-11-24,4021.14,4020.55,4020.55,4020.55,0,0
2015-11-23,3992.58,4021.14,4021.14,4021.14,0,0
2015-11-20,3971.3,3992.58,3992.58,3992.58,0,0
2015-11-19,3946.99,3971.3,3971.3,3971.3,0,0
2015-11-18,3950.97,3946.99,3946.99,3946.99,0,0
2015-11-17,3928.72,3950.97,3950.97,3950.97,0,0
2015-11-16,3917.64,3928.72,3928.72,3928.72,0,0
2015-11-13,3919.1,3917.64,3917.64,3917.64,0,0
2015-11-12,3919.1,3919.1,3919.1,3919.1,0,0
2015-11-11,3887.53,3919.1,3919.1,3919.1,0,0
2015-11-10,3892.84,3887.53,3887.53,3887.53,0,0
2015-11-09,3868.09,3892.84,3892.84,3892.84,0,0
2015-11-06,3868.09,3868.09,3868.09,3868.09,0,0
2015-11-05,3830.15,3868.09,3868.09,3868.09,0,0
2015-11-04,3829.91,3830.15,3830.15,3830.15,0,0
2015-11-03,3856.75,3829.91,3829.91,3829.91,0,0
2015-11-02,3868.83,3856.75,3856.75,3856.75,0,0
2015-10-30,3884.13,3868.83,3868.83,3868.83,0,0
2015-10-29,3905.88,3884.13,3884.13,3884.13,0,0
2015-10-28,3913.51,3905.88,3905.88,3905.88,0,0
2015-10-27,3936.6,3913.51,3913.51,3913.51,0,0
2015-10-26,3952.97,3936.6,3936.6,3936.6,0,0
2015-10-23,3935.88,3952.97,3952.97,3952.97,0,0
2015-10-22,3909.27,3935.88,3935.88,3935.88,0,0
2015-10-21,3930.32,3909.27,3909.27,3909.27,0,0
2015-10-19,3901.13,3930.32,3930.32,3930.32,0,0
2015-10-16,3868.18,3901.13,3901.13,3901.13,0,0
2015-10-15,4084.36,3868.18,3868.18,3868.18,0,0
2015-10-05,4109.6,4084.36,4084.36,4084.36,13720000,0
2015-10-02,4153,4109.6,4109.6,4109.6,25850000,0
2015-10-01,4173.52,4153,4153,4153,16560000,0
2015-09-30,4189.22,4173.52,4173.52,4173.52,0,0
2015-09-29,4206.15,4189.22,4189.22,4189.22,0,0
2015-09-28,4222.55,4206.15,4206.15,4206.15,20080000,0
2015-09-25,4222.55,4222.55,4222.55,4222.55,0,0
2015-09-24,4212.11,4222.55,4222.55,4222.55,11810000,0
2015-09-23,4212.11,4212.11,4212.11,4212.11,0,0
2015-09-22,4236.26,4212.11,4212.11,4212.11,16130000,0
2015-09-21,4236.26,4236.26,4236.26,4236.26,0,0
2015-09-18,4248.95,4236.26,4236.26,4236.26,15150000,0
2015-09-17,4257.27,4248.95,4248.95,4248.95,16940000,0
2015-09-16,4250.6,4257.27,4257.27,4257.27,19590000,0
2015-09-15,4234.66,4250.6,4250.6,4250.6,0,0
2015-09-14,4217.78,4234.66,4234.66,4234.66,13510000,0
2015-09-10,4216.83,4217.78,4217.78,4217.78,0,0
2015-09-09,4216.83,4216.83,4216.83,4216.83,0,0
2015-09-08,4194.73,4216.83,4216.83,4216.83,0,0
2015-09-07,4134.41,4194.73,4194.73,4194.73,19130000,0
2015-09-04,4153.31,4134.41,4134.41,4134.41,17510000,0
2015-09-03,4153.21,4153.31,4153.31,4153.31,0,0
2015-09-02,4176.59,4153.21,4153.21,4153.21,0,0
2015-09-01,4176.59,4176.59,4176.59,4176.59,0,0
2015-08-31,4101.67,4176.59,4176.59,4176.59,12910000,0
2015-08-28,4080.83,4101.67,4101.67,4101.67,0,0
2015-08-27,4171.35,4080.83,4080.83,4080.83,0,0
2015-08-26,4242.73,4171.35,4171.35,4171.35,0,0
2015-08-25,4337.47,4242.73,4242.73,4242.73,15700000,0
2015-08-24,4405.29,4337.47,4337.47,4337.47,0,0
2015-08-21,4464.74,4405.29,4405.29,4405.29,57310000,0
2015-08-20,4464.74,4464.74,4464.74,4464.74,0,0
2015-08-19,4482.19,4464.74,4464.74,4464.74,22360000,0
2015-08-18,4509.84,4482.19,4482.19,4482.19,0,0
2015-08-17,4496.23,4509.84,4509.84,4509.84,0,0
2015-08-14,4495.52,4496.23,4496.23,4496.23,0,0
2015-08-13,4499.06,4495.52,4495.52,4495.52,22350000,0
2015-08-12,4519.63,4499.06,4499.06,4499.06,12840000,0
2015-08-11,4483.58,4519.63,4519.63,4519.63,0,0
2015-08-10,4415.09,4483.58,4483.58,4483.58,19150000,0
2015-08-07,4317.23,4415.09,4415.09,4415.09,17330000,0
2015-08-06,4317.23,4317.23,4317.23,4317.23,0,0
2015-08-05,4343.16,4317.23,4317.23,4317.23,63970000,0
2015-08-04,4354.99,4343.16,4343.16,4343.16,105690000,0
2015-08-03,4404.72,4354.99,4354.99,4354.99,28110000,0
2015-07-31,4605.25,4404.72,4404.72,4404.72,39530000,0
2015-07-30,4532.28,4605.25,4605.25,4605.25,0,0
2015-07-29,4485.71,4532.28,4532.28,4532.28,35360000,0
2015-07-28,4467.36,4485.71,4485.71,4485.71,0,0
2015-07-27,4500.43,4467.36,4467.36,4467.36,0,0
2015-07-24,4539.47,4500.43,4500.43,4500.43,0,0
2015-07-23,4578.62,4539.47,4539.47,4539.47,0,0
2015-07-22,4605.25,4578.62,4578.62,4578.62,0,0
2015-07-21,4627.9,4605.25,4605.25,4605.25,0,0
2015-07-20,4638.44,4627.9,4627.9,4627.9,0,0
2015-07-17,4676.16,4638.44,4638.44,4638.44,0,0
2015-07-16,4690.16,4676.16,4676.16,4676.16,0,0
2015-07-15,4692.17,4690.16,4690.16,4690.16,0,0
2015-07-14,4727.46,4692.17,4692.17,4692.17,0,0
2015-07-13,4727.46,4727.46,4727.46,4727.46,23510000,0
2015-07-09,4762.87,4754.66,4754.66,4754.66,0,0
2015-07-08,4815.28,4762.87,4762.87,4762.87,0,0
2015-07-07,4814.11,4815.28,4815.28,4815.28,20680000,0
2015-07-06,4812.57,4814.11,4814.11,4814.11,0,0
2015-07-03,4839.6,4812.57,4812.57,4812.57,0,0
2015-07-02,4858.42,4839.6,4839.6,4839.6,0,0
2015-07-01,4906.07,4858.42,4858.42,4858.42,0,0
2015-06-30,4837.58,4906.07,4906.07,4906.07,0,0
2015-06-29,4810.36,4837.58,4837.58,4837.58,0,0
2015-06-26,4798.73,4810.36,4810.36,4810.36,0,0
2015-06-25,4776.35,4798.73,4798.73,4798.73,0,0
2015-06-24,4776.35,4776.35,4776.35,4776.35,0,0
2015-06-23,4780.48,4776.35,4776.35,4776.35,0,0
2015-06-22,4778.63,4780.48,4780.48,4780.48,0,0
2015-06-19,4796.26,4778.63,4778.63,4778.63,0,0
2015-06-18,4790.42,4796.26,4796.26,4796.26,0,0
2015-06-17,4773.23,4790.42,4790.42,4790.42,7800000,0
2015-06-16,4759.58,4773.23,4773.23,4773.23,0,0
2015-06-15,4765.02,4759.58,4759.58,4759.58,0,0
2015-06-12,4744.95,4765.02,4765.02,4765.02,0,0
2015-06-11,4744.66,4744.95,4744.95,4744.95,0,0
2015-06-10,4745.42,4744.66,4744.66,4744.66,19970000,0
2015-06-09,4761.44,4745.42,4745.42,4745.42,0,0
2015-06-08,4784.07,4761.44,4761.44,4761.44,0,0
2015-06-05,4773.79,4784.07,4784.07,4784.07,0,0
2015-06-04,4790.5,4773.79,4773.79,4773.79,0,0
2015-06-03,4816.66,4790.5,4790.5,4790.5,0,0
2015-06-02,4786.74,4816.66,4816.66,4816.66,0,0
2015-05-29,4835.75,4786.74,4786.74,4786.74,0,0
2015-05-28,4835.75,4835.75,4835.75,4835.75,0,0
2015-05-27,4853.44,4835.75,4835.75,4835.75,0,0
2015-05-26,4858.61,4853.44,4853.44,4853.44,0,0
2015-05-25,4879.95,4858.61,4858.61,4858.61,0,0
2015-05-22,4928.91,4879.95,4879.95,4879.95,0,0
2015-05-21,4924.45,4928.91,4928.91,4928.91,0,0
2015-05-20,4941.71,4924.45,4924.45,4924.45,37980000,0
2015-05-19,4932.32,4941.71,4941.71,4941.71,0,0
2015-05-18,4980.71,4932.32,4932.32,4932.32,0,0
2015-05-15,4979.71,4980.71,4980.71,4980.71,37970000,0
2015-05-14,4980.48,4979.71,4979.71,4979.71,0,0
2015-05-13,5042.52,4980.48,4980.48,4980.48,0,0
2015-05-12,5042.52,5042.52,5042.52,5042.52,0,0
2015-05-11,5070.75,5042.52,5042.52,5042.52,0,0
2015-05-08,5074.76,5070.75,5070.75,5070.75,48900000,0
2015-05-07,5083.94,5074.76,5074.76,5074.76,0,0
2015-05-06,5100.51,5083.94,5083.94,5083.94,25730000,0
2015-05-05,5085.4,5100.51,5100.51,5100.51,0,0
2015-05-04,5061.11,5085.4,5085.4,5085.4,53910000,0
2015-04-30,5061.11,5061.11,5061.11,5061.11,0,0
2015-04-29,5055,5061.11,5061.11,5061.11,0,0
2015-04-28,5056.27,5055,5055,5055,0,0
2015-04-27,5061.09,5056.27,5056.27,5056.27,0,0
2015-04-24,5026.79,5061.09,5061.09,5061.09,0,0
2015-04-23,5042.85,5026.79,5026.79,5026.79,0,0
2015-04-22,5073.86,5042.85,5042.85,5042.85,0,0
2015-04-21,5102.04,5073.86,5073.86,5073.86,0,0
2015-04-20,5093,5102.04,5102.04,5102.04,0,0
2015-04-17,5078.74,5093,5093,5093,0,0
2015-04-16,5128.02,5078.74,5078.74,5078.74,0,0
2015-04-15,5128.02,5128.02,5128.02,5128.02,0,0
2015-04-14,5136.2,5128.02,5128.02,5128.02,0,0
2015-04-13,5123.97,5136.2,5136.2,5136.2,13440000,0
2015-04-10,5128.03,5123.97,5123.97,5123.97,0,0
2015-04-09,5142.35,5128.03,5128.03,5128.03,0,0
2015-04-08,5179.76,5142.35,5142.35,5142.35,0,0
2015-04-07,5196.86,5179.76,5179.76,5179.76,36340000,0
2015-04-02,5240.53,5196.86,5196.86,5196.86,0,0
2015-04-01,5248.16,5240.53,5240.53,5240.53,0,0
2015-03-31,5242.62,5248.16,5248.16,5248.16,25160000,0
2015-03-30,5242.35,5242.62,5242.62,5242.62,0,0
