Date,Open,High,Low,Close,Volume,Adj Close
2015-12-30,143.97,144.37,144.37,144.37,0.00,0.00
2015-12-29,142.94,143.97,143.97,143.97,0.00,0.00
2015-12-28,142.51,142.94,142.94,142.94,0.00,0.00
2015-12-24,142.85,142.51,142.51,142.51,0.00,0.00
2015-12-23,144.77,142.85,142.85,142.85,0.00,0.00
2015-12-22,145.61,144.77,144.77,144.77,0.00,0.00
2015-12-21,145.55,145.61,145.61,145.61,0.00,0.00
2015-12-18,145.31,145.55,145.55,145.55,0.00,0.00
2015-12-17,146.08,145.31,145.31,145.31,0.00,0.00
2015-12-16,144.94,146.08,146.08,146.08,0.00,0.00
2015-12-15,144.76,144.94,144.94,144.94,0.00,0.00
2015-12-14,144.72,144.76,144.76,144.76,0.00,0.00
2015-12-11,144.39,144.72,144.72,144.72,0.00,0.00
2015-12-10,144.39,144.39,144.39,144.39,0.00,0.00
2015-12-09,144.04,144.39,144.39,144.39,0.00,0.00
2015-12-08,143.61,144.04,144.04,144.04,0.00,0.00
2015-12-07,143.29,143.61,143.61,143.61,0.00,0.00
2015-12-04,143.26,143.29,143.29,143.29,0.00,0.00
2015-12-03,144.21,143.26,143.26,143.26,0.00,0.00
2015-12-02,143.48,144.21,144.21,144.21,0.00,0.00
2015-12-01,143.47,143.48,143.48,143.48,0.00,0.00
2015-11-30,142.93,143.47,143.47,143.47,0.00,0.00
2015-11-27,145.65,142.93,142.93,142.93,0.00,0.00
2015-11-25,145.96,145.65,145.65,145.65,0.00,0.00
2015-11-24,147.63,145.96,145.96,145.96,0.00,0.00
2015-11-23,147.04,147.63,147.63,147.63,0.00,0.00
2015-11-20,146.31,147.04,147.04,147.04,0.00,0.00
2015-11-19,144.71,146.31,146.31,146.31,0.00,0.00
2015-11-18,144.44,144.71,144.71,144.71,0.00,0.00
2015-11-17,143.73,144.44,144.44,144.44,0.00,0.00
2015-11-16,143.32,143.73,143.73,143.73,0.00,0.00
2015-11-13,143.12,143.32,143.32,143.32,0.00,0.00
2015-11-12,143.12,143.12,143.12,143.12,0.00,0.00
2015-11-11,141.34,143.12,143.12,143.12,0.00,0.00
2015-11-10,140.64,141.34,141.34,141.34,0.00,0.00
2015-11-09,139.42,140.64,140.64,140.64,0.00,0.00
2015-11-06,139.42,139.42,139.42,139.42,0.00,0.00
2015-11-05,136.89,139.42,139.42,139.42,0.00,0.00
2015-11-04,137.27,136.89,136.89,136.89,0.00,0.00
2015-11-03,136.93,137.27,137.27,137.27,0.00,0.00
2015-11-02,137.28,136.93,136.93,136.93,0.00,0.00
2015-10-30,138.07,137.28,137.28,137.28,0.00,0.00
2015-10-29,137.99,138.07,138.07,138.07,0.00,0.00
2015-10-28,137.86,137.99,137.99,137.99,0.00,0.00
2015-10-27,138.28,137.86,137.86,137.86,0.00,0.00
2015-10-26,139.54,138.28,138.28,138.28,0.00,0.00
2015-10-23,139.43,139.54,139.54,139.54,0.00,0.00
2015-10-22,138.96,139.43,139.43,139.43,0.00,0.00
2015-10-21,138.01,138.96,138.96,138.96,0.00,0.00
2015-10-19,136.94,138.01,138.01,138.01,0.00,0.00
