Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,15.70,15.75,15.75,15.75,0.00,0.00
2015-12-30,15.00,16.20,15.30,15.70,163600.00,0.00
2015-12-29,15.45,15.95,14.60,15.00,94900.00,0.00
2015-12-28,14.45,15.70,14.80,15.45,8700.00,0.00
2015-12-24,14.35,14.50,14.25,14.45,1100.00,0.00
2015-12-23,14.60,14.50,14.00,14.35,1100.00,0.00
2015-12-22,14.30,15.25,14.50,14.60,17600.00,0.00
2015-12-21,14.60,14.85,14.25,14.30,18000.00,0.00
2015-12-18,14.25,14.85,13.50,14.60,8600.00,0.00
2015-12-17,14.35,15.00,14.15,14.25,13700.00,0.00
2015-12-16,14.00,15.00,14.10,14.35,18000.00,0.00
2015-12-15,15.00,14.90,13.55,14.00,20400.00,0.00
2015-12-14,14.90,15.00,15.00,15.00,200.00,0.00
2015-12-11,15.10,15.35,14.90,14.90,16800.00,0.00
2015-12-10,15.35,15.60,15.00,15.10,2500.00,0.00
2015-12-09,15.55,15.55,15.20,15.35,900.00,0.00
2015-12-08,16.35,16.00,15.25,15.55,36000.00,0.00
2015-12-07,16.35,16.35,16.35,16.35,1200.00,0.00
2015-12-04,15.00,16.35,16.35,16.35,300.00,0.00
2015-12-03,15.60,15.00,15.00,15.00,700.00,0.00
2015-12-02,15.60,16.45,14.70,15.60,15500.00,0.00
2015-12-01,15.70,15.70,15.50,15.60,4600.00,0.00
2015-11-30,15.95,16.50,15.50,15.70,69100.00,0.00
2015-11-27,15.50,17.00,15.90,15.95,31200.00,0.00
2015-11-25,15.55,16.00,15.00,15.50,3200.00,0.00
2015-11-24,15.40,15.90,15.20,15.55,2700.00,0.00
2015-11-23,15.90,16.20,15.00,15.40,600.00,0.00
2015-11-20,16.15,16.20,15.80,15.90,15900.00,0.00
2015-11-19,16.10,16.30,15.95,16.15,29000.00,0.00
2015-11-18,15.90,16.30,15.95,16.10,15800.00,0.00
2015-11-17,15.85,16.00,15.85,15.90,6700.00,0.00
2015-11-16,15.85,16.00,15.80,15.85,9300.00,0.00
2015-11-13,15.95,16.00,15.85,15.85,11200.00,0.00
2015-11-12,15.80,16.00,15.85,15.95,50100.00,0.00
2015-11-11,16.00,16.00,15.80,15.80,1400.00,0.00
2015-11-10,16.10,16.00,16.00,16.00,100.00,0.00
2015-11-09,16.25,16.70,16.00,16.10,4000.00,0.00
2015-11-06,15.85,16.95,16.00,16.25,14500.00,0.00
2015-11-05,14.80,16.25,15.00,15.85,33700.00,0.00
2015-11-04,15.45,15.45,14.70,14.80,1400.00,0.00
2015-11-03,16.20,16.85,15.05,15.45,8200.00,0.00
2015-11-02,15.80,16.35,16.00,16.20,3000.00,0.00
2015-10-30,15.80,16.00,15.75,15.80,7000.00,0.00
2015-10-29,14.95,16.00,15.30,15.80,4600.00,0.00
2015-10-28,15.00,15.00,14.80,14.95,13200.00,0.00
2015-10-27,14.90,16.40,14.80,15.00,9900.00,0.00
2015-10-26,14.95,15.00,14.80,14.90,15400.00,0.00
2015-10-23,15.20,15.45,14.50,14.95,10200.00,0.00
2015-10-22,15.05,15.50,15.00,15.20,1400.00,0.00
2015-10-21,15.70,16.00,15.00,15.05,1300.00,0.00
2015-10-19,16.10,16.00,15.05,15.70,2600.00,0.00
2015-10-16,16.30,16.35,16.00,16.10,5800.00,0.00
2015-10-15,16.50,16.40,16.20,16.30,2500.00,0.00
2015-10-14,16.50,16.50,16.50,16.50,9000.00,0.00
2015-10-13,16.85,16.90,16.50,16.50,11800.00,0.00
2015-10-12,16.50,16.95,16.50,16.85,3700.00,0.00
2015-10-09,16.95,17.00,16.50,16.50,3800.00,0.00
2015-10-08,17.15,17.00,16.50,16.95,44100.00,0.00
2015-10-07,16.50,17.95,16.50,17.15,12700.00,0.00
2015-10-05,16.75,16.60,16.50,16.50,6900.00,0.00
2015-10-02,16.95,16.80,16.50,16.75,12800.00,0.00
2015-10-01,16.80,17.00,16.80,16.95,5800.00,0.00
2015-09-30,16.90,16.85,16.80,16.80,11000.00,0.00
2015-09-29,16.75,16.95,16.85,16.90,3600.00,0.00
2015-09-28,16.85,17.00,16.60,16.75,104900.00,0.00
2015-09-25,16.70,17.00,16.50,16.85,12800.00,0.00
2015-09-24,16.90,17.00,16.25,16.70,10700.00,0.00
2015-09-23,17.40,17.00,16.25,16.90,64900.00,0.00
2015-09-22,17.75,17.75,17.00,17.40,15600.00,0.00
2015-09-21,17.00,17.90,17.00,17.75,14200.00,0.00
2015-09-18,17.00,17.00,17.00,17.00,10900.00,0.00
2015-09-17,17.55,17.50,17.00,17.00,13200.00,0.00
2015-09-16,18.10,17.90,17.30,17.55,2800.00,0.00
2015-09-15,17.00,18.20,17.05,18.10,19400.00,0.00
2015-09-14,17.50,17.50,17.00,17.00,17000.00,0.00
2015-09-11,17.15,18.00,17.50,17.50,7700.00,0.00
2015-09-10,18.25,18.30,17.00,17.15,2500.00,0.00
2015-09-09,17.80,18.35,17.00,18.25,110000.00,0.00
2015-09-08,17.90,17.90,17.15,17.80,12000.00,0.00
2015-09-07,18.15,17.95,17.80,17.90,17800.00,0.00
2015-09-04,17.20,18.40,17.15,18.15,7100.00,0.00
2015-09-03,17.90,18.00,17.15,17.20,36800.00,0.00
2015-09-02,17.95,18.00,17.15,17.90,17600.00,0.00
2015-09-01,17.85,18.50,17.05,17.95,15700.00,0.00
2015-08-31,17.35,18.00,17.00,17.85,4500.00,0.00
2015-08-28,16.90,18.00,16.10,17.35,15300.00,0.00
2015-08-27,17.20,18.90,16.10,16.90,63900.00,0.00
2015-08-26,18.25,18.40,17.05,17.20,21500.00,0.00
2015-08-25,18.60,18.30,18.20,18.25,8100.00,0.00
2015-08-24,19.10,19.10,18.20,18.60,12100.00,0.00
2015-08-21,19.10,19.15,19.10,19.10,2200.00,0.00
2015-08-20,19.00,20.00,19.05,19.10,33400.00,0.00
2015-08-19,20.00,20.00,19.00,19.00,73300.00,0.00
2015-08-18,20.00,20.50,19.50,20.00,9700.00,0.00
2015-08-17,20.75,20.25,19.60,20.00,14800.00,0.00
2015-08-14,19.15,21.00,20.00,20.75,36500.00,0.00
2015-08-13,19.50,19.20,19.05,19.15,172700.00,0.00
2015-08-12,19.35,20.00,19.00,19.50,6300.00,0.00
2015-08-11,20.75,20.50,19.00,19.35,18300.00,0.00
2015-08-10,20.50,21.00,19.50,20.75,78800.00,0.00
2015-08-07,20.00,21.00,20.00,20.50,28100.00,0.00
2015-08-06,20.75,20.00,20.00,20.00,20300.00,0.00
2015-08-05,20.00,21.00,19.50,20.75,44500.00,0.00
2015-08-04,19.20,20.25,19.50,20.00,9900.00,0.00
2015-08-03,18.90,19.20,19.20,19.20,400.00,0.00
2015-07-31,20.00,20.50,18.10,18.90,17300.00,0.00
2015-07-30,20.50,21.00,19.50,20.00,8600.00,0.00
2015-07-29,21.75,22.50,20.00,20.50,94900.00,0.00
2015-07-28,19.05,23.00,20.50,21.75,47600.00,0.00
2015-07-27,19.30,19.95,18.50,19.05,800.00,0.00
2015-07-24,17.80,19.50,18.00,19.30,47000.00,0.00
2015-07-23,16.75,18.40,17.15,17.80,43600.00,0.00
2015-07-22,17.45,17.10,16.00,16.75,8900.00,0.00
2015-07-21,18.10,18.00,17.00,17.45,9800.00,0.00
2015-07-20,18.15,19.50,17.85,18.10,12700.00,0.00
2015-07-17,18.45,18.15,18.15,18.15,600.00,0.00
2015-07-16,18.10,19.00,18.00,18.45,3200.00,0.00
2015-07-15,17.85,19.00,17.85,18.10,1800.00,0.00
2015-07-14,19.05,19.05,17.40,17.85,4900.00,0.00
2015-07-13,18.15,20.00,19.00,19.05,4500.00,0.00
2015-07-09,18.65,18.40,18.15,18.15,6600.00,0.00
2015-07-08,19.00,19.50,18.05,18.65,14400.00,0.00
2015-07-07,19.95,19.50,18.20,19.00,24400.00,0.00
2015-07-06,19.80,20.00,19.20,19.95,16100.00,0.00
2015-07-03,19.20,20.00,19.00,19.80,22500.00,0.00
