Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,43.25,43.25,43.25,43.25,8400.00,0.00
2015-12-30,43.25,44.50,42.75,43.25,7300.00,0.00
2015-12-29,42.75,44.00,42.75,43.25,5700.00,0.00
2015-12-28,42.75,43.00,42.75,42.75,9100.00,0.00
2015-12-24,42.50,43.00,42.50,42.75,29600.00,0.00
2015-12-23,42.50,43.50,42.50,42.50,13900.00,0.00
2015-12-22,42.50,43.50,42.50,42.50,18600.00,0.00
2015-12-21,42.50,43.50,42.50,42.50,78700.00,0.00
2015-12-18,41.50,43.50,42.50,42.50,50100.00,0.00
2015-12-17,41.00,42.00,41.50,41.50,10800.00,0.00
2015-12-16,40.50,41.25,41.00,41.00,442100.00,0.00
2015-12-15,40.50,41.25,37.00,40.50,9300.00,0.00
2015-12-14,41.00,40.50,40.50,40.50,3100.00,0.00
2015-12-11,41.50,41.25,40.50,41.00,62000.00,0.00
2015-12-10,41.25,42.00,41.25,41.50,48100.00,0.00
2015-12-09,41.25,41.75,41.00,41.25,20500.00,0.00
2015-12-08,41.50,41.75,41.00,41.25,29200.00,0.00
2015-12-07,42.00,42.00,41.00,41.50,31300.00,0.00
2015-12-04,43.00,42.00,42.00,42.00,700.00,0.00
2015-12-03,43.50,44.00,42.00,43.00,53500.00,0.00
2015-12-02,43.00,44.00,42.75,43.50,395200.00,0.00
2015-12-01,43.25,43.50,43.00,43.00,31000.00,0.00
2015-11-30,43.25,44.00,43.00,43.25,15900.00,0.00
2015-11-27,43.00,43.50,43.00,43.25,76800.00,0.00
2015-11-25,43.00,43.00,43.00,43.00,100.00,0.00
2015-11-24,43.50,44.00,43.00,43.00,49600.00,0.00
2015-11-23,42.00,46.00,42.50,43.50,21200.00,0.00
2015-11-20,41.25,42.50,42.00,42.00,61300.00,0.00
2015-11-19,41.50,42.00,41.00,41.25,33400.00,0.00
2015-11-18,41.75,42.00,41.00,41.50,150300.00,0.00
2015-11-17,42.00,43.00,40.50,41.75,27900.00,0.00
2015-11-16,43.00,43.00,41.50,42.00,24100.00,0.00
2015-11-13,43.00,45.00,42.00,43.00,22300.00,0.00
2015-11-12,41.00,45.00,41.50,43.00,5700.00,0.00
2015-11-11,40.50,44.00,40.50,41.00,114700.00,0.00
2015-11-10,40.75,41.00,40.50,40.50,65400.00,0.00
2015-11-09,40.75,41.50,40.75,40.75,24600.00,0.00
2015-11-06,39.75,41.75,39.25,40.75,35500.00,0.00
2015-11-05,39.00,40.00,39.00,39.75,43600.00,0.00
2015-11-04,39.00,40.00,38.00,39.00,32400.00,0.00
2015-11-03,39.25,41.00,38.75,39.00,77600.00,0.00
2015-11-02,38.75,40.00,39.00,39.25,20700.00,0.00
2015-10-30,37.00,40.00,37.50,38.75,20300.00,0.00
2015-10-29,37.25,39.00,37.00,37.00,130900.00,0.00
2015-10-28,38.50,39.25,36.75,37.25,220600.00,0.00
2015-10-27,39.00,39.00,38.50,38.50,8900.00,0.00
2015-10-26,38.00,39.50,38.50,39.00,30600.00,0.00
2015-10-23,38.50,39.00,38.00,38.00,53200.00,0.00
2015-10-22,39.50,39.75,38.00,38.50,306100.00,0.00
2015-10-21,39.75,39.75,39.00,39.50,437700.00,0.00
2015-10-19,39.00,41.00,39.75,39.75,35900.00,0.00
2015-10-16,38.50,39.50,38.75,39.00,175400.00,0.00
2015-10-15,35.75,39.00,38.25,38.50,52200.00,0.00
2015-10-14,38.25,38.50,35.00,35.75,67500.00,0.00
2015-10-13,41.00,41.50,38.25,38.25,38600.00,0.00
2015-10-12,41.25,41.75,40.25,41.00,20600.00,0.00
2015-10-09,41.00,41.75,40.50,41.25,35900.00,0.00
2015-10-08,41.50,41.75,41.00,41.00,205500.00,0.00
2015-10-07,42.25,42.00,41.25,41.50,415500.00,0.00
2015-10-05,42.50,43.50,41.25,42.25,100800.00,0.00
2015-10-02,43.00,43.50,42.00,42.50,83400.00,0.00
2015-10-01,43.00,43.50,43.00,43.00,18100.00,0.00
2015-09-30,43.50,43.50,43.00,43.00,77800.00,0.00
2015-09-29,43.75,44.25,43.25,43.50,34800.00,0.00
2015-09-28,43.50,44.50,43.25,43.75,77200.00,0.00
2015-09-25,43.50,44.00,43.25,43.50,163500.00,0.00
2015-09-24,43.25,47.00,43.50,43.50,236600.00,0.00
2015-09-23,42.75,44.25,43.00,43.25,111300.00,0.00
2015-09-22,43.50,43.50,42.50,42.75,140200.00,0.00
2015-09-21,43.75,44.00,43.00,43.50,20100.00,0.00
2015-09-18,43.75,44.25,43.00,43.75,59300.00,0.00
2015-09-17,44.00,44.00,43.50,43.75,34500.00,0.00
2015-09-16,44.50,44.75,43.50,44.00,91500.00,0.00
2015-09-15,45.00,45.00,43.00,44.50,185400.00,0.00
2015-09-14,44.75,46.25,44.75,45.00,48000.00,0.00
2015-09-11,46.25,45.50,44.50,44.75,22400.00,0.00
2015-09-10,46.00,46.75,45.00,46.25,12900.00,0.00
2015-09-09,46.75,46.50,45.25,46.00,22400.00,0.00
2015-09-08,46.25,47.00,44.50,46.75,105300.00,0.00
2015-09-07,45.75,47.50,46.00,46.25,31900.00,0.00
2015-09-04,44.50,48.00,44.50,45.75,6500.00,0.00
2015-09-03,44.50,47.00,44.50,44.50,25800.00,0.00
2015-09-02,43.50,44.75,44.50,44.50,27000.00,0.00
2015-09-01,43.00,44.75,43.00,43.50,38200.00,0.00
2015-08-31,42.50,44.75,43.00,43.00,251800.00,0.00
2015-08-28,42.25,42.50,42.50,42.50,74300.00,0.00
2015-08-27,44.50,42.75,41.00,42.25,1080000.00,0.00
2015-08-26,47.25,47.50,42.75,44.50,40400.00,0.00
2015-08-25,48.75,48.50,45.00,47.25,50800.00,0.00
2015-08-24,49.00,49.00,48.00,48.75,42900.00,0.00
2015-08-21,49.00,49.75,49.00,49.00,153900.00,0.00
2015-08-20,49.25,49.75,49.00,49.00,3000.00,0.00
2015-08-19,49.25,49.75,49.25,49.25,64700.00,0.00
2015-08-18,49.25,49.50,48.50,49.25,159100.00,0.00
2015-08-17,49.50,49.75,49.00,49.25,43700.00,0.00
2015-08-14,49.75,50.00,49.50,49.50,5300.00,0.00
2015-08-13,50.00,50.00,49.50,49.75,130500.00,0.00
2015-08-12,49.75,51.00,50.00,50.00,49100.00,0.00
2015-08-11,49.50,50.00,49.50,49.75,199600.00,0.00
2015-08-10,49.50,50.00,49.50,49.50,52300.00,0.00
2015-08-07,49.00,50.00,49.25,49.50,21300.00,0.00
2015-08-06,49.00,49.50,49.00,49.00,7200.00,0.00
2015-08-05,48.25,52.50,48.75,49.00,64400.00,0.00
2015-08-04,48.75,48.75,48.25,48.25,20300.00,0.00
2015-08-03,49.50,49.00,48.50,48.75,18400.00,0.00
2015-07-31,48.75,53.00,49.00,49.50,25200.00,0.00
2015-07-30,47.75,49.50,47.75,48.75,55500.00,0.00
2015-07-29,47.75,48.50,47.50,47.75,34500.00,0.00
2015-07-28,47.75,48.50,47.50,47.75,18000.00,0.00
2015-07-27,48.00,48.50,47.50,47.75,29900.00,0.00
2015-07-24,47.50,48.50,47.75,48.00,3400.00,0.00
2015-07-23,47.75,48.50,47.50,47.50,67600.00,0.00
2015-07-22,47.75,48.00,47.50,47.75,96700.00,0.00
2015-07-21,48.50,48.50,47.00,47.75,1300000.00,0.00
