Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,24.50,25.00,24.50,24.75,2000.00,0.00
2015-12-30,24.75,25.25,24.50,24.50,36200.00,0.00
2015-12-29,24.50,25.50,24.25,24.75,533200.00,0.00
2015-12-28,24.50,25.00,24.50,24.50,5400.00,0.00
2015-12-24,24.25,24.75,24.50,24.50,6200.00,0.00
2015-12-23,23.75,25.00,24.00,24.25,9500.00,0.00
2015-12-22,24.25,25.00,23.50,23.75,6400.00,0.00
2015-12-21,24.75,25.00,24.25,24.25,25600.00,0.00
2015-12-18,24.75,25.25,24.75,24.75,54300.00,0.00
2015-12-17,24.75,25.00,24.75,24.75,8200.00,0.00
2015-12-16,24.75,25.00,24.75,24.75,15100.00,0.00
2015-12-15,24.50,25.00,24.50,24.75,38600.00,0.00
2015-12-14,24.50,24.75,24.50,24.50,57900.00,0.00
2015-12-11,24.75,25.00,24.50,24.50,9200.00,0.00
2015-12-10,24.75,25.25,24.50,24.75,159400.00,0.00
2015-12-09,24.50,25.00,24.75,24.75,21800.00,0.00
2015-12-08,24.50,25.00,24.50,24.50,18600.00,0.00
2015-12-07,25.00,25.00,24.50,24.50,14800.00,0.00
2015-12-04,25.00,25.25,25.00,25.00,17600.00,0.00
2015-12-03,24.75,25.25,24.50,25.00,18900.00,0.00
2015-12-02,24.75,25.00,24.50,24.75,11600.00,0.00
2015-12-01,25.00,25.25,24.75,24.75,24100.00,0.00
2015-11-30,25.00,25.75,25.00,25.00,12400.00,0.00
2015-11-27,25.00,25.75,24.50,25.00,33100.00,0.00
2015-11-25,25.75,25.75,25.00,25.00,46800.00,0.00
2015-11-24,25.00,26.00,25.75,25.75,77100.00,0.00
2015-11-23,24.75,25.75,24.75,25.00,18100.00,0.00
2015-11-20,24.50,26.00,24.50,24.75,93400.00,0.00
2015-11-19,25.00,25.00,24.25,24.50,26500.00,0.00
2015-11-18,24.50,25.50,24.25,25.00,127300.00,0.00
2015-11-17,24.50,24.75,24.50,24.50,9200.00,0.00
2015-11-16,24.25,25.00,24.50,24.50,44400.00,0.00
2015-11-13,24.50,25.00,24.25,24.25,23300.00,0.00
2015-11-12,25.25,25.50,24.25,24.50,27800.00,0.00
2015-11-11,26.25,26.25,24.50,25.25,48200.00,0.00
2015-11-10,26.25,26.50,26.00,26.25,66700.00,0.00
2015-11-09,27.00,26.50,26.00,26.25,85100.00,0.00
2015-11-06,26.00,27.50,26.00,27.00,208500.00,0.00
2015-11-05,25.75,27.50,25.75,26.00,447800.00,0.00
2015-11-04,23.75,26.00,23.00,25.75,6670000.00,0.00
2015-11-03,23.75,24.50,22.75,23.75,90700.00,0.00
2015-11-02,23.00,24.00,23.00,23.75,194900.00,0.00
2015-10-30,23.00,23.50,22.25,23.00,59700.00,0.00
2015-10-29,23.75,23.75,22.50,23.00,16800.00,0.00
