Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,4.80,4.80,4.80,4.80,0.00,0.00
2015-12-30,4.80,4.80,4.80,4.80,1700.00,0.00
2015-12-29,4.55,4.80,4.80,4.80,4000.00,0.00
2015-12-28,4.55,4.55,4.55,4.55,0.00,0.00
2015-12-24,4.45,4.60,4.50,4.55,500.00,0.00
2015-12-23,4.20,4.60,4.20,4.45,16800.00,0.00
2015-12-22,4.20,4.20,4.20,4.20,100.00,0.00
2015-12-21,4.15,4.20,4.20,4.20,200.00,0.00
2015-12-18,4.10,4.40,4.00,4.15,45000.00,0.00
2015-12-17,4.35,4.35,4.00,4.10,700.00,0.00
2015-12-16,4.00,4.40,4.35,4.35,1200.00,0.00
2015-12-15,4.00,4.10,4.00,4.00,5900.00,0.00
2015-12-14,3.95,4.00,4.00,4.00,6700.00,0.00
2015-12-11,4.05,4.00,3.90,3.95,6600.00,0.00
2015-12-10,4.05,4.10,4.00,4.05,5400.00,0.00
2015-12-09,4.05,4.30,3.90,4.05,14800.00,0.00
2015-12-08,4.40,4.20,4.00,4.05,7300.00,0.00
2015-12-07,4.10,4.40,4.40,4.40,200.00,0.00
2015-12-04,4.10,4.10,4.10,4.10,0.00,0.00
2015-12-03,4.20,4.20,4.00,4.10,1500.00,0.00
2015-12-02,4.20,4.20,4.20,4.20,10900.00,0.00
2015-12-01,4.20,4.20,4.20,4.20,0.00,0.00
2015-11-30,4.40,4.35,4.20,4.20,2300.00,0.00
2015-11-27,4.50,4.60,4.35,4.40,10000.00,0.00
2015-11-25,4.75,4.60,4.45,4.50,4800.00,0.00
2015-11-24,4.85,4.85,4.70,4.75,600.00,0.00
2015-11-23,4.70,4.90,4.80,4.85,79600.00,0.00
2015-11-20,4.50,4.70,4.70,4.70,600.00,0.00
2015-11-19,4.75,4.50,4.50,4.50,300.00,0.00
2015-11-18,4.60,4.80,4.75,4.75,3100.00,0.00
2015-11-17,4.55,4.80,4.50,4.60,3500.00,0.00
2015-11-16,4.60,4.80,4.50,4.55,15600.00,0.00
2015-11-13,4.75,4.75,4.60,4.60,3800.00,0.00
2015-11-12,4.45,4.85,4.50,4.75,49000.00,0.00
2015-11-11,4.25,4.50,4.35,4.45,1500.00,0.00
2015-11-10,4.25,4.25,4.25,4.25,4600.00,0.00
2015-11-09,4.35,4.60,4.00,4.25,5300.00,0.00
2015-11-06,4.50,4.65,4.25,4.35,8200.00,0.00
2015-11-05,4.20,4.50,4.50,4.50,29500.00,0.00
2015-11-04,4.10,4.20,4.20,4.20,1700.00,0.00
2015-11-03,4.00,4.10,4.10,4.10,1000.00,0.00
2015-11-02,4.20,4.25,4.00,4.00,4300.00,0.00
2015-10-30,4.45,4.25,4.10,4.20,5000.00,0.00
2015-10-29,4.50,4.85,4.25,4.45,600.00,0.00
2015-10-28,4.55,4.70,4.50,4.50,34400.00,0.00
2015-10-27,4.55,4.75,4.55,4.55,15100.00,0.00
2015-10-26,4.75,4.75,4.50,4.55,700.00,0.00
2015-10-23,4.90,4.75,4.75,4.75,1000.00,0.00
2015-10-22,4.75,4.90,4.90,4.90,100.00,0.00
2015-10-21,4.50,4.90,4.50,4.75,2100.00,0.00
2015-10-19,4.70,4.90,4.40,4.50,12800.00,0.00
2015-10-16,4.60,4.90,4.45,4.70,5000.00,0.00
2015-10-15,4.90,4.60,4.60,4.60,6400.00,0.00
2015-10-14,4.50,4.90,4.90,4.90,1000.00,0.00
2015-10-13,4.65,4.50,4.50,4.50,1300.00,0.00
2015-10-12,4.50,4.65,4.65,4.65,1500.00,0.00
2015-10-09,4.65,4.65,4.50,4.50,700.00,0.00
2015-10-08,4.75,5.00,4.50,4.65,14500.00,0.00
2015-10-07,4.95,4.75,4.75,4.75,3300.00,0.00
2015-10-05,4.75,5.00,4.75,4.95,297100.00,0.00
2015-10-02,4.35,4.75,4.75,4.75,10000.00,0.00
2015-10-01,4.35,4.35,4.35,4.35,3100.00,0.00
2015-09-30,4.40,4.35,4.35,4.35,13900.00,0.00
2015-09-29,4.40,4.80,4.40,4.40,3400.00,0.00
2015-09-28,4.40,4.45,4.35,4.40,5400.00,0.00
2015-09-25,4.40,4.40,4.40,4.40,300.00,0.00
2015-09-24,4.45,4.70,4.40,4.40,10300.00,0.00
2015-09-23,4.75,4.85,4.35,4.45,19400.00,0.00
2015-09-22,4.85,4.95,4.55,4.75,3000.00,0.00
2015-09-21,4.55,5.00,4.75,4.85,4700.00,0.00
2015-09-18,4.40,4.75,4.55,4.55,2500.00,0.00
2015-09-17,4.25,4.55,4.40,4.40,20400.00,0.00
2015-09-16,4.20,4.55,4.20,4.25,2100.00,0.00
2015-09-15,4.20,4.55,4.20,4.20,304200.00,0.00
2015-09-14,4.15,4.30,4.15,4.20,6100.00,0.00
2015-09-11,4.25,4.20,4.15,4.15,34900.00,0.00
2015-09-10,4.25,4.30,4.20,4.25,7200.00,0.00
2015-09-09,4.30,4.30,4.10,4.25,8300.00,0.00
2015-09-08,4.05,4.30,4.30,4.30,300.00,0.00
2015-09-07,4.05,4.10,4.05,4.05,2200.00,0.00
2015-09-04,4.00,4.40,4.00,4.05,7800.00,0.00
2015-09-03,4.30,4.70,4.00,4.00,15200.00,0.00
2015-09-02,4.45,4.50,4.30,4.30,4900.00,0.00
2015-09-01,4.50,4.65,4.40,4.45,3400.00,0.00
2015-08-31,4.90,4.90,4.50,4.50,101900.00,0.00
2015-08-28,4.85,4.90,4.90,4.90,200.00,0.00
2015-08-27,4.90,4.90,4.80,4.85,1700.00,0.00
2015-08-26,4.90,5.00,4.75,4.90,18200.00,0.00
2015-08-25,4.65,4.90,4.90,4.90,100.00,0.00
2015-08-24,4.50,4.70,4.65,4.65,2100.00,0.00
2015-08-21,4.65,4.80,4.50,4.50,33800.00,0.00
2015-08-20,4.55,4.80,4.50,4.65,32500.00,0.00
2015-08-19,4.75,4.80,4.45,4.55,34500.00,0.00
2015-08-18,4.75,4.80,4.75,4.75,1400.00,0.00
2015-08-17,4.75,4.80,4.75,4.75,2000.00,0.00
2015-08-14,4.55,4.80,4.55,4.75,2100.00,0.00
2015-08-13,4.65,4.80,4.50,4.55,16800.00,0.00
2015-08-12,4.85,4.80,4.50,4.65,7700.00,0.00
2015-08-11,4.85,5.00,4.80,4.85,4200.00,0.00
2015-08-10,4.85,4.90,4.85,4.85,4700.00,0.00
2015-08-07,4.85,4.90,4.85,4.85,3500.00,0.00
2015-08-06,4.85,4.90,4.85,4.85,1300.00,0.00
2015-08-05,4.85,4.95,4.85,4.85,1500.00,0.00
2015-08-04,4.90,4.95,4.85,4.85,3000.00,0.00
2015-08-03,4.95,5.00,4.85,4.90,16000.00,0.00
2015-07-31,4.95,5.00,4.95,4.95,15000.00,0.00
2015-07-30,5.00,4.95,4.95,4.95,100.00,0.00
2015-07-29,4.60,5.00,5.00,5.00,400.00,0.00
