Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,98.00,98.00,98.00,98.00,0.00,0.00
2015-12-30,98.00,98.00,98.00,98.00,0.00,0.00
2015-12-29,98.00,98.00,98.00,98.00,0.00,0.00
2015-12-28,98.00,98.00,98.00,98.00,0.00,0.00
2015-12-24,98.00,98.00,98.00,98.00,0.00,0.00
2015-12-23,98.00,98.00,98.00,98.00,0.00,0.00
2015-12-22,98.00,98.00,98.00,98.00,0.00,0.00
2015-12-21,98.00,98.00,98.00,98.00,0.00,0.00
2015-12-18,98.00,98.00,98.00,98.00,0.00,0.00
2015-12-17,98.00,98.00,98.00,98.00,0.00,0.00
2015-12-16,98.00,98.00,98.00,98.00,0.00,0.00
2015-12-15,98.00,98.00,98.00,98.00,0.00,0.00
2015-12-14,98.00,98.00,98.00,98.00,0.00,0.00
2015-12-11,98.00,98.00,98.00,98.00,0.00,0.00
2015-12-10,98.00,98.00,98.00,98.00,0.00,0.00
2015-12-09,98.00,98.00,98.00,98.00,0.00,0.00
2015-12-08,98.00,98.00,98.00,98.00,0.00,0.00
2015-12-07,98.00,98.00,98.00,98.00,0.00,0.00
2015-12-04,98.00,98.00,98.00,98.00,0.00,0.00
2015-12-03,98.00,98.00,98.00,98.00,0.00,0.00
2015-12-02,98.00,98.00,98.00,98.00,0.00,0.00
2015-12-01,98.00,98.00,98.00,98.00,0.00,0.00
2015-11-30,98.00,98.00,98.00,98.00,0.00,0.00
2015-11-27,98.00,98.00,98.00,98.00,0.00,0.00
2015-11-25,98.00,98.00,98.00,98.00,0.00,0.00
2015-11-24,98.00,98.00,98.00,98.00,0.00,0.00
2015-11-23,98.00,98.00,98.00,98.00,0.00,0.00
2015-11-20,98.00,98.00,98.00,98.00,0.00,0.00
2015-11-19,98.00,98.00,98.00,98.00,0.00,0.00
2015-11-18,98.00,98.00,98.00,98.00,0.00,0.00
2015-11-17,98.00,98.00,98.00,98.00,0.00,0.00
2015-11-16,98.00,98.00,98.00,98.00,0.00,0.00
2015-11-13,98.00,98.00,98.00,98.00,0.00,0.00
2015-11-12,98.00,98.00,98.00,98.00,0.00,0.00
2015-11-11,98.00,98.00,98.00,98.00,0.00,0.00
2015-11-10,98.00,98.00,98.00,98.00,0.00,0.00
2015-11-09,98.00,98.00,98.00,98.00,0.00,0.00
2015-11-06,98.00,98.00,98.00,98.00,0.00,0.00
2015-11-05,98.00,98.00,98.00,98.00,0.00,0.00
2015-11-04,98.00,98.00,98.00,98.00,0.00,0.00
2015-11-03,98.00,98.00,98.00,98.00,0.00,0.00
2015-11-02,98.00,98.00,98.00,98.00,0.00,0.00
2015-10-30,98.00,98.00,98.00,98.00,0.00,0.00
2015-10-29,98.00,98.00,98.00,98.00,0.00,0.00
2015-10-28,98.00,98.00,98.00,98.00,0.00,0.00
2015-10-27,98.00,98.00,98.00,98.00,0.00,0.00
2015-10-26,98.00,98.00,98.00,98.00,0.00,0.00
2015-10-23,98.00,98.00,98.00,98.00,0.00,0.00
2015-10-22,98.00,98.00,98.00,98.00,0.00,0.00
2015-10-21,98.00,98.00,98.00,98.00,0.00,0.00
2015-10-19,98.00,98.00,98.00,98.00,0.00,0.00
2015-10-16,98.00,98.00,98.00,98.00,0.00,0.00
2015-10-15,98.00,98.00,98.00,98.00,0.00,0.00
