Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,60.00,60.00,60.00,60.00,0.00,0.00
2015-12-30,61.50,60.00,60.00,60.00,9400.00,0.00
2015-12-29,61.50,61.50,61.50,61.50,0.00,0.00
2015-12-28,61.50,61.50,61.50,61.50,3000.00,0.00
2015-12-24,61.50,61.50,61.50,61.50,0.00,0.00
2015-12-23,61.50,61.50,61.50,61.50,400.00,0.00
2015-12-22,61.50,61.50,61.50,61.50,100.00,0.00
2015-12-21,61.50,61.50,61.50,61.50,300.00,0.00
2015-12-18,61.50,61.50,61.50,61.50,0.00,0.00
2015-12-17,61.00,61.50,61.50,61.50,200.00,0.00
2015-12-16,61.00,61.50,61.00,61.00,4000.00,0.00
2015-12-15,61.50,61.00,61.00,61.00,11200.00,0.00
2015-12-14,61.00,61.50,61.50,61.50,500.00,0.00
2015-12-11,62.00,61.50,61.00,61.00,2500.00,0.00
2015-12-10,61.50,62.00,62.00,62.00,100.00,0.00
2015-12-09,61.50,61.50,61.50,61.50,0.00,0.00
2015-12-08,61.00,62.00,61.50,61.50,2900.00,0.00
2015-12-07,61.00,61.00,61.00,61.00,1500.00,0.00
2015-12-04,61.00,61.50,61.00,61.00,3700.00,0.00
2015-12-03,63.00,62.00,61.00,61.00,8700.00,0.00
2015-12-02,61.50,63.00,63.00,63.00,100.00,0.00
2015-12-01,61.50,61.50,61.50,61.50,100.00,0.00
2015-11-30,62.00,61.50,61.50,61.50,6000.00,0.00
2015-11-27,61.50,62.50,62.00,62.00,1300.00,0.00
2015-11-25,61.50,61.50,61.50,61.50,0.00,0.00
2015-11-24,61.50,61.50,61.50,61.50,0.00,0.00
2015-11-23,65.00,61.50,61.50,61.50,1200.00,0.00
2015-11-20,61.00,65.00,65.00,65.00,100.00,0.00
2015-11-19,61.00,61.00,61.00,61.00,0.00,0.00
2015-11-18,61.00,61.50,61.00,61.00,1500.00,0.00
2015-11-17,61.00,61.50,61.00,61.00,7300.00,0.00
2015-11-16,60.50,61.00,61.00,61.00,900.00,0.00
2015-11-13,60.50,60.50,60.50,60.50,0.00,0.00
2015-11-12,60.50,61.00,60.50,60.50,9800.00,0.00
2015-11-11,60.50,60.50,60.50,60.50,0.00,0.00
2015-11-10,60.50,60.50,60.50,60.50,0.00,0.00
2015-11-09,60.50,60.50,60.50,60.50,1000.00,0.00
2015-11-06,60.50,60.50,60.50,60.50,6400.00,0.00
2015-11-05,60.50,61.00,60.50,60.50,1700.00,0.00
2015-11-04,61.50,61.00,60.50,60.50,4600.00,0.00
2015-11-03,63.00,62.00,61.00,61.50,2000.00,0.00
2015-11-02,63.00,63.00,63.00,63.00,200.00,0.00
2015-10-30,64.00,64.00,62.50,63.00,3000.00,0.00
2015-10-29,64.00,65.00,64.00,64.00,24000.00,0.00
2015-10-28,64.00,64.00,64.00,64.00,600.00,0.00
2015-10-27,65.00,65.00,64.00,64.00,9800.00,0.00
2015-10-26,65.00,65.00,65.00,65.00,600.00,0.00
2015-10-23,65.00,65.00,65.00,65.00,22900.00,0.00
2015-10-22,63.00,65.00,65.00,65.00,16100.00,0.00
2015-10-21,62.50,65.00,62.00,63.00,26500.00,0.00
2015-10-19,62.50,62.50,62.50,62.50,12600.00,0.00
2015-10-16,64.00,62.50,62.50,62.50,700.00,0.00
2015-10-15,62.50,65.00,62.50,64.00,13800.00,0.00
2015-10-14,62.00,63.00,62.50,62.50,3700.00,0.00
2015-10-13,62.50,62.50,62.00,62.00,2100.00,0.00
2015-10-12,62.50,62.50,62.50,62.50,100.00,0.00
2015-10-09,62.50,62.50,62.50,62.50,0.00,0.00
2015-10-08,62.00,65.00,62.50,62.50,22100.00,0.00
2015-10-07,64.00,63.00,62.00,62.00,1000.00,0.00
2015-10-05,64.50,65.00,63.00,64.00,400.00,0.00
2015-10-02,64.50,64.50,64.50,64.50,0.00,0.00
2015-10-01,65.00,65.00,63.00,64.50,64700.00,0.00
2015-09-30,65.00,65.00,65.00,65.00,0.00,0.00
2015-09-29,67.00,65.00,65.00,65.00,1700.00,0.00
2015-09-28,67.00,67.00,67.00,67.00,0.00,0.00
2015-09-25,66.50,67.00,67.00,67.00,1100.00,0.00
2015-09-24,66.50,66.50,66.50,66.50,0.00,0.00
2015-09-23,66.00,70.00,66.00,66.50,500.00,0.00
2015-09-22,65.00,66.00,66.00,66.00,1000.00,0.00
2015-09-21,65.00,65.00,65.00,65.00,0.00,0.00
2015-09-18,65.50,66.00,62.00,65.00,106200.00,0.00
2015-09-17,60.00,66.00,61.50,65.50,23800.00,0.00
2015-09-16,65.50,62.00,60.00,60.00,6400.00,0.00
2015-09-15,66.00,66.50,62.00,65.50,2400.00,0.00
2015-09-14,66.00,66.00,66.00,66.00,0.00,0.00
2015-09-11,66.50,66.00,66.00,66.00,2200.00,0.00
2015-09-10,66.00,68.00,66.50,66.50,1600.00,0.00
2015-09-09,67.50,68.00,66.00,66.00,900.00,0.00
2015-09-08,67.00,68.00,67.00,67.50,37800.00,0.00
2015-09-07,67.00,68.50,67.00,67.00,7800.00,0.00
2015-09-04,67.00,67.00,67.00,67.00,0.00,0.00
2015-09-03,68.00,68.00,67.00,67.00,4500.00,0.00
2015-09-02,67.50,70.00,68.00,68.00,148900.00,0.00
2015-09-01,66.00,71.00,67.00,67.50,582900.00,0.00
2015-08-31,65.50,68.00,65.00,66.00,12500.00,0.00
2015-08-28,65.50,67.00,65.00,65.50,900.00,0.00
2015-08-27,66.00,67.00,65.00,65.50,18300.00,0.00
2015-08-26,66.00,66.00,66.00,66.00,5800.00,0.00
2015-08-25,67.00,72.50,66.00,66.00,4600.00,0.00
