Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,46.75,46.75,46.75,46.75,0.00,0.00
2015-12-30,46.75,46.75,46.75,46.75,0.00,0.00
2015-12-29,46.75,46.75,46.75,46.75,0.00,0.00
2015-12-28,46.75,46.75,46.75,46.75,0.00,0.00
2015-12-24,46.75,46.75,46.75,46.75,0.00,0.00
2015-12-23,47.00,47.00,45.50,46.75,12600.00,0.00
2015-12-22,46.00,47.00,47.00,47.00,200.00,0.00
2015-12-21,46.00,46.00,46.00,46.00,0.00,0.00
2015-12-18,46.00,46.00,46.00,46.00,0.00,0.00
2015-12-17,46.00,46.00,46.00,46.00,0.00,0.00
2015-12-16,48.25,47.00,46.00,46.00,15700.00,0.00
2015-12-15,48.00,48.50,47.00,48.25,40400.00,0.00
2015-12-14,49.75,49.00,47.00,48.00,200.00,0.00
2015-12-11,47.00,50.00,45.00,49.75,4300.00,0.00
2015-12-10,47.00,47.00,47.00,47.00,0.00,0.00
2015-12-09,47.00,47.00,47.00,47.00,0.00,0.00
2015-12-08,50.00,47.00,47.00,47.00,100.00,0.00
2015-12-07,50.00,50.00,50.00,50.00,0.00,0.00
2015-12-04,50.00,50.00,50.00,50.00,0.00,0.00
2015-12-03,50.00,50.00,50.00,50.00,100.00,0.00
2015-12-02,45.50,50.00,50.00,50.00,300.00,0.00
2015-12-01,45.50,45.50,45.50,45.50,0.00,0.00
2015-11-30,41.50,45.50,45.50,45.50,500.00,0.00
2015-11-27,40.00,44.00,40.00,41.50,1300.00,0.00
2015-11-25,40.00,40.00,40.00,40.00,0.00,0.00
2015-11-24,38.25,40.00,40.00,40.00,600.00,0.00
2015-11-23,38.25,38.25,38.25,38.25,0.00,0.00
2015-11-20,41.00,38.50,38.25,38.25,15000.00,0.00
2015-11-19,41.25,41.00,41.00,41.00,3200.00,0.00
2015-11-18,41.00,41.50,41.00,41.25,600.00,0.00
2015-11-17,41.00,41.00,41.00,41.00,0.00,0.00
2015-11-16,43.25,41.25,41.00,41.00,5200.00,0.00
2015-11-13,43.00,46.00,43.00,43.25,6300.00,0.00
2015-11-12,45.00,43.00,43.00,43.00,600.00,0.00
2015-11-11,45.00,45.00,45.00,45.00,0.00,0.00
2015-11-10,45.00,45.00,45.00,45.00,5700.00,0.00
2015-11-09,46.00,45.00,45.00,45.00,1500.00,0.00
2015-11-06,46.00,49.00,45.00,46.00,400.00,0.00
2015-11-05,45.00,49.00,45.00,46.00,12500.00,0.00
2015-11-04,45.00,45.00,45.00,45.00,300.00,0.00
2015-11-03,45.00,45.00,45.00,45.00,1500.00,0.00
2015-11-02,45.00,45.00,45.00,45.00,100.00,0.00
2015-10-30,45.00,45.00,45.00,45.00,900.00,0.00
2015-10-29,45.00,45.00,45.00,45.00,100.00,0.00
2015-10-28,45.00,45.00,45.00,45.00,0.00,0.00
2015-10-27,45.00,45.00,45.00,45.00,0.00,0.00
2015-10-26,45.00,45.00,45.00,45.00,0.00,0.00
2015-10-23,45.00,45.00,45.00,45.00,0.00,0.00
2015-10-22,49.00,45.00,45.00,45.00,800.00,0.00
2015-10-21,49.00,49.00,49.00,49.00,0.00,0.00
2015-10-19,50.00,50.00,45.00,49.00,1200.00,0.00
2015-10-16,50.00,50.00,50.00,50.00,100.00,0.00
2015-10-15,50.00,50.50,50.00,50.00,500.00,0.00
2015-10-14,50.00,50.00,50.00,50.00,200.00,0.00
2015-10-13,50.00,50.00,50.00,50.00,0.00,0.00
2015-10-12,48.75,50.00,50.00,50.00,100.00,0.00
2015-10-09,50.00,50.00,48.00,48.75,800.00,0.00
2015-10-08,50.00,50.00,50.00,50.00,200.00,0.00
2015-10-07,50.00,50.50,50.00,50.00,600.00,0.00
2015-10-05,50.00,50.00,50.00,50.00,0.00,0.00
2015-10-02,50.00,50.00,50.00,50.00,0.00,0.00
2015-10-01,50.00,50.00,50.00,50.00,0.00,0.00
2015-09-30,50.00,50.50,50.00,50.00,3500.00,0.00
2015-09-29,53.00,53.00,50.00,50.00,6600.00,0.00
2015-09-28,53.00,53.00,53.00,53.00,0.00,0.00
2015-09-25,53.00,53.00,53.00,53.00,0.00,0.00
2015-09-24,53.00,53.00,53.00,53.00,0.00,0.00
2015-09-23,55.00,53.50,50.50,53.00,600.00,0.00
2015-09-22,55.00,55.00,55.00,55.00,0.00,0.00
2015-09-21,50.00,55.00,55.00,55.00,300.00,0.00
2015-09-18,50.00,51.00,50.00,50.00,4000.00,0.00
2015-09-17,50.00,50.00,50.00,50.00,0.00,0.00
2015-09-16,53.00,50.00,50.00,50.00,100.00,0.00
2015-09-15,55.00,53.00,53.00,53.00,25200.00,0.00
2015-09-14,55.00,55.00,55.00,55.00,0.00,0.00
2015-09-11,53.50,55.00,55.00,55.00,100.00,0.00
2015-09-10,53.50,53.50,53.50,53.50,0.00,0.00
2015-09-09,53.50,53.50,53.50,53.50,0.00,0.00
2015-09-08,54.00,54.00,52.00,53.50,3800.00,0.00
2015-09-07,53.50,54.00,54.00,54.00,900.00,0.00
