Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,19.55,19.55,19.55,19.55,0.00,0.00
2015-12-30,20.50,20.50,18.50,19.55,2100.00,0.00
2015-12-29,20.50,21.00,20.25,20.50,2100.00,0.00
2015-12-28,21.50,22.00,20.00,20.50,2700.00,0.00
2015-12-24,20.50,22.50,20.25,21.50,19000.00,0.00
2015-12-23,21.00,22.50,20.50,20.50,44000.00,0.00
2015-12-22,22.50,22.75,20.50,21.00,34900.00,0.00
2015-12-21,20.75,22.75,21.50,22.50,883300.00,0.00
2015-12-18,20.75,21.00,20.75,20.75,11700.00,0.00
2015-12-17,20.25,22.25,20.50,20.75,62200.00,0.00
2015-12-16,19.00,20.75,20.00,20.25,173100.00,0.00
2015-12-15,18.85,19.90,18.45,19.00,7900.00,0.00
2015-12-14,18.90,19.50,18.00,18.85,14000.00,0.00
2015-12-11,18.95,20.00,17.90,18.90,2400.00,0.00
2015-12-10,18.85,19.00,18.05,18.95,58500.00,0.00
2015-12-09,18.85,19.00,17.55,18.85,139800.00,0.00
2015-12-08,17.90,19.00,18.00,18.85,3400.00,0.00
2015-12-07,17.50,18.00,17.80,17.90,4900.00,0.00
2015-12-04,17.90,17.50,17.50,17.50,100.00,0.00
2015-12-03,17.95,17.95,17.90,17.90,1000.00,0.00
2015-12-02,16.90,18.00,17.70,17.95,10300.00,0.00
2015-12-01,18.55,17.50,16.70,16.90,2000.00,0.00
2015-11-30,18.00,19.00,18.00,18.55,7500.00,0.00
2015-11-27,18.00,18.00,18.00,18.00,2900.00,0.00
2015-11-25,17.95,18.00,18.00,18.00,2100.00,0.00
2015-11-24,17.95,18.00,17.70,17.95,269800.00,0.00
2015-11-23,18.00,18.00,16.50,17.95,49200.00,0.00
2015-11-20,18.00,18.00,18.00,18.00,400.00,0.00
2015-11-19,17.65,18.00,18.00,18.00,6800.00,0.00
2015-11-18,18.40,18.00,17.50,17.65,5100.00,0.00
2015-11-17,17.95,18.50,17.50,18.40,71500.00,0.00
2015-11-16,17.95,18.00,17.50,17.95,73000.00,0.00
2015-11-13,17.40,18.00,17.50,17.95,29800.00,0.00
2015-11-12,16.70,17.50,16.70,17.40,59800.00,0.00
2015-11-11,16.20,16.75,16.50,16.70,52000.00,0.00
2015-11-10,15.65,16.20,16.20,16.20,300.00,0.00
2015-11-09,16.15,16.20,15.50,15.65,400.00,0.00
2015-11-06,16.00,16.60,16.00,16.15,13400.00,0.00
2015-11-05,16.00,16.60,16.00,16.00,3000.00,0.00
2015-11-04,16.00,16.00,16.00,16.00,1000.00,0.00
2015-11-03,16.35,16.00,16.00,16.00,2000.00,0.00
2015-11-02,15.65,16.50,15.50,16.35,7200.00,0.00
2015-10-30,15.80,16.45,15.00,15.65,6200.00,0.00
2015-10-29,16.45,16.45,15.10,15.80,11900.00,0.00
2015-10-28,16.45,16.50,16.10,16.45,3300.00,0.00
2015-10-27,16.45,16.50,16.00,16.45,7300.00,0.00
2015-10-26,16.80,16.45,16.45,16.45,1300.00,0.00
2015-10-23,16.45,17.00,16.50,16.80,33300.00,0.00
2015-10-22,16.15,16.50,16.15,16.45,11000.00,0.00
2015-10-21,16.15,16.15,16.15,16.15,400.00,0.00
2015-10-19,16.45,16.15,16.15,16.15,300.00,0.00
2015-10-16,16.25,16.50,16.20,16.45,11100.00,0.00
2015-10-15,16.20,16.95,16.25,16.25,31500.00,0.00
2015-10-14,16.80,16.25,16.15,16.20,23200.00,0.00
2015-10-13,16.95,17.50,16.15,16.80,1500.00,0.00
2015-10-12,16.10,17.70,16.15,16.95,15600.00,0.00
2015-10-09,16.00,17.00,16.00,16.10,184100.00,0.00
2015-10-08,16.00,16.10,16.00,16.00,2700.00,0.00
2015-10-07,15.00,16.45,16.00,16.00,597000.00,0.00
2015-10-05,16.20,16.00,14.90,15.00,3600.00,0.00
2015-10-02,15.50,16.50,16.00,16.20,7900.00,0.00
2015-10-01,16.35,16.00,15.30,15.50,427700.00,0.00
2015-09-30,16.35,16.35,16.35,16.35,0.00,0.00
2015-09-29,15.85,16.50,15.05,16.35,32200.00,0.00
2015-09-28,15.95,16.00,15.00,15.85,19000.00,0.00
2015-09-25,15.95,16.00,15.95,15.95,600.00,0.00
2015-09-24,15.75,15.95,15.95,15.95,400.00,0.00
