Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,30.00,30.00,30.00,30.00,0.00,0.00
2015-12-30,30.00,30.00,30.00,30.00,400.00,0.00
2015-12-29,30.00,30.00,30.00,30.00,600.00,0.00
2015-12-28,30.50,30.00,30.00,30.00,2900.00,0.00
2015-12-24,29.00,31.75,30.00,30.50,9000.00,0.00
2015-12-23,31.50,31.00,28.50,29.00,20500.00,0.00
2015-12-22,32.25,32.50,30.00,31.50,1000.00,0.00
2015-12-21,30.75,32.75,32.00,32.25,3200.00,0.00
2015-12-18,32.00,32.00,30.25,30.75,3100.00,0.00
2015-12-17,30.50,33.50,31.25,32.00,3700.00,0.00
2015-12-16,29.00,31.75,29.00,30.50,2600.00,0.00
2015-12-15,29.00,30.00,28.00,29.00,5100.00,0.00
2015-12-14,30.00,30.00,27.75,29.00,2100.00,0.00
2015-12-11,30.00,30.00,30.00,30.00,600.00,0.00
2015-12-10,30.00,30.25,30.00,30.00,32500.00,0.00
2015-12-09,29.25,31.00,30.00,30.00,342000.00,0.00
2015-12-08,29.50,30.25,27.75,29.25,14500.00,0.00
2015-12-07,29.75,29.75,29.50,29.50,2300.00,0.00
2015-12-04,29.75,30.00,29.75,29.75,1500.00,0.00
2015-12-03,29.75,29.75,29.75,29.75,600.00,0.00
2015-12-02,29.50,30.50,29.75,29.75,3500.00,0.00
2015-12-01,29.75,29.75,29.00,29.50,3300.00,0.00
2015-11-30,28.00,30.00,28.50,29.75,102000.00,0.00
2015-11-27,28.50,28.50,27.50,28.00,21600.00,0.00
2015-11-25,28.25,28.50,28.50,28.50,7700.00,0.00
2015-11-24,28.25,30.50,27.00,28.25,171700.00,0.00
2015-11-23,27.25,29.00,26.75,28.25,70500.00,0.00
2015-11-20,26.50,27.50,26.75,27.25,21200.00,0.00
2015-11-19,25.25,27.50,25.00,26.50,3400.00,0.00
2015-11-18,25.25,25.25,25.25,25.25,2400.00,0.00
2015-11-17,24.50,25.50,25.00,25.25,2000.00,0.00
2015-11-16,24.50,24.50,24.50,24.50,0.00,0.00
2015-11-13,24.50,24.75,24.00,24.50,3300.00,0.00
2015-11-12,24.75,25.00,24.50,24.50,2200.00,0.00
2015-11-11,24.75,26.00,24.00,24.75,9200.00,0.00
2015-11-10,24.75,25.00,24.25,24.75,12700.00,0.00
2015-11-09,24.50,24.75,24.75,24.75,500.00,0.00
