Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,202.00,195.00,195.00,195.00,1100.00,0.00
2015-12-30,203.00,203.00,202.00,202.00,4100.00,0.00
2015-12-29,202.00,203.00,203.00,203.00,300.00,0.00
2015-12-28,202.00,202.00,202.00,202.00,0.00,0.00
2015-12-24,202.00,202.00,202.00,202.00,0.00,0.00
2015-12-23,202.00,204.00,201.00,202.00,5600.00,0.00
2015-12-22,201.00,203.00,202.00,202.00,3000.00,0.00
2015-12-21,206.00,202.00,201.00,201.00,1600.00,0.00
2015-12-18,207.00,225.00,203.00,206.00,3800.00,0.00
2015-12-17,202.00,222.00,203.00,207.00,7200.00,0.00
2015-12-16,204.00,204.00,202.00,202.00,4500.00,0.00
2015-12-15,201.00,205.00,204.00,204.00,4800.00,0.00
2015-12-14,201.00,210.00,200.00,201.00,53700.00,0.00
2015-12-11,200.00,205.00,200.00,201.00,1300.00,0.00
2015-12-10,204.00,205.00,200.00,200.00,11100.00,0.00
2015-12-09,203.00,210.00,203.00,204.00,3000.00,0.00
2015-12-08,202.00,205.00,201.00,203.00,7100.00,0.00
2015-12-07,207.00,205.00,201.00,202.00,600.00,0.00
2015-12-04,208.00,210.00,205.00,207.00,2300.00,0.00
2015-12-03,208.00,210.00,207.00,208.00,300.00,0.00
2015-12-02,209.00,210.00,207.00,208.00,3300.00,0.00
2015-12-01,218.00,210.00,207.00,209.00,2900.00,0.00
2015-11-30,205.00,220.00,210.00,218.00,600.00,0.00
2015-11-27,223.00,220.00,200.00,205.00,62300.00,0.00
2015-11-25,222.00,224.00,222.00,223.00,7000.00,0.00
2015-11-24,223.00,223.00,222.00,222.00,28800.00,0.00
2015-11-23,223.00,225.00,221.00,223.00,19300.00,0.00
2015-11-20,221.00,224.00,222.00,223.00,10600.00,0.00
2015-11-19,220.00,228.00,220.00,221.00,122400.00,0.00
2015-11-18,217.00,221.00,217.00,220.00,56000.00,0.00
2015-11-17,221.00,221.00,215.00,217.00,11100.00,0.00
2015-11-16,215.00,230.00,215.00,221.00,6800.00,0.00
2015-11-13,215.00,215.00,215.00,215.00,300.00,0.00
2015-11-12,213.00,218.00,214.00,215.00,2600.00,0.00
2015-11-11,209.00,215.00,207.00,213.00,20000.00,0.00
2015-11-10,207.00,214.00,208.00,209.00,3100.00,0.00
