Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,28.00,28.00,28.00,28.00,0.00,0.00
2015-12-30,27.75,28.00,28.00,28.00,800.00,0.00
2015-12-29,27.75,27.75,27.75,27.75,0.00,0.00
2015-12-28,27.75,27.75,27.75,27.75,0.00,0.00
2015-12-24,27.75,27.75,27.75,27.75,0.00,0.00
2015-12-23,27.00,27.75,27.75,27.75,1300.00,0.00
2015-12-22,27.00,27.00,27.00,27.00,0.00,0.00
2015-12-21,27.50,27.00,27.00,27.00,400.00,0.00
2015-12-18,27.50,27.50,27.50,27.50,0.00,0.00
2015-12-17,27.50,27.50,27.50,27.50,0.00,0.00
2015-12-16,27.50,27.50,27.50,27.50,200.00,0.00
2015-12-15,27.50,27.50,27.50,27.50,100.00,0.00
2015-12-14,29.00,27.50,27.50,27.50,3800.00,0.00
2015-12-11,29.00,29.00,29.00,29.00,0.00,0.00
2015-12-10,31.75,29.00,29.00,29.00,3100.00,0.00
2015-12-09,32.75,32.00,31.50,31.75,2200.00,0.00
2015-12-08,32.75,32.75,32.75,32.75,0.00,0.00
2015-12-07,31.50,33.75,32.00,32.75,200.00,0.00
2015-12-04,32.00,31.50,31.50,31.50,1100.00,0.00
2015-12-03,31.25,32.00,32.00,32.00,100.00,0.00
2015-12-02,29.50,32.25,29.50,31.25,1500.00,0.00
2015-12-01,31.50,29.50,29.50,29.50,600.00,0.00
2015-11-30,28.75,31.50,31.50,31.50,100.00,0.00
2015-11-27,28.75,28.75,28.75,28.75,0.00,0.00
2015-11-25,29.00,29.00,28.75,28.75,1000.00,0.00
2015-11-24,28.75,29.00,29.00,29.00,100.00,0.00
2015-11-23,28.75,28.75,28.75,28.75,0.00,0.00
2015-11-20,27.00,28.75,28.75,28.75,600.00,0.00
2015-11-19,27.00,27.00,27.00,27.00,0.00,0.00
2015-11-18,27.00,27.00,27.00,27.00,0.00,0.00
2015-11-17,27.00,27.00,27.00,27.00,0.00,0.00
2015-11-16,27.00,27.00,27.00,27.00,0.00,0.00
2015-11-13,27.25,27.25,27.00,27.00,1000.00,0.00
2015-11-12,26.75,28.00,27.00,27.25,3200.00,0.00
2015-11-11,26.75,26.75,26.75,26.75,0.00,0.00
2015-11-10,29.00,26.75,26.75,26.75,200.00,0.00
2015-11-09,29.00,29.00,29.00,29.00,0.00,0.00
2015-11-06,29.00,29.00,29.00,29.00,0.00,0.00
2015-11-05,29.50,30.00,29.00,29.00,600.00,0.00
2015-11-04,29.75,30.00,29.50,29.50,6400.00,0.00
2015-11-03,32.00,32.00,29.50,29.75,1800.00,0.00
2015-11-02,29.25,32.00,32.00,32.00,100.00,0.00
2015-10-30,29.50,29.50,29.00,29.25,200.00,0.00
2015-10-29,29.50,29.50,29.50,29.50,0.00,0.00
2015-10-28,28.00,29.50,29.50,29.50,100.00,0.00
2015-10-27,28.00,28.00,28.00,28.00,0.00,0.00
2015-10-26,28.00,28.00,28.00,28.00,0.00,0.00
2015-10-23,30.00,28.00,28.00,28.00,300.00,0.00
2015-10-22,30.00,31.00,29.50,30.00,5100.00,0.00
2015-10-21,30.00,30.00,30.00,30.00,0.00,0.00
2015-10-19,30.00,30.00,30.00,30.00,0.00,0.00
2015-10-16,30.00,30.00,30.00,30.00,6900.00,0.00
2015-10-15,30.00,30.00,30.00,30.00,0.00,0.00
2015-10-14,32.00,31.00,30.00,30.00,1000.00,0.00
2015-10-13,32.00,32.00,32.00,32.00,700.00,0.00
2015-10-12,32.00,32.00,32.00,32.00,0.00,0.00
2015-10-09,34.00,32.00,32.00,32.00,500.00,0.00
2015-10-08,31.50,34.00,34.00,34.00,200.00,0.00
2015-10-07,32.75,33.00,31.00,31.50,3200.00,0.00
2015-10-05,34.00,33.50,30.75,32.75,3700.00,0.00
2015-10-02,34.50,34.00,34.00,34.00,2500.00,0.00
2015-10-01,34.00,35.00,34.00,34.50,400.00,0.00
2015-09-30,34.00,34.00,34.00,34.00,1500.00,0.00
2015-09-29,34.00,34.00,34.00,34.00,0.00,0.00
2015-09-28,34.00,34.00,34.00,34.00,0.00,0.00
2015-09-25,31.25,34.00,34.00,34.00,1300.00,0.00
2015-09-24,34.00,35.00,31.00,31.25,12000.00,0.00
2015-09-23,34.00,34.00,34.00,34.00,400.00,0.00
2015-09-22,34.00,34.00,34.00,34.00,0.00,0.00
2015-09-21,34.00,34.00,34.00,34.00,400.00,0.00
2015-09-18,34.00,37.00,34.00,34.00,1600.00,0.00
2015-09-17,34.00,34.00,34.00,34.00,0.00,0.00
2015-09-16,34.00,34.00,34.00,34.00,200.00,0.00
2015-09-15,34.50,34.00,34.00,34.00,400.00,0.00
2015-09-14,34.50,35.00,34.00,34.50,800.00,0.00
2015-09-11,37.50,35.00,34.00,34.50,800.00,0.00
2015-09-10,37.50,37.50,37.50,37.50,0.00,0.00
2015-09-09,37.50,37.50,37.50,37.50,0.00,0.00
2015-09-08,37.50,37.50,37.50,37.50,700.00,0.00
2015-09-07,37.50,37.50,37.50,37.50,400.00,0.00
2015-09-04,37.50,37.50,37.50,37.50,0.00,0.00
2015-09-03,37.50,37.50,37.50,37.50,500.00,0.00
2015-09-02,34.50,37.50,37.50,37.50,300.00,0.00
2015-09-01,38.00,34.50,34.50,34.50,100.00,0.00
2015-08-31,38.00,38.00,38.00,38.00,0.00,0.00
2015-08-28,38.00,38.00,38.00,38.00,0.00,0.00
2015-08-27,39.75,38.00,38.00,38.00,100.00,0.00
2015-08-26,39.75,39.75,39.75,39.75,0.00,0.00
2015-08-25,39.75,39.75,39.75,39.75,0.00,0.00
2015-08-24,39.00,39.75,39.75,39.75,300.00,0.00
2015-08-21,39.75,39.75,38.50,39.00,500.00,0.00
2015-08-20,39.75,39.75,39.75,39.75,0.00,0.00
2015-08-19,39.50,39.75,39.75,39.75,100.00,0.00
2015-08-18,39.50,39.50,39.50,39.50,0.00,0.00
2015-08-17,39.00,40.00,39.50,39.50,600.00,0.00
2015-08-14,39.00,39.25,37.00,39.00,14900.00,0.00
2015-08-13,39.00,39.00,39.00,39.00,0.00,0.00
2015-08-12,39.00,39.00,39.00,39.00,0.00,0.00
2015-08-11,38.75,39.00,39.00,39.00,3300.00,0.00
2015-08-10,38.75,38.75,38.75,38.75,0.00,0.00
2015-08-07,38.25,39.00,38.50,38.75,800.00,0.00
2015-08-06,39.00,39.00,36.50,38.25,600.00,0.00
2015-08-05,39.00,39.00,39.00,39.00,0.00,0.00
2015-08-04,39.00,39.00,39.00,39.00,0.00,0.00
2015-08-03,39.00,39.00,39.00,39.00,200.00,0.00
2015-07-31,39.00,39.00,39.00,39.00,300.00,0.00
2015-07-30,39.25,39.00,39.00,39.00,100.00,0.00
2015-07-29,39.75,39.50,37.00,39.25,2200.00,0.00
2015-07-28,36.50,40.00,39.50,39.75,4400.00,0.00
2015-07-27,34.00,36.50,36.50,36.50,300.00,0.00
2015-07-24,33.25,34.00,34.00,34.00,800.00,0.00
2015-07-23,33.25,33.25,33.25,33.25,0.00,0.00
2015-07-22,36.00,34.00,33.25,33.25,1300.00,0.00
2015-07-21,36.00,36.00,36.00,36.00,0.00,0.00
2015-07-20,36.00,36.00,36.00,36.00,200.00,0.00
2015-07-17,36.00,36.00,36.00,36.00,0.00,0.00
2015-07-16,34.00,36.00,36.00,36.00,300.00,0.00
2015-07-15,33.25,36.00,33.25,34.00,2300.00,0.00
2015-07-14,36.00,36.00,32.75,33.25,1300.00,0.00
2015-07-13,39.00,36.00,36.00,36.00,200.00,0.00
2015-07-09,39.00,39.00,39.00,39.00,0.00,0.00
