Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,8.25,8.25,8.25,8.25,0.00,0.00
2015-12-30,8.20,8.30,8.25,8.25,8400.00,0.00
2015-12-29,7.85,8.20,8.20,8.20,400.00,0.00
2015-12-28,7.70,7.90,7.65,7.85,5900.00,0.00
2015-12-24,7.70,7.70,7.70,7.70,0.00,0.00
2015-12-23,7.05,7.75,7.50,7.70,6900.00,0.00
2015-12-22,7.05,7.05,7.05,7.05,0.00,0.00
2015-12-21,6.90,7.05,7.05,7.05,200.00,0.00
2015-12-18,6.90,7.55,6.90,6.90,7500.00,0.00
2015-12-17,6.70,7.00,6.70,6.90,4500.00,0.00
2015-12-16,6.90,7.00,6.60,6.70,88900.00,0.00
2015-12-15,7.25,7.50,6.60,6.90,40100.00,0.00
2015-12-14,7.55,7.60,6.90,7.25,54700.00,0.00
2015-12-11,7.90,7.55,7.55,7.55,6200.00,0.00
2015-12-10,8.50,8.05,7.65,7.90,7300.00,0.00
2015-12-09,8.10,8.50,8.50,8.50,1000.00,0.00
2015-12-08,9.00,8.90,8.10,8.10,58900.00,0.00
2015-12-07,9.65,9.65,8.85,9.00,6700.00,0.00
2015-12-04,9.80,9.85,9.50,9.65,22000.00,0.00
2015-12-03,9.80,9.80,9.80,9.80,5000.00,0.00
2015-12-02,9.50,9.90,9.80,9.80,5400.00,0.00
2015-12-01,9.90,9.50,9.50,9.50,1000.00,0.00
2015-11-30,10.00,10.00,9.70,9.90,4900.00,0.00
2015-11-27,10.00,10.00,10.00,10.00,51000.00,0.00
2015-11-25,10.20,11.20,10.00,10.00,504400.00,0.00
2015-11-24,11.30,10.35,10.20,10.20,3900.00,0.00
2015-11-23,11.30,11.35,11.10,11.30,12300.00,0.00
2015-11-20,11.10,11.35,11.30,11.30,11900.00,0.00
2015-11-19,11.05,11.25,10.00,11.10,3500.00,0.00
2015-11-18,10.80,11.30,11.00,11.05,14000.00,0.00
2015-11-17,11.35,11.35,10.50,10.80,21000.00,0.00
2015-11-16,11.00,12.00,11.00,11.35,12600.00,0.00
2015-11-13,11.00,11.00,11.00,11.00,1000.00,0.00
2015-11-12,12.15,12.00,11.00,11.00,58100.00,0.00
2015-11-11,12.00,13.00,12.00,12.15,4900.00,0.00
2015-11-10,12.20,12.20,12.00,12.00,11400.00,0.00
2015-11-09,12.15,12.50,12.00,12.20,14300.00,0.00
2015-11-06,13.20,13.00,12.00,12.15,12200.00,0.00
2015-11-05,13.20,13.20,13.20,13.20,0.00,0.00
2015-11-04,12.10,13.30,12.10,13.20,2100.00,0.00
2015-11-03,12.10,12.10,12.10,12.10,0.00,0.00
2015-11-02,13.40,13.40,12.10,12.10,63400.00,0.00
