Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,18.25,18.25,18.25,18.25,0.00,0.00
2015-12-30,18.30,18.25,18.25,18.25,2000.00,0.00
2015-12-29,18.45,18.70,18.20,18.30,500.00,0.00
2015-12-28,18.90,18.50,18.20,18.45,2100.00,0.00
2015-12-24,18.95,18.90,18.90,18.90,300.00,0.00
2015-12-23,18.20,18.95,18.95,18.95,400.00,0.00
2015-12-22,18.30,18.85,17.75,18.20,1200.00,0.00
2015-12-21,18.20,18.45,18.20,18.30,1900.00,0.00
2015-12-18,18.35,18.20,18.20,18.20,300.00,0.00
2015-12-17,18.20,18.35,18.35,18.35,1800.00,0.00
2015-12-16,18.20,18.20,18.20,18.20,0.00,0.00
2015-12-15,18.80,18.20,18.20,18.20,1000.00,0.00
2015-12-14,18.35,18.95,18.35,18.80,400.00,0.00
2015-12-11,18.35,18.85,17.95,18.35,900.00,0.00
2015-12-10,17.95,18.90,18.00,18.35,1600.00,0.00
2015-12-09,17.15,18.00,17.50,17.95,1100.00,0.00
2015-12-08,17.95,18.00,17.00,17.15,9100.00,0.00
2015-12-07,18.80,18.50,17.15,17.95,4800.00,0.00
2015-12-04,18.95,18.95,18.40,18.80,10000.00,0.00
2015-12-03,18.95,18.95,18.95,18.95,900.00,0.00
2015-12-02,17.75,18.95,18.95,18.95,200.00,0.00
2015-12-01,18.10,18.35,17.50,17.75,700.00,0.00
2015-11-30,18.35,18.35,17.50,18.10,1800.00,0.00
2015-11-27,18.35,18.35,18.35,18.35,0.00,0.00
2015-11-25,17.35,18.95,18.00,18.35,1700.00,0.00
2015-11-24,19.00,18.85,17.15,17.35,10100.00,0.00
2015-11-23,18.00,19.00,19.00,19.00,300.00,0.00
2015-11-20,17.95,19.00,17.75,18.00,8200.00,0.00
2015-11-19,18.00,18.00,17.95,17.95,10100.00,0.00
2015-11-18,18.00,18.00,18.00,18.00,1000.00,0.00
2015-11-17,18.00,18.10,18.00,18.00,12300.00,0.00
2015-11-16,18.30,18.80,18.00,18.00,4800.00,0.00
2015-11-13,18.35,18.30,18.30,18.30,9900.00,0.00
2015-11-12,18.95,18.75,18.35,18.35,5700.00,0.00
2015-11-11,18.75,19.00,18.95,18.95,1100.00,0.00
2015-11-10,18.80,18.95,18.75,18.75,4500.00,0.00
2015-11-09,18.90,18.90,18.75,18.80,200.00,0.00
2015-11-06,18.90,18.90,18.90,18.90,0.00,0.00
2015-11-05,17.25,18.95,18.90,18.90,1000.00,0.00
2015-11-04,17.25,17.25,17.25,17.25,0.00,0.00
2015-11-03,17.25,17.25,17.25,17.25,0.00,0.00
2015-11-02,18.75,19.00,17.00,17.25,3900.00,0.00
2015-10-30,19.00,19.00,18.35,18.75,10100.00,0.00
2015-10-29,19.00,19.00,19.00,19.00,300.00,0.00
2015-10-28,18.35,19.25,19.00,19.00,3600.00,0.00
2015-10-27,19.60,19.00,18.00,18.35,3200.00,0.00
2015-10-26,19.65,19.60,19.60,19.60,2000.00,0.00
2015-10-23,19.65,19.65,19.65,19.65,200.00,0.00
2015-10-22,20.00,19.70,19.50,19.65,2400.00,0.00
2015-10-21,19.70,20.00,20.00,20.00,200.00,0.00
2015-10-19,19.65,20.00,19.65,19.70,4700.00,0.00
2015-10-16,19.65,19.65,19.65,19.65,0.00,0.00
2015-10-15,19.70,19.70,19.65,19.65,1600.00,0.00
2015-10-14,19.75,19.80,19.65,19.70,1500.00,0.00
2015-10-13,19.70,19.80,19.70,19.75,5500.00,0.00
2015-10-12,19.70,19.70,19.70,19.70,5000.00,0.00
2015-10-09,19.70,20.00,19.70,19.70,4000.00,0.00
2015-10-08,19.75,20.00,19.65,19.70,1500.00,0.00
2015-10-07,19.65,20.00,19.65,19.75,2700.00,0.00
2015-10-05,19.75,20.75,19.50,19.65,13300.00,0.00
2015-10-02,19.30,19.80,19.50,19.75,8500.00,0.00
2015-10-01,19.15,20.00,19.10,19.30,20800.00,0.00
2015-09-30,18.75,19.80,18.75,19.15,9600.00,0.00
2015-09-29,19.80,19.80,18.50,18.75,8800.00,0.00
2015-09-28,18.50,20.00,19.80,19.80,29400.00,0.00
2015-09-25,19.35,19.80,17.55,18.50,16300.00,0.00
2015-09-24,19.45,19.60,19.20,19.35,2100.00,0.00
2015-09-23,19.55,19.60,19.10,19.45,800.00,0.00
2015-09-22,19.80,20.00,19.05,19.55,2700.00,0.00
2015-09-21,19.20,19.80,19.80,19.80,100.00,0.00
2015-09-18,19.20,19.20,19.20,19.20,0.00,0.00
2015-09-17,19.80,19.20,19.20,19.20,3300.00,0.00
2015-09-16,19.95,20.25,19.10,19.80,5200.00,0.00
2015-09-15,19.90,20.00,19.90,19.95,5300.00,0.00
2015-09-14,19.90,20.50,19.10,19.90,1300.00,0.00
2015-09-11,20.50,20.50,19.05,19.90,5000.00,0.00
2015-09-10,19.85,21.00,19.50,20.50,25300.00,0.00
2015-09-09,19.30,19.85,19.85,19.85,1000.00,0.00
2015-09-08,20.00,21.00,19.20,19.30,11500.00,0.00
2015-09-07,18.55,20.00,20.00,20.00,1300.00,0.00
2015-09-04,19.15,19.15,18.00,18.55,200.00,0.00
2015-09-03,19.15,19.15,19.15,19.15,0.00,0.00
2015-09-02,19.15,21.00,19.00,19.15,17000.00,0.00
2015-09-01,19.00,20.50,19.00,19.15,1600.00,0.00
2015-08-31,20.25,19.20,19.00,19.00,6600.00,0.00
2015-08-28,21.00,21.00,20.25,20.25,5700.00,0.00
2015-08-27,21.50,21.50,21.00,21.00,1300.00,0.00
2015-08-26,21.75,21.75,21.00,21.50,5900.00,0.00
2015-08-25,22.00,22.00,21.75,21.75,2300.00,0.00
2015-08-24,21.75,22.25,22.00,22.00,300.00,0.00
2015-08-21,22.00,22.25,21.75,21.75,2700.00,0.00
2015-08-20,22.00,24.00,22.00,22.00,3700.00,0.00
2015-08-19,24.00,23.00,22.00,22.00,157100.00,0.00
2015-08-18,22.25,24.00,24.00,24.00,800.00,0.00
2015-08-17,23.00,22.75,22.00,22.25,500.00,0.00
2015-08-14,23.00,23.25,23.00,23.00,4000.00,0.00
2015-08-13,22.75,23.00,23.00,23.00,25800.00,0.00
2015-08-12,21.50,23.00,22.75,22.75,8300.00,0.00
