Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,25.00,25.00,25.00,25.00,0.00,0.00
2015-12-30,25.00,26.00,24.50,25.00,615900.00,0.00
2015-12-29,26.00,25.00,25.00,25.00,14700.00,0.00
2015-12-28,25.25,26.00,26.00,26.00,500.00,0.00
2015-12-24,25.00,25.50,25.00,25.25,2800.00,0.00
2015-12-23,25.50,26.00,25.00,25.00,2000.00,0.00
2015-12-22,25.50,25.50,25.50,25.50,0.00,0.00
2015-12-21,25.75,26.00,25.50,25.50,6200.00,0.00
2015-12-18,26.00,25.75,25.75,25.75,1000.00,0.00
2015-12-17,25.75,26.00,26.00,26.00,400.00,0.00
2015-12-16,25.50,25.75,25.75,25.75,100.00,0.00
2015-12-15,26.00,25.50,25.50,25.50,1400.00,0.00
2015-12-14,26.25,26.25,26.00,26.00,10700.00,0.00
2015-12-11,26.75,27.00,26.25,26.25,201000.00,0.00
2015-12-10,27.00,26.75,26.75,26.75,1300.00,0.00
2015-12-09,27.00,27.00,27.00,27.00,2600.00,0.00
2015-12-08,27.50,27.25,27.00,27.00,60100.00,0.00
2015-12-07,27.50,27.50,27.50,27.50,200.00,0.00
2015-12-04,27.75,27.50,27.50,27.50,1200.00,0.00
2015-12-03,28.25,28.00,27.50,27.75,42300.00,0.00
2015-12-02,28.25,28.50,28.00,28.25,400.00,0.00
2015-12-01,27.50,28.50,28.25,28.25,8400.00,0.00
2015-11-30,28.25,27.50,27.50,27.50,2900.00,0.00
2015-11-27,26.75,28.50,27.00,28.25,11700.00,0.00
2015-11-25,28.50,27.50,26.50,26.75,2500.00,0.00
2015-11-24,28.50,28.50,28.50,28.50,100.00,0.00
2015-11-23,28.25,28.75,28.50,28.50,2200.00,0.00
2015-11-20,27.00,28.50,28.00,28.25,7700.00,0.00
2015-11-19,27.00,27.00,27.00,27.00,0.00,0.00
2015-11-18,27.75,27.75,27.00,27.00,17700.00,0.00
2015-11-17,28.75,28.00,27.00,27.75,70300.00,0.00
2015-11-16,27.25,28.75,28.75,28.75,100.00,0.00
2015-11-13,27.00,28.00,27.00,27.25,7200.00,0.00
2015-11-12,27.00,27.00,27.00,27.00,2700.00,0.00
2015-11-11,27.00,27.25,27.00,27.00,3500.00,0.00
2015-11-10,27.00,27.00,27.00,27.00,0.00,0.00
2015-11-09,27.00,27.25,27.00,27.00,20700.00,0.00
2015-11-06,27.00,27.00,27.00,27.00,500.00,0.00
2015-11-05,25.50,28.00,27.00,27.00,1000.00,0.00
2015-11-04,25.75,25.50,25.50,25.50,1400.00,0.00
2015-11-03,25.25,25.75,25.75,25.75,300.00,0.00
2015-11-02,25.50,25.75,25.00,25.25,6300.00,0.00
2015-10-30,26.00,26.00,25.50,25.50,5600.00,0.00
2015-10-29,26.75,26.00,26.00,26.00,100.00,0.00
2015-10-28,27.25,26.75,26.75,26.75,500.00,0.00
2015-10-27,28.00,28.25,25.25,27.25,3800.00,0.00
2015-10-26,28.25,28.00,28.00,28.00,1000.00,0.00
2015-10-23,28.25,28.25,28.25,28.25,0.00,0.00
2015-10-22,28.00,29.50,28.00,28.25,400.00,0.00
2015-10-21,28.00,28.25,28.00,28.00,1600.00,0.00
2015-10-19,28.00,28.00,28.00,28.00,5000.00,0.00
2015-10-16,29.50,28.00,28.00,28.00,100.00,0.00
2015-10-15,29.50,29.50,29.50,29.50,0.00,0.00
2015-10-14,28.00,29.50,29.50,29.50,200.00,0.00
2015-10-13,28.50,28.00,28.00,28.00,100.00,0.00
2015-10-12,28.50,28.50,28.50,28.50,0.00,0.00
2015-10-09,28.50,28.50,28.50,28.50,1600.00,0.00
2015-10-08,28.75,28.50,28.50,28.50,2400.00,0.00
2015-10-07,28.75,29.00,28.75,28.75,400.00,0.00
2015-10-05,28.50,28.75,28.75,28.75,200.00,0.00
2015-10-02,28.50,28.50,28.50,28.50,100.00,0.00
2015-10-01,29.50,28.50,28.50,28.50,1100.00,0.00
2015-09-30,30.25,29.50,29.50,29.50,15000.00,0.00
2015-09-29,28.25,31.00,28.25,30.25,1000.00,0.00
2015-09-28,28.25,29.00,28.25,28.25,4700.00,0.00
2015-09-25,28.75,28.50,28.25,28.25,300.00,0.00
2015-09-24,29.00,31.00,28.25,28.75,1100.00,0.00
2015-09-23,29.50,30.00,29.00,29.00,117500.00,0.00
2015-09-22,30.00,30.00,29.50,29.50,2400.00,0.00
2015-09-21,30.00,30.00,30.00,30.00,200.00,0.00
2015-09-18,30.25,30.25,30.00,30.00,86000.00,0.00
2015-09-17,30.25,30.25,30.25,30.25,2900.00,0.00
