Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,10.30,11.00,10.95,10.95,13000.00,0.00
2015-12-30,10.15,11.00,10.00,10.30,160700.00,0.00
2015-12-29,9.60,10.50,9.95,10.15,87600.00,0.00
2015-12-28,9.45,10.00,9.60,9.60,18000.00,0.00
2015-12-24,9.15,10.00,9.40,9.45,60000.00,0.00
2015-12-24,9.15,10.00,9.40,9.45,60000.00,0.00
2015-12-23,8.90,9.50,8.90,9.15,143100.00,0.00
2015-12-22,8.45,9.00,8.30,8.90,80100.00,0.00
2015-12-21,8.65,8.50,8.30,8.45,7200.00,0.00
2015-12-18,8.80,8.85,8.60,8.65,83000.00,0.00
2015-12-18,8.80,8.85,8.60,8.65,83000.00,0.00
2015-12-17,8.75,9.00,8.50,8.80,41000.00,0.00
2015-12-17,8.75,9.00,8.50,8.80,41000.00,0.00
2015-12-16,8.80,9.00,8.50,8.75,21000.00,0.00
2015-12-16,8.80,9.00,8.50,8.75,21000.00,0.00
2015-12-15,8.35,9.00,8.50,8.80,31900.00,0.00
2015-12-15,8.35,9.00,8.50,8.80,31900.00,0.00
2015-12-14,8.00,8.85,8.10,8.35,14700.00,0.00
2015-12-14,8.00,8.85,8.10,8.35,14700.00,0.00
2015-12-11,8.10,8.75,8.00,8.00,1360000.00,0.00
2015-12-11,8.10,8.75,8.00,8.00,1360000.00,0.00
2015-12-10,8.05,8.70,8.00,8.10,80300.00,0.00
2015-12-10,8.05,8.70,8.00,8.10,80300.00,0.00
2015-12-09,8.00,8.50,8.00,8.05,229900.00,0.00
2015-12-09,8.00,8.50,8.00,8.05,229900.00,0.00
2015-12-08,7.90,8.30,7.20,8.00,126600.00,0.00
2015-12-08,7.90,8.30,7.20,8.00,126600.00,0.00
2015-12-07,8.00,8.05,7.50,7.90,9200.00,0.00
2015-12-07,8.00,8.05,7.50,7.90,9200.00,0.00
2015-12-04,7.95,8.00,8.00,8.00,27100.00,0.00
2015-12-04,7.95,8.00,8.00,8.00,27100.00,0.00
2015-12-03,7.85,8.05,7.25,7.95,165800.00,0.00
2015-12-03,7.85,8.05,7.25,7.95,165800.00,0.00
2015-12-02,7.25,7.90,7.85,7.85,57600.00,0.00
2015-12-02,7.25,7.90,7.85,7.85,57600.00,0.00
2015-12-01,7.85,7.30,7.25,7.25,6800.00,0.00
2015-12-01,7.85,7.30,7.25,7.25,6800.00,0.00
2015-11-30,8.05,8.00,7.25,7.85,254800.00,0.00
2015-11-30,8.05,8.00,7.25,7.85,254800.00,0.00
2015-11-27,8.45,8.40,7.80,8.05,4300.00,0.00
2015-11-27,8.45,8.40,7.80,8.05,4300.00,0.00
2015-11-25,8.40,8.50,8.00,8.45,7000.00,0.00
2015-11-25,8.40,8.50,8.00,8.45,7000.00,0.00
2015-11-25,8.40,8.50,8.00,8.45,7000.00,0.00
2015-11-25,8.40,8.50,8.00,8.45,7000.00,0.00
2015-11-24,8.35,8.50,8.10,8.40,25400.00,0.00
2015-11-24,8.35,8.50,8.10,8.40,25400.00,0.00
2015-11-23,8.05,8.45,8.10,8.35,2300.00,0.00
