Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,22.25,22.25,22.25,22.25,0.00,0.00
2015-12-30,22.25,22.25,22.25,22.25,0.00,0.00
2015-12-29,22.25,22.25,22.25,22.25,0.00,0.00
2015-12-28,22.25,22.25,22.25,22.25,0.00,0.00
2015-12-24,21.00,23.00,21.00,22.25,300.00,0.00
2015-12-23,21.00,21.00,21.00,21.00,100.00,0.00
2015-12-22,21.00,21.00,21.00,21.00,0.00,0.00
2015-12-21,21.00,21.00,21.00,21.00,0.00,0.00
2015-12-18,20.75,21.00,21.00,21.00,0.00,0.00
2015-12-17,20.00,21.00,20.00,20.75,31600.00,0.00
2015-12-16,20.00,20.00,20.00,20.00,5700.00,0.00
2015-12-15,20.00,20.00,20.00,20.00,8600.00,0.00
2015-12-14,20.00,20.00,20.00,20.00,15000.00,0.00
2015-12-11,19.85,20.25,19.90,20.00,2780000.00,0.00
2015-12-10,19.85,19.85,19.85,19.85,0.00,0.00
2015-12-09,19.85,19.85,19.85,19.85,1490000.00,0.00
2015-12-08,20.00,19.85,19.85,19.85,2440000.00,0.00
2015-12-07,20.00,20.00,20.00,20.00,0.00,0.00
2015-12-04,18.80,20.00,20.00,20.00,100.00,0.00
2015-12-03,18.80,18.80,18.80,18.80,0.00,0.00
2015-12-02,18.80,18.80,18.80,18.80,800.00,0.00
2015-12-01,17.50,18.80,18.80,18.80,500.00,0.00
2015-11-30,17.30,17.50,17.50,17.50,1000.00,0.00
2015-11-27,17.30,17.30,17.30,17.30,0.00,0.00
2015-11-25,17.30,17.30,17.30,17.30,0.00,0.00
2015-11-24,19.20,17.30,17.30,17.30,1700.00,0.00
2015-11-23,19.20,19.20,19.20,19.20,0.00,0.00
2015-11-20,18.80,19.25,19.00,19.20,7400.00,0.00
2015-11-19,18.80,18.80,18.80,18.80,0.00,0.00
2015-11-18,18.80,18.80,18.80,18.80,0.00,0.00
2015-11-17,18.80,18.80,18.80,18.80,0.00,0.00
2015-11-16,18.80,18.80,18.80,18.80,5750000.00,0.00
2015-11-13,18.80,18.80,18.80,18.80,0.00,0.00
2015-11-12,18.80,18.80,18.80,18.80,0.00,0.00
2015-11-11,17.10,18.80,18.80,18.80,100.00,0.00
2015-11-10,17.10,17.10,17.10,17.10,0.00,0.00
2015-11-09,17.10,17.10,17.10,17.10,0.00,0.00
2015-11-06,17.10,17.10,17.10,17.10,0.00,0.00
2015-11-05,17.10,17.10,17.10,17.10,0.00,0.00
2015-11-04,17.10,17.10,17.10,17.10,0.00,0.00
2015-11-03,17.10,17.10,17.10,17.10,0.00,0.00
2015-11-02,17.10,17.10,17.10,17.10,0.00,0.00
2015-10-30,17.10,17.10,17.10,17.10,200.00,0.00
2015-10-29,17.00,17.10,17.10,17.10,1200.00,0.00
2015-10-28,17.00,17.00,17.00,17.00,0.00,0.00
2015-10-27,17.00,17.00,17.00,17.00,0.00,0.00
2015-10-26,17.00,17.00,17.00,17.00,0.00,0.00
2015-10-23,17.00,17.00,17.00,17.00,0.00,0.00
2015-10-22,17.00,17.00,17.00,17.00,35000.00,0.00
2015-10-21,16.00,17.35,17.00,17.00,318500.00,0.00
2015-10-19,16.00,16.00,16.00,16.00,0.00,0.00
2015-10-16,16.00,16.00,16.00,16.00,0.00,0.00
2015-10-15,16.00,16.00,16.00,16.00,0.00,0.00
2015-10-14,17.35,16.00,16.00,16.00,1500.00,0.00
2015-10-13,17.35,17.35,17.35,17.35,0.00,0.00
2015-10-12,17.35,17.35,17.35,17.35,0.00,0.00
