Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,33.75,33.75,33.75,33.75,0.00,0.00
2015-12-30,37.25,33.75,33.75,33.75,1000.00,0.00
2015-12-29,37.25,37.25,37.25,37.25,0.00,0.00
2015-12-28,37.25,37.25,37.25,37.25,0.00,0.00
2015-12-24,34.25,37.50,37.00,37.25,5200.00,0.00
2015-12-23,35.00,35.00,34.00,34.25,2400.00,0.00
2015-12-22,34.00,35.00,35.00,35.00,600.00,0.00
2015-12-21,35.00,34.00,34.00,34.00,1000.00,0.00
2015-12-18,34.00,35.00,35.00,35.00,500.00,0.00
2015-12-17,34.00,34.00,34.00,34.00,600.00,0.00
2015-12-16,34.00,34.00,34.00,34.00,600.00,0.00
2015-12-15,35.00,34.00,34.00,34.00,2200.00,0.00
2015-12-14,34.00,35.00,35.00,35.00,100.00,0.00
2015-12-11,37.00,35.00,34.00,34.00,3100.00,0.00
2015-12-10,37.00,37.00,37.00,37.00,0.00,0.00
2015-12-09,37.00,37.50,37.00,37.00,19100.00,0.00
2015-12-08,37.50,37.00,37.00,37.00,300.00,0.00
2015-12-07,35.25,37.50,37.50,37.50,200.00,0.00
2015-12-04,35.25,37.00,35.00,35.25,5800.00,0.00
2015-12-03,36.00,36.00,34.00,35.25,4800.00,0.00
2015-12-02,36.75,36.75,36.00,36.00,8700.00,0.00
2015-12-01,36.75,36.75,36.75,36.75,0.00,0.00
2015-11-30,36.50,37.00,36.50,36.75,1100.00,0.00
2015-11-27,36.25,37.75,36.50,36.50,10600.00,0.00
2015-11-25,37.75,37.00,36.00,36.25,14900.00,0.00
2015-11-24,36.75,39.00,36.50,37.75,1900.00,0.00
2015-11-23,36.25,37.00,36.50,36.75,11100.00,0.00
2015-11-20,35.50,36.50,35.50,36.25,1500.00,0.00
2015-11-19,36.00,36.00,35.00,35.50,9800.00,0.00
2015-11-18,36.25,36.50,36.00,36.00,10200.00,0.00
2015-11-17,36.50,36.25,36.25,36.25,4000.00,0.00
2015-11-16,36.50,37.00,35.00,36.50,2300.00,0.00
2015-11-13,36.25,37.00,36.00,36.50,16800.00,0.00
2015-11-12,36.00,36.75,35.50,36.25,5000.00,0.00
2015-11-11,36.75,37.00,36.00,36.00,4400.00,0.00
2015-11-10,37.00,37.00,35.50,36.75,3200.00,0.00
2015-11-09,36.00,38.00,36.00,37.00,14800.00,0.00
2015-11-06,35.75,37.00,36.00,36.00,2100.00,0.00
2015-11-05,35.50,36.00,34.25,35.75,11200.00,0.00
2015-11-04,35.00,36.00,35.00,35.50,30000.00,0.00
2015-11-03,35.50,35.50,35.00,35.00,6000.00,0.00
2015-11-02,35.50,36.00,35.00,35.50,9900.00,0.00
2015-10-30,34.25,35.50,35.50,35.50,1100.00,0.00
2015-10-29,36.75,36.00,33.75,34.25,21700.00,0.00
2015-10-28,36.75,37.00,36.00,36.75,3400.00,0.00
2015-10-27,37.00,37.00,36.50,36.75,11300.00,0.00
2015-10-26,36.00,37.00,37.00,37.00,10600.00,0.00
2015-10-23,35.50,36.00,36.00,36.00,10000.00,0.00
2015-10-22,36.75,35.50,35.50,35.50,100.00,0.00
2015-10-21,37.50,38.00,33.75,36.75,3900.00,0.00
2015-10-19,37.25,38.50,36.00,37.50,15600.00,0.00
2015-10-16,39.00,38.00,36.00,37.25,9600.00,0.00
2015-10-15,40.00,39.50,39.00,39.00,3500.00,0.00
2015-10-14,40.25,40.00,40.00,40.00,500.00,0.00
2015-10-13,42.00,42.50,40.00,40.25,3500.00,0.00
2015-10-12,42.00,42.00,42.00,42.00,1500.00,0.00
2015-10-09,42.00,43.00,41.00,42.00,6200.00,0.00
2015-10-08,43.00,42.00,42.00,42.00,1100.00,0.00
2015-10-07,43.25,43.50,42.00,43.00,800.00,0.00
2015-10-05,43.00,43.50,43.00,43.25,2000.00,0.00
2015-10-02,43.75,44.00,43.00,43.00,500.00,0.00
2015-10-01,43.00,44.50,43.00,43.75,1200.00,0.00
2015-09-30,41.00,43.00,43.00,43.00,100.00,0.00
2015-09-29,41.00,41.00,41.00,41.00,10200.00,0.00
2015-09-28,41.00,41.25,41.00,41.00,3600.00,0.00
2015-09-25,42.00,41.00,41.00,41.00,300.00,0.00
2015-09-24,40.75,42.00,42.00,42.00,3500.00,0.00
2015-09-23,41.50,41.00,40.25,40.75,1600.00,0.00
2015-09-22,42.00,42.50,40.00,41.50,9600.00,0.00
2015-09-21,42.00,43.00,41.25,42.00,7200.00,0.00
2015-09-18,41.00,42.00,42.00,42.00,2300.00,0.00
2015-09-17,41.00,42.00,41.00,41.00,2000.00,0.00
2015-09-16,41.00,41.00,41.00,41.00,500.00,0.00
2015-09-15,40.50,41.00,41.00,41.00,1000.00,0.00
2015-09-14,40.00,43.00,40.00,40.50,7100.00,0.00
2015-09-11,42.25,40.75,40.00,40.00,13100.00,0.00
2015-09-10,41.50,42.50,40.75,42.25,3700.00,0.00
2015-09-09,40.75,41.50,41.50,41.50,100.00,0.00
2015-09-08,40.75,40.75,40.75,40.75,100.00,0.00
2015-09-07,41.50,41.50,40.00,40.75,22700.00,0.00
2015-09-04,41.50,42.00,41.00,41.50,7900.00,0.00
2015-09-03,41.00,43.00,41.00,41.50,1900.00,0.00
2015-09-02,41.00,41.25,41.00,41.00,1800.00,0.00
2015-09-01,41.75,41.00,41.00,41.00,10700.00,0.00
2015-08-31,40.25,44.25,40.00,41.75,18700.00,0.00
2015-08-28,41.50,43.50,40.00,40.25,10900.00,0.00
2015-08-27,40.75,41.50,41.50,41.50,400.00,0.00
2015-08-26,45.00,44.75,40.50,40.75,6300.00,0.00
2015-08-25,45.50,45.00,45.00,45.00,100.00,0.00
2015-08-24,41.75,45.50,45.50,45.50,400.00,0.00
2015-08-21,41.25,43.00,41.25,41.75,4900.00,0.00
2015-08-20,43.50,43.00,41.00,41.25,4100.00,0.00
2015-08-19,42.00,43.50,43.50,43.50,100.00,0.00
2015-08-18,40.50,43.00,41.00,42.00,800.00,0.00
2015-08-17,43.00,42.75,40.00,40.50,1300.00,0.00
2015-08-14,46.75,43.00,43.00,43.00,1100.00,0.00
2015-08-13,45.00,47.00,43.00,46.75,3100.00,0.00
2015-08-12,43.50,47.00,45.00,45.00,2100.00,0.00
2015-08-11,42.75,43.50,43.50,43.50,1100.00,0.00
2015-08-10,40.00,43.00,41.50,42.75,1100.00,0.00
2015-08-07,42.50,40.00,40.00,40.00,400.00,0.00
2015-08-06,43.50,43.00,41.25,42.50,1100.00,0.00
2015-08-05,45.00,45.50,42.25,43.50,2300.00,0.00
2015-08-04,41.25,45.00,45.00,45.00,100.00,0.00
2015-08-03,45.00,41.25,41.25,41.25,2000.00,0.00
2015-07-31,45.00,45.50,45.00,45.00,18300.00,0.00
2015-07-30,45.00,45.00,45.00,45.00,800.00,0.00
2015-07-29,45.00,45.00,45.00,45.00,3000.00,0.00
2015-07-28,45.00,45.00,45.00,45.00,2800.00,0.00
2015-07-27,44.75,45.00,45.00,45.00,1200.00,0.00
2015-07-24,44.50,45.00,43.50,44.75,2100.00,0.00
2015-07-23,43.75,45.00,41.50,44.50,24500.00,0.00
2015-07-22,43.75,44.50,42.50,43.75,8500.00,0.00
2015-07-21,44.75,44.25,43.50,43.75,7800.00,0.00
2015-07-20,45.00,45.00,44.75,44.75,5000.00,0.00
2015-07-17,45.00,45.00,45.00,45.00,5600.00,0.00
2015-07-16,45.00,45.00,45.00,45.00,1000.00,0.00
2015-07-15,45.00,46.00,43.50,45.00,2600.00,0.00
2015-07-14,45.00,45.00,45.00,45.00,100.00,0.00
2015-07-13,44.00,45.00,45.00,45.00,3700.00,0.00
2015-07-09,44.00,45.00,44.00,44.00,85100.00,0.00
2015-07-08,44.00,44.00,44.00,44.00,0.00,0.00
2015-07-07,44.00,44.00,44.00,44.00,2600.00,0.00
2015-07-06,47.00,45.75,42.50,44.00,3000.00,0.00
2015-07-03,46.00,47.00,47.00,47.00,100.00,0.00
2015-07-02,46.00,46.00,46.00,46.00,2100.00,0.00
2015-07-01,46.75,46.50,46.00,46.00,5300.00,0.00
2015-06-30,46.75,47.00,46.50,46.75,200.00,0.00
2015-06-29,46.00,46.75,46.75,46.75,500.00,0.00
2015-06-26,45.50,46.00,46.00,46.00,1800.00,0.00
2015-06-25,46.00,46.00,45.00,45.50,4300.00,0.00
2015-06-24,46.00,46.00,46.00,46.00,400.00,0.00
2015-06-23,46.50,46.50,45.00,46.00,2900.00,0.00
2015-06-22,46.00,47.00,46.50,46.50,700.00,0.00
2015-06-19,45.50,46.50,46.00,46.00,33400.00,0.00
2015-06-18,46.00,46.50,45.50,45.50,15200.00,0.00
2015-06-17,46.50,46.00,46.00,46.00,2300.00,0.00
2015-06-16,46.00,46.75,46.00,46.50,4800.00,0.00
2015-06-15,45.75,46.75,44.00,46.00,36700.00,0.00
2015-06-12,45.00,46.50,45.75,45.75,5900.00,0.00
2015-06-11,45.00,45.50,45.00,45.00,3900.00,0.00
2015-06-10,47.50,45.50,44.50,45.00,7000.00,0.00
2015-06-09,43.75,48.00,42.00,47.50,88600.00,0.00
2015-06-08,44.75,45.00,43.00,43.75,22500.00,0.00
2015-06-05,45.00,44.75,44.75,44.75,9500.00,0.00
2015-06-04,44.75,47.50,45.00,45.00,56300.00,0.00
2015-06-03,45.50,45.50,44.75,44.75,1700.00,0.00
2015-06-02,44.25,47.00,44.75,45.50,300.00,0.00
2015-05-29,44.00,45.00,44.25,44.25,61200.00,0.00
2015-05-28,44.75,45.00,43.00,44.00,33000.00,0.00
2015-05-27,44.75,44.75,44.75,44.75,0.00,0.00
2015-05-26,45.00,46.00,44.00,44.75,3500.00,0.00
2015-05-25,45.50,45.00,45.00,45.00,2200.00,0.00
2015-05-22,43.50,47.00,44.00,45.50,3000.00,0.00
2015-05-21,45.75,43.50,43.50,43.50,100.00,0.00
2015-05-20,49.25,47.50,44.50,45.75,1600.00,0.00
2015-05-19,47.00,50.00,48.00,49.25,4400.00,0.00
2015-05-18,46.00,47.00,47.00,47.00,1200.00,0.00
2015-05-15,45.75,46.00,46.00,46.00,800.00,0.00
2015-05-14,45.00,46.00,44.50,45.75,40900.00,0.00
2015-05-13,45.00,47.50,45.00,45.00,139600.00,0.00
2015-05-12,44.75,45.00,45.00,45.00,100.00,0.00
2015-05-11,44.00,45.00,44.00,44.75,1800.00,0.00
2015-05-08,47.25,44.00,44.00,44.00,300.00,0.00
2015-05-07,44.00,48.25,43.50,47.25,6500.00,0.00
2015-05-06,44.75,48.00,43.50,44.00,800.00,0.00
2015-05-05,45.75,45.00,41.25,44.75,11200.00,0.00
2015-05-04,49.00,49.00,45.00,45.75,500.00,0.00
2015-04-30,49.00,49.00,49.00,49.00,0.00,0.00
2015-04-29,50.00,49.00,49.00,49.00,100.00,0.00
2015-04-28,50.00,50.00,50.00,50.00,0.00,0.00
2015-04-27,50.00,50.00,50.00,50.00,0.00,0.00
2015-04-24,45.50,50.00,50.00,50.00,200.00,0.00
2015-04-23,45.00,47.00,44.50,45.50,8800.00,0.00
2015-04-22,46.25,45.00,45.00,45.00,100.00,0.00
2015-04-21,45.25,46.75,44.00,46.25,27900.00,0.00
2015-04-20,45.00,45.25,45.25,45.25,1500.00,0.00
2015-04-17,46.50,45.00,45.00,45.00,1600.00,0.00
2015-04-16,44.75,46.50,46.50,46.50,100.00,0.00
2015-04-15,45.00,45.25,43.50,44.75,15100.00,0.00
2015-04-14,43.00,45.00,45.00,45.00,700.00,0.00
2015-04-13,42.50,46.50,42.00,43.00,6900.00,0.00
2015-04-10,42.50,42.50,42.50,42.50,5000.00,0.00
2015-04-09,43.00,43.50,41.50,42.50,2700.00,0.00
2015-04-08,43.50,44.00,41.00,43.00,3900.00,0.00
2015-04-07,43.75,43.75,43.50,43.50,2500.00,0.00
2015-04-02,44.50,44.00,43.50,43.75,7600.00,0.00
2015-04-01,45.00,44.50,44.50,44.50,100.00,0.00
2015-03-31,44.00,47.50,45.00,45.00,2200.00,0.00
2015-03-30,43.50,44.00,44.00,44.00,3000.00,0.00
2015-03-27,44.00,43.50,43.50,43.50,800.00,0.00
2015-03-26,43.00,45.00,43.50,44.00,300.00,0.00
2015-03-25,43.50,43.75,43.00,43.00,16700.00,0.00
2015-03-24,43.75,43.75,43.50,43.50,3500.00,0.00
2015-03-23,43.50,43.75,43.75,43.75,300.00,0.00
2015-03-20,43.25,45.00,43.50,43.50,22000.00,0.00
2015-03-19,46.75,47.00,43.00,43.25,2200.00,0.00
2015-03-18,46.50,47.00,46.75,46.75,1200.00,0.00
2015-03-17,46.75,46.75,46.50,46.50,2800.00,0.00
2015-03-16,46.75,46.75,46.75,46.75,24500.00,0.00
2015-03-13,46.75,47.00,46.50,46.75,13200.00,0.00
2015-03-12,46.50,47.00,46.00,46.75,17300.00,0.00
2015-03-11,47.50,46.50,46.50,46.50,17600.00,0.00
2015-03-10,46.50,48.00,46.25,47.50,47000.00,0.00
2015-03-09,47.75,46.50,46.50,46.50,3800.00,0.00
2015-03-06,46.75,48.00,47.75,47.75,13300.00,0.00
2015-03-05,46.75,46.75,46.75,46.75,23400.00,0.00
2015-03-04,47.75,47.75,45.00,46.75,5900.00,0.00
2015-03-03,47.75,48.00,47.75,47.75,1200.00,0.00
2015-03-02,47.75,51.50,47.00,47.75,1400.00,0.00
2015-02-27,44.75,49.50,45.50,47.75,16100.00,0.00
2015-02-26,44.50,45.50,44.00,44.75,154100.00,0.00
2015-02-25,44.75,45.00,43.00,44.50,10600.00,0.00
2015-02-24,42.00,45.00,44.75,44.75,1700.00,0.00
2015-02-23,45.00,43.50,41.25,42.00,19300.00,0.00
2015-02-20,44.75,45.00,45.00,45.00,200.00,0.00
2015-02-19,43.50,45.25,44.00,44.75,1000.00,0.00
2015-02-18,45.00,43.50,43.50,43.50,1700.00,0.00
2015-02-17,42.00,46.00,42.75,45.00,8400.00,0.00
2015-02-16,45.25,42.50,41.00,42.00,4300.00,0.00
2015-02-13,43.00,47.00,42.00,45.25,17500.00,0.00
2015-02-12,42.00,43.00,43.00,43.00,400.00,0.00
2015-02-11,43.50,43.00,42.00,42.00,7300.00,0.00
2015-02-10,43.50,43.50,43.50,43.50,0.00,0.00
2015-02-09,43.75,43.50,43.50,43.50,600.00,0.00
2015-02-06,42.00,45.00,42.00,43.75,8700.00,0.00
2015-02-05,44.50,42.25,42.00,42.00,3100.00,0.00
2015-02-04,42.00,45.00,43.00,44.50,40100.00,0.00
2015-02-03,41.75,43.00,40.00,42.00,2400.00,0.00
2015-02-02,40.25,42.00,41.00,41.75,30000.00,0.00
2015-01-30,42.00,41.00,40.00,40.25,66500.00,0.00
2015-01-29,42.25,42.25,40.00,42.00,90700.00,0.00
2015-01-28,42.00,43.00,42.00,42.25,6200.00,0.00
2015-01-27,42.50,42.50,42.00,42.00,3100.00,0.00
2015-01-26,41.50,43.00,42.00,42.50,2000.00,0.00
2015-01-23,40.75,42.00,40.00,41.50,2200.00,0.00
2015-01-22,43.00,43.25,39.75,40.75,8300.00,0.00
2015-01-21,39.75,43.25,38.50,43.00,53400.00,0.00
2015-01-20,39.75,40.00,39.50,39.75,2400.00,0.00
2015-01-19,40.75,40.00,38.50,39.75,6400.00,0.00
