Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,384.00,384.00,384.00,384.00,0.00,0.00
2015-12-30,360.00,396.00,365.00,384.00,500.00,0.00
2015-12-29,400.00,360.00,360.00,360.00,300.00,0.00
2015-12-28,399.00,400.00,400.00,400.00,100.00,0.00
2015-12-24,400.00,400.00,399.00,399.00,400.00,0.00
2015-12-23,400.00,400.00,400.00,400.00,0.00,0.00
2015-12-22,400.00,400.00,400.00,400.00,400.00,0.00
2015-12-21,369.00,400.00,400.00,400.00,1100.00,0.00
2015-12-18,369.00,369.00,369.00,369.00,0.00,0.00
2015-12-17,369.00,369.00,369.00,369.00,0.00,0.00
2015-12-16,369.00,369.00,369.00,369.00,0.00,0.00
2015-12-15,369.00,370.00,368.00,369.00,2000.00,0.00
2015-12-14,369.00,369.00,369.00,369.00,0.00,0.00
2015-12-11,369.00,369.00,369.00,369.00,200.00,0.00
2015-12-10,369.00,369.00,369.00,369.00,0.00,0.00
2015-12-09,370.00,369.00,369.00,369.00,3000.00,0.00
2015-12-08,352.00,370.00,370.00,370.00,14700.00,0.00
2015-12-07,352.00,352.00,352.00,352.00,0.00,0.00
2015-12-04,352.00,352.00,352.00,352.00,0.00,0.00
2015-12-03,353.00,366.00,350.00,352.00,13300.00,0.00
2015-12-02,353.00,353.00,353.00,353.00,0.00,0.00
2015-12-01,353.00,353.00,353.00,353.00,0.00,0.00
2015-11-30,341.00,356.00,350.00,353.00,200.00,0.00
2015-11-27,341.00,341.00,341.00,341.00,0.00,0.00
2015-11-25,361.00,341.00,341.00,341.00,200.00,0.00
2015-11-24,361.00,361.00,361.00,361.00,0.00,0.00
2015-11-23,361.00,361.00,361.00,361.00,0.00,0.00
2015-11-20,361.00,361.00,361.00,361.00,0.00,0.00
2015-11-19,360.00,370.00,360.00,361.00,1200.00,0.00
2015-11-18,350.00,360.00,360.00,360.00,25000.00,0.00
2015-11-17,355.00,350.00,350.00,350.00,2000.00,0.00
2015-11-16,350.00,360.00,350.00,355.00,400.00,0.00
2015-11-13,350.00,350.00,350.00,350.00,0.00,0.00
2015-11-12,360.00,350.00,350.00,350.00,500.00,0.00
2015-11-11,360.00,360.00,360.00,360.00,0.00,0.00
2015-11-10,360.00,360.00,360.00,360.00,0.00,0.00
2015-11-09,359.00,360.00,360.00,360.00,500.00,0.00
2015-11-06,359.00,359.00,359.00,359.00,0.00,0.00
2015-11-05,359.00,359.00,359.00,359.00,0.00,0.00
2015-11-04,359.00,359.00,359.00,359.00,0.00,0.00
2015-11-03,357.00,369.00,350.00,359.00,1000.00,0.00
2015-11-02,357.00,357.00,357.00,357.00,0.00,0.00
2015-10-30,357.00,357.00,357.00,357.00,0.00,0.00
2015-10-29,357.00,357.00,357.00,357.00,0.00,0.00
2015-10-28,360.00,358.00,350.00,357.00,1100.00,0.00
2015-10-27,351.00,360.00,360.00,360.00,100.00,0.00
2015-10-26,351.00,351.00,351.00,351.00,0.00,0.00
2015-10-23,389.00,351.00,351.00,351.00,100.00,0.00
2015-10-22,389.00,389.00,389.00,389.00,0.00,0.00
2015-10-21,389.00,389.00,389.00,389.00,0.00,0.00
2015-10-19,389.00,389.00,389.00,389.00,0.00,0.00
2015-10-16,389.00,389.00,389.00,389.00,0.00,0.00
2015-10-15,389.00,389.00,389.00,389.00,0.00,0.00
2015-10-14,396.00,392.00,385.00,389.00,1100.00,0.00
2015-10-13,396.00,396.00,396.00,396.00,0.00,0.00
2015-10-12,396.00,396.00,396.00,396.00,0.00,0.00
2015-10-09,396.00,396.00,396.00,396.00,0.00,0.00
2015-10-08,370.00,397.00,395.00,396.00,200.00,0.00
2015-10-07,349.00,370.00,370.00,370.00,800.00,0.00
