Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,4.50,4.50,4.50,4.50,0.00,0.00
2015-12-30,4.15,4.50,4.50,4.50,300.00,0.00
2015-12-29,4.05,4.15,4.15,4.15,2000.00,0.00
2015-12-28,4.05,4.05,4.05,4.05,0.00,0.00
2015-12-24,4.10,4.05,4.05,4.05,100.00,0.00
2015-12-23,4.10,4.10,4.10,4.10,0.00,0.00
2015-12-22,4.10,4.10,4.10,4.10,5500.00,0.00
2015-12-21,4.10,4.10,4.10,4.10,0.00,0.00
2015-12-18,4.10,4.10,4.10,4.10,1800.00,0.00
2015-12-17,4.10,4.10,4.10,4.10,5400.00,0.00
2015-12-16,4.10,4.10,4.10,4.10,0.00,0.00
2015-12-15,4.00,4.10,4.10,4.10,700.00,0.00
2015-12-14,4.00,4.00,4.00,4.00,0.00,0.00
2015-12-11,4.00,4.00,4.00,4.00,0.00,0.00
2015-12-10,4.10,4.00,4.00,4.00,2000.00,0.00
2015-12-09,4.20,4.10,4.10,4.10,700.00,0.00
2015-12-08,4.30,4.30,4.20,4.20,4200.00,0.00
2015-12-07,4.40,4.40,4.30,4.30,9600.00,0.00
2015-12-04,4.10,4.40,4.40,4.40,200.00,0.00
2015-12-03,4.40,4.10,4.10,4.10,9000.00,0.00
2015-12-02,4.40,4.40,4.40,4.40,0.00,0.00
2015-12-01,4.40,4.40,4.40,4.40,0.00,0.00
2015-11-30,4.40,4.40,4.40,4.40,0.00,0.00
2015-11-27,4.00,4.40,4.40,4.40,200.00,0.00
2015-11-25,4.20,4.00,4.00,4.00,20000.00,0.00
2015-11-24,4.20,4.20,4.20,4.20,0.00,0.00
2015-11-23,4.20,4.20,4.20,4.20,0.00,0.00
2015-11-20,4.20,4.20,4.20,4.20,0.00,0.00
2015-11-19,4.25,4.20,4.20,4.20,100.00,0.00
2015-11-18,4.20,4.25,4.25,4.25,300.00,0.00
2015-11-17,4.25,4.20,4.20,4.20,1000.00,0.00
2015-11-16,4.25,4.50,4.25,4.25,1100.00,0.00
2015-11-13,3.90,4.25,4.25,4.25,10300.00,0.00
2015-11-12,3.90,3.90,3.90,3.90,0.00,0.00
2015-11-11,3.90,3.90,3.90,3.90,900.00,0.00
2015-11-10,3.90,3.90,3.90,3.90,700.00,0.00
2015-11-09,3.90,3.90,3.90,3.90,100.00,0.00
2015-11-06,4.25,3.90,3.90,3.90,7200.00,0.00
2015-11-05,4.30,4.30,4.25,4.25,200.00,0.00
2015-11-04,4.30,4.30,4.30,4.30,0.00,0.00
