Date,Open,High,Low,Price,volume,Adj Close
2015-08-25,45.5,45,45,45,100,0
2015-08-24,41.75,45.5,45.5,45.5,400,0
2015-08-21,41.25,43,41.25,41.75,4,900
2015-08-20,43.5,43,41,41.25,4,100
2015-08-19,42,43.5,43.5,43.5,100,0
2015-08-18,40.5,43,41,42,800,0
2015-08-17,43,42.75,40,40.5,1,300
2015-08-14,46.75,43,43,43,1,100
2015-08-13,45,47,43,46.75,3,100
2015-08-12,43.5,47,45,45,2,100
2015-08-11,42.75,43.5,43.5,43.5,1,100
2015-08-10,40,43,41.5,42.75,1,100
2015-08-07,42.5,40,40,40,400,0
2015-08-06,43.5,43,41.25,42.5,1,100
2015-08-05,45,45.5,42.25,43.5,2,300
2015-08-04,41.25,45,45,45,100,0
2015-08-03,45,41.25,41.25,41.25,2,0
2015-07-31,45,45.5,45,45,18,300
2015-07-30,45,45,45,45,800,0
2015-07-29,45,45,45,45,3,0
2015-07-28,45,45,45,45,2,800
2015-07-27,44.75,45,45,45,1,200
2015-07-24,44.5,45,43.5,44.75,2,100
2015-07-23,43.75,45,41.5,44.5,24,500
2015-07-22,43.75,44.5,42.5,43.75,8,500
2015-07-21,44.75,44.25,43.5,43.75,7,800
2015-07-20,45,45,44.75,44.75,5,0
2015-07-17,45,45,45,45,5,600
2015-07-16,45,45,45,45,1,0
2015-07-15,45,46,43.5,45,2,600
2015-07-14,45,45,45,45,100,0
2015-07-13,44,45,45,45,3,700
2015-07-09,44,45,44,44,85,100
2015-07-09,44,45,44,44,85,100
2015-07-08,44,44,44,44,0,0
2015-07-07,44,44,44,44,2,600
2015-07-06,47,45.75,42.5,44,3,0
2015-07-03,46,47,47,47,100,0
2015-07-02,46,46,46,46,2,100
2015-07-01,46.75,46.5,46,46,5,300
2015-06-30,46.75,47,46.5,46.75,200,0
2015-06-29,46,46.75,46.75,46.75,500,0
2015-06-26,45.5,46,46,46,1,800
2015-06-25,46,46,45,45.5,4,300
2015-06-24,46,46,46,46,400,0
2015-06-23,46.5,46.5,45,46,2,900
2015-06-22,46,47,46.5,46.5,700,0
2015-06-19,45.5,46.5,46,46,33,400
2015-06-18,46,46.5,45.5,45.5,15,200
2015-06-17,46.5,46,46,46,2,300
2015-06-16,46,46.75,46,46.5,4,800
2015-06-15,45.75,46.75,44,46,36,700
2015-06-12,45,46.5,45.75,45.75,5,900
2015-06-11,45,45.5,45,45,3,900
2015-06-10,47.5,45.5,44.5,45,7,0
2015-06-09,43.75,48,42,47.5,88,600
2015-06-08,44.75,45,43,43.75,22,500
2015-06-05,45,44.75,44.75,44.75,9,500
2015-06-04,44.75,47.5,45,45,56,300
2015-06-03,45.5,45.5,44.75,44.75,1,700
2015-06-02,44.25,47,44.75,45.5,300,0
2015-05-29,44,45,44.25,44.25,61,200
2015-05-29,44,45,44.25,44.25,61,200
2015-05-28,44.75,45,43,44,33,0
2015-05-27,44.75,44.75,44.75,44.75,0,0
2015-05-26,45,46,44,44.75,3,500
2015-05-25,45.5,45,45,45,2,200
2015-05-22,43.5,47,44,45.5,3,0
2015-05-21,45.75,43.5,43.5,43.5,100,0
2015-05-20,49.25,47.5,44.5,45.75,1,600
2015-05-19,47,50,48,49.25,4,400
2015-05-18,46,47,47,47,1,200
2015-05-15,45.75,46,46,46,800,0
2015-05-14,45,46,44.5,45.75,40,900
2015-05-13,45,47.5,45,45,139,600
2015-05-12,44.75,45,45,45,100,0
2015-05-11,44,45,44,44.75,1,800
2015-05-08,47.25,44,44,44,300,0
2015-05-07,44,48.25,43.5,47.25,6,500
2015-05-06,44.75,48,43.5,44,800,0
2015-05-05,45.75,45,41.25,44.75,11,200
2015-05-04,49,49,45,45.75,500,0
2015-04-30,49,49,49,49,0,0
2015-04-30,49,49,49,49,0,0
2015-04-29,50,49,49,49,100,0
2015-04-28,50,50,50,50,0,0
2015-04-27,50,50,50,50,0,0
2015-04-24,45.5,50,50,50,200,0
2015-04-23,45,47,44.5,45.5,8,800
