"Price list and trading summary for Wednesday, April 02, 2014",89.50,88.50,88.00,88.00,"111,400",0
"Price list and trading summary for Monday, September 11, 2006",-,94.00,85.00,89.50,"80,000",3.58
"Price list and trading summary for Tuesday, September 12, 2006",89.50,95.00,81.00,89.50,"99,000",3.58
"Price list and trading summary for Wednesday, September 13, 2006",89.50,94.50,90.00,91.00,"156,300",3.64
"Price list and trading summary for Friday, September 22, 2006",86.00,91.50,83.00,87.50,"71,300",3.50
"Price list and trading summary for Tuesday, September 26, 2006",82.00,88.00,78.50,84.00,"66,500",3.36
"Price list and trading summary for Wednesday, September 27, 2006",84.00,90.00,79.00,85.50,"65,200",3.42
"Price list and trading summary for Wednesday, September 20, 2006",94.50,94.00,86.00,92.00,"136,100",3.68
"Price list and trading summary for Tuesday, September 19, 2006",94.50,96.00,90.00,94.50,"81,600",3.78
"Price list and trading summary for Thursday, September 28, 2006",85.50,92.00,85.50,89.00,"54,300",3.56
"Price list and trading summary for Monday, September 18, 2006",94.50,96.00,94.00,94.50,"115,300",3.78
"Price list and trading summary for Friday, September 15, 2006",92.50,96.00,90.00,94.50,"157,400",3.78
"Price list and trading summary for Thursday, September 14, 2006",91.00,97.50,90.00,92.50,"55,600",3.70
"Price list and trading summary for Thursday, September 21, 2006",92.00,91.00,80.00,86.00,"107,100",3.44
"Price list and trading summary for Tuesday, October 03, 2006",84.00,94.00,85.50,92.00,"172,000",3.68
"Price list and trading summary for Friday, September 29, 2006",89.00,94.00,80.00,90.50,"68,000",3.62
"Price list and trading summary for Monday, October 02, 2006",90.50,94.00,83.00,84.00,"392,100",3.36
"Price list and trading summary for Thursday, October 05, 2006",88.50,88.00,84.00,86.50,"101,300",3.46
"Price list and trading summary for Monday, October 09, 2006",85.50,86.00,81.00,84.50,"102,300",3.38
"Price list and trading summary for Thursday, October 12, 2006",82.00,85.00,80.00,84.00,"32,800",3.36
"Price list and trading summary for Friday, October 13, 2006",84.00,85.00,82.00,84.50,"72,100",3.38
"Price list and trading summary for Wednesday, October 04, 2006",92.00,90.00,83.00,88.50,"136,100",3.54
"Price list and trading summary for Tuesday, October 17, 2006",84.50,86.00,84.00,84.00,"80,400",3.36
"Price list and trading summary for Wednesday, October 18, 2006",84.00,85.00,84.00,84.00,"55,100",3.36
"Price list and trading summary for Thursday, October 19, 2006",84.00,85.00,81.00,84.00,"57,100",3.36
"Price list and trading summary for Monday, October 23, 2006",84.00,85.00,80.00,84.50,"34,900",3.38
"Price list and trading summary for Monday, September 25, 2006",87.50,85.00,78.50,82.00,"88,100",3.28
"Price list and trading summary for Wednesday, October 25, 2006",84.50,90.00,83.00,84.00,"88,600",3.36
"Price list and trading summary for Monday, October 16, 2006",84.50,86.00,84.00,84.50,"47,800",3.38
"Price list and trading summary for Thursday, October 26, 2006",84.00,86.00,84.00,85.00,"64,600",3.40
"Price list and trading summary for Friday, October 27, 2006",85.00,87.00,84.00,86.00,"63,500",3.44
"Price list and trading summary for Tuesday, October 31, 2006",87.00,88.00,85.00,87.00,"54,800",3.48
"Price list and trading summary for Wednesday, November 01, 2006",87.00,91.00,84.00,89.00,"166,500",3.56
"Price list and trading summary for Thursday, November 02, 2006",89.00,92.50,85.50,90.00,"85,800",3.60
"Price list and trading summary for Friday, November 03, 2006",90.00,98.00,89.00,91.00,"107,700",3.64
"Price list and trading summary for Monday, November 06, 2006",91.00,92.00,85.50,90.50,"101,800",3.62
"Price list and trading summary for Tuesday, November 07, 2006",90.50,92.50,85.50,90.50,"72,800",3.62
"Price list and trading summary for Wednesday, November 08, 2006",90.50,99.50,86.00,91.50,"67,100",3.66
"Price list and trading summary for Thursday, November 09, 2006",91.50,92.00,90.00,91.00,"57,400",3.64
"Price list and trading summary for Monday, November 13, 2006",90.50,92.00,80.00,85.00,"72,600",3.40
"Price list and trading summary for Tuesday, November 14, 2006",85.00,84.00,77.50,82.00,"11,800",3.28
"Price list and trading summary for Wednesday, November 15, 2006",82.00,83.00,74.00,80.50,"43,500",3.22
"Price list and trading summary for Friday, October 06, 2006",86.50,87.00,82.00,85.50,"100,500",3.42
"Price list and trading summary for Thursday, November 16, 2006",80.50,89.00,81.00,85.00,"126,100",3.40
"Price list and trading summary for Friday, November 17, 2006",85.00,84.50,83.00,83.50,"31,300",3.34
"Price list and trading summary for Monday, November 20, 2006",83.50,85.00,80.00,81.50,"34,900",3.26
"Price list and trading summary for Monday, October 09, 2006",85.50,86.00,81.00,84.50,"102,300",3.38
"Price list and trading summary for Tuesday, November 21, 2006",81.50,84.50,80.00,81.50,"49,400",3.26
"Price list and trading summary for Wednesday, November 22, 2006",81.50,84.50,82.00,84.00,"33,900",3.36
"Price list and trading summary for Thursday, November 23, 2006",84.00,85.50,84.00,84.50,"31,000",3.38
"Price list and trading summary for Friday, November 24, 2006",84.50,86.00,84.00,84.50,"121,500",3.38
"Price list and trading summary for Monday, November 27, 2006",84.50,85.00,83.00,84.50,"239,300",3.38
"Price list and trading summary for Tuesday, November 28, 2006",84.50,86.00,85.00,85.00,"41,800",3.40
"Price list and trading summary for Wednesday, November 29, 2006",85.00,86.00,82.50,85.00,"37,100",3.40
"Price list and trading summary for Friday, December 01, 2006",83.50,86.00,82.00,84.50,"30,700",3.38
"Price list and trading summary for Thursday, November 30, 2006",85.00,85.00,81.00,83.50,"22,000",3.34
"Price list and trading summary for Monday, December 04, 2006",84.50,84.00,80.00,81.50,"24,200",3.26
"Price list and trading summary for Tuesday, December 05, 2006",81.50,83.00,80.00,82.00,"30,600",3.28
"Price list and trading summary for Wednesday, December 06, 2006",82.00,83.00,79.00,80.50,"28,800",3.22
"Price list and trading summary for Thursday, December 07, 2006",80.50,82.00,79.00,80.00,"31,900",3.20
"Price list and trading summary for Friday, December 08, 2006",80.00,80.00,77.00,79.00,"48,700",3.16
"Price list and trading summary for Monday, December 11, 2006",79.00,81.00,77.00,78.00,"20,700",3.12
"Price list and trading summary for Wednesday, December 13, 2006",78.00,78.00,77.50,77.50,"11,300",3.10
"Price list and trading summary for Thursday, December 14, 2006",77.50,83.00,78.00,79.50,"46,800",3.18
"Price list and trading summary for Monday, December 18, 2006",79.50,80.00,78.00,79.00,"23,100",3.16
"Price list and trading summary for Tuesday, December 19, 2006",79.00,81.00,78.50,79.00,"34,800",3.16
"Price list and trading summary for Wednesday, December 20, 2006",79.00,82.00,78.50,78.50,"13,400",3.14
"Price list and trading summary for Thursday, December 21, 2006",78.50,80.00,78.50,78.50,"12,300",3.14
"Price list and trading summary for Friday, December 22, 2006",78.50,80.00,78.00,79.00,"8,900",3.16
"Price list and trading summary for Wednesday, October 11, 2006",84.50,87.00,80.00,82.00,"120,300",3.28
"Price list and trading summary for Monday, October 30, 2006",86.00,87.50,83.00,87.00,"132,300",3.48
"Price list and trading summary for Wednesday, December 27, 2006",79.00,81.00,80.00,80.00,"10,700",3.20
"Price list and trading summary for Monday, October 23, 2006",84.00,85.00,80.00,84.50,"34,900",3.38
"Price list and trading summary for Thursday, December 28, 2006",80.00,85.00,80.00,80.50,"10,000",3.22
"Price list and trading summary for Friday, December 29, 2006",80.50,85.00,80.50,82.00,"21,400",3.28
"Price list and trading summary for Tuesday, January 02, 2007",82.00,84.00,78.00,81.50,"18,400",3.26
"Price list and trading summary for Wednesday, January 03, 2007",81.50,84.00,79.50,83.00,"36,500",3.32
"Price list and trading summary for Thursday, January 04, 2007",83.00,84.00,80.00,82.50,"39,500",3.30
"Price list and trading summary for Friday, January 05, 2007",82.50,86.00,80.00,83.50,"56,500",3.34
"Price list and trading summary for Monday, January 08, 2007",83.50,88.00,84.00,85.00,"49,100",3.40
"Price list and trading summary for Tuesday, January 09, 2007",85.00,90.00,86.00,87.00,"119,800",3.48
"Price list and trading summary for Wednesday, January 10, 2007",87.00,92.00,84.00,88.50,"94,300",3.54
"Price list and trading summary for Thursday, January 11, 2007",88.50,94.00,86.00,89.50,"74,800",3.58
"Price list and trading summary for Friday, January 12, 2007",89.50,97.00,90.00,94.00,"142,400",3.76
"Price list and trading summary for Monday, January 15, 2007",94.00,94.00,88.00,91.50,"45,000",3.66
"Price list and trading summary for Tuesday, January 16, 2007",91.50,90.00,88.50,89.00,"36,900",3.56
"Price list and trading summary for Wednesday, January 17, 2007",89.00,90.00,88.00,88.00,"80,400",3.52
"Price list and trading summary for Thursday, January 18, 2007",88.00,90.00,82.50,88.00,"57,500",3.52
"Price list and trading summary for Thursday, October 19, 2006",84.00,85.00,81.00,84.00,"57,100",3.36
"Price list and trading summary for Monday, January 22, 2007",87.50,87.00,80.50,85.50,"11,200",3.42
"Price list and trading summary for Tuesday, January 23, 2007",85.50,88.00,82.50,85.00,"42,100",3.40
"Price list and trading summary for Wednesday, January 24, 2007",85.00,87.00,82.50,84.50,"19,800",3.38
"Price list and trading summary for Thursday, January 25, 2007",84.50,87.50,84.00,86.50,"87,400",3.46
"Price list and trading summary for Friday, January 26, 2007",86.50,87.00,84.00,85.50,"43,800",3.42
"Price list and trading summary for Monday, January 29, 2007",85.50,87.00,85.00,85.50,"12,400",3.42
"Price list and trading summary for Friday, December 15, 2006",79.50,84.00,77.00,79.50,"33,300",3.18
"Price list and trading summary for Friday, November 10, 2006",91.00,91.00,85.00,90.50,"95,700",3.62
"Price list and trading summary for Tuesday, January 30, 2007",85.50,86.50,76.50,79.00,"42,300",3.16
"Price list and trading summary for Monday, December 11, 2006",79.00,81.00,77.00,78.00,"20,700",3.12
"Price list and trading summary for Thursday, February 01, 2007",82.00,84.00,77.50,80.00,"27,900",3.20
"Price list and trading summary for Wednesday, January 31, 2007",79.00,84.50,78.00,82.00,"67,300",3.28
"Price list and trading summary for Friday, February 02, 2007",80.00,80.00,78.00,79.00,"21,500",3.16
"Price list and trading summary for Monday, February 05, 2007",79.00,80.00,78.00,78.50,"45,300",3.14
"Price list and trading summary for Friday, December 29, 2006",80.50,85.00,80.50,82.00,"21,400",3.28
"Price list and trading summary for Wednesday, February 07, 2007",78.00,79.00,78.00,78.00,"23,100",3.12
"Price list and trading summary for Friday, December 22, 2006",78.50,80.00,78.00,79.00,"8,900",3.16
"Price list and trading summary for Tuesday, February 06, 2007",78.50,78.50,77.00,78.00,"27,400",3.12
"Price list and trading summary for Friday, December 22, 2006",78.50,80.00,78.00,79.00,"8,900",3.16
"Price list and trading summary for Friday, February 09, 2007",78.00,80.00,75.00,78.00,"11,500",3.12
"Price list and trading summary for Tuesday, February 13, 2007",80.50,82.00,77.00,78.50,"49,200",3.14
"Price list and trading summary for Wednesday, February 14, 2007",78.50,80.00,78.00,79.00,"45,000",3.16
"Price list and trading summary for Monday, February 19, 2007",80.50,79.50,75.00,77.50,"27,200",3.10
"Price list and trading summary for Thursday, February 08, 2007",78.00,80.00,72.00,78.00,"42,000",3.12
"Price list and trading summary for Friday, February 16, 2007",75.00,84.00,76.00,80.50,"72,700",3.22
"Price list and trading summary for Thursday, February 22, 2007",81.00,84.50,78.00,82.50,"104,900",3.30
"Price list and trading summary for Wednesday, February 21, 2007",79.00,85.00,77.00,81.00,"162,500",3.24
"Price list and trading summary for Monday, February 26, 2007",79.50,85.00,75.00,78.50,"37,200",3.14
"Price list and trading summary for Friday, February 23, 2007",82.50,82.00,75.00,79.50,"34,100",3.18
"Price list and trading summary for Tuesday, February 27, 2007",78.50,79.00,75.00,76.50,"183,300",3.06
"Price list and trading summary for Wednesday, February 28, 2007",76.50,77.00,70.00,75.50,"34,600",3.02
"Price list and trading summary for Thursday, March 01, 2007",75.50,75.00,70.00,70.50,"18,700",2.82
"Price list and trading summary for Monday, March 05, 2007",63.50,69.00,63.00,65.50,"50,500",2.62
"Price list and trading summary for Friday, March 02, 2007",70.50,70.00,63.00,63.50,"58,200",2.54
"Price list and trading summary for Wednesday, March 07, 2007",70.00,71.50,68.00,70.00,"40,300",2.80
"Price list and trading summary for Tuesday, March 06, 2007",65.50,72.50,66.00,70.00,"13,600",2.80
"Price list and trading summary for Friday, March 09, 2007",72.00,75.00,68.00,70.00,"36,900",2.80
"Price list and trading summary for Monday, March 12, 2007",70.00,78.50,68.00,74.00,"79,100",2.96
"Price list and trading summary for Wednesday, March 14, 2007",72.00,72.00,70.00,70.50,"39,300",2.82
"Price list and trading summary for Tuesday, March 13, 2007",74.00,74.00,68.00,72.00,"53,600",2.88
"Price list and trading summary for Thursday, March 08, 2007",70.00,75.00,70.00,72.00,"33,100",2.88
"Price list and trading summary for Thursday, March 15, 2007",70.50,74.00,70.00,72.00,"18,500",2.88
"Price list and trading summary for Monday, March 19, 2007",71.50,71.00,65.00,69.50,"90,700",2.78
"Price list and trading summary for Wednesday, March 21, 2007",64.50,69.00,65.00,65.00,"51,000",2.60
"Price list and trading summary for Thursday, March 22, 2007",65.00,70.00,61.00,65.00,"74,300",2.60
"Price list and trading summary for Tuesday, March 20, 2007",69.50,65.00,63.00,64.50,"53,500",2.58
"Price list and trading summary for Friday, March 16, 2007",72.00,72.00,70.00,71.50,"51,800",2.86
"Price list and trading summary for Friday, March 23, 2007",65.00,65.00,60.00,62.50,"36,400",2.50
"Price list and trading summary for Tuesday, March 27, 2007",60.00,63.00,60.00,61.50,"89,700",2.46
"Price list and trading summary for Wednesday, March 28, 2007",61.50,70.00,61.00,64.50,"467,000",2.58
"Price list and trading summary for Friday, March 30, 2007",69.50,77.00,72.00,74.00,"32,400",2.96
"Price list and trading summary for Monday, April 02, 2007",74.00,75.00,66.00,70.50,"16,500",2.82
"Price list and trading summary for Wednesday, April 04, 2007",72.00,73.00,70.00,72.00,"77,800",2.88
"Price list and trading summary for Thursday, April 05, 2007",72.00,74.00,72.00,72.00,"44,100",2.88
"Price list and trading summary for Tuesday, February 20, 2007",77.50,82.00,78.50,79.00,"82,600",3.16
"Price list and trading summary for Monday, February 12, 2007",78.00,85.00,75.00,80.50,"55,700",3.22
"Price list and trading summary for Thursday, February 15, 2007",79.00,80.00,74.00,75.00,"68,000",3.00
"Price list and trading summary for Friday, January 19, 2007",88.00,89.00,86.00,87.50,"28,700",3.50
"Price list and trading summary for Thursday, April 12, 2007",71.50,73.00,70.00,72.00,"51,600",2.88
"Price list and trading summary for Tuesday, April 10, 2007",72.00,73.00,71.00,71.50,"17,400",2.86
"Price list and trading summary for Wednesday, April 11, 2007",71.50,72.50,70.00,71.50,"35,600",2.86
"Price list and trading summary for Friday, April 13, 2007",72.00,73.00,70.00,72.50,"56,400",2.90
"Price list and trading summary for Monday, April 16, 2007",72.50,72.00,65.50,70.50,"23,700",2.82
"Price list and trading summary for Wednesday, April 18, 2007",71.50,72.00,66.00,70.00,"35,600",2.80
"Price list and trading summary for Friday, April 20, 2007",71.00,74.00,70.00,71.50,"13,200",2.86
"Price list and trading summary for Thursday, April 19, 2007",70.00,73.00,66.00,71.00,"40,900",2.84
"Price list and trading summary for Monday, April 23, 2007",71.50,71.50,67.00,69.50,"11,400",2.78
"Price list and trading summary for Tuesday, April 24, 2007",69.50,72.00,70.00,71.00,"17,100",2.84
"Price list and trading summary for Wednesday, April 25, 2007",71.00,72.00,66.50,70.50,"33,600",2.82
"Price list and trading summary for Thursday, April 26, 2007",70.50,71.00,66.00,68.50,"11,800",2.74
"Price list and trading summary for Friday, April 27, 2007",68.50,72.00,68.00,70.50,"23,400",2.82
"Price list and trading summary for Monday, April 30, 2007",70.50,72.00,70.00,70.00,"3,400",2.80
"Price list and trading summary for Wednesday, May 02, 2007",70.00,72.00,69.00,70.00,"16,100",2.80
"Price list and trading summary for Thursday, May 03, 2007",70.00,72.50,70.00,71.50,"36,900",2.86
"Price list and trading summary for Friday, May 04, 2007",71.50,72.50,66.00,71.00,"60,000",2.84
"Price list and trading summary for Monday, May 07, 2007",71.00,73.00,66.00,68.00,"53,600",2.72
"Price list and trading summary for Tuesday, May 08, 2007",68.00,73.00,66.00,71.50,"52,900",2.86
"Price list and trading summary for Thursday, March 29, 2007",64.50,71.50,65.00,69.50,"37,700",2.78
"Price list and trading summary for Thursday, May 10, 2007",70.00,73.00,68.00,70.50,"61,100",2.82
"Price list and trading summary for Tuesday, April 03, 2007",70.50,74.00,71.00,72.00,"20,200",2.88
"Price list and trading summary for Thursday, April 05, 2007",72.00,74.00,72.00,72.00,"44,100",2.88
"Price list and trading summary for Monday, March 26, 2007",62.50,65.00,57.00,60.00,"45,200",2.40
"Price list and trading summary for Monday, May 14, 2007",68.50,70.50,67.00,69.50,"49,000",2.78
"Price list and trading summary for Tuesday, May 15, 2007",69.50,72.00,66.50,69.00,"87,700",2.76
"Price list and trading summary for Thursday, May 17, 2007",71.00,72.00,70.00,70.50,"16,800",2.82
"Price list and trading summary for Wednesday, May 16, 2007",69.00,73.00,68.50,71.00,"41,200",2.84
"Price list and trading summary for Friday, May 18, 2007",70.50,74.00,70.50,72.50,"133,900",2.90
"Price list and trading summary for Tuesday, May 22, 2007",73.50,74.00,70.00,71.50,"12,400",2.86
"Price list and trading summary for Monday, May 21, 2007",72.50,77.00,71.00,73.50,"74,100",2.94
"Price list and trading summary for Wednesday, May 23, 2007",71.50,72.00,68.00,70.50,"58,100",2.82
"Price list and trading summary for Thursday, May 24, 2007",70.50,71.00,67.00,69.50,"16,600",2.78
"Price list and trading summary for Monday, May 28, 2007",69.00,72.00,66.50,69.00,"63,100",2.76
"Price list and trading summary for Friday, May 25, 2007",69.50,72.00,64.00,69.00,"64,500",2.76
"Price list and trading summary for Tuesday, May 29, 2007",69.00,72.00,70.00,71.50,"63,600",2.86
"Price list and trading summary for Wednesday, May 30, 2007",71.50,73.00,67.00,72.00,"122,900",2.88
"Price list and trading summary for Thursday, May 31, 2007",72.00,74.00,70.00,72.00,"12,200",2.88
"Price list and trading summary for Thursday, April 05, 2007",72.00,74.00,72.00,72.00,"44,100",2.88
"Price list and trading summary for Monday, June 04, 2007",72.00,72.00,70.00,70.00,"20,200",2.80
"Price list and trading summary for Wednesday, June 06, 2007",69.00,70.00,68.50,69.50,"37,900",2.78
"Price list and trading summary for Thursday, June 07, 2007",69.50,73.00,68.00,70.00,"70,300",2.80
"Price list and trading summary for Monday, June 11, 2007",69.50,72.00,68.50,71.00,"10,000",2.84
"Price list and trading summary for Tuesday, June 12, 2007",71.00,71.50,69.00,70.50,"10,000",2.82
"Price list and trading summary for Wednesday, June 13, 2007",70.50,77.00,69.00,74.00,"74,100",2.96
"Price list and trading summary for Tuesday, April 17, 2007",70.50,73.00,66.00,71.50,"46,700",2.86
"Price list and trading summary for Thursday, June 14, 2007",74.00,75.00,71.00,71.50,"18,200",2.86
"Price list and trading summary for Wednesday, May 09, 2007",71.50,71.00,66.00,70.00,"15,500",2.80
"Price list and trading summary for Monday, April 30, 2007",70.50,72.00,70.00,70.00,"3,400",2.80
"Price list and trading summary for Wednesday, June 20, 2007",72.00,75.00,72.00,74.00,"7,800",2.96
"Price list and trading summary for Friday, May 11, 2007",70.50,72.00,68.00,68.50,"197,700",2.74
"Price list and trading summary for Friday, June 22, 2007",72.50,78.00,71.50,75.50,"65,000",3.02
"Price list and trading summary for Monday, June 25, 2007",75.50,75.00,72.00,73.50,"19,600",2.94
"Price list and trading summary for Thursday, May 31, 2007",72.00,74.00,70.00,72.00,"12,200",2.88
"Price list and trading summary for Friday, June 15, 2007",71.50,75.00,70.00,71.50,"13,200",2.86
"Price list and trading summary for Thursday, June 28, 2007",74.50,75.00,74.00,74.00,"9,200",2.96
"Price list and trading summary for Friday, June 29, 2007",74.00,77.00,74.00,74.50,"41,900",2.98
"Price list and trading summary for Monday, July 02, 2007",74.50,77.50,74.00,75.50,"22,400",3.02
"Price list and trading summary for Tuesday, July 03, 2007",75.50,77.00,75.00,76.00,"41,200",3.04
"Price list and trading summary for Wednesday, July 04, 2007",76.00,81.00,75.00,78.50,"166,900",3.14
"Price list and trading summary for Thursday, July 05, 2007",78.50,86.00,76.00,83.50,"116,200",3.34
"Price list and trading summary for Tuesday, June 19, 2007",71.00,75.00,72.00,72.00,"7,800",2.88
"Price list and trading summary for Thursday, June 21, 2007",74.00,74.00,72.00,72.50,"13,500",2.90
"Price list and trading summary for Monday, June 18, 2007",71.50,75.00,70.00,71.00,"35,500",2.84
"Price list and trading summary for Tuesday, June 26, 2007",73.50,79.00,74.00,75.50,"18,900",3.02
"Price list and trading summary for Friday, June 08, 2007",70.00,72.00,69.00,69.50,"40,000",2.78
