"Price list and trading summary for Wednesday, April 02, 2014",201.00,202.00,201.00,201.00,"29,100",0
"Price list and trading summary for Monday, September 11, 2006",-,190.00,182.00,183.00,"5,000",0
"Price list and trading summary for Wednesday, September 13, 2006",183.00,195.00,192.00,192.00,"16,800",0
"Price list and trading summary for Friday, September 22, 2006",194.00,205.00,190.00,193.00,"25,800",0
"Price list and trading summary for Tuesday, September 26, 2006",193.00,190.00,190.00,190.00,"163,000",0
"Price list and trading summary for Wednesday, September 27, 2006",190.00,190.00,180.00,187.00,"22,800",0
"Price list and trading summary for Tuesday, September 19, 2006",195.00,198.00,198.00,198.00,"15,000",0
"Price list and trading summary for Wednesday, September 20, 2006",198.00,200.00,190.00,196.00,"13,000",0
"Price list and trading summary for Thursday, September 28, 2006",187.00,190.00,190.00,190.00,"5,300",0
"Price list and trading summary for Thursday, September 14, 2006",192.00,195.00,192.00,193.00,"1,900",0
"Price list and trading summary for Monday, September 18, 2006",192.00,197.00,195.00,195.00,"4,200",0
"Price list and trading summary for Friday, September 15, 2006",193.00,197.00,190.00,192.00,"66,600",0
"Price list and trading summary for Thursday, September 21, 2006",196.00,200.00,190.00,194.00,"36,900",0
"Price list and trading summary for Tuesday, October 03, 2006",172.00,180.00,173.00,179.00,"12,200",0
"Price list and trading summary for Friday, September 29, 2006",190.00,193.00,184.00,190.00,"7,100",0
"Price list and trading summary for Monday, October 02, 2006",190.00,181.00,170.00,172.00,"6,100",0
"Price list and trading summary for Thursday, October 05, 2006",178.00,178.00,171.00,172.00,"123,000",0
"Price list and trading summary for Monday, October 09, 2006",177.00,180.00,180.00,180.00,"16,600",0
"Price list and trading summary for Thursday, October 12, 2006",180.00,190.00,180.00,182.00,"11,100",0
"Price list and trading summary for Friday, October 13, 2006",182.00,190.00,180.00,183.00,"3,000",0
"Price list and trading summary for Wednesday, October 04, 2006",179.00,185.00,178.00,178.00,"180,600",0
"Price list and trading summary for Tuesday, October 17, 2006",190.00,188.00,180.00,181.00,"1,600",0
"Price list and trading summary for Wednesday, October 18, 2006",181.00,190.00,184.00,185.00,"3,800",0
"Price list and trading summary for Thursday, October 19, 2006",185.00,186.00,185.00,185.00,"1,100",0
"Price list and trading summary for Monday, October 23, 2006",185.00,190.00,190.00,190.00,800,0
"Price list and trading summary for Monday, September 25, 2006",193.00,195.00,192.00,193.00,"1,400",0
"Price list and trading summary for Wednesday, October 25, 2006",190.00,190.00,187.00,189.00,"10,200",0
"Price list and trading summary for Monday, October 16, 2006",183.00,190.00,190.00,190.00,100,0
"Price list and trading summary for Thursday, October 26, 2006",189.00,190.00,190.00,190.00,"10,400",0
"Price list and trading summary for Friday, October 27, 2006",190.00,198.00,190.00,190.00,"117,600",0
"Price list and trading summary for Tuesday, October 31, 2006",196.00,220.00,200.00,209.00,"7,100",0
"Price list and trading summary for Wednesday, November 01, 2006",209.00,201.00,200.00,200.00,"9,600",0
