"Price list and trading summary for Wednesday, April 02, 2014",611.00,600.00,600.00,600.00,500,0
"Price list and trading summary for Monday, September 11, 2006",-,197.00,185.00,189.00,"11,000",0
"Price list and trading summary for Tuesday, September 12, 2006",189.00,192.00,185.00,187.00,"11,700",0
"Price list and trading summary for Wednesday, September 13, 2006",187.00,188.00,185.00,185.00,"13,600",0
"Price list and trading summary for Friday, September 22, 2006",189.00,195.00,187.00,189.00,"31,700",0
"Price list and trading summary for Tuesday, September 26, 2006",189.00,200.00,188.00,193.00,"76,700",0
"Price list and trading summary for Wednesday, September 27, 2006",193.00,195.00,190.00,193.00,"22,600",0
"Price list and trading summary for Wednesday, September 20, 2006",189.00,195.00,190.00,192.00,"14,300",0
"Price list and trading summary for Tuesday, September 19, 2006",187.00,190.00,185.00,189.00,"72,300",0
"Price list and trading summary for Thursday, September 28, 2006",193.00,196.00,195.00,195.00,"167,500",0
"Price list and trading summary for Thursday, September 14, 2006",185.00,186.00,185.00,185.00,"29,900",0
"Price list and trading summary for Monday, September 18, 2006",184.00,190.00,180.00,187.00,"1,300",0
"Price list and trading summary for Friday, September 15, 2006",185.00,186.00,184.00,184.00,"30,500",0
"Price list and trading summary for Thursday, September 21, 2006",192.00,190.00,185.00,189.00,"33,500",0
"Price list and trading summary for Tuesday, October 03, 2006",196.00,210.00,195.00,200.00,"4,000",0
"Price list and trading summary for Friday, September 29, 2006",195.00,200.00,195.00,199.00,"2,500",0
"Price list and trading summary for Monday, October 02, 2006",199.00,200.00,195.00,196.00,500,0
"Price list and trading summary for Thursday, October 05, 2006",200.00,197.00,195.00,195.00,"102,500",0
"Price list and trading summary for Monday, October 09, 2006",194.00,194.00,194.00,194.00,"1,100",0
"Price list and trading summary for Thursday, October 12, 2006",194.00,194.00,190.00,190.00,"1,800",0
"Price list and trading summary for Friday, October 13, 2006",190.00,195.00,195.00,195.00,"2,500",0
"Price list and trading summary for Wednesday, October 04, 2006",200.00,200.00,200.00,200.00,500,0
"Price list and trading summary for Tuesday, October 17, 2006",194.00,195.00,190.00,194.00,"22,300",0
"Price list and trading summary for Wednesday, October 18, 2006",194.00,195.00,191.00,193.00,"3,600",0
"Price list and trading summary for Thursday, October 19, 2006",193.00,194.00,190.00,191.00,600,0
"Price list and trading summary for Monday, October 23, 2006",191.00,200.00,193.00,193.00,"51,100",0
"Price list and trading summary for Monday, September 25, 2006",189.00,190.00,188.00,189.00,"15,800",0
"Price list and trading summary for Wednesday, October 25, 2006",193.00,194.00,185.00,193.00,"25,500",0
"Price list and trading summary for Monday, October 16, 2006",195.00,195.00,190.00,194.00,"5,400",0
"Price list and trading summary for Thursday, October 26, 2006",193.00,195.00,194.00,194.00,"76,300",0
"Price list and trading summary for Friday, October 27, 2006",194.00,196.00,190.00,193.00,"116,900",0
"Price list and trading summary for Tuesday, October 31, 2006",193.00,198.00,193.00,193.00,"59,200",0
"Price list and trading summary for Wednesday, November 01, 2006",193.00,200.00,193.00,196.00,"2,800",0
"Price list and trading summary for Thursday, November 02, 2006",196.00,200.00,194.00,196.00,"57,900",0
"Price list and trading summary for Friday, November 03, 2006",196.00,200.00,199.00,199.00,"1,300",0
"Price list and trading summary for Monday, November 06, 2006",199.00,198.00,195.00,196.00,800,0
"Price list and trading summary for Tuesday, November 07, 2006",196.00,197.00,194.00,195.00,"29,600",0
"Price list and trading summary for Wednesday, November 08, 2006",195.00,197.00,195.00,195.00,"115,200",0
"Price list and trading summary for Thursday, November 09, 2006",195.00,200.00,190.00,194.00,"24,700",0
"Price list and trading summary for Monday, November 13, 2006",194.00,195.00,194.00,194.00,"10,600",0
"Price list and trading summary for Tuesday, November 14, 2006",194.00,194.00,192.00,193.00,"9,300",0
"Price list and trading summary for Wednesday, November 15, 2006",193.00,195.00,193.00,194.00,"3,900",0
"Price list and trading summary for Friday, October 06, 2006",195.00,195.00,192.00,194.00,"102,100",0
"Price list and trading summary for Thursday, November 16, 2006",194.00,196.00,193.00,194.00,"55,300",0
"Price list and trading summary for Friday, November 17, 2006",194.00,190.00,185.00,188.00,"3,200",0
"Price list and trading summary for Monday, November 20, 2006",188.00,195.00,190.00,190.00,"8,200",0
"Price list and trading summary for Monday, October 09, 2006",194.00,194.00,194.00,194.00,"1,100",0
"Price list and trading summary for Tuesday, November 21, 2006",190.00,192.00,190.00,190.00,"1,200",0
"Price list and trading summary for Wednesday, November 22, 2006",190.00,195.00,192.00,194.00,"20,500",0
"Price list and trading summary for Friday, November 24, 2006",194.00,195.00,195.00,195.00,"27,300",0
"Price list and trading summary for Monday, November 27, 2006",195.00,195.00,195.00,195.00,"44,600",0
"Price list and trading summary for Tuesday, November 28, 2006",195.00,195.00,190.00,194.00,"96,300",0
