"Price list and trading summary for Wednesday, April 02, 2014",16.25,16.50,16.30,16.40,"282,100",0
"Price list and trading summary for Monday, September 11, 2006",-,307.00,304.00,304.00,"7,200",11.40
"Price list and trading summary for Tuesday, September 12, 2006",304.00,310.00,307.00,307.00,"19,000",11.51
"Price list and trading summary for Wednesday, September 13, 2006",307.00,339.00,309.00,331.00,"151,200",12.41
"Price list and trading summary for Friday, September 22, 2006",343.00,350.00,320.00,348.00,"77,200",13.05
"Price list and trading summary for Tuesday, September 26, 2006",321.00,326.00,285.00,319.00,"181,200",11.96
"Price list and trading summary for Wednesday, September 27, 2006",319.00,327.00,320.00,323.00,"29,000",12.11
"Price list and trading summary for Wednesday, September 20, 2006",332.00,360.00,330.00,339.00,"62,900",12.71
"Price list and trading summary for Tuesday, September 19, 2006",320.00,336.00,330.00,332.00,"20,600",12.45
"Price list and trading summary for Thursday, September 28, 2006",323.00,330.00,324.00,325.00,"76,300",12.19
"Price list and trading summary for Monday, September 18, 2006",317.00,328.00,317.00,320.00,"28,400",12.00
"Price list and trading summary for Friday, September 15, 2006",311.00,320.00,315.00,317.00,"18,100",11.89
"Price list and trading summary for Thursday, September 14, 2006",331.00,328.00,300.00,311.00,"14,600",11.66
"Price list and trading summary for Thursday, September 21, 2006",339.00,350.00,330.00,343.00,"58,500",12.86
"Price list and trading summary for Tuesday, October 03, 2006",327.00,330.00,320.00,323.00,"13,600",12.11
"Price list and trading summary for Monday, October 02, 2006",333.00,340.00,321.00,327.00,"24,500",12.26
"Price list and trading summary for Friday, September 29, 2006",325.00,340.00,300.00,333.00,"55,500",12.49
"Price list and trading summary for Thursday, October 05, 2006",329.00,340.00,326.00,338.00,"67,800",12.68
"Price list and trading summary for Monday, October 09, 2006",341.00,338.00,325.00,335.00,"15,600",12.56
"Price list and trading summary for Thursday, October 12, 2006",337.00,340.00,332.00,337.00,"7,900",12.64
"Price list and trading summary for Friday, October 13, 2006",337.00,340.00,335.00,339.00,"85,700",12.71
"Price list and trading summary for Wednesday, October 04, 2006",323.00,330.00,321.00,329.00,"16,800",12.34
"Price list and trading summary for Tuesday, October 17, 2006",341.00,351.00,335.00,347.00,"57,700",13.01
"Price list and trading summary for Wednesday, October 18, 2006",347.00,353.00,340.00,351.00,"73,300",13.16
"Price list and trading summary for Thursday, October 19, 2006",351.00,370.00,347.00,355.00,"77,100",13.31
"Price list and trading summary for Monday, October 23, 2006",355.00,389.00,360.00,382.00,"46,300",14.33
"Price list and trading summary for Monday, September 25, 2006",348.00,330.00,315.00,321.00,"9,400",12.04
"Price list and trading summary for Wednesday, October 25, 2006",382.00,427.00,420.00,426.00,"17,500",15.98
"Price list and trading summary for Monday, October 16, 2006",339.00,343.00,337.00,341.00,"7,700",12.79
"Price list and trading summary for Thursday, October 26, 2006",426.00,469.00,427.00,468.00,"56,700",17.55
"Price list and trading summary for Friday, October 27, 2006",468.00,515.00,470.00,505.00,"389,700",18.94
"Price list and trading summary for Tuesday, October 31, 2006",458.00,500.00,450.00,463.00,"188,100",17.36
"Price list and trading summary for Wednesday, November 01, 2006",463.00,460.00,427.00,448.00,"155,600",16.80
"Price list and trading summary for Thursday, November 02, 2006",448.00,489.00,402.00,428.00,"28,700",16.05
"Price list and trading summary for Friday, November 03, 2006",428.00,440.00,391.00,414.00,"140,200",15.53
"Price list and trading summary for Monday, November 06, 2006",414.00,440.00,411.00,431.00,"183,000",16.16
"Price list and trading summary for Tuesday, November 07, 2006",431.00,462.00,415.00,439.00,"378,500",16.46
"Price list and trading summary for Wednesday, November 08, 2006",439.00,485.00,440.00,479.00,"686,300",17.96
"Price list and trading summary for Thursday, November 09, 2006",479.00,700.00,600.00,626.00,"160,400",23.48
"Price list and trading summary for Monday, November 13, 2006",576.00,600.00,519.00,543.00,"345,100",20.36
"Price list and trading summary for Tuesday, November 14, 2006",543.00,553.00,500.00,506.00,"213,800",18.98
"Price list and trading summary for Wednesday, November 15, 2006",506.00,550.00,502.00,523.00,"172,100",19.61
"Price list and trading summary for Friday, October 06, 2006",338.00,350.00,327.00,341.00,"26,200",12.79
"Price list and trading summary for Thursday, November 16, 2006",523.00,550.00,510.00,528.00,"169,800",19.80
"Price list and trading summary for Friday, November 17, 2006",528.00,579.00,500.00,562.00,"141,600",21.08
"Price list and trading summary for Monday, November 20, 2006",562.00,635.00,580.00,599.00,"346,000",22.46
"Price list and trading summary for Monday, October 09, 2006",341.00,338.00,325.00,335.00,"15,600",12.56
"Price list and trading summary for Tuesday, November 21, 2006",599.00,650.00,550.00,599.00,"216,000",22.46
"Price list and trading summary for Wednesday, November 22, 2006",599.00,600.00,580.00,595.00,"110,300",22.31
"Price list and trading summary for Thursday, November 23, 2006",595.00,600.00,575.00,587.00,"78,300",22.01
"Price list and trading summary for Friday, November 24, 2006",587.00,600.00,570.00,596.00,"111,300",22.35
"Price list and trading summary for Monday, November 27, 2006",596.00,630.00,580.00,595.00,"95,000",22.31
"Price list and trading summary for Tuesday, November 28, 2006",595.00,610.00,570.00,586.00,"158,500",21.98
"Price list and trading summary for Wednesday, November 29, 2006",586.00,605.00,550.00,573.00,"172,700",21.49
"Price list and trading summary for Friday, December 01, 2006",91.00,89.00,83.00,86.50,"55,400",21.63
"Price list and trading summary for Thursday, November 30, 2006",573.00,100.00,60.00,91.00,"47,800",22.75
"Price list and trading summary for Monday, December 04, 2006",86.50,90.00,80.00,85.50,"147,300",21.38
