"Price list and trading summary for Wednesday, April 02, 2014",84.00,84.00,84.00,84.00,0,0
"Price list and trading summary for Monday, September 11, 2006",-,35.00,34.50,34.75,"11,300",0
"Price list and trading summary for Tuesday, September 12, 2006",34.75,36.00,34.00,35.00,"21,100",0
"Price list and trading summary for Wednesday, September 13, 2006",35.00,36.00,36.00,36.00,"5,000",0
"Price list and trading summary for Friday, September 22, 2006",34.75,35.00,33.50,34.00,"49,500",0
"Price list and trading summary for Tuesday, September 26, 2006",34.50,37.50,34.00,36.00,"48,100",0
"Price list and trading summary for Wednesday, September 27, 2006",36.00,39.00,37.00,37.25,"8,200",0
"Price list and trading summary for Wednesday, September 20, 2006",35.50,36.00,36.00,36.00,"12,800",0
"Price list and trading summary for Tuesday, September 19, 2006",35.75,36.00,34.00,35.50,"6,300",0
"Price list and trading summary for Thursday, September 28, 2006",37.25,39.00,37.50,38.25,"28,900",0
"Price list and trading summary for Monday, September 18, 2006",35.50,36.00,35.00,35.75,"14,400",0
"Price list and trading summary for Friday, September 15, 2006",35.75,37.00,34.00,35.50,"9,200",0
"Price list and trading summary for Thursday, September 14, 2006",36.00,36.00,34.50,35.75,"8,100",0
"Price list and trading summary for Thursday, September 21, 2006",36.00,35.00,34.00,34.75,"7,600",0
"Price list and trading summary for Tuesday, October 03, 2006",37.00,38.00,36.00,37.25,"20,900",0
"Price list and trading summary for Friday, September 29, 2006",38.25,38.00,37.00,37.25,"58,900",0
"Price list and trading summary for Monday, October 02, 2006",37.25,37.00,37.00,37.00,"6,800",0
"Price list and trading summary for Thursday, October 05, 2006",36.75,37.00,36.00,36.50,"2,100",0
"Price list and trading summary for Monday, October 09, 2006",35.75,37.00,36.00,36.25,"7,000",0
"Price list and trading summary for Thursday, October 12, 2006",35.50,37.00,33.75,35.50,"11,100",0
"Price list and trading summary for Friday, October 13, 2006",35.50,35.75,35.00,35.00,"3,300",0
"Price list and trading summary for Wednesday, October 04, 2006",37.25,37.00,36.00,36.75,"2,100",0
"Price list and trading summary for Tuesday, October 17, 2006",32.00,35.00,35.00,35.00,"3,200",0
"Price list and trading summary for Wednesday, October 18, 2006",35.00,35.00,34.00,34.75,"4,600",0
"Price list and trading summary for Thursday, October 19, 2006",34.75,34.00,34.00,34.00,"9,500",0
"Price list and trading summary for Monday, October 23, 2006",34.00,34.00,33.50,33.75,"4,000",0
"Price list and trading summary for Monday, September 25, 2006",34.00,35.00,34.00,34.50,"4,300",0
"Price list and trading summary for Wednesday, October 25, 2006",33.75,34.00,33.00,33.00,"4,300",0
"Price list and trading summary for Monday, October 16, 2006",35.00,35.50,32.00,32.00,"32,800",0
"Price list and trading summary for Thursday, October 26, 2006",33.00,34.25,33.50,34.00,"39,500",0
"Price list and trading summary for Friday, October 27, 2006",34.00,36.00,34.00,34.50,"37,500",0
