"Price list and trading summary for Wednesday, April 02, 2014",18.20,18.30,17.80,18.00,"99,100",0
"Price list and trading summary for Friday, September 09, 2011",8.45,8.40,7.65,8.00,1.44,0
"Price list and trading summary for Wednesday, September 14, 2011",7.00,7.00,6.30,6.35,"220,100",0
"Price list and trading summary for Thursday, September 15, 2011",6.35,6.30,5.75,5.80,"117,000",0
"Price list and trading summary for Friday, September 16, 2011",5.80,5.75,5.25,5.35,"520,800",0
"Price list and trading summary for Monday, September 19, 2011",5.35,5.60,5.30,5.45,"560,100",0
"Price list and trading summary for Thursday, September 22, 2011",5.95,6.50,6.25,6.45,"121,700",0
"Price list and trading summary for Friday, September 23, 2011",6.45,6.95,6.40,6.60,"211,600",0
"Price list and trading summary for Tuesday, September 27, 2011",6.90,7.00,6.25,6.70,"240,000",0
"Price list and trading summary for Wednesday, September 28, 2011",6.70,6.60,6.25,6.35,"110,800",0
"Price list and trading summary for Friday, September 30, 2011",6.20,6.60,5.95,6.05,"114,900",0
"Price list and trading summary for Wednesday, September 21, 2011",5.75,6.30,5.70,5.95,"398,200",0
"Price list and trading summary for Monday, September 12, 2011",8.00,7.65,7.20,7.45,"289,100",0
"Price list and trading summary for Tuesday, October 04, 2011",5.85,6.20,5.60,5.90,"96,200",0
"Price list and trading summary for Wednesday, October 05, 2011",5.90,6.30,6.05,6.15,"48,500",0
"Price list and trading summary for Tuesday, September 13, 2011",7.45,7.15,6.75,7.00,"153,200",0
"Price list and trading summary for Friday, October 07, 2011",6.20,6.60,5.80,6.20,"96,500",0
"Price list and trading summary for Thursday, September 08, 2011",37.75,9.00,6.00,8.45,1.35,0
"Price list and trading summary for Wednesday, October 12, 2011",5.90,6.00,5.70,5.85,"133,400",0
"Price list and trading summary for Monday, October 03, 2011",6.05,6.20,5.65,5.85,"59,800",0
"Price list and trading summary for Monday, September 26, 2011",6.60,7.00,6.65,6.90,"268,800",0
"Price list and trading summary for Thursday, September 29, 2011",6.35,6.95,6.00,6.20,"207,700",0
"Price list and trading summary for Monday, October 10, 2011",6.20,6.00,5.70,5.80,"121,100",0
"Price list and trading summary for Thursday, October 13, 2011",5.85,6.00,5.70,5.75,"115,700",0
"Price list and trading summary for Tuesday, September 20, 2011",5.45,5.85,5.60,5.75,"589,500",0
"Price list and trading summary for Thursday, October 06, 2011",6.15,6.50,6.00,6.20,"82,600",0
"Price list and trading summary for Tuesday, October 11, 2011",5.80,6.00,5.80,5.90,"43,000",0
"Price list and trading summary for Monday, October 17, 2011",5.70,6.00,5.45,5.55,"71,200",0
"Price list and trading summary for Friday, October 14, 2011",5.75,6.00,5.60,5.70,"86,500",0
"Price list and trading summary for Tuesday, October 18, 2011",5.55,5.90,5.50,5.65,"117,300",0
"Price list and trading summary for Wednesday, October 19, 2011",5.65,6.00,5.65,5.80,"157,700",0
"Price list and trading summary for Monday, October 31, 2011",5.70,5.80,5.50,5.70,"102,300",0
"Price list and trading summary for Tuesday, November 01, 2011",5.70,6.00,5.65,5.70,"286,000",0
"Price list and trading summary for Wednesday, November 02, 2011",5.70,5.90,5.65,5.65,"185,900",0
"Price list and trading summary for Wednesday, October 19, 2011",5.65,6.00,5.65,5.80,"157,700",0
"Price list and trading summary for Thursday, November 03, 2011",5.65,5.95,5.60,5.70,"44,300",0
"Price list and trading summary for Friday, November 04, 2011",5.70,6.05,5.55,5.60,"271,300",0
"Price list and trading summary for Monday, November 07, 2011",5.60,5.70,5.40,5.55,"364,300",0
"Price list and trading summary for Monday, October 24, 2011",5.75,5.85,5.60,5.65,"86,300",0
"Price list and trading summary for Wednesday, October 26, 2011",5.70,5.75,5.60,5.65,"65,100",0
"Price list and trading summary for Wednesday, November 09, 2011",5.55,5.90,5.45,5.50,"224,600",0
"Price list and trading summary for Monday, November 14, 2011",5.30,5.50,5.15,5.15,"167,600",0
"Price list and trading summary for Thursday, October 27, 2011",5.65,5.70,5.50,5.60,"196,500",0
"Price list and trading summary for Friday, October 21, 2011",5.80,5.95,5.60,5.75,"80,100",0
"Price list and trading summary for Wednesday, November 16, 2011",5.15,5.25,5.00,5.10,"42,200",0
"Price list and trading summary for Friday, November 18, 2011",5.20,5.70,5.10,5.30,"107,200",0
"Price list and trading summary for Monday, November 21, 2011",5.30,5.50,5.20,5.40,"81,100",0
"Price list and trading summary for Monday, November 07, 2011",5.60,5.70,5.40,5.55,"364,300",0
"Price list and trading summary for Tuesday, October 25, 2011",5.65,6.05,5.65,5.70,"125,600",0
"Price list and trading summary for Friday, November 11, 2011",5.50,5.60,5.15,5.30,"97,000",0
"Price list and trading summary for Friday, October 28, 2011",5.60,5.80,5.50,5.70,"261,100",0
"Price list and trading summary for Tuesday, November 15, 2011",5.15,5.35,5.00,5.15,"474,800",0
"Price list and trading summary for Wednesday, November 23, 2011",5.25,5.30,5.00,5.05,"77,600",0
"Price list and trading summary for Wednesday, November 30, 2011",4.95,5.10,4.80,4.85,"74,000",0
"Price list and trading summary for Tuesday, November 22, 2011",5.40,5.50,5.15,5.25,"101,600",0
"Price list and trading summary for Friday, December 02, 2011",4.75,4.80,4.75,4.75,"78,000",0
"Price list and trading summary for Thursday, November 10, 2011",5.50,5.65,5.45,5.50,"187,300",0
"Price list and trading summary for Thursday, November 24, 2011",5.05,5.15,5.00,5.00,"135,500",0
"Price list and trading summary for Wednesday, December 07, 2011",4.50,4.60,4.05,4.25,"131,100",0
"Price list and trading summary for Monday, November 28, 2011",5.00,5.00,4.95,4.95,"102,000",0
"Price list and trading summary for Thursday, December 08, 2011",4.25,4.30,4.05,4.10,"138,000",0
"Price list and trading summary for Tuesday, November 29, 2011",4.95,5.00,4.80,4.95,"84,900",0
"Price list and trading summary for Friday, November 25, 2011",5.00,5.10,5.00,5.00,"133,100",0
"Price list and trading summary for Tuesday, December 13, 2011",4.20,4.60,4.10,4.20,"108,800",0
"Price list and trading summary for Wednesday, December 14, 2011",4.20,4.55,4.30,4.40,"45,400",0
"Price list and trading summary for Thursday, November 17, 2011",5.10,5.30,5.15,5.20,"204,500",0
"Price list and trading summary for Thursday, December 01, 2011",4.85,4.85,4.60,4.75,"44,800",0
"Price list and trading summary for Friday, December 09, 2011",4.10,4.40,4.15,4.20,"140,900",0
"Price list and trading summary for Monday, December 05, 2011",4.75,4.95,4.60,4.65,"127,300",0
"Price list and trading summary for Tuesday, December 06, 2011",4.65,4.70,4.40,4.50,"180,800",0
"Price list and trading summary for Friday, December 09, 2011",4.10,4.40,4.15,4.20,"140,900",0
"Price list and trading summary for Thursday, December 22, 2011",4.85,5.00,4.80,4.90,"85,800",0
"Price list and trading summary for Wednesday, December 21, 2011",4.75,5.00,4.80,4.85,"50,600",0
"Price list and trading summary for Thursday, December 15, 2011",4.40,4.55,4.30,4.40,"125,400",0
"Price list and trading summary for Thursday, December 29, 2011",4.85,5.30,4.75,5.20,"405,500",0
"Price list and trading summary for Friday, December 30, 2011",5.20,5.70,4.75,5.60,"856,900",0
"Price list and trading summary for Friday, December 16, 2011",4.40,4.70,4.50,4.55,"135,000",0
"Price list and trading summary for Tuesday, January 03, 2012",5.60,5.70,5.05,5.55,"516,300",0
"Price list and trading summary for Friday, December 23, 2011",4.90,5.10,5.00,5.00,"20,400",0
"Price list and trading summary for Monday, December 19, 2011",4.55,5.00,4.70,4.70,"36,200",0
"Price list and trading summary for Tuesday, December 20, 2011",4.70,4.95,4.70,4.75,"45,800",0
"Price list and trading summary for Monday, January 09, 2012",5.00,5.50,4.95,4.95,"155,000",0
"Price list and trading summary for Wednesday, December 28, 2011",4.95,5.00,4.75,4.85,"102,800",0
"Price list and trading summary for Friday, December 23, 2011",4.90,5.10,5.00,5.00,"20,400",0
"Price list and trading summary for Wednesday, January 11, 2012",5.00,5.00,4.55,4.80,"76,800",0
"Price list and trading summary for Friday, December 30, 2011",5.20,5.70,4.75,5.60,"856,900",0
"Price list and trading summary for Wednesday, January 04, 2012",5.55,5.70,5.00,5.10,"75,900",0
"Price list and trading summary for Tuesday, January 17, 2012",4.50,4.55,4.40,4.50,"55,700",0
"Price list and trading summary for Thursday, January 12, 2012",4.80,4.75,4.55,4.55,"98,900",0
"Price list and trading summary for Friday, January 06, 2012",5.15,5.70,4.90,5.00,"81,400",0
"Price list and trading summary for Thursday, January 05, 2012",5.10,5.40,5.00,5.15,"547,800",0
"Price list and trading summary for Monday, January 16, 2012",4.60,4.60,4.40,4.50,"164,200",0
"Price list and trading summary for Monday, January 23, 2012",4.70,4.75,4.60,4.65,"116,700",0
"Price list and trading summary for Wednesday, January 25, 2012",4.55,4.70,4.50,4.60,"40,000",0
"Price list and trading summary for Tuesday, December 27, 2011",5.00,5.00,4.75,4.95,"38,400",0
"Price list and trading summary for Wednesday, January 18, 2012",4.50,4.60,4.45,4.50,"132,900",0
"Price list and trading summary for Tuesday, January 10, 2012",4.95,5.05,5.00,5.00,"122,200",0
"Price list and trading summary for Friday, January 13, 2012",4.55,4.75,4.55,4.60,"61,600",0
"Price list and trading summary for Monday, January 30, 2012",4.65,4.90,4.60,4.70,"98,200",0
"Price list and trading summary for Tuesday, January 31, 2012",4.70,4.85,4.55,4.65,"26,000",0
"Price list and trading summary for Wednesday, February 01, 2012",4.65,4.70,4.55,4.60,"59,200",0
"Price list and trading summary for Monday, February 06, 2012",4.50,4.70,4.20,4.55,"139,100",0
"Price list and trading summary for Thursday, January 19, 2012",4.50,4.60,4.50,4.55,"46,300",0
"Price list and trading summary for Friday, January 20, 2012",4.55,4.85,4.55,4.70,"44,000",0
"Price list and trading summary for Tuesday, January 24, 2012",4.65,4.75,4.50,4.55,"71,600",0
"Price list and trading summary for Friday, January 27, 2012",4.60,4.85,4.60,4.65,"26,400",0
"Price list and trading summary for Thursday, February 02, 2012",4.60,4.65,4.50,4.55,"59,000",0
"Price list and trading summary for Thursday, February 09, 2012",4.30,4.50,4.10,4.10,"165,500",0
"Price list and trading summary for Tuesday, February 07, 2012",4.55,4.60,4.20,4.45,"50,600",0
"Price list and trading summary for Wednesday, February 08, 2012",4.45,4.50,4.10,4.30,"50,700",0
"Price list and trading summary for Friday, February 10, 2012",4.10,4.40,3.85,4.05,"234,900",0
"Price list and trading summary for Thursday, January 26, 2012",4.60,4.70,4.55,4.60,"82,600",0
"Price list and trading summary for Tuesday, February 14, 2012",3.95,4.00,3.90,3.95,"78,600",0
"Price list and trading summary for Monday, February 13, 2012",4.05,4.05,3.95,3.95,"283,800",0
"Price list and trading summary for Thursday, February 23, 2012",3.95,4.00,3.90,3.95,"116,700",0
"Price list and trading summary for Friday, February 24, 2012",3.95,4.00,3.95,3.95,"74,200",0
"Price list and trading summary for Thursday, February 16, 2012",3.95,4.00,3.90,3.90,"105,400",0
"Price list and trading summary for Friday, February 03, 2012",4.55,4.70,4.40,4.50,"157,400",0
"Price list and trading summary for Wednesday, February 29, 2012",4.00,4.10,3.95,4.00,"130,600",0
"Price list and trading summary for Thursday, March 01, 2012",4.00,4.05,3.95,3.95,"343,200",0
"Price list and trading summary for Wednesday, February 15, 2012",3.95,4.00,3.90,3.95,"208,900",0
"Price list and trading summary for Monday, March 05, 2012",3.95,4.00,3.90,3.90,1.56,0
"Price list and trading summary for Friday, February 17, 2012",3.90,4.00,3.90,3.90,"319,600",0
"Price list and trading summary for Monday, February 20, 2012",3.90,3.95,3.85,3.90,"216,800",0
"Price list and trading summary for Thursday, March 08, 2012",4.00,4.40,3.95,4.00,"387,700",0
"Price list and trading summary for Tuesday, February 28, 2012",4.00,4.40,4.00,4.00,"353,700",0
"Price list and trading summary for Monday, March 12, 2012",4.00,4.10,4.05,4.05,"35,800",0
"Price list and trading summary for Monday, February 27, 2012",3.95,4.30,3.95,4.00,"113,200",0
"Price list and trading summary for Wednesday, March 14, 2012",4.10,4.50,4.10,4.35,"115,700",0
"Price list and trading summary for Thursday, March 15, 2012",4.35,4.50,4.35,4.35,"140,400",0
"Price list and trading summary for Tuesday, February 21, 2012",3.90,3.95,3.80,3.80,"492,100",0
"Price list and trading summary for Tuesday, March 06, 2012",3.90,4.10,3.90,3.95,"156,500",0
"Price list and trading summary for Tuesday, March 20, 2012",4.30,4.35,4.10,4.30,"51,000",0
"Price list and trading summary for Wednesday, February 22, 2012",3.80,4.00,3.80,3.95,"149,700",0
"Price list and trading summary for Friday, March 02, 2012",3.95,4.00,3.95,3.95,"145,700",0
"Price list and trading summary for Wednesday, March 07, 2012",3.95,4.10,3.95,4.00,"228,800",0
"Price list and trading summary for Tuesday, March 13, 2012",4.05,4.35,4.10,4.10,"36,200",0
"Price list and trading summary for Thursday, March 22, 2012",4.30,4.35,4.05,4.15,"76,300",0
"Price list and trading summary for Friday, March 16, 2012",4.35,4.45,4.30,4.30,"269,700",0
"Price list and trading summary for Monday, March 26, 2012",4.05,4.20,4.00,4.05,"45,300",0
"Price list and trading summary for Friday, March 30, 2012",4.20,4.30,4.15,4.15,"91,300",0
"Price list and trading summary for Monday, April 02, 2012",4.15,4.20,4.10,4.15,"23,300",0
"Price list and trading summary for Friday, March 09, 2012",4.00,4.20,4.00,4.00,"65,500",0
"Price list and trading summary for Wednesday, March 21, 2012",4.30,4.40,4.20,4.30,"147,500",0
