"Price list and trading summary for Wednesday, April 02, 2014",31.00,32.00,31.00,31.00,"3,600",0
"Price list and trading summary for Wednesday, September 13, 2006",35.00,35.00,35.00,35.00,"1,000",19.44
"Price list and trading summary for Friday, September 22, 2006",37.50,40.00,40.00,40.00,500,22.22
"Price list and trading summary for Wednesday, September 27, 2006",38.25,40.50,38.00,39.75,"24,200",22.08
"Price list and trading summary for Tuesday, September 19, 2006",37.00,39.00,36.00,37.50,"40,100",20.83
"Price list and trading summary for Thursday, September 28, 2006",39.75,42.00,40.00,41.50,"12,600",23.06
"Price list and trading summary for Monday, September 18, 2006",36.25,39.00,37.00,37.00,"59,400",20.56
"Price list and trading summary for Friday, September 15, 2006",35.00,37.00,36.00,36.25,"13,000",20.14
"Price list and trading summary for Tuesday, October 03, 2006",46.00,51.00,47.00,50.00,"18,500",27.78
"Price list and trading summary for Monday, October 02, 2006",45.25,47.00,45.00,46.00,"24,000",25.56
"Price list and trading summary for Friday, September 29, 2006",41.50,46.00,44.00,45.25,"15,400",25.14
"Price list and trading summary for Thursday, October 05, 2006",50.50,53.00,51.50,52.00,"5,300",28.89
"Price list and trading summary for Monday, October 09, 2006",53.50,55.00,53.00,53.00,"6,900",29.44
"Price list and trading summary for Thursday, October 12, 2006",55.00,57.00,56.00,56.00,"6,800",31.11
"Price list and trading summary for Friday, October 13, 2006",56.00,58.00,56.00,56.00,"16,500",31.11
"Price list and trading summary for Wednesday, October 04, 2006",50.00,53.00,46.50,50.50,"13,100",28.06
"Price list and trading summary for Tuesday, October 17, 2006",57.00,57.00,57.00,57.00,"2,400",31.67
"Price list and trading summary for Wednesday, October 18, 2006",57.00,60.00,58.00,59.50,"17,100",33.06
"Price list and trading summary for Thursday, October 19, 2006",59.50,60.00,57.00,59.00,"19,400",32.78
"Price list and trading summary for Monday, October 23, 2006",59.00,59.00,57.00,57.50,"5,400",31.94
"Price list and trading summary for Monday, September 25, 2006",40.00,39.00,37.00,38.25,"5,500",21.25
"Price list and trading summary for Wednesday, October 25, 2006",57.50,58.00,56.00,57.00,"2,100",31.67
"Price list and trading summary for Monday, October 16, 2006",56.00,57.00,57.00,57.00,"2,700",31.67
"Price list and trading summary for Thursday, October 26, 2006",57.00,57.00,57.00,57.00,"1,600",31.67
