"Price list and trading summary for Wednesday, April 02, 2014",15.95,16.00,15.90,15.95,"7,100",0
"Price list and trading summary for Tuesday, September 12, 2006",101.00,111.00,101.00,104.00,"345,100",83.20
"Price list and trading summary for Monday, September 11, 2006",-,110.00,99.00,101.00,"471,600",80.80
"Price list and trading summary for Wednesday, September 13, 2006",104.00,94.50,94.50,94.50,"355,100",75.60
"Price list and trading summary for Friday, September 22, 2006",64.00,68.00,61.50,67.50,"526,900",54.00
"Price list and trading summary for Tuesday, September 26, 2006",70.50,79.00,70.00,76.00,"605,700",60.80
"Price list and trading summary for Wednesday, September 27, 2006",76.00,84.00,75.00,79.00,"675,200",63.20
"Price list and trading summary for Wednesday, September 20, 2006",63.00,63.50,57.00,60.00,1.87,48.00
"Price list and trading summary for Tuesday, September 19, 2006",69.50,63.00,63.00,63.00,"876,900",50.40
"Price list and trading summary for Thursday, September 28, 2006",79.00,81.00,74.00,78.50,"908,000",62.80
"Price list and trading summary for Thursday, September 14, 2006",94.50,85.50,85.50,85.50,"152,500",68.40
"Price list and trading summary for Monday, September 18, 2006",77.00,69.50,69.50,69.50,"936,400",55.60
"Price list and trading summary for Friday, September 15, 2006",85.50,77.00,77.00,77.00,"194,100",61.60
"Price list and trading summary for Thursday, September 21, 2006",60.00,67.50,57.00,64.00,1.43,51.20
"Price list and trading summary for Tuesday, October 03, 2006",72.00,75.00,67.00,73.00,"192,400",58.40
"Price list and trading summary for Friday, September 29, 2006",78.50,78.00,71.00,76.50,"512,400",61.20
"Price list and trading summary for Monday, October 02, 2006",76.50,83.00,68.50,72.00,"446,100",57.60
"Price list and trading summary for Thursday, October 05, 2006",70.00,77.00,65.00,70.00,"515,400",56.00
"Price list and trading summary for Monday, October 09, 2006",69.50,71.00,62.00,68.00,"263,100",54.40
"Price list and trading summary for Thursday, October 12, 2006",69.00,72.00,65.00,69.50,"213,700",55.60
"Price list and trading summary for Friday, October 13, 2006",69.50,71.00,64.00,67.50,"328,900",54.00
"Price list and trading summary for Wednesday, October 04, 2006",73.00,79.00,65.00,70.00,"589,200",56.00
"Price list and trading summary for Tuesday, October 17, 2006",65.50,74.00,62.00,67.50,"337,200",54.00
"Price list and trading summary for Wednesday, October 18, 2006",67.50,68.00,63.00,65.50,"352,100",52.40
"Price list and trading summary for Thursday, October 19, 2006",65.50,70.50,64.00,65.50,"120,200",52.40
"Price list and trading summary for Monday, October 23, 2006",65.50,70.00,65.00,69.00,"621,600",55.20
"Price list and trading summary for Monday, September 25, 2006",67.50,74.00,65.00,70.50,1.17,56.40
"Price list and trading summary for Wednesday, October 25, 2006",69.00,65.00,62.00,63.50,"299,000",50.80
"Price list and trading summary for Monday, October 16, 2006",67.50,70.00,62.00,65.50,"133,000",52.40
"Price list and trading summary for Thursday, October 26, 2006",63.50,62.00,58.00,60.00,"420,900",48.00
"Price list and trading summary for Friday, October 27, 2006",60.00,59.50,54.00,58.00,"483,500",46.40
"Price list and trading summary for Tuesday, October 31, 2006",55.50,57.00,53.00,55.00,"363,700",44.00
"Price list and trading summary for Wednesday, November 01, 2006",55.00,60.50,55.00,56.50,"161,400",45.20
"Price list and trading summary for Thursday, November 02, 2006",56.50,62.00,56.00,59.00,"186,900",47.20
"Price list and trading summary for Friday, November 03, 2006",59.00,60.00,57.00,58.50,"276,900",46.80
"Price list and trading summary for Monday, November 06, 2006",58.50,60.00,52.00,56.50,"660,300",45.20
"Price list and trading summary for Tuesday, November 07, 2006",56.50,60.00,53.00,56.00,"139,300",44.80
"Price list and trading summary for Wednesday, November 08, 2006",56.00,55.00,53.00,54.00,"75,300",43.20
"Price list and trading summary for Thursday, November 09, 2006",54.00,58.00,48.00,55.00,"373,000",44.00
"Price list and trading summary for Monday, November 13, 2006",50.00,50.00,45.50,49.50,"134,300",39.60
"Price list and trading summary for Tuesday, November 14, 2006",49.50,50.00,45.00,47.75,"208,600",38.20
"Price list and trading summary for Wednesday, November 15, 2006",47.75,49.50,47.00,48.50,"217,100",38.80
"Price list and trading summary for Friday, October 06, 2006",70.00,72.00,65.00,69.50,"821,100",55.60
"Price list and trading summary for Thursday, November 16, 2006",48.50,50.00,48.00,48.75,"286,100",39.00
"Price list and trading summary for Friday, November 17, 2006",48.75,50.00,47.00,48.75,"228,500",39.00
"Price list and trading summary for Monday, November 20, 2006",48.75,50.00,47.00,49.25,"95,900",39.40
"Price list and trading summary for Monday, October 09, 2006",69.50,71.00,62.00,68.00,"263,100",54.40
"Price list and trading summary for Tuesday, November 21, 2006",49.25,50.00,45.00,47.25,"320,800",37.80
"Price list and trading summary for Wednesday, November 22, 2006",47.25,48.00,46.00,47.75,"193,000",38.20
"Price list and trading summary for Thursday, November 23, 2006",47.75,48.00,45.00,46.50,"256,000",37.20
"Price list and trading summary for Friday, November 24, 2006",46.50,48.00,44.00,45.75,"173,700",36.60
"Price list and trading summary for Monday, November 27, 2006",45.75,48.00,44.00,45.75,"159,500",36.60
"Price list and trading summary for Tuesday, November 28, 2006",45.75,50.00,44.50,44.75,"179,100",35.80
"Price list and trading summary for Wednesday, November 29, 2006",44.75,45.00,43.75,44.00,"224,500",35.20
"Price list and trading summary for Friday, December 01, 2006",43.75,45.00,39.50,43.50,"110,800",34.80
"Price list and trading summary for Thursday, November 30, 2006",44.00,44.00,41.00,43.75,"181,500",35.00
"Price list and trading summary for Monday, December 04, 2006",43.50,46.00,43.00,44.50,"144,900",35.60
"Price list and trading summary for Tuesday, December 05, 2006",44.50,49.00,43.50,45.25,"132,200",36.20
"Price list and trading summary for Wednesday, December 06, 2006",45.25,48.75,43.00,45.50,"247,800",36.40
"Price list and trading summary for Thursday, December 07, 2006",45.50,48.50,44.00,45.00,"63,400",36.00
"Price list and trading summary for Friday, December 08, 2006",45.00,46.00,44.50,44.75,"55,100",35.80
"Price list and trading summary for Monday, December 11, 2006",44.75,48.00,42.00,45.25,"46,200",36.20
"Price list and trading summary for Wednesday, December 13, 2006",45.25,50.00,45.00,47.00,"104,000",37.60
"Price list and trading summary for Thursday, December 14, 2006",47.00,47.00,44.25,45.25,"167,600",36.20
"Price list and trading summary for Monday, December 18, 2006",45.00,47.00,43.00,44.25,"115,100",35.40
"Price list and trading summary for Tuesday, December 19, 2006",44.25,44.00,42.00,43.25,"87,400",34.60
"Price list and trading summary for Wednesday, December 20, 2006",43.25,46.00,42.00,42.75,"115,000",34.20
"Price list and trading summary for Thursday, December 21, 2006",42.75,45.00,41.00,42.75,"156,700",34.20
"Price list and trading summary for Friday, December 22, 2006",42.75,44.00,42.00,43.25,"84,800",34.60
"Price list and trading summary for Wednesday, October 11, 2006",68.00,75.00,65.00,69.00,"205,000",55.20
"Price list and trading summary for Monday, October 30, 2006",58.00,58.00,52.00,55.50,"214,200",44.40
"Price list and trading summary for Wednesday, December 27, 2006",43.25,47.00,44.75,45.50,"9,900",36.40
"Price list and trading summary for Monday, October 23, 2006",65.50,70.00,65.00,69.00,"621,600",55.20
"Price list and trading summary for Thursday, December 28, 2006",45.50,48.00,45.00,46.75,"731,100",37.40
"Price list and trading summary for Friday, December 29, 2006",46.75,50.00,45.50,48.25,"130,700",38.60
"Price list and trading summary for Tuesday, January 02, 2007",48.25,52.50,48.00,49.50,"140,700",39.60
"Price list and trading summary for Wednesday, January 03, 2007",49.50,50.00,48.00,49.50,"120,600",39.60
"Price list and trading summary for Thursday, January 04, 2007",49.50,50.00,46.00,49.50,"192,800",39.60
"Price list and trading summary for Friday, January 05, 2007",49.50,52.50,49.50,50.00,"140,300",40.00
"Price list and trading summary for Monday, January 08, 2007",50.00,54.00,46.00,49.25,"247,800",39.40
"Price list and trading summary for Tuesday, January 09, 2007",49.25,50.00,46.00,48.50,"231,700",38.80
"Price list and trading summary for Wednesday, January 10, 2007",48.50,52.50,49.00,49.50,"91,000",39.60
"Price list and trading summary for Thursday, January 11, 2007",49.50,53.00,48.50,50.00,"257,500",40.00
"Price list and trading summary for Friday, January 12, 2007",50.00,54.00,50.00,51.50,"86,800",41.20
"Price list and trading summary for Monday, January 15, 2007",51.50,56.00,50.00,51.50,"232,700",41.20
"Price list and trading summary for Tuesday, January 16, 2007",51.50,54.50,50.00,51.00,"181,500",40.80
"Price list and trading summary for Wednesday, January 17, 2007",51.00,54.00,50.00,51.00,"111,500",40.80
"Price list and trading summary for Thursday, January 18, 2007",51.00,52.00,48.00,49.75,"118,500",39.80
"Price list and trading summary for Thursday, October 19, 2006",65.50,70.50,64.00,65.50,"120,200",52.40
"Price list and trading summary for Monday, January 22, 2007",49.50,52.00,47.00,48.75,"76,300",39.00
"Price list and trading summary for Tuesday, January 23, 2007",48.75,49.00,46.00,48.25,"46,300",38.60
"Price list and trading summary for Wednesday, January 24, 2007",48.25,50.00,46.00,48.50,"73,700",38.80
"Price list and trading summary for Thursday, January 25, 2007",48.50,50.00,46.00,48.50,"56,600",38.80
"Price list and trading summary for Friday, January 26, 2007",48.50,51.00,44.00,47.75,"228,200",38.20
"Price list and trading summary for Monday, January 29, 2007",47.75,53.00,46.00,50.50,"67,900",40.40
"Price list and trading summary for Friday, December 15, 2006",45.25,47.00,44.00,45.00,"133,900",36.00
"Price list and trading summary for Friday, November 10, 2006",55.00,51.00,48.00,50.00,"188,200",40.00
"Price list and trading summary for Tuesday, January 30, 2007",50.50,53.00,45.00,48.25,"87,000",38.60
"Price list and trading summary for Monday, December 11, 2006",44.75,48.00,42.00,45.25,"46,200",36.20
"Price list and trading summary for Thursday, February 01, 2007",47.50,50.00,45.00,49.25,"188,800",39.40
"Price list and trading summary for Monday, February 05, 2007",48.00,52.00,46.25,48.75,"193,000",39.00
"Price list and trading summary for Wednesday, January 31, 2007",48.25,48.00,45.00,47.50,"61,100",38.00
"Price list and trading summary for Friday, February 02, 2007",49.25,50.00,45.25,48.00,"65,300",38.40
"Price list and trading summary for Friday, December 29, 2006",46.75,50.00,45.50,48.25,"130,700",38.60
"Price list and trading summary for Wednesday, February 07, 2007",47.75,49.00,43.00,45.00,"141,900",36.00
"Price list and trading summary for Tuesday, February 06, 2007",48.75,49.00,44.50,47.75,"68,100",38.20
"Price list and trading summary for Friday, December 22, 2006",42.75,44.00,42.00,43.25,"84,800",34.60
"Price list and trading summary for Friday, December 22, 2006",42.75,44.00,42.00,43.25,"84,800",34.60
"Price list and trading summary for Friday, February 09, 2007",45.50,47.00,45.00,45.25,"65,900",36.20
"Price list and trading summary for Tuesday, February 13, 2007",45.75,49.75,43.00,46.50,"298,300",37.20
"Price list and trading summary for Wednesday, February 14, 2007",46.50,49.75,45.00,47.00,"154,200",37.60
"Price list and trading summary for Monday, February 19, 2007",48.25,52.00,45.50,50.00,"286,500",40.00
"Price list and trading summary for Thursday, February 08, 2007",45.00,47.00,42.50,45.50,"105,200",36.40
"Price list and trading summary for Friday, February 16, 2007",48.00,52.00,45.25,48.25,"362,900",38.60
"Price list and trading summary for Thursday, February 22, 2007",47.00,47.00,45.00,46.50,"129,100",37.20
"Price list and trading summary for Wednesday, February 21, 2007",48.00,51.00,46.00,47.00,"147,800",37.60
"Price list and trading summary for Monday, February 26, 2007",44.75,47.00,42.00,44.00,"167,000",35.20
"Price list and trading summary for Friday, February 23, 2007",46.50,46.00,42.00,44.75,"146,700",35.80
"Price list and trading summary for Tuesday, February 27, 2007",44.00,45.00,40.00,43.25,"31,100",34.60
"Price list and trading summary for Thursday, March 01, 2007",42.00,41.00,36.00,37.50,"70,800",30.00
"Price list and trading summary for Wednesday, February 28, 2007",43.25,45.00,39.00,42.00,"64,500",33.60
"Price list and trading summary for Monday, March 05, 2007",35.25,38.00,34.00,36.00,"32,800",28.80
"Price list and trading summary for Friday, March 02, 2007",37.50,37.00,33.50,35.25,"34,700",28.20
"Price list and trading summary for Wednesday, March 07, 2007",36.75,40.00,37.00,38.75,"60,300",31.00
"Price list and trading summary for Friday, March 09, 2007",40.50,43.00,38.00,41.75,"61,000",33.40
"Price list and trading summary for Tuesday, March 06, 2007",36.00,38.75,35.00,36.75,"40,200",29.40
"Price list and trading summary for Monday, March 12, 2007",41.75,42.00,38.00,39.00,"194,700",31.20
"Price list and trading summary for Wednesday, March 14, 2007",39.50,40.75,38.00,40.00,"52,000",32.00
"Price list and trading summary for Tuesday, March 13, 2007",39.00,41.00,37.00,39.50,"135,100",31.60
"Price list and trading summary for Thursday, March 08, 2007",38.75,42.75,38.00,40.50,"48,800",32.40
"Price list and trading summary for Thursday, March 15, 2007",40.00,43.00,37.50,40.25,"110,300",32.20
"Price list and trading summary for Tuesday, March 20, 2007",39.00,40.00,36.00,37.50,"83,800",30.00
"Price list and trading summary for Monday, March 19, 2007",40.00,41.00,36.00,39.00,"80,300",31.20
"Price list and trading summary for Wednesday, March 21, 2007",37.50,38.00,35.00,35.50,"74,900",28.40
"Price list and trading summary for Thursday, March 22, 2007",35.50,36.00,32.50,34.50,"76,600",27.60
"Price list and trading summary for Friday, March 16, 2007",40.25,41.75,37.25,40.00,"112,200",32.00
"Price list and trading summary for Friday, March 23, 2007",34.50,36.00,30.00,33.50,"32,400",26.80
"Price list and trading summary for Tuesday, March 27, 2007",32.50,35.25,32.00,33.25,"64,100",26.60
"Price list and trading summary for Wednesday, March 28, 2007",33.25,36.00,34.00,35.25,"359,000",28.20
"Price list and trading summary for Friday, March 30, 2007",38.25,41.50,37.75,40.50,"67,100",32.40
"Price list and trading summary for Monday, April 02, 2007",40.50,44.00,39.25,41.25,"77,600",33.00
"Price list and trading summary for Wednesday, April 04, 2007",40.00,44.00,37.25,41.25,"43,400",33.00
"Price list and trading summary for Thursday, April 05, 2007",41.25,44.00,39.25,43.00,"25,700",34.40
"Price list and trading summary for Tuesday, February 20, 2007",50.00,50.00,45.00,48.00,"106,000",38.40
"Price list and trading summary for Monday, February 12, 2007",45.25,47.00,43.00,45.75,"76,500",36.60
"Price list and trading summary for Thursday, February 15, 2007",47.00,49.00,47.00,48.00,"129,400",38.40
"Price list and trading summary for Friday, January 19, 2007",49.75,50.00,46.00,49.50,"40,900",39.60
"Price list and trading summary for Thursday, April 12, 2007",42.25,46.00,42.00,44.25,"105,300",35.40
"Price list and trading summary for Tuesday, April 10, 2007",43.00,43.00,40.00,41.50,"71,900",33.20
"Price list and trading summary for Wednesday, April 11, 2007",41.50,43.75,42.00,42.25,"200,900",33.80
"Price list and trading summary for Friday, April 13, 2007",44.25,48.00,41.00,45.50,"107,000",36.40
"Price list and trading summary for Monday, April 16, 2007",45.50,49.75,42.25,44.75,"110,000",35.80
"Price list and trading summary for Wednesday, April 18, 2007",44.00,42.00,37.75,41.00,"61,300",32.80
"Price list and trading summary for Friday, April 20, 2007",39.50,40.00,36.00,38.50,"134,100",30.80
"Price list and trading summary for Thursday, April 19, 2007",41.00,41.00,38.25,39.50,"220,500",31.60
"Price list and trading summary for Monday, April 23, 2007",38.50,41.75,36.50,39.00,"108,100",31.20
"Price list and trading summary for Tuesday, April 24, 2007",39.00,43.00,37.50,40.75,"46,800",32.60
"Price list and trading summary for Wednesday, April 25, 2007",40.75,45.00,39.00,43.00,"84,200",34.40
"Price list and trading summary for Thursday, April 26, 2007",43.00,43.00,39.00,42.25,"59,200",33.80
"Price list and trading summary for Friday, April 27, 2007",42.25,42.00,38.00,40.50,"66,700",32.40
"Price list and trading summary for Monday, April 30, 2007",40.50,42.00,39.00,40.75,"76,100",32.60
"Price list and trading summary for Wednesday, May 02, 2007",40.75,42.00,38.25,40.50,"99,000",32.40
"Price list and trading summary for Thursday, May 03, 2007",40.50,44.00,39.00,42.25,"52,700",33.80
"Price list and trading summary for Friday, May 04, 2007",42.25,44.00,38.50,40.00,"106,300",32.00
"Price list and trading summary for Monday, May 07, 2007",40.00,41.00,39.25,39.75,"86,200",31.80
"Price list and trading summary for Tuesday, May 08, 2007",39.75,41.00,37.00,39.25,"137,400",31.40
"Price list and trading summary for Thursday, March 29, 2007",35.25,39.00,37.00,38.25,"23,200",30.60
"Price list and trading summary for Thursday, May 10, 2007",41.25,42.00,38.00,40.00,"87,600",32.00
"Price list and trading summary for Tuesday, April 03, 2007",41.25,43.50,38.00,40.00,"243,300",32.00
"Price list and trading summary for Thursday, April 05, 2007",41.25,44.00,39.25,43.00,"25,700",34.40
"Price list and trading summary for Monday, March 26, 2007",33.50,33.00,31.25,32.50,"29,400",26.00
"Price list and trading summary for Monday, May 14, 2007",39.75,41.50,38.75,40.00,"204,100",32.00
"Price list and trading summary for Tuesday, May 15, 2007",40.00,41.00,39.00,40.00,"151,400",32.00
"Price list and trading summary for Thursday, May 17, 2007",40.25,42.00,36.75,41.00,"149,500",32.80
"Price list and trading summary for Wednesday, May 16, 2007",40.00,41.00,39.00,40.25,"85,200",32.20
"Price list and trading summary for Friday, May 18, 2007",41.00,45.00,41.00,43.50,"75,100",34.80
"Price list and trading summary for Tuesday, May 22, 2007",42.25,43.50,41.50,42.75,"42,800",34.20
"Price list and trading summary for Monday, May 21, 2007",43.50,44.50,40.25,42.25,"251,000",33.80
"Price list and trading summary for Wednesday, May 23, 2007",42.75,43.50,40.50,42.00,"96,900",33.60
"Price list and trading summary for Thursday, May 24, 2007",42.00,44.00,40.00,42.75,"97,900",34.20
"Price list and trading summary for Monday, May 28, 2007",43.00,45.00,42.00,42.50,"272,900",34.00
"Price list and trading summary for Friday, May 25, 2007",42.75,45.00,42.00,43.00,"44,900",34.40
"Price list and trading summary for Tuesday, May 29, 2007",42.50,44.50,42.25,43.00,"81,700",34.40
"Price list and trading summary for Wednesday, May 30, 2007",43.00,46.00,43.00,43.50,"23,800",34.80
"Price list and trading summary for Thursday, May 31, 2007",43.50,44.50,43.00,43.75,"41,400",35.00
"Price list and trading summary for Thursday, April 05, 2007",41.25,44.00,39.25,43.00,"25,700",34.40
"Price list and trading summary for Monday, June 04, 2007",43.75,45.00,40.00,42.25,"143,800",33.80
"Price list and trading summary for Wednesday, June 06, 2007",44.25,46.00,40.50,43.50,"102,900",34.80
