"Price list and trading summary for Wednesday, April 02, 2014",16.40,16.70,16.40,16.60,"28,600",0
"Price list and trading summary for Tuesday, January 03, 2012",3.90,7.00,6.50,6.55,"2,800",0
"Price list and trading summary for Monday, January 09, 2012",7.30,7.30,7.20,7.20,"26,400",0
"Price list and trading summary for Wednesday, January 11, 2012",7.35,7.40,7.30,7.35,"6,000",0
"Price list and trading summary for Wednesday, January 04, 2012",6.55,7.20,6.50,7.00,"2,900",0
"Price list and trading summary for Tuesday, January 17, 2012",7.35,7.45,7.45,7.45,"2,400",0
"Price list and trading summary for Thursday, January 12, 2012",7.35,7.40,7.35,7.35,"16,800",0
"Price list and trading summary for Friday, January 06, 2012",7.10,7.40,7.20,7.30,900,0
"Price list and trading summary for Thursday, January 05, 2012",7.00,7.40,7.00,7.10,"6,000",0
"Price list and trading summary for Monday, January 16, 2012",7.35,7.40,7.35,7.35,"5,200",0
"Price list and trading summary for Monday, January 23, 2012",7.45,7.50,7.30,7.45,700,0
"Price list and trading summary for Wednesday, January 25, 2012",7.55,7.60,7.60,7.60,"1,400",0
"Price list and trading summary for Wednesday, January 18, 2012",7.45,7.50,7.30,7.40,"20,300",0
"Price list and trading summary for Tuesday, January 10, 2012",7.20,7.70,7.25,7.35,"4,400",0
"Price list and trading summary for Monday, January 30, 2012",7.85,7.85,7.65,7.70,"104,800",0
"Price list and trading summary for Friday, January 13, 2012",7.35,7.40,7.35,7.35,"4,200",0
"Price list and trading summary for Tuesday, January 31, 2012",7.70,7.70,7.70,7.70,"5,800",0
"Price list and trading summary for Wednesday, February 01, 2012",7.70,7.70,7.70,7.70,0,0
"Price list and trading summary for Monday, February 06, 2012",7.70,7.85,7.70,7.70,"7,900",0
"Price list and trading summary for Thursday, January 19, 2012",7.40,7.50,7.50,7.50,"10,000",0
"Price list and trading summary for Friday, January 20, 2012",7.50,7.50,7.30,7.45,"7,000",0
"Price list and trading summary for Tuesday, January 24, 2012",7.45,7.70,7.45,7.55,"4,400",0
"Price list and trading summary for Friday, January 27, 2012",7.60,7.90,7.60,7.85,"4,000",0
"Price list and trading summary for Thursday, February 02, 2012",7.70,7.70,7.70,7.70,"6,000",0
"Price list and trading summary for Thursday, February 09, 2012",7.65,7.70,7.65,7.65,"7,300",0
"Price list and trading summary for Tuesday, February 07, 2012",7.70,7.70,7.60,7.65,"6,100",0
"Price list and trading summary for Wednesday, February 08, 2012",7.65,7.70,7.60,7.65,"10,700",0
"Price list and trading summary for Friday, February 10, 2012",7.65,7.60,7.60,7.60,"1,000",0
"Price list and trading summary for Thursday, January 26, 2012",7.60,7.70,7.60,7.60,"3,200",0
"Price list and trading summary for Tuesday, February 14, 2012",7.50,7.00,6.75,6.95,900,0
"Price list and trading summary for Monday, February 13, 2012",7.60,7.70,7.50,7.50,"1,100",0
"Price list and trading summary for Thursday, February 23, 2012",6.35,6.50,6.35,6.45,"3,600",0
"Price list and trading summary for Friday, February 24, 2012",6.45,6.40,6.30,6.30,"23,100",0
"Price list and trading summary for Thursday, February 16, 2012",7.00,7.00,7.00,7.00,"38,000",0
"Price list and trading summary for Friday, February 03, 2012",7.70,7.70,7.70,7.70,"1,000",0
"Price list and trading summary for Wednesday, February 29, 2012",6.35,7.50,6.35,7.10,"3,600",0
"Price list and trading summary for Thursday, March 01, 2012",7.10,7.55,7.50,7.50,"156,100",0
"Price list and trading summary for Wednesday, February 15, 2012",6.95,7.00,7.00,7.00,"2,000",0
"Price list and trading summary for Monday, March 05, 2012",7.05,7.40,7.30,7.35,"8,700",0
"Price list and trading summary for Friday, February 17, 2012",7.00,7.55,7.00,7.00,"33,600",0
"Price list and trading summary for Monday, February 20, 2012",7.00,6.35,6.35,6.35,900,0
"Price list and trading summary for Thursday, March 08, 2012",7.35,7.50,7.20,7.25,"18,500",0
"Price list and trading summary for Tuesday, February 28, 2012",6.35,6.35,6.35,6.35,"5,800",0
"Price list and trading summary for Monday, March 12, 2012",7.25,7.25,7.25,7.25,0,0
"Price list and trading summary for Monday, February 27, 2012",6.30,6.40,6.35,6.35,"2,400",0
"Price list and trading summary for Wednesday, March 14, 2012",7.55,7.90,7.90,7.90,100,0
"Price list and trading summary for Thursday, March 15, 2012",7.90,8.10,7.35,8.00,"11,100",0
"Price list and trading summary for Tuesday, February 21, 2012",6.35,6.50,6.35,6.35,"2,400",0
"Price list and trading summary for Tuesday, March 06, 2012",7.35,7.40,7.20,7.30,"5,100",0
