"Price list and trading summary for Wednesday, April 02, 2014",20.00,20.25,19.90,20.00,"780,100",17.14
"Price list and trading summary for Thursday, November 13, 2008","3,681.47",9.50,9.50,9.50,0,6.79
"Price list and trading summary for Monday, December 29, 2008",10.10,11.10,9.10,10.15,"392,200",7.25
"Price list and trading summary for Wednesday, December 31, 2008",10.40,11.40,9.40,10.60,1.85,7.57
"Price list and trading summary for Friday, January 02, 2009",10.60,10.50,9.55,10.00,"456,800",7.14
"Price list and trading summary for Tuesday, December 23, 2008",10.45,11.25,9.45,10.50,1.13,7.50
"Price list and trading summary for Monday, December 22, 2008",9.50,13.50,9.50,10.45,"869,500",7.46
"Price list and trading summary for Wednesday, December 24, 2008",10.50,11.45,9.50,10.10,1.00,7.21
"Price list and trading summary for Wednesday, December 24, 2008",10.50,11.45,9.50,10.10,1.00,7.21
"Price list and trading summary for Wednesday, December 24, 2008",10.50,11.45,9.50,10.10,1.00,7.21
"Price list and trading summary for Wednesday, January 07, 2009",9.85,10.25,9.00,9.85,"573,800",7.04
"Price list and trading summary for Monday, January 05, 2009",10.00,10.50,9.55,10.00,"434,400",7.14
"Price list and trading summary for Wednesday, December 31, 2008",10.40,11.40,9.40,10.60,1.85,7.57
"Price list and trading summary for Tuesday, December 30, 2008",10.15,11.10,9.20,10.40,"655,400",7.43
"Price list and trading summary for Tuesday, January 06, 2009",10.00,10.00,9.50,9.85,"387,000",7.04
"Price list and trading summary for Thursday, January 08, 2009",9.85,10.00,8.90,9.55,"366,300",6.82
"Price list and trading summary for Friday, January 09, 2009",9.55,10.05,8.60,9.50,1.02,6.79
"Price list and trading summary for Wednesday, January 21, 2009",9.10,9.50,8.60,9.05,"215,900",6.46
"Price list and trading summary for Monday, January 12, 2009",9.50,10.05,8.95,9.55,"663,400",6.82
"Price list and trading summary for Thursday, January 15, 2009",9.50,9.65,9.15,9.45,"534,800",6.75
"Price list and trading summary for Wednesday, January 14, 2009",9.55,9.60,9.00,9.50,"420,300",6.79
"Price list and trading summary for Tuesday, January 13, 2009",9.55,10.00,8.60,9.55,"669,400",6.82
"Price list and trading summary for Friday, January 16, 2009",9.45,9.65,8.90,9.30,"425,100",6.64
"Price list and trading summary for Thursday, January 22, 2009",9.05,9.40,8.40,8.85,"130,300",6.32
"Price list and trading summary for Friday, January 30, 2009",8.50,8.95,7.95,8.55,"348,800",6.11
"Price list and trading summary for Tuesday, January 20, 2009",9.05,9.50,8.60,9.10,"359,700",6.50
"Price list and trading summary for Monday, January 19, 2009",9.30,9.30,8.80,9.05,"101,900",6.46
"Price list and trading summary for Wednesday, February 04, 2009",8.60,8.90,7.75,8.25,"172,300",5.89
"Price list and trading summary for Monday, January 26, 2009",8.75,9.00,7.95,8.50,"571,800",6.07
"Price list and trading summary for Wednesday, January 28, 2009",8.95,9.00,8.10,8.70,"371,200",6.21
"Price list and trading summary for Friday, January 23, 2009",8.85,9.40,8.10,8.75,"265,000",6.25
"Price list and trading summary for Monday, February 02, 2009",8.55,8.70,7.95,8.45,"269,700",6.04
"Price list and trading summary for Tuesday, January 27, 2009",8.50,9.35,8.00,8.95,"184,700",6.39
"Price list and trading summary for Thursday, February 12, 2009",8.05,8.50,7.50,8.05,"398,500",5.75
"Price list and trading summary for Thursday, January 29, 2009",8.70,8.90,7.95,8.50,"242,700",6.07
"Price list and trading summary for Tuesday, February 10, 2009",8.25,8.55,7.50,8.00,"366,200",5.71
"Price list and trading summary for Tuesday, February 17, 2009",8.00,8.35,7.40,8.00,"591,500",5.71
"Price list and trading summary for Tuesday, February 03, 2009",8.45,9.25,7.65,8.60,"194,400",6.14
"Price list and trading summary for Monday, February 16, 2009",8.10,8.35,7.50,8.00,"691,900",5.71
"Price list and trading summary for Friday, February 20, 2009",7.80,8.00,7.10,7.55,"200,700",5.39
"Price list and trading summary for Thursday, February 05, 2009",8.25,9.05,7.50,8.45,"289,400",6.04
"Price list and trading summary for Monday, February 09, 2009",8.35,8.80,7.65,8.25,"363,600",5.89
"Price list and trading summary for Tuesday, February 24, 2009",7.40,8.00,6.70,7.50,"168,400",5.36
"Price list and trading summary for Wednesday, February 25, 2009",7.50,7.80,6.75,7.15,"447,500",5.11
"Price list and trading summary for Thursday, February 26, 2009",7.15,7.80,6.50,7.20,"335,000",5.14
"Price list and trading summary for Friday, February 27, 2009",7.20,7.90,6.55,7.40,"306,400",5.29
"Price list and trading summary for Monday, March 02, 2009",7.40,8.10,6.70,7.15,"334,200",5.11
"Price list and trading summary for Tuesday, March 03, 2009",7.15,7.70,6.45,7.05,"516,900",5.04
"Price list and trading summary for Friday, February 06, 2009",8.45,9.25,7.65,8.35,"217,000",5.96
"Price list and trading summary for Wednesday, February 11, 2009",8.00,8.50,7.50,8.05,"427,700",5.75
"Price list and trading summary for Wednesday, March 04, 2009",7.05,7.75,6.35,7.00,"388,200",5.00
"Price list and trading summary for Friday, February 13, 2009",8.05,8.50,7.55,8.10,"263,200",5.79
"Price list and trading summary for Friday, March 06, 2009",7.10,8.15,6.90,7.25,"477,500",5.18
"Price list and trading summary for Monday, March 09, 2009",7.25,7.85,6.60,7.10,"238,800",5.07
"Price list and trading summary for Thursday, February 19, 2009",7.95,8.30,7.20,7.80,"571,400",5.57
"Price list and trading summary for Monday, February 23, 2009",7.55,8.00,7.00,7.40,"228,300",5.29
"Price list and trading summary for Tuesday, March 17, 2009",6.60,7.00,6.50,6.75,"360,900",4.82
"Price list and trading summary for Wednesday, March 18, 2009",6.75,6.80,6.60,6.70,"234,800",4.79
"Price list and trading summary for Tuesday, March 10, 2009",7.10,7.50,6.55,6.95,"448,900",4.96
"Price list and trading summary for Thursday, March 05, 2009",7.00,7.75,6.50,7.10,"308,300",5.07
"Price list and trading summary for Wednesday, March 11, 2009",6.95,7.45,6.55,6.90,"267,600",4.93
"Price list and trading summary for Wednesday, March 25, 2009",6.35,6.50,5.75,6.10,"226,200",4.36
"Price list and trading summary for Thursday, March 26, 2009",6.10,6.50,5.50,6.05,"840,300",4.32
"Price list and trading summary for Tuesday, March 24, 2009",6.40,6.50,6.00,6.35,"232,900",4.54
"Price list and trading summary for Thursday, March 12, 2009",6.90,7.45,6.45,6.70,"601,000",4.79
"Price list and trading summary for Monday, March 16, 2009",6.80,7.20,6.35,6.60,"540,700",4.71
"Price list and trading summary for Friday, March 13, 2009",6.70,7.35,6.40,6.80,"353,200",4.86
"Price list and trading summary for Monday, March 23, 2009",6.50,6.90,6.35,6.40,"278,400",4.57
"Price list and trading summary for Friday, March 27, 2009",6.05,6.70,5.90,6.10,"662,400",4.36
"Price list and trading summary for Wednesday, February 18, 2009",8.00,8.40,7.45,7.95,"372,100",5.68
"Price list and trading summary for Thursday, March 19, 2009",6.70,6.75,6.50,6.60,"219,500",4.71
"Price list and trading summary for Tuesday, March 31, 2009",6.15,6.70,6.05,6.30,"530,900",4.50
"Price list and trading summary for Friday, March 20, 2009",6.60,6.65,6.35,6.50,"338,400",4.64
