"Price list and trading summary for Wednesday, April 02, 2014",225.00,225.00,225.00,225.00,600,0
"Price list and trading summary for Monday, September 11, 2006",-,71.00,68.00,69.50,"22,000",57.92
"Price list and trading summary for Tuesday, September 12, 2006",69.50,73.00,65.00,71.50,"161,800",59.58
"Price list and trading summary for Wednesday, September 13, 2006",71.50,76.50,70.50,71.50,"35,300",59.58
"Price list and trading summary for Friday, September 22, 2006",77.50,83.50,74.00,77.50,"88,400",64.58
"Price list and trading summary for Tuesday, September 26, 2006",72.50,82.50,73.00,74.00,"160,700",61.67
"Price list and trading summary for Wednesday, September 27, 2006",74.00,75.00,73.00,73.50,"75,700",61.25
"Price list and trading summary for Wednesday, September 20, 2006",80.50,85.00,78.00,78.50,"135,100",65.42
"Price list and trading summary for Tuesday, September 19, 2006",80.00,85.00,79.00,80.50,"256,900",67.08
"Price list and trading summary for Thursday, September 28, 2006",73.50,79.50,75.00,77.00,"89,300",64.17
"Price list and trading summary for Monday, September 18, 2006",76.50,81.00,80.00,80.00,"20,600",66.67
"Price list and trading summary for Friday, September 15, 2006",75.50,80.00,75.00,76.50,"65,200",63.75
"Price list and trading summary for Thursday, September 14, 2006",71.50,78.00,75.00,75.50,"38,000",62.92
"Price list and trading summary for Thursday, September 21, 2006",78.50,80.00,72.00,77.50,"194,200",64.58
"Price list and trading summary for Tuesday, October 03, 2006",80.50,85.00,77.00,83.50,"65,600",69.58
"Price list and trading summary for Monday, October 02, 2006",78.50,85.00,75.00,80.50,"187,800",67.08
"Price list and trading summary for Friday, September 29, 2006",77.00,83.00,75.00,78.50,"368,100",65.42
"Price list and trading summary for Thursday, October 05, 2006",85.50,85.00,80.00,82.50,"119,900",68.75
"Price list and trading summary for Monday, October 09, 2006",78.00,83.00,75.00,78.00,"108,800",65.00
"Price list and trading summary for Thursday, October 12, 2006",77.50,81.00,69.00,75.50,"289,800",62.92
"Price list and trading summary for Friday, October 13, 2006",75.50,78.50,71.00,72.50,"189,000",60.42
"Price list and trading summary for Wednesday, October 04, 2006",83.50,94.50,78.00,85.50,"414,800",71.25
"Price list and trading summary for Tuesday, October 17, 2006",71.50,78.00,68.00,70.50,"70,400",58.75
"Price list and trading summary for Wednesday, October 18, 2006",70.50,75.00,69.00,71.00,"124,600",59.17
"Price list and trading summary for Thursday, October 19, 2006",71.00,76.00,67.00,72.00,"105,400",60.00
"Price list and trading summary for Monday, October 23, 2006",72.00,75.00,70.00,71.50,"106,700",59.58
"Price list and trading summary for Monday, September 25, 2006",77.50,75.00,70.50,72.50,"86,700",60.42
"Price list and trading summary for Wednesday, October 25, 2006",71.50,74.00,71.00,72.50,"23,100",60.42
"Price list and trading summary for Monday, October 16, 2006",72.50,75.00,67.50,71.50,"97,200",59.58
"Price list and trading summary for Thursday, October 26, 2006",72.50,74.00,71.50,72.00,"27,300",60.00
"Price list and trading summary for Friday, October 27, 2006",72.00,74.00,72.00,72.50,"58,700",60.42
"Price list and trading summary for Tuesday, October 31, 2006",72.50,75.00,72.00,73.00,"55,700",60.83
"Price list and trading summary for Wednesday, November 01, 2006",73.00,76.00,70.00,74.50,"71,800",62.08
"Price list and trading summary for Thursday, November 02, 2006",74.50,83.00,73.00,79.00,"49,500",65.83
"Price list and trading summary for Friday, November 03, 2006",79.00,87.00,78.00,85.00,"90,500",70.83
"Price list and trading summary for Monday, November 06, 2006",85.00,87.00,79.50,82.00,"61,700",68.33
"Price list and trading summary for Tuesday, November 07, 2006",82.00,88.00,78.00,81.00,"77,900",67.50
"Price list and trading summary for Wednesday, November 08, 2006",81.00,83.00,72.50,78.50,"77,300",65.42
"Price list and trading summary for Thursday, November 09, 2006",78.50,80.50,73.00,75.50,"107,900",62.92
"Price list and trading summary for Monday, November 13, 2006",74.00,76.00,72.00,73.50,"78,600",61.25
"Price list and trading summary for Tuesday, November 14, 2006",73.50,80.00,71.00,75.00,"64,800",62.50
"Price list and trading summary for Wednesday, November 15, 2006",75.00,76.00,75.00,75.00,"21,300",62.50
"Price list and trading summary for Friday, October 06, 2006",82.50,89.50,75.00,78.00,"320,600",65.00
"Price list and trading summary for Thursday, November 16, 2006",75.00,80.00,76.00,76.00,"19,300",63.33
