"Price list and trading summary for Wednesday, April 02, 2014",267.00,268.00,267.00,267.00,"52,700",0
"Price list and trading summary for Monday, September 11, 2006",-,144.00,135.00,140.00,"30,500",116.67
"Price list and trading summary for Tuesday, September 12, 2006",140.00,143.00,140.00,140.00,"123,900",116.67
"Price list and trading summary for Wednesday, September 13, 2006",140.00,144.00,140.00,141.00,"190,000",117.50
"Price list and trading summary for Friday, September 22, 2006",141.00,146.00,143.00,143.00,"206,800",119.17
"Price list and trading summary for Tuesday, September 26, 2006",142.00,150.00,140.00,144.00,"121,800",120.00
"Price list and trading summary for Wednesday, September 27, 2006",144.00,149.00,144.00,146.00,"284,400",121.67
"Price list and trading summary for Wednesday, September 20, 2006",141.00,145.00,140.00,141.00,"188,000",117.50
"Price list and trading summary for Tuesday, September 19, 2006",141.00,142.00,141.00,141.00,"70,300",117.50
"Price list and trading summary for Thursday, September 28, 2006",146.00,150.00,143.00,147.00,"38,800",122.50
"Price list and trading summary for Monday, September 18, 2006",141.00,145.00,140.00,141.00,"155,100",117.50
"Price list and trading summary for Friday, September 15, 2006",141.00,142.00,140.00,141.00,"226,100",117.50
"Price list and trading summary for Thursday, September 14, 2006",141.00,143.00,140.00,141.00,"108,500",117.50
"Price list and trading summary for Thursday, September 21, 2006",141.00,145.00,141.00,141.00,"273,300",117.50
"Price list and trading summary for Tuesday, October 03, 2006",148.00,150.00,144.00,149.00,1.11,124.17
"Price list and trading summary for Monday, October 02, 2006",145.00,150.00,142.00,148.00,"303,100",123.33
"Price list and trading summary for Friday, September 29, 2006",147.00,149.00,142.00,145.00,"37,000",120.83
"Price list and trading summary for Thursday, October 05, 2006",149.00,154.00,150.00,152.00,"259,700",126.67
"Price list and trading summary for Monday, October 09, 2006",153.00,159.00,150.00,154.00,"280,800",128.33
"Price list and trading summary for Thursday, October 12, 2006",156.00,159.00,156.00,158.00,"325,400",131.67
"Price list and trading summary for Friday, October 13, 2006",158.00,159.00,158.00,158.00,1.15,131.67
"Price list and trading summary for Wednesday, October 04, 2006",149.00,154.00,145.00,149.00,"113,100",124.17
"Price list and trading summary for Tuesday, October 17, 2006",154.00,154.00,150.00,152.00,"279,800",126.67
"Price list and trading summary for Wednesday, October 18, 2006",152.00,151.00,140.00,149.00,"321,000",124.17
"Price list and trading summary for Thursday, October 19, 2006",149.00,148.00,143.00,145.00,"197,300",120.83
"Price list and trading summary for Monday, October 23, 2006",145.00,145.00,142.00,144.00,"16,300",120.00
"Price list and trading summary for Monday, September 25, 2006",143.00,145.00,142.00,142.00,"70,200",118.33
"Price list and trading summary for Wednesday, October 25, 2006",144.00,144.00,135.00,142.00,"76,100",118.33
"Price list and trading summary for Monday, October 16, 2006",158.00,157.00,153.00,154.00,"266,300",128.33
"Price list and trading summary for Thursday, October 26, 2006",142.00,150.00,144.00,145.00,"48,700",120.83
"Price list and trading summary for Friday, October 27, 2006",145.00,150.00,145.00,147.00,"464,500",122.50
"Price list and trading summary for Tuesday, October 31, 2006",145.00,146.00,140.00,141.00,"433,800",117.50
"Price list and trading summary for Wednesday, November 01, 2006",141.00,148.00,140.00,143.00,"237,900",119.17
"Price list and trading summary for Thursday, November 02, 2006",143.00,148.00,140.00,143.00,"66,100",119.17
"Price list and trading summary for Friday, November 03, 2006",143.00,146.00,143.00,143.00,"66,400",119.17
"Price list and trading summary for Monday, November 06, 2006",143.00,144.00,135.00,143.00,"197,400",119.17
"Price list and trading summary for Tuesday, November 07, 2006",143.00,144.00,142.00,143.00,"34,100",119.17
"Price list and trading summary for Wednesday, November 08, 2006",143.00,148.00,142.00,143.00,"114,000",119.17
"Price list and trading summary for Thursday, November 09, 2006",143.00,145.00,142.00,144.00,"109,500",120.00
"Price list and trading summary for Monday, November 13, 2006",145.00,148.00,145.00,145.00,"59,300",120.83
"Price list and trading summary for Tuesday, November 14, 2006",145.00,146.00,131.00,144.00,"35,200",120.00
"Price list and trading summary for Wednesday, November 15, 2006",144.00,147.00,144.00,145.00,"16,700",120.83
"Price list and trading summary for Friday, October 06, 2006",152.00,157.00,150.00,153.00,"288,200",127.50
"Price list and trading summary for Thursday, November 16, 2006",145.00,147.00,142.00,145.00,"480,300",120.83
"Price list and trading summary for Friday, November 17, 2006",145.00,147.00,140.00,145.00,"98,900",120.83
"Price list and trading summary for Monday, November 20, 2006",145.00,147.00,139.00,144.00,"28,200",120.00
"Price list and trading summary for Monday, October 09, 2006",153.00,159.00,150.00,154.00,"280,800",128.33
"Price list and trading summary for Tuesday, November 21, 2006",144.00,146.00,142.00,145.00,"137,800",120.83
"Price list and trading summary for Wednesday, November 22, 2006",145.00,147.00,145.00,145.00,"495,200",120.83
"Price list and trading summary for Thursday, November 23, 2006",145.00,145.00,142.00,144.00,"51,000",120.00
"Price list and trading summary for Friday, November 24, 2006",144.00,145.00,140.00,142.00,"127,300",118.33
"Price list and trading summary for Monday, November 27, 2006",142.00,145.00,140.00,141.00,"111,800",117.50
"Price list and trading summary for Tuesday, November 28, 2006",141.00,145.00,140.00,142.00,"41,800",118.33
"Price list and trading summary for Wednesday, November 29, 2006",142.00,143.00,135.00,140.00,"51,800",116.67
"Price list and trading summary for Friday, December 01, 2006",139.00,141.00,138.00,140.00,"22,800",116.67
"Price list and trading summary for Thursday, November 30, 2006",140.00,142.00,139.00,139.00,"220,400",115.83
"Price list and trading summary for Monday, December 04, 2006",140.00,141.00,135.00,139.00,"53,600",115.83
"Price list and trading summary for Tuesday, December 05, 2006",139.00,136.00,128.00,134.00,"65,900",111.67
"Price list and trading summary for Wednesday, December 06, 2006",134.00,140.00,135.00,135.00,"13,600",112.50
"Price list and trading summary for Thursday, December 07, 2006",135.00,140.00,135.00,137.00,"70,400",114.17
"Price list and trading summary for Friday, December 08, 2006",137.00,143.00,133.00,139.00,"51,300",115.83
"Price list and trading summary for Monday, December 11, 2006",139.00,143.00,138.00,141.00,"29,900",117.50
"Price list and trading summary for Wednesday, December 13, 2006",141.00,142.00,138.00,139.00,"487,000",115.83
"Price list and trading summary for Thursday, December 14, 2006",139.00,142.00,140.00,140.00,"76,400",116.67
"Price list and trading summary for Monday, December 18, 2006",140.00,140.00,139.00,139.00,"13,900",115.83
"Price list and trading summary for Tuesday, December 19, 2006",139.00,143.00,139.00,140.00,"8,500",116.67
"Price list and trading summary for Wednesday, December 20, 2006",140.00,140.00,138.00,139.00,"133,300",115.83
"Price list and trading summary for Thursday, December 21, 2006",139.00,140.00,138.00,138.00,"206,500",115.00
"Price list and trading summary for Friday, December 22, 2006",138.00,140.00,138.00,139.00,"50,300",115.83
"Price list and trading summary for Wednesday, October 11, 2006",154.00,159.00,153.00,156.00,"193,800",130.00
"Price list and trading summary for Monday, October 30, 2006",147.00,148.00,140.00,145.00,"90,200",120.83
"Price list and trading summary for Wednesday, December 27, 2006",139.00,139.00,130.00,135.00,"29,800",112.50
