"Price list and trading summary for Wednesday, April 02, 2014",29.00,29.00,29.00,29.00,0,0
"Price list and trading summary for Wednesday, September 13, 2006",140.00,17.60,17.60,17.60,200,8.80
"Price list and trading summary for Friday, September 22, 2006",17.00,17.00,17.00,17.00,"8,100",8.50
"Price list and trading summary for Tuesday, September 26, 2006",17.00,17.00,17.00,17.00,"1,100",8.50
"Price list and trading summary for Wednesday, September 20, 2006",17.15,18.00,17.00,17.45,"4,300",8.73
"Price list and trading summary for Thursday, September 28, 2006",17.00,17.00,17.00,17.00,"10,000",8.50
"Price list and trading summary for Monday, September 18, 2006",17.60,18.00,17.00,17.15,600,8.57
"Price list and trading summary for Thursday, September 21, 2006",17.45,17.00,17.00,17.00,100,8.50
"Price list and trading summary for Tuesday, October 03, 2006",17.00,17.00,17.00,17.00,"2,700",8.50
"Price list and trading summary for Monday, October 02, 2006",17.00,17.00,17.00,17.00,"1,300",8.50
"Price list and trading summary for Friday, September 29, 2006",17.00,17.00,17.00,17.00,"1,500",8.50
"Price list and trading summary for Monday, October 09, 2006",17.00,17.00,17.00,17.00,700,8.50
"Price list and trading summary for Wednesday, October 04, 2006",17.00,17.00,17.00,17.00,"10,000",8.50
"Price list and trading summary for Monday, October 23, 2006",17.00,18.50,18.50,18.50,100,9.25
"Price list and trading summary for Monday, September 25, 2006",17.00,17.00,17.00,17.00,"7,900",8.50
"Price list and trading summary for Wednesday, October 25, 2006",18.50,19.50,19.00,19.10,400,9.55
"Price list and trading summary for Thursday, October 26, 2006",19.10,19.50,18.50,18.95,"2,000",9.48
"Price list and trading summary for Friday, October 27, 2006",18.95,18.95,18.95,18.95,"2,500",9.48
"Price list and trading summary for Tuesday, October 31, 2006",18.95,19.50,18.00,18.00,"605,800",9.00
"Price list and trading summary for Tuesday, November 07, 2006",18.00,19.80,19.80,19.80,"1,000",9.90
"Price list and trading summary for Wednesday, November 08, 2006",19.80,21.00,21.00,21.00,300,10.50
"Price list and trading summary for Thursday, November 09, 2006",21.00,23.00,23.00,23.00,100,11.50
"Price list and trading summary for Monday, November 13, 2006",25.00,27.50,26.00,26.75,"98,500",13.38
"Price list and trading summary for Tuesday, November 14, 2006",26.75,29.00,29.00,29.00,"1,000",14.50
"Price list and trading summary for Wednesday, November 15, 2006",29.00,31.75,30.00,31.00,"172,900",15.50
"Price list and trading summary for Friday, October 06, 2006",17.00,17.00,17.00,17.00,"1,000",8.50
"Price list and trading summary for Thursday, November 16, 2006",31.00,34.00,30.00,30.25,"36,800",15.13
"Price list and trading summary for Friday, November 17, 2006",30.25,33.25,33.25,33.25,"2,400",16.63
"Price list and trading summary for Monday, November 20, 2006",33.25,34.00,33.00,33.25,"12,100",16.63
"Price list and trading summary for Monday, October 09, 2006",17.00,17.00,17.00,17.00,700,8.50
"Price list and trading summary for Tuesday, November 21, 2006",33.25,34.75,33.00,34.00,"8,500",17.00
"Price list and trading summary for Wednesday, November 22, 2006",34.00,34.00,34.00,34.00,600,17.00
"Price list and trading summary for Tuesday, November 28, 2006",34.00,37.00,34.00,36.00,"2,200",18.00
"Price list and trading summary for Friday, December 01, 2006",37.00,37.00,37.00,37.00,"1,100",18.50
"Price list and trading summary for Thursday, November 30, 2006",36.00,37.00,37.00,37.00,"21,000",18.50
"Price list and trading summary for Monday, December 04, 2006",37.00,37.00,36.50,36.50,"194,800",18.25
"Price list and trading summary for Wednesday, December 06, 2006",36.50,40.00,37.00,38.75,"2,400",19.38
"Price list and trading summary for Thursday, December 07, 2006",38.75,39.25,37.00,38.50,"1,300",19.25
"Price list and trading summary for Friday, December 08, 2006",38.50,40.00,40.00,40.00,"2,000",20.00
"Price list and trading summary for Wednesday, December 13, 2006",40.00,40.00,40.00,40.00,"10,000",20.00
"Price list and trading summary for Thursday, December 14, 2006",40.00,44.00,44.00,44.00,400,22.00
"Price list and trading summary for Monday, December 18, 2006",46.25,47.00,47.00,47.00,"3,100",23.50
"Price list and trading summary for Tuesday, December 19, 2006",47.00,49.00,45.00,48.50,"214,300",24.25
"Price list and trading summary for Wednesday, December 20, 2006",48.50,47.00,45.00,45.50,"1,400",22.75
"Price list and trading summary for Thursday, December 21, 2006",45.50,47.00,43.00,44.75,"2,500",22.38
"Price list and trading summary for Wednesday, December 27, 2006",44.75,47.25,47.25,47.25,"1,300",23.63
"Price list and trading summary for Monday, October 23, 2006",17.00,18.50,18.50,18.50,100,9.25
"Price list and trading summary for Thursday, December 28, 2006",47.25,51.50,50.00,51.00,"110,500",25.50
"Price list and trading summary for Friday, December 29, 2006",51.00,52.00,52.00,52.00,"5,000",26.00
"Price list and trading summary for Tuesday, January 02, 2007",52.00,52.00,52.00,52.00,300,26.00
"Price list and trading summary for Wednesday, January 03, 2007",52.00,52.00,52.00,52.00,"1,000",26.00
"Price list and trading summary for Thursday, January 04, 2007",52.00,52.00,52.00,52.00,"14,100",26.00
"Price list and trading summary for Friday, January 05, 2007",52.00,52.00,52.00,52.00,"1,900",26.00
"Price list and trading summary for Tuesday, January 09, 2007",52.00,53.00,53.00,53.00,200,26.50
"Price list and trading summary for Thursday, January 11, 2007",53.00,53.00,53.00,53.00,100,26.50
"Price list and trading summary for Friday, January 12, 2007",53.00,57.00,55.00,56.00,"17,300",28.00
"Price list and trading summary for Tuesday, January 16, 2007",56.00,58.00,57.00,57.00,600,28.50
"Price list and trading summary for Wednesday, January 17, 2007",57.00,60.00,60.00,60.00,"5,000",30.00
"Price list and trading summary for Monday, January 22, 2007",60.50,62.00,62.00,62.00,200,31.00
"Price list and trading summary for Tuesday, January 23, 2007",62.00,66.00,66.00,66.00,300,33.00
"Price list and trading summary for Friday, January 26, 2007",66.00,66.00,66.00,66.00,100,33.00
"Price list and trading summary for Monday, January 29, 2007",66.00,66.00,66.00,66.00,"1,000",33.00
"Price list and trading summary for Friday, December 15, 2006",44.00,48.00,42.00,46.25,"1,900",23.13
"Price list and trading summary for Friday, November 10, 2006",23.00,25.00,25.00,25.00,100,12.50
"Price list and trading summary for Thursday, February 01, 2007",66.00,66.00,66.00,66.00,200,33.00
"Price list and trading summary for Wednesday, January 31, 2007",66.00,66.00,66.00,66.00,100,33.00
"Price list and trading summary for Friday, December 29, 2006",51.00,52.00,52.00,52.00,"5,000",26.00
"Price list and trading summary for Friday, February 09, 2007",66.00,66.00,66.00,66.00,"1,000",33.00
"Price list and trading summary for Friday, February 23, 2007",66.00,67.00,67.00,67.00,100,33.50
"Price list and trading summary for Friday, January 19, 2007",60.00,61.00,60.00,60.50,"3,700",30.25
"Price list and trading summary for Monday, April 23, 2007",67.00,60.50,60.50,60.50,500,30.25
"Price list and trading summary for Wednesday, April 25, 2007",60.50,54.50,54.50,54.50,100,27.25
"Price list and trading summary for Thursday, April 26, 2007",54.50,52.00,52.00,52.00,200,26.00
"Price list and trading summary for Friday, April 27, 2007",52.00,47.00,47.00,47.00,"1,900",23.50
"Price list and trading summary for Monday, April 30, 2007",47.00,43.00,43.00,43.00,"5,300",21.50
"Price list and trading summary for Wednesday, May 02, 2007",43.00,52.00,40.00,46.00,"2,400",23.00
"Price list and trading summary for Thursday, May 03, 2007",46.00,50.00,50.00,50.00,500,25.00
"Price list and trading summary for Friday, May 04, 2007",50.00,50.00,50.00,50.00,500,25.00
"Price list and trading summary for Tuesday, May 15, 2007",50.00,50.00,50.00,50.00,"20,000",25.00
"Price list and trading summary for Tuesday, May 22, 2007",50.00,50.00,50.00,50.00,"2,500",25.00
"Price list and trading summary for Thursday, May 24, 2007",50.00,50.00,50.00,50.00,"2,200",25.00
"Price list and trading summary for Tuesday, May 29, 2007",50.00,50.00,50.00,50.00,100,25.00
