"Price list and trading summary for Wednesday, April 02, 2014",31.50,31.75,31.50,31.50,1.71,0
"Price list and trading summary for Monday, September 11, 2006",-,123.00,113.00,120.00,"151,400",4.00
"Price list and trading summary for Tuesday, September 12, 2006",120.00,134.00,122.00,131.00,"11,300",4.37
"Price list and trading summary for Wednesday, September 13, 2006",131.00,144.00,130.00,140.00,"339,400",4.67
"Price list and trading summary for Friday, September 22, 2006",127.00,130.00,118.00,123.00,"260,200",4.10
"Price list and trading summary for Tuesday, September 26, 2006",124.00,134.00,125.00,129.00,"96,800",4.30
"Price list and trading summary for Wednesday, September 27, 2006",129.00,143.00,128.00,129.00,"75,100",4.30
"Price list and trading summary for Wednesday, September 20, 2006",129.00,130.00,119.00,128.00,"92,500",4.27
"Price list and trading summary for Tuesday, September 19, 2006",129.00,135.00,125.00,129.00,"51,200",4.30
"Price list and trading summary for Thursday, September 28, 2006",129.00,135.00,126.00,129.00,"141,600",4.30
"Price list and trading summary for Monday, September 18, 2006",131.00,133.00,128.00,129.00,"62,000",4.30
"Price list and trading summary for Friday, September 15, 2006",139.00,142.00,128.00,131.00,"133,800",4.37
"Price list and trading summary for Thursday, September 14, 2006",140.00,152.00,129.00,139.00,"99,800",4.63
"Price list and trading summary for Thursday, September 21, 2006",128.00,130.00,118.00,127.00,"173,100",4.23
"Price list and trading summary for Tuesday, October 03, 2006",128.00,133.00,128.00,132.00,"75,300",4.40
"Price list and trading summary for Friday, September 29, 2006",129.00,131.00,124.00,126.00,"396,500",4.20
"Price list and trading summary for Monday, October 02, 2006",126.00,133.00,128.00,128.00,"54,500",4.27
"Price list and trading summary for Thursday, October 05, 2006",131.00,135.00,130.00,133.00,"90,600",4.43
"Price list and trading summary for Monday, October 09, 2006",135.00,140.00,129.00,135.00,"32,500",4.50
"Price list and trading summary for Thursday, October 12, 2006",133.00,137.00,132.00,134.00,"47,100",4.47
"Price list and trading summary for Friday, October 13, 2006",134.00,135.00,132.00,133.00,"28,900",4.43
"Price list and trading summary for Wednesday, October 04, 2006",132.00,135.00,128.00,131.00,"51,200",4.37
"Price list and trading summary for Tuesday, October 17, 2006",132.00,132.00,125.00,128.00,"47,000",4.27
"Price list and trading summary for Wednesday, October 18, 2006",128.00,132.00,126.00,130.00,"53,300",4.33
"Price list and trading summary for Thursday, October 19, 2006",130.00,131.00,126.00,128.00,"84,500",4.27
"Price list and trading summary for Monday, October 23, 2006",128.00,134.00,125.00,128.00,"42,000",4.27
"Price list and trading summary for Monday, September 25, 2006",123.00,129.00,113.00,124.00,"42,300",4.13
"Price list and trading summary for Wednesday, October 25, 2006",128.00,132.00,126.00,128.00,"244,700",4.27
"Price list and trading summary for Monday, October 16, 2006",133.00,135.00,130.00,132.00,"14,300",4.40
"Price list and trading summary for Thursday, October 26, 2006",128.00,133.00,128.00,130.00,"100,400",4.33
"Price list and trading summary for Friday, October 27, 2006",130.00,135.00,125.00,134.00,"140,400",4.47
"Price list and trading summary for Tuesday, October 31, 2006",136.00,146.00,137.00,139.00,"431,600",4.63
"Price list and trading summary for Wednesday, November 01, 2006",139.00,144.00,139.00,140.00,"153,600",4.67
"Price list and trading summary for Thursday, November 02, 2006",140.00,145.00,140.00,140.00,"246,900",4.67
"Price list and trading summary for Friday, November 03, 2006",140.00,150.00,140.00,144.00,"152,300",4.80
"Price list and trading summary for Monday, November 06, 2006",144.00,147.00,140.00,140.00,"106,300",4.67
"Price list and trading summary for Tuesday, November 07, 2006",140.00,143.00,130.00,139.00,"101,100",4.63
"Price list and trading summary for Wednesday, November 08, 2006",139.00,140.00,130.00,136.00,"62,700",4.53
"Price list and trading summary for Thursday, November 09, 2006",136.00,140.00,136.00,139.00,"42,300",4.63
"Price list and trading summary for Monday, November 13, 2006",140.00,143.00,140.00,140.00,"95,200",4.67
"Price list and trading summary for Tuesday, November 14, 2006",140.00,142.00,140.00,140.00,"87,900",4.67
"Price list and trading summary for Wednesday, November 15, 2006",140.00,149.00,140.00,142.00,"75,900",4.73
"Price list and trading summary for Friday, October 06, 2006",133.00,137.00,130.00,135.00,"79,300",4.50
"Price list and trading summary for Thursday, November 16, 2006",142.00,143.00,135.00,140.00,"106,800",4.67
"Price list and trading summary for Friday, November 17, 2006",140.00,142.00,138.00,139.00,"118,700",4.63
"Price list and trading summary for Monday, November 20, 2006",139.00,140.00,135.00,137.00,"22,900",4.57
"Price list and trading summary for Monday, October 09, 2006",135.00,140.00,129.00,135.00,"32,500",4.50
"Price list and trading summary for Tuesday, November 21, 2006",137.00,138.00,130.00,134.00,"42,000",4.47
"Price list and trading summary for Wednesday, November 22, 2006",134.00,138.00,135.00,136.00,"8,700",4.53
"Price list and trading summary for Thursday, November 23, 2006",136.00,137.00,131.00,134.00,"15,600",4.47
"Price list and trading summary for Friday, November 24, 2006",134.00,138.00,134.00,136.00,"80,900",4.53
"Price list and trading summary for Monday, November 27, 2006",136.00,139.00,136.00,136.00,"44,500",4.53
"Price list and trading summary for Tuesday, November 28, 2006",136.00,140.00,137.00,139.00,"70,000",4.63
"Price list and trading summary for Wednesday, November 29, 2006",139.00,140.00,126.00,137.00,"115,800",4.57
"Price list and trading summary for Friday, December 01, 2006",135.00,137.00,130.00,131.00,"31,500",4.37
"Price list and trading summary for Thursday, November 30, 2006",137.00,138.00,132.00,135.00,"22,600",4.50
"Price list and trading summary for Monday, December 04, 2006",131.00,140.00,134.00,135.00,"54,300",4.50
"Price list and trading summary for Tuesday, December 05, 2006",135.00,137.00,132.00,134.00,"50,100",4.47
"Price list and trading summary for Wednesday, December 06, 2006",134.00,135.00,132.00,134.00,"5,600",4.47
"Price list and trading summary for Thursday, December 07, 2006",134.00,137.00,132.00,135.00,"76,800",4.50
"Price list and trading summary for Friday, December 08, 2006",135.00,135.00,132.00,134.00,"136,800",4.47
"Price list and trading summary for Monday, December 11, 2006",134.00,134.00,130.00,131.00,"160,600",4.37
"Price list and trading summary for Wednesday, December 13, 2006",131.00,134.00,131.00,133.00,"139,800",4.43
"Price list and trading summary for Thursday, December 14, 2006",133.00,135.00,133.00,134.00,"21,300",4.47
"Price list and trading summary for Monday, December 18, 2006",133.00,140.00,133.00,136.00,"28,900",4.53
"Price list and trading summary for Tuesday, December 19, 2006",136.00,141.00,134.00,138.00,"8,200",4.60
"Price list and trading summary for Wednesday, December 20, 2006",138.00,137.00,135.00,136.00,"56,800",4.53
"Price list and trading summary for Thursday, December 21, 2006",136.00,136.00,135.00,135.00,"16,900",4.50
"Price list and trading summary for Friday, December 22, 2006",135.00,140.00,135.00,135.00,"32,600",4.50
"Price list and trading summary for Wednesday, October 11, 2006",135.00,138.00,130.00,133.00,"20,500",4.43
"Price list and trading summary for Monday, October 30, 2006",134.00,140.00,135.00,136.00,"20,500",4.53
"Price list and trading summary for Wednesday, December 27, 2006",135.00,138.00,135.00,135.00,"5,600",4.50
"Price list and trading summary for Monday, October 23, 2006",128.00,134.00,125.00,128.00,"42,000",4.27
"Price list and trading summary for Thursday, December 28, 2006",135.00,140.00,135.00,139.00,"214,400",4.63
"Price list and trading summary for Friday, December 29, 2006",139.00,140.00,137.00,138.00,"6,900",4.60
"Price list and trading summary for Tuesday, January 02, 2007",138.00,145.00,140.00,141.00,"7,500",4.70
"Price list and trading summary for Wednesday, January 03, 2007",141.00,150.00,140.00,144.00,"13,300",4.80
"Price list and trading summary for Thursday, January 04, 2007",144.00,157.00,146.00,154.00,"28,800",5.13
"Price list and trading summary for Friday, January 05, 2007",154.00,170.00,155.00,167.00,"53,100",5.57
"Price list and trading summary for Monday, January 08, 2007",167.00,185.00,170.00,179.00,"93,000",5.97
"Price list and trading summary for Tuesday, January 09, 2007",179.00,202.00,185.00,199.00,"97,600",6.63
"Price list and trading summary for Wednesday, January 10, 2007",199.00,222.00,210.00,221.00,"218,300",7.37
"Price list and trading summary for Thursday, January 11, 2007",221.00,244.00,219.00,237.00,"281,200",7.90
"Price list and trading summary for Friday, January 12, 2007",237.00,220.00,203.00,213.00,"44,900",7.10
"Price list and trading summary for Monday, January 15, 2007",213.00,202.00,190.00,198.00,"108,900",6.60
"Price list and trading summary for Tuesday, January 16, 2007",198.00,190.00,178.00,188.00,"47,700",6.27
"Price list and trading summary for Wednesday, January 17, 2007",188.00,200.00,170.00,184.00,"133,500",6.13
"Price list and trading summary for Thursday, January 18, 2007",184.00,206.00,190.00,200.00,"165,900",6.67
"Price list and trading summary for Thursday, October 19, 2006",130.00,131.00,126.00,128.00,"84,500",4.27
"Price list and trading summary for Monday, January 22, 2007",215.00,225.00,208.00,214.00,"119,600",7.13
"Price list and trading summary for Tuesday, January 23, 2007",214.00,215.00,200.00,211.00,"57,500",7.03
"Price list and trading summary for Wednesday, January 24, 2007",211.00,210.00,192.00,205.00,"123,500",6.83
"Price list and trading summary for Thursday, January 25, 2007",205.00,210.00,195.00,207.00,"116,200",6.90
"Price list and trading summary for Friday, January 26, 2007",207.00,220.00,208.00,210.00,"303,500",7.00
"Price list and trading summary for Monday, January 29, 2007",210.00,233.00,216.00,223.00,"87,500",7.43
"Price list and trading summary for Friday, December 15, 2006",134.00,135.00,133.00,133.00,"187,000",4.43
"Price list and trading summary for Friday, November 10, 2006",139.00,142.00,140.00,140.00,"61,100",4.67
