"Price list and trading summary for Wednesday, April 02, 2014",3.45,3.55,3.50,3.50,"12,800",0
"Price list and trading summary for Thursday, November 16, 2006","5,603.03",9.50,9.50,9.50,0,0
"Price list and trading summary for Monday, December 18, 2006",9.50,11.00,11.00,11.00,"13,100",0
"Price list and trading summary for Tuesday, December 19, 2006",11.00,28.00,18.00,19.65,"629,600",0
"Price list and trading summary for Wednesday, December 20, 2006",19.65,21.00,17.25,17.75,"943,200",0
"Price list and trading summary for Thursday, December 21, 2006",17.75,17.50,15.75,16.55,"958,800",0
"Price list and trading summary for Friday, December 22, 2006",16.55,17.90,15.00,16.80,"899,500",0
"Price list and trading summary for Wednesday, December 27, 2006",16.80,18.20,16.05,17.40,"409,300",0
"Price list and trading summary for Thursday, December 28, 2006",17.40,19.45,17.00,18.10,"652,100",0
"Price list and trading summary for Friday, December 29, 2006",18.10,19.20,17.55,18.05,"365,400",0
"Price list and trading summary for Tuesday, January 02, 2007",18.05,18.50,17.00,17.60,"437,200",0
"Price list and trading summary for Wednesday, January 03, 2007",17.60,18.90,16.00,17.15,"495,100",0
"Price list and trading summary for Thursday, January 04, 2007",17.15,18.00,16.00,17.20,"567,000",0
"Price list and trading summary for Friday, January 05, 2007",17.20,17.30,15.85,16.60,"404,100",0
"Price list and trading summary for Monday, January 08, 2007",16.60,17.00,15.70,16.55,"615,400",0
"Price list and trading summary for Tuesday, January 09, 2007",16.55,16.15,15.00,15.95,"352,000",0
"Price list and trading summary for Wednesday, January 10, 2007",15.95,16.00,14.50,15.10,"765,600",0
"Price list and trading summary for Thursday, January 11, 2007",15.10,15.50,14.25,14.90,"444,900",0
"Price list and trading summary for Friday, January 12, 2007",14.90,16.30,15.00,15.55,"693,900",0
"Price list and trading summary for Monday, January 15, 2007",15.55,16.50,15.20,15.90,"571,000",0
"Price list and trading summary for Tuesday, January 16, 2007",15.90,16.00,15.25,15.55,"235,800",0
"Price list and trading summary for Wednesday, January 17, 2007",15.55,16.00,15.20,15.80,"314,000",0
"Price list and trading summary for Thursday, January 18, 2007",15.80,16.00,15.00,15.60,"448,000",0
"Price list and trading summary for Monday, January 22, 2007",15.15,15.50,15.00,15.20,"296,500",0
"Price list and trading summary for Tuesday, January 23, 2007",15.20,15.00,14.10,14.80,"232,300",0
"Price list and trading summary for Wednesday, January 24, 2007",14.80,15.00,14.00,14.75,"208,900",0
"Price list and trading summary for Thursday, January 25, 2007",14.75,15.00,14.20,14.75,"318,600",0
"Price list and trading summary for Friday, January 26, 2007",14.75,15.00,14.00,14.40,"171,700",0
"Price list and trading summary for Monday, January 29, 2007",14.40,14.50,13.50,14.20,"186,600",0
"Price list and trading summary for Tuesday, January 30, 2007",14.20,14.05,13.50,13.90,"188,300",0
"Price list and trading summary for Thursday, February 01, 2007",13.50,13.85,12.50,12.90,"412,200",0
"Price list and trading summary for Wednesday, January 31, 2007",13.90,13.85,13.00,13.50,"355,500",0
"Price list and trading summary for Friday, February 02, 2007",12.90,13.00,12.00,12.70,"218,400",0
"Price list and trading summary for Monday, February 05, 2007",12.70,13.00,12.05,12.60,"185,500",0
"Price list and trading summary for Friday, December 29, 2006",18.10,19.20,17.55,18.05,"365,400",0
"Price list and trading summary for Wednesday, February 07, 2007",12.80,14.00,12.50,13.45,"227,300",0
"Price list and trading summary for Tuesday, February 06, 2007",12.60,13.25,12.00,12.80,"224,100",0
"Price list and trading summary for Friday, December 22, 2006",16.55,17.90,15.00,16.80,"899,500",0
"Price list and trading summary for Friday, December 22, 2006",16.55,17.90,15.00,16.80,"899,500",0
"Price list and trading summary for Friday, February 09, 2007",13.70,14.50,13.30,13.95,"448,700",0
"Price list and trading summary for Tuesday, February 13, 2007",13.60,13.50,12.50,13.20,"154,600",0
"Price list and trading summary for Wednesday, February 14, 2007",13.20,13.80,12.10,13.05,"178,800",0
"Price list and trading summary for Monday, February 19, 2007",12.75,12.80,11.90,12.30,"112,200",0
"Price list and trading summary for Friday, February 16, 2007",12.80,13.20,12.00,12.75,"94,500",0
"Price list and trading summary for Thursday, February 08, 2007",13.45,14.00,13.20,13.70,"370,800",0
"Price list and trading summary for Thursday, February 22, 2007",12.55,12.35,12.00,12.00,"221,000",0
"Price list and trading summary for Wednesday, February 21, 2007",12.20,13.00,11.80,12.55,"254,400",0
"Price list and trading summary for Monday, February 26, 2007",12.00,12.30,11.20,11.95,"92,500",0
"Price list and trading summary for Friday, February 23, 2007",12.00,12.30,11.00,12.00,"163,200",0
"Price list and trading summary for Tuesday, February 27, 2007",11.95,12.00,11.00,11.70,"111,000",0
"Price list and trading summary for Wednesday, February 28, 2007",11.70,12.00,10.50,11.35,"78,800",0
"Price list and trading summary for Thursday, March 01, 2007",11.35,11.50,10.60,11.00,"71,500",0
"Price list and trading summary for Monday, March 05, 2007",11.15,11.50,10.50,11.10,"101,200",0
"Price list and trading summary for Friday, March 02, 2007",11.00,11.50,10.50,11.15,"91,400",0
"Price list and trading summary for Wednesday, March 07, 2007",11.00,11.50,11.00,11.00,"115,200",0
"Price list and trading summary for Tuesday, March 06, 2007",11.10,11.10,11.00,11.00,"131,600",0
"Price list and trading summary for Friday, March 09, 2007",11.00,11.50,10.00,10.40,"457,600",0
"Price list and trading summary for Monday, March 12, 2007",10.40,10.50,9.50,10.15,"146,600",0
"Price list and trading summary for Wednesday, March 14, 2007",10.00,10.20,9.00,9.70,"84,300",0
"Price list and trading summary for Tuesday, March 13, 2007",10.15,10.50,9.50,10.00,"93,500",0
"Price list and trading summary for Thursday, March 08, 2007",11.00,11.50,10.00,11.00,"118,100",0
"Price list and trading summary for Thursday, March 15, 2007",9.70,10.50,9.50,9.90,"106,600",0
"Price list and trading summary for Monday, March 19, 2007",10.10,10.00,9.00,9.50,"170,800",0
"Price list and trading summary for Wednesday, March 21, 2007",9.65,9.50,8.50,9.35,"55,600",0
"Price list and trading summary for Thursday, March 22, 2007",9.35,9.95,8.50,9.30,"129,700",0
"Price list and trading summary for Tuesday, March 20, 2007",9.50,10.00,9.00,9.65,"63,400",0
"Price list and trading summary for Friday, March 16, 2007",9.90,10.70,9.80,10.10,"126,000",0
"Price list and trading summary for Friday, March 23, 2007",9.30,9.00,8.60,8.75,"69,800",0
"Price list and trading summary for Tuesday, March 27, 2007",8.50,8.50,7.80,7.95,"59,000",0
"Price list and trading summary for Wednesday, March 28, 2007",7.95,8.70,8.00,8.35,"105,400",0
"Price list and trading summary for Friday, March 30, 2007",8.90,9.50,8.50,9.15,"220,500",0
"Price list and trading summary for Monday, April 02, 2007",9.15,9.55,8.50,9.05,"274,500",0
"Price list and trading summary for Wednesday, April 04, 2007",8.90,9.50,8.50,9.00,"111,300",0
"Price list and trading summary for Thursday, April 05, 2007",9.00,9.30,8.50,9.00,"134,100",0
"Price list and trading summary for Tuesday, February 20, 2007",12.30,12.80,11.90,12.20,"142,000",0
"Price list and trading summary for Monday, February 12, 2007",13.95,14.00,13.00,13.60,"266,700",0
"Price list and trading summary for Thursday, February 15, 2007",13.05,13.25,12.00,12.80,"185,800",0
"Price list and trading summary for Friday, January 19, 2007",15.60,16.15,15.00,15.15,"439,900",0
"Price list and trading summary for Thursday, April 12, 2007",9.10,9.50,8.35,9.25,"171,000",0
"Price list and trading summary for Tuesday, April 10, 2007",9.00,9.10,8.10,9.00,"121,700",0
"Price list and trading summary for Wednesday, April 11, 2007",9.00,9.50,8.50,9.10,"129,700",0
"Price list and trading summary for Friday, April 13, 2007",9.25,9.15,8.50,8.90,"65,500",0
"Price list and trading summary for Monday, April 16, 2007",8.90,9.55,8.25,8.75,"146,300",0
"Price list and trading summary for Wednesday, April 18, 2007",8.95,9.50,8.40,9.00,"252,400",0
"Price list and trading summary for Friday, April 20, 2007",8.65,8.85,8.40,8.50,"81,100",0
"Price list and trading summary for Thursday, April 19, 2007",9.00,8.85,8.40,8.65,"46,300",0
"Price list and trading summary for Monday, April 23, 2007",8.50,8.85,8.40,8.55,"60,000",0
"Price list and trading summary for Tuesday, April 24, 2007",8.55,9.00,8.50,8.65,"111,200",0
"Price list and trading summary for Wednesday, April 25, 2007",8.65,9.15,8.50,8.90,"98,500",0
"Price list and trading summary for Thursday, April 26, 2007",8.90,9.00,8.05,8.75,"45,100",0
"Price list and trading summary for Friday, April 27, 2007",8.75,9.05,8.50,8.85,"116,100",0
"Price list and trading summary for Monday, April 30, 2007",8.85,9.15,8.50,8.80,"75,100",0
"Price list and trading summary for Wednesday, May 02, 2007",8.80,9.00,8.55,8.95,"132,700",0
"Price list and trading summary for Thursday, May 03, 2007",8.95,9.00,8.55,8.80,"114,500",0
"Price list and trading summary for Friday, May 04, 2007",8.80,8.95,8.50,8.75,"36,500",0
"Price list and trading summary for Monday, May 07, 2007",8.75,8.90,8.00,8.50,"39,900",0
"Price list and trading summary for Tuesday, May 08, 2007",8.50,8.90,8.00,8.55,"94,100",0
"Price list and trading summary for Thursday, March 29, 2007",8.35,9.30,8.50,8.90,"104,600",0
"Price list and trading summary for Thursday, May 10, 2007",8.45,8.50,8.00,8.30,"64,800",0
"Price list and trading summary for Tuesday, April 03, 2007",9.05,9.50,8.50,8.90,"202,500",0
"Price list and trading summary for Thursday, April 05, 2007",9.00,9.30,8.50,9.00,"134,100",0
"Price list and trading summary for Monday, March 26, 2007",8.75,9.00,8.00,8.50,"58,000",0
"Price list and trading summary for Monday, May 14, 2007",8.15,8.50,8.00,8.20,"59,100",0
"Price list and trading summary for Tuesday, May 15, 2007",8.20,8.50,7.50,8.05,"162,400",0
"Price list and trading summary for Thursday, May 17, 2007",8.30,8.50,8.00,8.10,"98,500",0
"Price list and trading summary for Wednesday, May 16, 2007",8.05,8.50,7.60,8.30,"53,400",0
"Price list and trading summary for Friday, May 18, 2007",8.10,8.50,8.00,8.20,"72,500",0
"Price list and trading summary for Tuesday, May 22, 2007",8.20,8.50,8.00,8.35,"328,000",0
"Price list and trading summary for Monday, May 21, 2007",8.20,8.30,7.60,8.20,"119,000",0
"Price list and trading summary for Wednesday, May 23, 2007",8.35,8.70,7.80,8.05,"101,700",0
"Price list and trading summary for Thursday, May 24, 2007",8.05,8.50,7.50,8.00,"362,000",0
"Price list and trading summary for Monday, May 28, 2007",8.00,8.80,7.90,8.15,"196,100",0
"Price list and trading summary for Friday, May 25, 2007",8.00,8.50,7.80,8.00,"213,400",0
