"Price list and trading summary for Wednesday, April 02, 2014",6.95,7.00,6.95,6.95,"120,800",0
"Price list and trading summary for Monday, September 11, 2006",-,16.00,15.00,15.55,"161,500",0
"Price list and trading summary for Tuesday, September 12, 2006",15.55,16.00,15.00,15.35,"58,800",0
"Price list and trading summary for Wednesday, September 13, 2006",15.35,15.50,15.00,15.05,"203,900",0
"Price list and trading summary for Friday, September 22, 2006",15.60,17.25,15.50,16.95,"63,600",0
"Price list and trading summary for Tuesday, September 26, 2006",17.15,18.00,17.00,17.35,"51,900",0
"Price list and trading summary for Wednesday, September 27, 2006",17.35,18.00,16.00,17.05,"122,900",0
"Price list and trading summary for Tuesday, September 19, 2006",15.80,15.00,15.00,15.00,"189,500",0
"Price list and trading summary for Wednesday, September 20, 2006",15.00,16.00,15.00,15.25,"467,500",0
"Price list and trading summary for Monday, September 18, 2006",15.30,16.00,15.00,15.80,"73,000",0
"Price list and trading summary for Friday, September 15, 2006",15.25,15.95,15.00,15.30,"70,400",0
"Price list and trading summary for Thursday, September 28, 2006",17.05,18.25,17.50,17.85,"154,900",0
"Price list and trading summary for Thursday, September 14, 2006",15.05,15.75,14.50,15.25,"124,400",0
"Price list and trading summary for Tuesday, October 03, 2006",17.35,18.00,17.00,17.55,"45,100",0
"Price list and trading summary for Thursday, September 21, 2006",15.25,16.00,15.00,15.60,"96,100",0
"Price list and trading summary for Thursday, October 12, 2006",15.25,16.00,14.75,15.05,"112,400",0
"Price list and trading summary for Friday, September 29, 2006",17.85,18.50,17.85,18.00,"150,100",0
"Price list and trading summary for Monday, October 02, 2006",18.00,18.00,16.50,17.35,"275,600",0
"Price list and trading summary for Thursday, October 05, 2006",17.05,17.50,15.70,16.45,"109,500",0
"Price list and trading summary for Friday, October 13, 2006",15.05,16.00,14.00,14.85,"274,300",0
"Price list and trading summary for Monday, October 09, 2006",16.15,17.00,15.00,16.10,"51,300",0
"Price list and trading summary for Tuesday, October 17, 2006",14.80,16.00,14.00,14.75,"226,200",0
"Price list and trading summary for Wednesday, October 18, 2006",14.75,16.00,15.00,15.55,"22,200",0
"Price list and trading summary for Wednesday, October 04, 2006",17.55,17.50,16.00,17.05,"64,800",0
"Price list and trading summary for Thursday, October 19, 2006",15.55,16.00,15.70,15.95,"166,800",0
"Price list and trading summary for Monday, October 23, 2006",15.95,16.95,14.50,16.05,"63,800",0
"Price list and trading summary for Monday, September 25, 2006",16.95,18.00,16.00,17.15,"98,400",0
"Price list and trading summary for Monday, October 16, 2006",14.85,15.85,14.00,14.80,"125,200",0
"Price list and trading summary for Wednesday, October 25, 2006",16.05,16.80,16.00,16.40,"64,400",0
"Price list and trading summary for Thursday, October 26, 2006",16.40,18.25,16.50,17.35,"419,800",0
"Price list and trading summary for Friday, October 27, 2006",17.35,19.50,18.50,19.45,"624,500",0
"Price list and trading summary for Tuesday, October 31, 2006",21.00,23.25,21.25,22.75,7.19,0
"Price list and trading summary for Wednesday, November 01, 2006",22.75,25.25,23.00,25.00,4.80,0
"Price list and trading summary for Thursday, November 02, 2006",25.00,27.00,25.00,26.75,1.91,0
"Price list and trading summary for Friday, November 03, 2006",26.75,29.50,25.00,29.25,4.75,0
"Price list and trading summary for Monday, November 06, 2006",29.25,32.00,32.00,32.00,2.14,0
"Price list and trading summary for Tuesday, November 07, 2006",32.00,35.00,32.50,34.75,2.43,0
"Price list and trading summary for Wednesday, November 08, 2006",34.75,38.00,35.00,37.75,3.57,0
"Price list and trading summary for Thursday, November 09, 2006",37.75,40.00,34.25,37.00,"882,900",0
"Price list and trading summary for Monday, November 13, 2006",31.00,28.00,28.00,28.00,"129,200",0
"Price list and trading summary for Tuesday, November 14, 2006",28.00,28.00,25.25,25.25,2.52,0
"Price list and trading summary for Wednesday, November 15, 2006",25.25,27.75,23.00,26.75,"667,000",0
"Price list and trading summary for Friday, October 06, 2006",16.45,17.00,16.00,16.15,"30,700",0
"Price list and trading summary for Thursday, November 16, 2006",26.75,30.50,25.00,28.00,1.14,0
"Price list and trading summary for Friday, November 17, 2006",28.00,28.00,25.25,27.25,"640,500",0
"Price list and trading summary for Monday, November 20, 2006",27.25,29.50,26.00,28.25,"336,900",0
"Price list and trading summary for Monday, October 09, 2006",16.15,17.00,15.00,16.10,"51,300",0
"Price list and trading summary for Tuesday, November 21, 2006",28.25,29.00,26.25,28.25,"565,600",0
"Price list and trading summary for Wednesday, November 22, 2006",28.25,28.00,25.50,26.75,"172,100",0
"Price list and trading summary for Thursday, November 23, 2006",26.75,28.00,24.50,25.50,"173,800",0
"Price list and trading summary for Friday, November 24, 2006",25.50,26.00,25.00,25.25,"34,000",0
"Price list and trading summary for Monday, November 27, 2006",25.25,27.50,25.00,26.25,"249,700",0
"Price list and trading summary for Tuesday, November 28, 2006",26.25,28.50,25.50,27.75,"289,300",0
"Price list and trading summary for Wednesday, November 29, 2006",27.75,29.50,25.50,28.25,"275,400",0
"Price list and trading summary for Friday, December 01, 2006",28.50,27.75,24.75,26.50,"115,800",0
"Price list and trading summary for Thursday, November 30, 2006",28.25,29.00,25.00,28.50,"509,700",0
"Price list and trading summary for Monday, December 04, 2006",26.50,29.50,24.75,27.00,"155,000",0
"Price list and trading summary for Tuesday, December 05, 2006",27.00,29.25,25.00,26.75,"48,700",0
"Price list and trading summary for Thursday, December 07, 2006",26.00,27.00,24.25,25.75,"98,500",0
"Price list and trading summary for Friday, December 08, 2006",25.75,26.00,25.00,25.00,"29,600",0
"Price list and trading summary for Wednesday, December 06, 2006",26.75,27.00,24.00,26.00,"138,300",0
"Price list and trading summary for Monday, December 11, 2006",25.00,25.25,24.00,24.75,"102,300",0
"Price list and trading summary for Wednesday, December 13, 2006",24.75,25.75,23.00,24.50,"118,800",0
"Price list and trading summary for Thursday, December 14, 2006",24.50,26.00,23.00,24.75,"147,900",0
"Price list and trading summary for Monday, December 18, 2006",24.75,26.75,23.00,25.50,"127,900",0
"Price list and trading summary for Tuesday, December 19, 2006",25.50,27.00,23.25,25.50,"47,200",0
"Price list and trading summary for Wednesday, December 20, 2006",25.50,25.00,24.00,24.00,"43,700",0
"Price list and trading summary for Thursday, December 21, 2006",24.00,24.00,23.50,23.75,"20,600",0
"Price list and trading summary for Friday, December 22, 2006",23.75,24.00,22.50,23.25,"48,400",0
"Price list and trading summary for Wednesday, October 11, 2006",16.10,16.50,15.00,15.25,"147,900",0
"Price list and trading summary for Monday, October 30, 2006",19.45,21.25,19.50,21.00,"600,500",0
"Price list and trading summary for Wednesday, December 27, 2006",23.25,25.00,23.75,24.75,"13,300",0
"Price list and trading summary for Monday, October 23, 2006",15.95,16.95,14.50,16.05,"63,800",0
"Price list and trading summary for Thursday, December 28, 2006",24.75,24.00,21.50,23.00,"27,600",0
"Price list and trading summary for Friday, December 29, 2006",23.00,24.75,23.00,24.00,"19,400",0
"Price list and trading summary for Tuesday, January 02, 2007",24.00,26.00,22.50,24.75,"54,800",0
"Price list and trading summary for Wednesday, January 03, 2007",24.75,27.00,23.00,25.00,"52,800",0
"Price list and trading summary for Thursday, January 04, 2007",25.00,28.00,25.50,27.50,"531,200",0
"Price list and trading summary for Friday, January 05, 2007",27.50,30.50,27.00,30.00,"881,200",0
"Price list and trading summary for Monday, January 08, 2007",30.00,32.00,27.25,29.75,"141,600",0
"Price list and trading summary for Tuesday, January 09, 2007",29.75,30.00,27.00,29.50,1.15,0
"Price list and trading summary for Wednesday, January 10, 2007",29.50,30.00,27.00,29.00,"188,500",0
"Price list and trading summary for Thursday, January 11, 2007",29.00,29.00,26.00,27.75,"70,900",0
"Price list and trading summary for Friday, January 12, 2007",27.75,28.00,26.75,27.50,"642,200",0
"Price list and trading summary for Monday, January 15, 2007",27.50,27.00,26.00,26.50,"150,900",0
"Price list and trading summary for Tuesday, January 16, 2007",26.50,29.25,24.50,26.50,"84,200",0
"Price list and trading summary for Wednesday, January 17, 2007",26.50,26.00,24.00,25.50,"72,100",0
"Price list and trading summary for Thursday, January 18, 2007",25.50,26.00,24.00,25.00,"85,300",0
"Price list and trading summary for Thursday, October 19, 2006",15.55,16.00,15.70,15.95,"166,800",0
"Price list and trading summary for Monday, January 22, 2007",24.75,25.50,23.00,24.50,"88,900",0
"Price list and trading summary for Tuesday, January 23, 2007",24.50,25.50,22.00,24.50,"84,100",0
"Price list and trading summary for Wednesday, January 24, 2007",24.50,25.00,22.00,23.75,"289,900",0
"Price list and trading summary for Thursday, January 25, 2007",23.75,25.00,23.00,24.75,"132,700",0
"Price list and trading summary for Friday, January 26, 2007",24.75,24.50,23.00,24.25,"98,600",0
"Price list and trading summary for Monday, January 29, 2007",24.25,24.00,23.00,23.75,"56,800",0
"Price list and trading summary for Friday, December 15, 2006",24.75,26.50,23.50,24.75,"89,300",0
"Price list and trading summary for Friday, November 10, 2006",37.00,31.00,31.00,31.00,"93,100",0
"Price list and trading summary for Tuesday, January 30, 2007",23.75,24.00,22.00,22.75,"49,300",0
"Price list and trading summary for Monday, December 11, 2006",25.00,25.25,24.00,24.75,"102,300",0
"Price list and trading summary for Friday, February 02, 2007",22.25,22.00,20.00,20.75,"59,900",0
"Price list and trading summary for Friday, December 29, 2006",23.00,24.75,23.00,24.00,"19,400",0
"Price list and trading summary for Thursday, February 01, 2007",22.50,23.00,21.00,22.25,"48,500",0
"Price list and trading summary for Wednesday, January 31, 2007",22.75,23.00,22.00,22.50,"33,300",0
"Price list and trading summary for Tuesday, February 06, 2007",19.65,20.00,18.00,19.60,"27,500",0
"Price list and trading summary for Friday, February 09, 2007",22.00,24.00,20.75,22.25,"121,600",0
"Price list and trading summary for Monday, February 05, 2007",20.75,20.00,19.00,19.65,"120,000",0
"Price list and trading summary for Tuesday, February 13, 2007",22.25,22.50,20.25,20.50,"206,200",0
